TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
80524LLWTH1313W,321114,N090,6779.0,Pounds,89.3149,NO,87.6028,91.6555,93.9961,94.3573,98.41,94.7185,NO,2.7018,92.6765,0.0258,NO,R99
22601CVSSTPOBOX,332312,000078933,0.5,Pounds,0.0822,NO,0.0,0.0834,0.0847,1.3937,3.3591,2.7027,NO,1.3103,0.9565,1.2909,YES,R11
56007STRTR411SO,337215,000108883,21140.0,Pounds,33.4764,NO,27.4488,41.102,48.7276,50.2042,63.8574,51.6807,NO,9.1022,44.6282,0.1787,NO,R11
19428SPRTCELMHA,326113,N078,490.0,Pounds,49.4949,NO,49.4949,49.4949,49.4949,49.4949,49.4949,49.4949,NO,0.0,49.4949,0.0,NO,R99
24333WBBFRSOUTH,337122,000071363,0.5,Pounds,0.0025,NO,0.0,0.0029,0.0033,0.0066,0.0121,0.0098,NO,0.0037,0.0052,0.6274,NO,R19
23228MXWLL7400I,323111,001330207,968126.0,Pounds,82.605,NO,60.269,83.1869,83.773,98.4655,100.0,99.7422,NO,15.2786,89.9179,0.0866,NO,R19
61108THVLS200SA,325510,N090,2289.0,Pounds,89.449,NO,75.3143,89.7999,90.1536,99.457,100.0,99.782,NO,9.6571,94.3286,0.0514,NO,R99
94608SHRWN1450S,325510,007664417,1884.0,Pounds,73.0516,NO,50.0164,76.2034,79.6281,93.6615,100.0,97.8193,NO,17.458,84.5317,0.108,NO,R99
88260STHWS4400S,311513,007697372,0.5,Pounds,0.0008,NO,0.0,0.0008,0.0008,0.1002,0.2493,0.1996,NO,0.0994,0.0671,1.3978,YES,R99
15062MNSSN345DO,324199,000108952,1700.0,Pounds,48.2955,NO,0.0,50.6316,53.125,87.068,100.0,99.7067,NO,36.4364,70.3205,0.2956,NO,R19
35474LWTRNCRACK,325211,001330207,98000.0,Pounds,71.3391,NO,37.3122,72.504,73.6842,95.9652,100.0,99.4904,NO,23.4612,83.0646,0.1477,NO,R11
46706BRNFN2278C,331511,007439965,305.0,Pounds,18.6659,NO,0.0,18.6945,18.7231,58.5551,100.0,98.3871,NO,39.8606,45.2587,0.8301,NO,R30
61242MXXXX22614,325998,007664393,870000.0,Pounds,82.5662,NO,67.1573,84.7273,87.0,96.4406,100.0,99.9747,NO,11.7133,90.8251,0.0699,NO,R11
40219CLDWL4000T,332313,000108101,533.0,Pounds,3.433,NO,0.0,3.9604,4.6497,13.9608,28.9615,28.5944,NO,10.0004,10.36,0.8416,NO,R11
13413SPCLMMIDDL,331419,007440473,265595.0,Pounds,39.2818,NO,0.0,40.1155,40.9507,90.696,100.0,99.997,NO,50.5805,66.6636,0.4142,NO,R99
48192PNNWL4655B,325110,007664417,60000.0,Pounds,50.4269,NO,34.9484,59.456,64.5113,75.7944,100.0,97.6753,NO,16.3384,68.5095,0.1854,NO,R99
70734BRDNCLOUIS,325120,007664417,23917551.0,Pounds,92.3915,NO,88.5844,94.1584,95.9939,97.8744,100.0,100.0,NO,3.716,96.0389,0.0237,NO,R99
02860PRVDN51FAI,332813,000100414,1456.0,Pounds,10.0317,NO,0.0,11.2749,12.8486,40.0685,83.2591,73.8337,NO,28.7937,28.8022,0.7423,NO,R11
28402CPNDSHIGHW,325199,000106423,99000.0,Pounds,13.089,NO,0.0,14.9843,17.3989,43.2313,85.6019,99.999,YES,28.247,37.2454,0.7406,NO,R99
85235SRCNC64ASA,331411,N982,2212800.0,Pounds,12.2629,NO,0.0,12.6442,13.0349,69.9985,100.0,99.9998,NO,57.3544,47.4451,0.7697,NO,R30
07836LMTCCBARTL,322222,001163195,4584.0,Pounds,9.8663,NO,9.8663,9.8663,9.8663,9.8663,9.8663,9.8663,NO,0.0,9.8663,0.0,NO,R99
