TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
44087SMLST1400E,332813,007647010,275000.0,Pounds,99.9673,NO,99.9673,99.9673,99.9673,99.9673,99.9673,99.9673,NO,0.0,99.9673,0.0,NO,R99
35405JVCMG1JVCR,334613,000078933,3301112.0,Pounds,44.4016,NO,0.0,45.7464,47.1621,89.9948,100.0,96.1017,NO,44.2484,65.5925,0.3507,NO,R11
48838FDRLM510EG,336350,007440508,1036538.0,Pounds,87.7224,NO,71.1872,88.0302,88.3385,99.259,100.0,99.9995,NO,11.2287,93.6185,0.0617,NO,R27
43207CPTLR324DE,325211,000108883,51384.0,Pounds,75.1338,NO,43.1138,75.8733,76.6216,97.7129,100.0,99.5158,NO,21.8397,85.4919,0.1302,NO,R19
44446BPLCN1001Y,424710,000071432,27.0,Pounds,23.0769,NO,12.0871,29.0355,36.0,40.3344,57.2829,87.0968,YES,11.2989,40.7019,0.4926,NO,R19
44125BPXPL4800E,424710,000095636,241.0,Pounds,43.5805,NO,0.0,44.6085,45.6439,90.7724,100.0,99.5868,NO,46.1639,65.6533,0.3726,NO,R19
49120MRTHN2216S,424710,000071432,38183.0,Pounds,96.3074,NO,94.4381,96.9676,97.6298,98.6539,100.0,99.9163,NO,1.6863,97.8709,0.0123,NO,R99
53932FLLRV670SO,331528,007439921,34903.0,Pounds,66.5263,NO,41.4432,66.5313,66.5364,83.2567,100.0,99.9771,NO,16.7254,77.6799,0.203,NO,R30
44706THTMK1835D,331111,007440020,190000.0,Pounds,97.9518,NO,94.982,97.9702,97.9887,99.9624,100.0,99.9984,NO,1.9922,98.8291,0.01,NO,R30
46231QMTCN7870W,331492,N090,0.5,Pounds,0.0003,NO,0.0,0.0003,0.0003,0.9092,2.2725,33.3333,YES,0.9089,5.0218,2.3029,YES,R29
29710SBNRTJACKS,326299,001330207,449275.0,Pounds,59.6353,NO,12.4179,61.4458,63.3613,94.1311,100.0,99.9989,NO,32.6853,77.0059,0.2176,NO,R19
62454MRTHNMARAT,324110,000091203,4190.0,Pounds,7.4768,NO,4.4296,10.471,13.6812,14.4985,20.5399,99.4069,YES,4.0276,30.8715,1.1119,YES,R99
42101TRD00350SC,332813,N090,5000.0,Pounds,22.6634,NO,0.0,22.8252,22.9885,95.1928,100.0,99.9001,NO,72.3676,57.2587,0.6435,NO,R30
40209RLNCN4730C,325211,000071363,31907.0,Pounds,16.6622,NO,0.0,17.4419,18.2414,67.3717,100.0,99.2226,NO,49.9298,48.2995,0.6969,NO,R11
40210NTDCT1227S,325188,007664417,32000.0,Pounds,13.5584,NO,0.0,17.7541,22.6116,34.3118,59.1483,99.9844,YES,16.5577,30.8341,0.6524,NO,R13
14215WNFLD33CLA,326199,000079016,900.0,Pounds,6.2069,NO,1.5318,7.9422,9.6774,12.2158,18.6262,14.7541,NO,4.2736,10.2128,0.3437,NO,R11
70750HLLPTHWY10,324110,007664417,463260.0,Pounds,99.3625,NO,98.8821,99.4751,99.5879,99.8704,100.0,99.9996,NO,0.3953,99.6757,0.0022,NO,R99
76567LMNMCSANDO,331312,007439965,15088.0,Pounds,27.2248,NO,0.0,28.9573,30.9079,74.0,100.0,85.9911,NO,45.0427,50.0055,0.4931,NO,R27
44141BRCKS10439,424710,000100414,46168.0,Pounds,99.0666,NO,98.6789,99.2637,99.4614,99.6536,100.0,99.894,NO,0.3899,99.4652,0.0027,NO,R99
89803BRRCK27MIL,212221,N450,1100.0,Pounds,0.0019,NO,0.0,0.0019,0.002,0.0268,0.0642,99.0991,YES,0.0249,12.9476,2.0394,YES,R99
42276RCKWLHWY68,331521,007439921,11289.0,Pounds,91.2848,NO,79.1499,91.4396,91.5943,99.6326,100.0,100.0,NO,8.1931,95.5582,0.0438,NO,R27
