TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
17972TMQCBFOOTO,331421.0,N420,3100.0,Pounds,18.668,NO,0.0,22.0515,26.7011,43.2211,74.9754,65.1534,NO,21.1695,34.4382,0.4611,NO,R99
95336NDYLC400IN,334419.0,007664939,5500.0,Pounds,6.2854,NO,0.0,6.2855,6.2857,53.0974,100.0,99.9092,NO,46.8119,37.4934,1.1771,YES,R99
00791TNKFTSTATE,316219.0,000067641,1400.0,Pounds,65.1163,NO,65.1163,65.1163,65.1163,65.1163,65.1163,65.1163,NO,0.0,65.1163,0.0,NO,R99
42420GBBSDBOBPO,331521.0,007440508,190000.0,Pounds,84.2113,NO,61.5349,84.3654,84.5196,99.5857,100.0,99.9995,NO,15.2203,91.5465,0.0839,NO,R99
37601MPRFR1200E,337122.0,000067641,537.0,Pounds,2.4207,NO,0.0,2.8935,3.5506,9.4046,19.1712,44.8622,YES,6.5111,9.8316,1.1673,YES,R11
60009DLXCH1275T,323110.0,000071556,2028.0,Pounds,10.2819,NO,0.0,10.8612,11.5025,54.4643,100.0,73.6651,NO,43.6031,32.3001,0.7924,NO,R19
17540QLTYC7PETE,337110.0,001330207,1281.0,Pounds,11.8721,NO,0.0,12.6192,13.4277,53.386,100.0,83.6708,NO,40.7668,34.4259,0.781,NO,R11
77701THVLS1700D,325510.0,N982,250.0,Pounds,25.0,NO,10.4167,29.1667,33.3333,41.6667,60.4167,50.0,NO,12.5,36.1111,0.2878,NO,R99
29003DLVNFHWY30,333414.0,000071556,0.5,Pounds,0.0011,NO,0.0,0.0011,0.0012,0.0173,0.0415,0.0334,NO,0.0161,0.0119,1.2776,YES,R11
32032CRNDP308OL,325510.0,000108883,200.0,Pounds,28.5714,NO,24.6032,36.5079,44.4444,44.4444,56.3492,44.4444,NO,7.9365,39.1534,0.1911,NO,R99
34643GNRLC74251,335931.0,007664939,1000.0,Pounds,8.0451,NO,8.0451,8.0451,8.0451,8.0451,8.0451,8.0451,NO,0.0,8.0451,0.0,NO,R99
62202CRRCPHWY3A,331421.0,N420,1800.0,Pounds,17.4537,NO,0.0,21.2431,26.4706,40.8998,70.3849,99.889,YES,19.6567,38.8868,0.6297,NO,R29
08619MRCNB1945E,326192.0,000085687,1863000.0,Pounds,97.7375,NO,96.4683,98.1561,98.5766,99.2812,100.0,99.9959,NO,1.1252,98.8254,0.0079,NO,R99
12834HLLNGROUTE,322121.0,000067561,0.5,Pounds,0.0009,NO,0.0,0.0011,0.0014,0.0031,0.0061,4.7619,YES,0.002,0.345,3.4269,YES,R99
92008HGHSR6155E,334413.0,007664417,0.5,Pounds,0.0021,NO,0.0,0.0021,0.0021,0.0728,0.1788,0.2053,YES,0.0707,0.0513,1.3708,YES,R99
49508STLCS11203,337214.0,000100414,43791.0,Pounds,16.181,NO,3.7178,20.9494,27.6831,32.4372,49.6688,95.4676,YES,11.4878,34.863,0.6417,NO,R11
32220CRGLL114HA,311611.0,N982,5.0,Pounds,50.0,NO,50.0,50.0,50.0,50.0,50.0,50.0,NO,0.0,50.0,0.0,NO,R99
