TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
80817SNMNS702BA,334112,007439921,35073.0,Pounds,60.2838,NO,30.7243,60.3283,60.3728,80.0643,100.0,99.7558,NO,19.736,73.4708,0.253,NO,R99
47987MSTRG1200E,336399,N090,194310.0,Pounds,93.9666,NO,87.7447,94.559,95.1579,99.1018,100.0,99.9974,NO,4.5428,96.9445,0.0251,NO,R28
84074TLRMYSDSTE,928110,007440508,73365.0,Pounds,89.165,NO,81.4013,89.2911,89.4172,94.551,100.0,99.6848,NO,5.2599,92.7557,0.0528,NO,R30
12054WNSCRRT32S,327993,N090,1310.0,Pounds,5.6658,NO,0.0,5.7671,5.8718,71.0962,100.0,95.9004,NO,65.3291,38.2984,0.9302,NO,R99
02741RVRCP24NOR,331421,007439965,25000.0,Pounds,93.7734,NO,89.1511,93.791,93.8086,96.8843,100.0,99.96,NO,3.0933,95.8474,0.0303,NO,R30
15665WSTNGROUTE,325510,000100414,19000.0,Pounds,32.2198,NO,0.0,33.501,34.8816,84.0035,100.0,91.7874,NO,50.5025,56.2711,0.4698,NO,R99
75042DSTNC701SH,325510,055406536,1109.0,Pounds,46.7144,NO,23.2963,49.4636,52.2128,66.9085,93.0757,81.6041,NO,17.4449,60.1771,0.2545,NO,R99
89438NWMNTSTONE,212221,N096,1100.0,Pounds,3.1338,NO,0.0,3.1339,3.1339,51.5215,100.0,99.9092,NO,48.3877,35.3923,1.289,YES,R99
19428SMTHK900RI,325199,000075058,2973956.0,Pounds,43.4191,NO,12.7017,48.6564,54.7695,72.6262,100.0,99.9954,NO,23.9698,65.6599,0.2957,NO,R11
60901THVLS901NO,325510,N090,30317.0,Pounds,86.388,NO,76.1975,86.3941,86.4003,93.1919,100.0,99.9835,NO,6.7978,90.9239,0.0705,NO,R99
46225LLLYN546AB,325510,000068122,1054.0,Pounds,41.2686,NO,2.8764,45.7465,51.3145,74.3266,100.0,80.8282,NO,28.5801,59.0797,0.2681,NO,R99
50313FRSTNSECON,326211,N420,2.1,Pounds,2.3204,NO,0.0,2.7097,3.2558,13.5083,29.7062,80.7692,YES,10.7986,11.1096,1.2799,YES,R99
68501GDYRT4021N,326220,000137268,256.0,Pounds,2.5339,NO,0.0,2.7018,2.8816,19.9688,45.8694,99.2248,YES,17.2671,20.6378,1.3369,YES,R99
48043DPNTM400GR,325510,001330207,301388.0,Pounds,27.6015,NO,11.1527,33.8217,41.3305,48.9344,71.6034,99.9778,YES,15.1127,51.6625,0.4704,NO,R11
19087JHNSN43645,336399,N511,2505.0,Pounds,22.9774,NO,18.8453,29.9622,36.9469,37.3734,48.4903,37.7999,NO,7.4112,32.5747,0.2086,NO,R99
60090NTRPR1991W,325510,055406536,367.0,Pounds,42.3299,NO,38.042,50.9056,59.4814,59.4814,72.345,59.4814,NO,8.5757,53.7642,0.1504,NO,R99
