TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
98221SHLLLWESTM,324110,N420,714.0,Pounds,80.6415,NO,70.6897,84.663,89.1052,93.9786,100.0,99.6233,NO,9.3156,89.3038,0.0608,NO,H39
98221SHLLLWESTM,324110,N590,24978.0,Pounds,95.929,NO,90.737,96.145,96.362,99.7504,100.0,99.996,NO,3.6054,97.9234,0.0185,NO,H20
75087THWHT930WH,324191,N982,2069.0,Pounds,83.9692,NO,83.9692,83.9692,83.9692,83.9692,83.9692,83.9692,NO,0.0,83.9692,0.0,NO,H39
35631MCFRTCORNE,325314,N450,322.0,Pounds,94.152,NO,93.0777,95.4244,96.6967,96.9888,99.3355,97.281,NO,1.5645,96.0432,0.0141,NO,H39
0581WPKNDS2884D,324121,N590,0.1,Pounds,5.2632,NO,0.0,5.5728,5.8824,19.6078,40.6605,33.3333,NO,14.0351,14.8263,0.8828,NO,H39
99705MPCLS1100H,324110,000191242,14.9,Pounds,93.7107,NO,92.7134,95.5167,96.129,97.3856,100.0,98.6755,NO,1.8689,96.3314,0.016,NO,H20
52556THDXT501NO,331511,007440508,5.0,Pounds,20.0,NO,0.0,25.0,33.3333,41.6667,66.6667,50.0,NO,16.6667,34.6667,0.2923,NO,H39
36571LLPTRINDUS,324110,000100414,26313.0,Pounds,91.1452,NO,81.992,92.1125,93.1007,98.8595,100.0,99.9996,NO,6.747,95.4738,0.036,NO,H39
23860LLDSGPOBOX,325211,007664939,1542240.0,Pounds,98.1737,NO,96.8239,98.1815,98.1893,99.0866,100.0,99.9838,NO,0.905,98.7823,0.0086,NO,H39
46383RSCHL2503C,333294,N090,6972.0,Pounds,3.7886,NO,0.0,4.1317,4.4751,19.8299,43.3773,100.0,YES,15.6982,30.8577,1.2637,YES,H39
44301BFGDR240WE,325199,000062533,0.5,Pounds,0.0005,NO,0.0,0.0005,0.0006,0.0148,0.0362,2.5641,YES,0.0143,0.3708,2.4145,YES,H20
89414NWMNT35MIL,212221,N078,100.0,Pounds,0.2178,NO,0.0,0.2178,0.2178,98.9805,100.0,99.94,NO,98.7627,42.6818,1.1488,YES,H39
55432KRTMF7585V,331521,007439921,618.0,Pounds,78.4115,NO,47.7868,78.669,78.9272,99.2572,100.0,99.9919,NO,20.5882,88.403,0.1178,NO,H10
29304BLCKMPOBOX,325199,000067561,145000.0,Pounds,96.9297,NO,94.4448,97.4181,97.9114,99.4002,100.0,99.8279,NO,1.9822,98.4027,0.0107,NO,H20
29304BLCKMPOBOX,325199,000108883,24000.0,Pounds,74.0741,NO,43.3721,75.2397,76.4331,96.4848,100.0,98.9691,NO,21.2451,84.7036,0.1295,NO,H20
54221JNCTN2267H,424710,000110827,2400.0,Pounds,84.9858,NO,70.3035,86.6582,88.3978,97.5614,100.0,99.5438,NO,10.9031,91.9804,0.0606,NO,H20
44706THTMK1835D,331111,007439921,3996.0,Pounds,3.1401,NO,0.0,3.1648,3.1895,68.6028,100.0,99.9582,NO,65.438,39.2967,1.0162,YES,H10
44146HKLLC7013K,424690,000079016,63488.0,Pounds,76.6884,NO,63.8945,80.798,85.3253,92.067,100.0,99.9921,NO,11.269,87.4132,0.0853,NO,H20
60914BRMNGRR1BO,331111,N420,33701.0,Pounds,9.2368,NO,0.0,9.2398,9.2427,99.3364,100.0,99.9932,NO,90.0966,51.4104,0.8769,NO,H10
60914BRMNGRR1BO,331111,N982,256406.0,Pounds,8.3657,NO,0.0,8.3702,8.3747,99.1502,100.0,99.9521,NO,90.78,52.3774,0.8678,NO,H10
29442GRGTWSOUTH,331111,007439965,105793.0,Pounds,62.3046,NO,18.0955,63.6788,65.0858,94.0677,100.0,98.9136,NO,30.3889,77.3996,0.2058,NO,H10
44146HKLLC7013K,424690,000067561,810000.0,Pounds,76.8737,NO,62.7735,80.3436,84.0344,92.057,100.0,99.9691,NO,11.7134,87.6057,0.0915,NO,H20
00851HSSLVLIMET,324110,000071432,71927.0,Pounds,73.8479,NO,48.138,75.8273,77.8549,94.2869,100.0,99.9993,NO,18.4596,86.2238,0.124,NO,H39
60438BCHMC2700E,325510,000100414,37361.0,Pounds,23.704,NO,0.0,29.8356,38.3174,53.2504,88.3727,97.6018,YES,23.4149,43.9836,0.4137,NO,H20
01803TCHQS40NAV,334517,007439921,200.0,Pounds,1.0197,NO,1.0197,1.0197,1.0197,1.0197,1.0197,1.0197,NO,0.0,1.0197,0.0,NO,H39
34221HMSCH7610H,325320,000074839,3089.0,Pounds,89.2517,NO,82.9656,89.8793,90.5069,94.4884,100.0,98.4699,NO,4.6091,92.7428,0.044,NO,H39
71360DRWDTWADLE,321114,N590,61022.7,Pounds,88.3585,NO,86.5327,91.0105,93.6649,93.9958,98.4736,99.9997,YES,2.9852,93.9516,0.0436,NO,H39
92335FNTNW15500,321114,N100,6.08,Pounds,1.1896,NO,0.8513,1.7651,2.3288,2.3743,3.288,54.8736,YES,0.6092,9.5244,1.9445,YES,H39
60651LLDMT4528W,331314,007429905,124868.0,Pounds,97.6477,NO,95.913,97.6592,97.6706,98.8233,100.0,99.976,NO,1.1641,98.4314,0.0111,NO,H10
60651LLDMT4528W,331314,007440508,4370.0,Pounds,3.4284,NO,0.0,3.4297,3.431,97.8614,100.0,99.9771,NO,94.4317,44.2027,1.0652,YES,H10
70094KMRWT18RIV,325199,000107131,67103.0,Pounds,93.8792,NO,91.3122,95.0381,96.1995,97.5221,100.0,99.9434,NO,2.484,96.4489,0.0206,NO,H39
31092GRGPCSOUTA,325211,000108952,0.5,Pounds,0.0083,NO,0.0,0.0097,0.0116,0.0513,0.1138,1.7544,YES,0.0416,0.0842,2.9803,YES,H39
45502TRTCN4700G,332811,000079016,83965.0,Pounds,56.8214,NO,51.8934,64.2427,71.6639,72.4755,84.8247,73.2871,NO,8.2328,67.2575,0.1102,NO,H20
31907CLLWY6603C,325199,000071363,248368.0,Pounds,77.9852,NO,46.6353,78.2675,78.5515,99.3557,100.0,99.9978,NO,21.0882,88.5466,0.1199,NO,H20
72761GTSRB1800G,326220,N982,24928.0,Pounds,21.9296,NO,0.0,21.9541,21.9787,99.0071,100.0,99.992,NO,77.0529,58.1065,0.6652,NO,H39
25303CWSTV437MA,325199,000075354,12000.0,Pounds,10.9066,NO,0.0,12.7073,15.2168,42.1045,86.2003,99.9917,YES,29.3972,30.9831,0.8219,NO,H20
98065GLCRN56013,327320,N420,2.8,Pounds,16.4706,NO,0.0,18.9223,21.374,31.5825,50.5729,41.791,NO,12.6602,26.5452,0.4131,NO,H39
00985CPNTS65INF,325510,N982,7561.0,Pounds,25.9116,NO,0.0,25.9986,26.0859,97.5992,100.0,99.7625,NO,71.6006,56.9937,0.6281,NO,H39
44871SNDSK615WE,331528,N450,32939.0,Pounds,54.5854,NO,2.7648,56.0508,57.5213,91.5748,100.0,99.9848,NO,35.524,75.5023,0.265,NO,H10
42029WSTLK2468I,325199,000075014,25000.0,Pounds,0.6023,NO,0.0,0.6116,0.6211,18.5955,45.5712,99.6691,YES,17.9838,23.3707,1.3933,YES,H20
62454MRTHNMARAT,324110,000095636,120836.0,Pounds,75.2343,NO,45.8339,76.4061,77.5997,96.7877,100.0,99.9992,NO,20.3815,87.1259,0.1249,NO,H39
75042DSTNC701SH,325510,000131113,3588.0,Pounds,64.4628,NO,20.7421,65.5141,66.5677,95.3621,100.0,99.9165,NO,29.848,78.9571,0.1976,NO,H39
89410RVPCF1198S,325510,000110543,25843.0,Pounds,91.0195,NO,81.7122,91.828,92.6511,98.5719,100.0,99.0419,NO,6.7439,94.7875,0.0364,NO,H20
19007DNMRC145WH,326113,001330207,284.0,Pounds,29.7071,NO,18.0205,37.8288,42.0118,51.0343,70.8425,98.2699,YES,13.2055,49.0165,0.3602,NO,H20
43025SFTYK581MI,562920,000079016,217192.0,Pounds,38.7746,NO,0.0,41.2658,44.0199,81.6963,100.0,99.9926,NO,40.4305,63.9028,0.3726,NO,H20
54701MRCNP800WI,326299,N982,6700.0,Pounds,78.094,NO,48.184,78.5049,78.9164,98.7189,100.0,99.9776,NO,20.214,88.1847,0.1175,NO,H39
3973WSPRRS463IN,324121,N590,245.6,Pounds,61.2438,NO,32.2225,61.253,61.2622,80.6067,100.0,99.9512,NO,19.3537,74.1524,0.246,NO,H39
06354GRSWL1RIVE,326299,N982,862.0,Pounds,62.6909,NO,18.2539,63.9824,65.303,94.4681,100.0,98.9667,NO,30.4857,77.6945,0.2048,NO,H39
31995CLMBS1600N,331511,007440473,20296.0,Pounds,98.0388,NO,95.4017,98.0957,98.1526,99.8917,100.0,99.9803,NO,1.796,98.8781,0.0091,NO,H39
15132NMLPR3500W,332812,001330207,0.5,Pounds,0.0015,NO,0.0,0.0015,0.0016,0.0543,0.1334,31.25,YES,0.0528,1.0637,5.1823,YES,H20
45804SHLCM1150S,324110,000107062,3.16,Pounds,1.6223,NO,1.6223,1.6223,1.6223,1.6223,1.6223,1.6223,NO,0.0,1.6223,0.0,NO,H20
45804SHLCM1150S,324110,001330207,5163.37,Pounds,0.0959,NO,0.0,0.0962,0.0964,20.5184,51.1518,85.8847,YES,20.4222,16.1109,1.451,YES,H20
04073XPNDDONERI,326299,N982,85.0,Pounds,85.0,NO,82.0175,89.4737,89.4737,94.4444,100.0,94.4444,NO,4.9708,90.9649,0.0368,NO,H39
77501PHLLP100JE,424710,001330207,1.858,Pounds,0.0198,NO,0.0,0.0216,0.0236,0.2447,0.5794,27.0924,YES,0.2231,0.5962,5.6557,YES,H39
02905CHMPK167MI,562211,000127184,193400.0,Pounds,58.4234,NO,2.1582,59.0013,59.581,96.8967,100.0,99.9773,NO,37.8954,77.2748,0.2532,NO,H20
47331RCLMD1500W,562211,000108101,293700.0,Pounds,83.339,NO,58.8177,83.4226,83.5063,99.8258,100.0,99.9915,NO,16.4032,91.382,0.09,NO,H20
77541THDWCBUILD,325181,000126998,202.0,Pounds,39.7638,NO,39.7638,39.7638,39.7638,39.7638,39.7638,39.7638,NO,0.0,39.7638,0.0,NO,H39
97048NTDST29073,327420,007439921,117.5,Pounds,99.7022,NO,99.7022,99.7022,99.7022,99.7022,99.7022,99.7022,NO,0.0,99.7022,0.0,NO,H39
