TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
84663STFFR815WE,311412,007664417,278440.0,Pounds,92.4239,NO,89.1798,93.3312,94.2385,96.0988,100.0,97.9591,NO,2.7676,94.8739,0.0243,NO,H39
89429NVDWD1680S,321114,N150,455.9068,Grams,91.457,NO,86.383,91.941,92.425,95.6464,100.0,98.8677,NO,3.7054,94.2499,0.0349,NO,H39
62301JMHBR3150G,311119,N982,250.0,Pounds,50.0,NO,50.0,50.0,50.0,50.0,50.0,50.0,NO,0.0,50.0,0.0,NO,H39
17013CRLSL1509R,326299,000108883,8095.0,Pounds,19.0131,NO,0.0,21.7793,25.0108,46.5411,83.6837,82.3332,NO,24.7617,37.5711,0.5676,NO,H20
07828QSTNT400IN,325620,N230,2677.0,Pounds,55.7128,NO,7.425,57.7811,59.9821,91.3518,100.0,98.9283,NO,33.5707,74.3954,0.2413,NO,H39
06470HBBLL14PRO,335931,N420,21.6,Pounds,1.4528,NO,0.0,1.4529,1.453,50.1997,100.0,98.9464,NO,48.7468,33.9507,1.3537,YES,H39
93627JRSMP12688,325311,007697372,1500.0,Pounds,71.7703,NO,67.3624,77.094,82.4176,83.5817,93.3132,84.7458,NO,6.4877,79.6446,0.0709,NO,H39
08862RRTNR225EL,332111,007439965,1023729.0,Pounds,99.2002,NO,98.6635,99.2252,99.2503,99.5997,100.0,99.9491,NO,0.3745,99.4665,0.0034,NO,H39
52158BTMCRHWY18,333120,001330207,1408.0,Pounds,8.0402,NO,0.0,9.0088,9.9773,19.6309,35.5642,29.2845,NO,10.6222,15.7674,0.6083,NO,H20
3780WMDRCY123PT,331314,007439921,30421.0,Pounds,98.4721,NO,97.3274,98.6786,98.8851,99.5794,100.0,99.9967,NO,0.9008,99.1243,0.0056,NO,H10
85226RMCNV6760W,562211,000067561,47804.0,Pounds,20.5037,NO,0.0,21.4884,22.5487,75.2988,100.0,99.4798,NO,53.8104,50.9936,0.6173,NO,H20
85226RMCNV6760W,562211,000127184,111501.0,Pounds,49.9141,NO,0.0,51.1478,52.3951,91.7606,100.0,99.8818,NO,40.6128,72.54,0.3072,NO,H20
9562WBSLTX65IND,327331,007439976,177.0,Pounds,99.9967,NO,99.9959,99.9974,99.998,99.9984,99.9998,99.9987,NO,0.001,99.9978,0.0,NO,H39
8970WBSLTX26BEI,327331,007439921,35.583,Pounds,98.5032,NO,96.3341,98.5178,98.5324,99.9736,100.0,99.9927,NO,1.4558,99.1444,0.0073,NO,H39
61554MDWSTSOUTH,312140,000075070,40700.0,Pounds,6.4226,NO,0.0,6.4585,6.4943,45.9096,100.0,85.3249,NO,39.4512,32.7473,1.1353,YES,H39
71854PCTXS325DI,324121,N590,1.068632,Pounds,0.4434,NO,0.0,0.4436,0.4438,41.4815,100.0,82.5191,NO,41.0378,27.8021,1.3916,YES,H39
67460CSNCX210NE,332813,007439921,3197.0,Pounds,40.0376,NO,0.0,40.343,40.6484,68.5154,100.0,96.3823,NO,28.1724,59.0228,0.4476,NO,H39
72450MRSNLPEKIN,335312,007439921,22397.0,Pounds,86.6348,NO,67.5387,86.8148,86.9955,99.6656,100.0,99.9987,NO,12.8507,93.0718,0.0695,NO,H10
06430RGRSCMILLA,325991,000108952,2105.0,Pounds,73.7045,NO,67.9514,79.3059,84.0991,86.8755,98.2299,94.8626,NO,7.5696,83.5755,0.0782,NO,H39
64601WRRPC601CO,331222,N511,27759.0,Pounds,98.2307,NO,98.0115,98.669,99.1074,99.1074,99.765,99.1074,NO,0.4384,98.8152,0.0042,NO,H39
23297DFNSG8000J,425120,000075694,0.5,Pounds,2.439,NO,2.439,2.439,2.439,2.439,2.439,2.439,NO,0.0,2.439,0.0,NO,H39
70663WRGRCDAVIS,325188,001313275,1360000.0,Pounds,99.8935,NO,99.8182,99.8953,99.8972,99.9467,100.0,99.9963,NO,0.0514,99.929,0.0005,NO,H39
89118KCHPR3901W,324121,000191242,0.1,Pounds,20.0,NO,0.0,22.5,25.0,37.5,60.0,50.0,NO,15.0,31.6667,0.4144,NO,H39
71280NGSCHLAHWY,325199,007697372,4736848.0,Pounds,55.2309,NO,0.0,55.2317,55.2325,99.995,100.0,99.9996,NO,44.7633,74.4166,0.2977,NO,H39
52004KCHMT12THS,324121,007439921,1.1,Pounds,9.8214,NO,9.8214,9.8214,9.8214,9.8214,9.8214,9.8214,NO,0.0,9.8214,0.0,NO,H39
44706THTMK1835D,331111,007439921,9531.0,Pounds,7.5184,NO,0.0,7.6212,7.7262,78.6312,100.0,99.892,NO,71.0099,43.311,0.894,NO,H10
80022KCHPR4310E,324121,000191242,0.1,Pounds,25.0,NO,25.0,25.0,25.0,25.0,25.0,25.0,NO,0.0,25.0,0.0,NO,H39
01842KYPLYLAWRE,325520,000067561,1675.0,Pounds,98.6455,NO,98.6455,98.6455,98.6455,98.6455,98.6455,98.6455,NO,0.0,98.6455,0.0,NO,H39
13413SPCLMMIDDL,331491,007440473,189710.0,Pounds,41.9172,NO,0.0,41.9736,42.0302,99.6216,100.0,99.9984,NO,57.648,70.3641,0.4099,NO,H39
08332WHTNG220GS,327213,N982,52815.0,Pounds,98.1017,NO,96.1216,98.2606,98.4198,99.6867,100.0,99.9697,NO,1.426,98.9123,0.0077,NO,H39
53558MCFRL4505T,424710,N590,1.61,Pounds,11.4509,NO,0.0,12.8955,14.7571,49.546,100.0,95.2663,NO,36.6504,32.6369,0.7252,NO,H20
22601SLLVN1944V,326113,001330207,7614.0,Pounds,4.2578,NO,0.0,4.354,4.4539,58.4964,100.0,98.3594,NO,54.1424,33.329,0.9886,NO,H20
71280NGSCHLAHWY,325199,000050000,1395503.0,Pounds,43.0795,NO,0.0,43.0987,43.1179,99.8948,100.0,99.9999,NO,56.7961,70.5784,0.4021,NO,H39
53901SPTCHN766I,326113,N010,89000.0,Pounds,98.9329,NO,98.1464,98.9384,98.9439,99.4663,100.0,99.9888,NO,0.528,99.2885,0.005,NO,H39
37357BRDGSHWY55,326211,N420,12.0,Pounds,23.2558,NO,0.0,26.231,30.0752,65.5757,100.0,98.3607,NO,39.3447,46.9998,0.5089,NO,H39
90023CRTFD3342E,332812,000100414,1040.0,Pounds,8.9117,NO,0.0,9.0133,9.1148,44.5574,97.8736,80.0,NO,35.5441,32.6755,1.0241,YES,H20
42501SNYMT2780S,337215,000108883,20421.0,Pounds,64.0699,NO,41.352,65.0327,65.9955,80.8199,100.0,95.6442,NO,15.7872,75.2366,0.1921,NO,H20
98221SHLLLWESTM,324110,N590,20318.0,Pounds,97.3653,NO,95.0249,97.7161,98.0693,99.5102,100.0,99.9311,NO,1.7941,98.6322,0.0099,NO,H20
43725SHLDLSTATE,331112,N495,37271.07,Pounds,82.0312,NO,55.5237,82.1015,82.1719,99.82,100.0,99.9431,NO,17.7186,89.7127,0.098,NO,H39
98327GLCRN4301P,327320,N420,22.4,Pounds,29.2047,NO,29.2047,29.2047,29.2047,29.2047,29.2047,29.2047,NO,0.0,29.2047,0.0,NO,H39
08530BRNCL11KAR,326121,N420,6.0,Pounds,97.561,NO,96.344,97.8001,98.0392,98.7709,100.0,99.5025,NO,0.9708,98.3676,0.0084,NO,H39
02703CHMTC52GAR,331492,000067561,86990.0,Pounds,93.6,NO,91.5338,94.6367,95.6733,96.7052,99.8081,97.7372,NO,2.0686,95.6702,0.0177,NO,H20
66046STRNV3841G,322221,000067561,9800.0,Pounds,20.2722,NO,0.0,21.3015,22.3744,70.9068,100.0,99.5733,NO,49.6052,49.2435,0.6343,NO,H20
43130LNCST240WE,327212,007439921,7570.0,Pounds,7.8257,NO,0.0,8.2806,8.7384,43.1991,95.577,99.934,YES,34.9185,37.7021,0.9561,NO,H10
97404MDRSR11DIV,327320,N511,269.0,Pounds,80.2985,NO,80.2985,80.2985,80.2985,80.2985,80.2985,80.2985,NO,0.0,80.2985,0.0,NO,H39
