TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
44839THGLD300SP,325211,001330207,43650.0,Pounds,35.3095,NO,0.0,40.2715,46.8559,74.0037,100.0,99.9885,NO,33.7323,58.0028,0.3401,NO,R11
33605TMPFL425S2,424710,001330207,479862.0,Pounds,99.4481,NO,99.2205,99.5782,99.7087,99.8167,100.0,99.9479,NO,0.2385,99.7052,0.0016,NO,R99
77541THDWCBUILD,325212,000118741,1.0,Pounds,0.0,NO,0.0,0.0,0.0,0.0293,0.0732,4.7619,YES,0.0293,0.4011,2.3619,YES,R40
01561BSTWYSTERL,321114,N100,4.0,Pounds,1.5152,NO,0.0,1.5444,1.5748,36.5079,88.9532,44.4444,NO,34.9635,17.6627,1.0896,YES,R99
28075GLVNNHWY49,332812,N982,13372.0,Pounds,2.1898,NO,0.0,2.2073,2.2248,30.2262,72.2547,58.2277,NO,28.019,20.8808,1.2647,YES,R24
30362DRVLL6293N,424710,000095636,50733.0,Pounds,99.8661,NO,99.815,99.8947,99.9232,99.9478,100.0,99.9901,NO,0.0531,99.9235,0.0004,NO,R99
15071CRCBL1001R,331492,007440473,23369.0,Pounds,96.2281,NO,95.0503,97.0327,97.8396,98.3544,100.0,99.923,NO,1.3217,97.8236,0.0121,NO,R30
32226TLNTC8500H,336611,001330207,0.5,Pounds,0.0054,NO,0.0,0.0055,0.0057,0.1088,0.2638,1.5873,YES,0.1033,0.261,2.0818,YES,R11
74401YFFRNGLEXI,331314,007440020,17132.0,Pounds,34.5724,NO,0.0,38.3468,42.845,67.8307,100.0,86.2204,NO,29.4839,53.7132,0.3479,NO,R30
36507CTTNB43575,331524,007439921,4800.0,Pounds,75.7098,NO,75.7098,75.7098,75.7098,75.7098,75.7098,75.7098,NO,0.0,75.7098,0.0,NO,R30
55119NRTHS1678R,331221,N090,712.0,Pounds,1.3756,NO,0.0,1.3841,1.3927,56.6653,100.0,99.8597,NO,55.2813,35.9451,1.0631,YES,R30
93232RMSTR10700,326211,N982,21288.0,Pounds,30.478,NO,0.0,30.5886,30.7,98.8163,100.0,99.9765,NO,68.2277,62.3591,0.5447,NO,R99
38555CRSSV346SW,327122,N090,1.0,Pounds,0.4831,NO,0.0,0.4891,0.495,8.5809,20.7185,16.6667,NO,8.0918,5.8816,1.2966,YES,R99
38063SRFTNOLDHI,332813,N090,250000.0,Pounds,86.2337,NO,84.536,89.4106,92.5926,92.6604,97.535,99.998,YES,3.2497,92.6307,0.0514,NO,R30
44706THTMK1835D,332991,007439965,23000.0,Pounds,69.6906,NO,46.9716,69.6938,69.697,84.842,100.0,99.987,NO,15.1482,79.7915,0.179,NO,R30
37209BPXPL14095,424710,000108883,941.0,Pounds,39.1431,NO,0.0,42.6895,46.9327,80.9463,100.0,99.8938,NO,38.2568,60.8967,0.335,NO,R19
32032CRNDP308OL,325510,N982,202.0,Pounds,21.1076,NO,0.0,21.1631,21.2185,59.4015,100.0,97.5845,NO,38.2385,46.6369,0.7725,NO,R99
53925MRCNP850WE,323111,001330207,3396.0,Pounds,19.4157,NO,1.9432,23.8086,28.3472,38.3855,60.2508,96.6145,YES,14.5769,38.3951,0.6465,NO,R11
78410CCPCC1501M,325110,000071432,403.0,Pounds,0.2614,NO,0.0,0.2708,0.2807,4.9306,11.9202,99.7525,YES,4.6598,10.4758,2.1737,YES,R13
60101CRTXC410FA,326150,N120,34.0,Pounds,15.5963,NO,0.0,16.4562,17.3469,62.3906,100.0,97.1429,NO,45.9343,44.5169,0.7229,NO,R99
48116HHSPP2040H,325510,000108101,360.0,Pounds,5.1209,NO,0.7737,7.1297,9.4812,11.367,17.7229,59.0164,YES,4.2373,14.6024,0.9604,NO,R11
