TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
75773NTRNT701FR,321114,N100,10.0,Pounds,11.9048,NO,11.9048,11.9048,11.9048,11.9048,11.9048,11.9048,NO,0.0,11.9048,0.0,NO,H39
47711RDSPT96610,325510,000078922,675.0,Pounds,6.9825,NO,0.0,8.9681,12.5232,22.9983,44.0437,43.4923,NO,14.0302,17.0803,0.6016,NO,H20
52722BRTNS20436,424690,000107211,490.0,Pounds,36.2158,NO,0.0,38.5855,40.9699,75.8516,100.0,99.5935,NO,37.2661,57.9505,0.4071,NO,H20
66106HRCRS5200S,325613,000071363,197689.0,Pounds,92.1331,NO,90.4117,94.0799,95.722,96.5254,100.0,99.4792,NO,2.4455,95.6993,0.024,NO,H20
9006WGRDNP31WRS,327320,N420,100.271,Pounds,83.6847,NO,80.7394,87.2049,90.7257,91.5153,97.9808,99.995,YES,4.3104,90.2637,0.0569,NO,H39
60434LCNTYROUTE,331314,000095636,366400.0,Pounds,88.7838,NO,85.8681,91.2177,93.6845,94.7842,100.0,99.9915,NO,3.5664,94.1251,0.0407,NO,H20
76501DLTCN3402C,331513,N100,7244.0,Pounds,31.4453,NO,0.0,31.4479,31.4505,99.9625,100.0,99.9912,NO,68.5146,63.4248,0.539,NO,H39
40216BRDNN6200C,325211,000872504,19235.0,Pounds,99.9896,NO,99.9896,99.9896,99.9896,99.9896,99.9896,99.9896,NO,0.0,99.9896,0.0,NO,H39
66002MDWST1300M,312140,000067561,15960.0,Pounds,46.6285,NO,0.0,47.2027,47.7773,95.1104,100.0,99.9687,NO,47.9077,68.4287,0.3589,NO,H39
15748PRMMT11INN,331110,N982,216.3,Pounds,4.7424,NO,0.0,4.7569,4.7714,46.7094,100.0,88.6475,NO,41.9526,32.7204,1.2086,YES,H10
44510NRTHS2669W,331110,N090,0.5,Pounds,0.0007,NO,0.0,0.0007,0.0007,0.0108,0.026,3.4698,YES,0.0101,0.1695,3.0195,YES,H39
4993WRNWDP1235W,326199,N010,246.0,Pounds,89.781,NO,83.5173,90.278,90.7749,94.785,100.0,98.7952,NO,4.5071,93.117,0.0433,NO,H39
30027KPPRS1579K,325320,N100,86.0,Pounds,0.4256,NO,0.0,0.4269,0.4282,52.4754,100.0,71.6667,NO,52.0485,26.8584,1.0875,YES,H39
53148RSTLM8105F,325510,000108883,812738.0,Pounds,59.7136,NO,0.0,59.7465,59.7794,99.8618,100.0,99.9078,NO,40.1153,76.9453,0.2581,NO,H20
66739LLCCH22MIS,325199,000067561,10000.0,Pounds,1.5844,NO,0.0,1.9448,2.4697,5.9612,11.9857,99.95,YES,4.0163,10.2568,1.8652,YES,H20
37086BRDGSPOBOX,326211,N420,11.1,Pounds,28.8312,NO,0.0,32.6473,37.6271,70.4769,100.0,98.2301,NO,37.8296,51.8898,0.4213,NO,H39
36505KZCHMUSHIG,325180,000079118,4900.0,Pounds,94.5763,NO,87.013,94.6769,94.7776,99.7862,100.0,99.9796,NO,5.1093,96.8942,0.0264,NO,H39
96707HWNND91325,324110,000100414,227.0,Pounds,12.2499,NO,0.0,15.7686,21.806,30.7964,53.338,99.9123,YES,15.0278,31.5229,0.8176,NO,H20
90023RCDNC3225E,332812,000131113,3719.0,Pounds,9.229,NO,0.0,9.8019,10.4051,47.5065,100.0,94.319,NO,37.7046,35.8501,0.8837,NO,H20
38478MRCNM2360I,331513,N090,1000.0,Pounds,1.7225,NO,0.0,1.7308,1.7391,71.6179,100.0,99.94,NO,69.8871,39.2605,1.0144,YES,H39
63126MDSTT9315W,325510,N230,396.0,Pounds,57.7259,NO,57.7259,57.7259,57.7259,57.7259,57.7259,57.7259,NO,0.0,57.7259,0.0,NO,H20
6049WSRTGF771WC,311942,007632000,6006.0,Pounds,48.0365,NO,15.7136,49.0182,50.0,71.2213,100.0,92.4427,NO,22.2031,63.493,0.3227,NO,H39
40210THVLS1630W,325510,N450,1383.0,Pounds,47.9709,NO,19.2873,49.5871,51.2033,69.7869,100.0,88.3706,NO,20.1999,62.5149,0.2932,NO,H39
15650LTRBS2626L,331110,N100,10000.0,Pounds,72.3903,NO,32.6425,72.6903,72.9927,99.3888,100.0,99.99,NO,26.6985,85.9528,0.1555,NO,H10
4241WJLKCR88SAN,325991,000100425,610.0,Pounds,0.6985,NO,0.0,0.7565,0.8225,5.8895,13.5889,70.9302,YES,5.133,8.531,2.0329,YES,H39
98205GLCRN2222R,327320,N420,11.3,Pounds,53.8095,NO,19.9533,53.9383,54.067,76.5949,100.0,99.1228,NO,22.6566,68.9998,0.3087,NO,H39
48150PPLDP12238,332811,007632000,302045.0,Pounds,98.8935,NO,98.8935,98.8935,98.8935,98.8935,98.8935,98.8935,NO,0.0,98.8935,0.0,NO,H39
75235JNSBL2728E,325510,000100414,48661.0,Pounds,73.8519,NO,35.9723,74.0219,74.1919,99.3883,100.0,99.9897,NO,25.3664,84.9791,0.1489,NO,H20
89406NVDRF11MIL,331410,007440484,8700.0,Pounds,52.0553,NO,16.2289,52.0755,52.0958,75.9733,100.0,99.8508,NO,23.8978,68.0006,0.3312,NO,H39
95324HLMRC9001N,311513,N511,14200.0,Pounds,0.6209,NO,0.0,0.7166,0.8382,2.7688,5.8471,8.0135,YES,2.0522,2.349,1.0601,YES,H39
7130WTXLXN13ASH,327320,N420,6.011,Pounds,97.8671,NO,97.8671,97.8671,97.8671,97.8671,97.8671,97.8671,NO,0.0,97.8671,0.0,NO,H39
07105BNJMN134LI,325510,N230,324.88,Pounds,46.3023,NO,0.0,46.4273,46.5524,98.8559,100.0,99.9938,NO,52.4285,69.0593,0.3785,NO,H39
9852WGLCRN4EAST,327320,N420,18.0,Pounds,23.8411,NO,23.8411,23.8411,23.8411,23.8411,23.8411,23.8411,NO,0.0,23.8411,0.0,NO,H39
53932FLLRV670SO,331529,007439921,4130.0,Pounds,45.9962,NO,0.0,46.0065,46.0167,99.9274,100.0,99.9516,NO,53.921,69.1189,0.3861,NO,H10
8464WFBRTK2762S,327993,N420,98.0,Pounds,89.0909,NO,89.0909,89.0909,89.0909,89.0909,89.0909,89.0909,NO,0.0,89.0909,0.0,NO,H39
45640PMLLC1664B,331492,007440224,970000.0,Pounds,98.0363,NO,95.1091,98.0408,98.0452,99.9952,100.0,99.9995,NO,1.9544,98.9526,0.0099,NO,H10
76513MRCNS2505T,331513,007440473,174528.0,Pounds,69.6241,NO,24.5554,69.6936,69.7632,99.7856,100.0,99.857,NO,30.0921,82.6004,0.1804,NO,H10
23824SRMYM316RI,928110,007439921,0.003,Pounds,10.1695,NO,5.528,13.4181,16.6667,18.6782,26.5683,20.6897,NO,5.2601,15.8419,0.2736,NO,H39
63701RCTCL450NA,326299,000137268,86.0,Pounds,21.2871,NO,21.2871,21.2871,21.2871,21.2871,21.2871,21.2871,NO,0.0,21.2871,0.0,NO,H39
54616SSCTD220EA,311513,007697372,142549.0,Pounds,25.9258,NO,25.9258,25.9258,25.9258,25.9258,25.9258,25.9258,NO,0.0,25.9258,0.0,NO,H39
99801CRLSK331CL,212221,N770,0.5,Pounds,0.0008,NO,0.0005,0.0011,0.0015,0.0016,0.0022,0.0016,NO,0.0004,0.0013,0.2895,NO,H39
90280LNDYT9301S,324110,007783064,112.0,Pounds,0.0523,NO,0.0,0.0523,0.0523,52.4593,100.0,99.115,NO,52.407,29.1775,1.2538,YES,H39
