TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
06457TXTCH150IN,326220.0,000108883,741878.0,Pounds,97.9562,NO,97.2797,98.5215,98.8433,99.3494,100.0,99.9988,NO,0.8279,98.9027,0.0057,NO,H20
54143SPCLT2STAN,325998.0,000075650,110535.0,Pounds,83.1384,NO,72.5764,86.1999,89.4897,95.2822,100.0,99.9259,NO,9.0823,90.973,0.0588,NO,H20
44663LRNMN2228R,326299.0,N511,58500.0,Pounds,64.9928,NO,57.5754,70.3752,75.7576,78.9084,91.7082,82.0592,NO,8.5332,74.2698,0.0949,NO,H39
63379BDNLM100CH,331521.0,007440508,80855.0,Pounds,12.964,NO,0.0,12.9641,12.9641,56.4812,100.0,99.9983,NO,43.5171,41.9755,0.9774,NO,H39
17404GTPRD1128R,332116.0,000079016,66309.0,Pounds,65.6882,NO,36.8086,68.844,72.2037,90.201,100.0,99.9985,NO,21.357,81.0608,0.1597,NO,H20
06487CHRMM113WE,332813.0,N420,30.0,Pounds,83.3333,NO,81.4394,87.1212,90.9091,90.9091,96.5909,90.9091,NO,3.7879,88.3838,0.0404,NO,H10
30809KRGRR4301E,323111.0,000108883,32966234.0,Pounds,95.3491,NO,90.7698,95.8268,96.3094,99.1982,100.0,99.5286,NO,3.3713,97.3196,0.018,NO,H20
36803MPXCR2230M,334613.0,000108883,23111.4,Pounds,40.7653,NO,15.3463,47.7916,57.606,69.4218,100.0,96.8893,NO,21.6302,59.8359,0.2576,NO,H20
62206STSTL3300M,424710.0,000091203,0.5,Pounds,0.1869,NO,0.0,0.1931,0.1996,4.381,10.6628,9.0909,NO,4.1879,2.8008,1.1485,YES,H39
67801RFFNN500ET,325320.0,007664417,600.0,Pounds,54.5455,NO,50.5348,62.5668,70.5882,70.5882,82.6203,70.5882,NO,8.0214,65.2406,0.1159,NO,H39
07823BSFCRJAMES,325510.0,001330207,965900.0,Pounds,81.8745,NO,62.6687,83.5041,85.1989,97.3943,100.0,99.9914,NO,13.8902,90.3049,0.0789,NO,H20
45365RCHRD2350C,339991.0,000108883,1000000.0,Pounds,98.3574,NO,96.5348,98.4882,98.6193,99.7905,100.0,99.8801,NO,1.3023,99.0592,0.0067,NO,H20
35207SLSSN35003,331111.0,000100425,42.0,Pounds,19.4444,NO,0.0,19.6279,19.8113,55.5578,100.0,91.3043,NO,35.93,43.52,0.7764,NO,H39
