TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
32960NWPPR2926P,336411,007439921,325.0,Pounds,99.9834,NO,99.9834,99.9834,99.9834,99.9834,99.9834,99.9834,NO,0.0,99.9834,0.0,NO,H10
40210THVLS1630W,325510,N420,189.0,Pounds,16.1401,NO,0.0,16.5966,17.0578,75.4518,100.0,98.4375,NO,58.8552,45.1046,0.7466,NO,H39
12553WRXTRRIVER,424710,000100414,0.5,Pounds,0.5974,NO,0.0,0.6705,0.7569,3.5448,7.8564,98.0392,YES,2.8744,11.8385,2.3331,YES,H39
75604LPHMG315WH,562920,N090,221196.0,Pounds,94.4321,NO,87.1444,94.617,94.8021,99.5988,100.0,100.0,NO,4.9818,97.1155,0.0266,NO,H10
75050SRGRD23501,325510,N740,1424.0,Pounds,94.3671,NO,88.8724,94.903,95.4424,98.9233,100.0,99.7898,NO,4.0204,96.7503,0.0225,NO,H39
75418MCDNL2430A,325510,N982,551.0,Pounds,62.1195,NO,43.009,66.845,71.7448,82.7357,100.0,98.5689,NO,15.8907,75.9421,0.1585,NO,H39
75042DSTNC701SH,325510,000131113,40828.0,Pounds,98.6517,NO,98.056,98.9401,99.2296,99.5295,100.0,99.9951,NO,0.5894,99.2782,0.0043,NO,H39
35404TSCLS1500H,331111,N450,680000.0,Pounds,32.6734,NO,18.0972,40.5831,46.4779,55.5737,78.0596,99.9881,YES,14.9906,54.5533,0.3661,NO,H39
29472RCCRB19COU,335991,000085018,22231.0,Pounds,98.2499,NO,97.9778,98.6615,99.073,99.1172,99.8009,99.1614,NO,0.4558,98.8281,0.0042,NO,H39
76086CHMCL1020E,336413,000127184,4917253.0,Pounds,99.9832,NO,99.9614,99.984,99.9847,99.9991,100.0,99.9999,NO,0.0151,99.991,0.0001,NO,H20
12553MBLLN1281R,424710,000108883,0.5,Pounds,0.0063,NO,0.0,0.0065,0.0068,0.1739,0.425,98.0392,YES,0.1674,3.8815,4.475,YES,H39
46236GBCKD10640,325120,000075456,139845.0,Pounds,99.9378,NO,99.9378,99.9378,99.9378,99.9378,99.9378,99.9378,NO,0.0,99.9378,0.0,NO,H39
3101WDRXLC31EAS,325320,N982,200.0,Pounds,95.2381,NO,94.6574,96.3995,97.561,97.561,99.3031,97.561,NO,1.1614,96.7867,0.0113,NO,H39
29673RPRDC409OL,325211,000108054,107063.0,Pounds,49.552,NO,0.0,49.7118,49.8726,99.1151,100.0,99.7429,NO,49.4033,72.8369,0.3394,NO,H39
75119GRCLT101IN,325320,034014181,480.0,Pounds,20.6009,NO,2.4648,26.1939,33.5664,42.0133,65.7424,98.9691,YES,15.8194,41.194,0.5439,NO,H39
75042DSTNC701SH,325510,N090,5991.0,Pounds,85.7572,NO,85.7572,85.7572,85.7572,85.7572,85.7572,85.7572,NO,0.0,85.7572,0.0,NO,H39
62363RCNCXRTE2B,325920,N511,47977.0,Pounds,94.8781,NO,94.8781,94.8781,94.8781,94.8781,94.8781,94.8781,NO,0.0,94.8781,0.0,NO,H39
08691WBTCH108NG,323111,000108101,1668.0,Pounds,13.4451,NO,0.0,14.0115,14.6085,65.2893,100.0,89.533,NO,51.2778,39.4555,0.769,NO,H39
60901THVLS901NO,325510,000098828,412.0,Pounds,25.1988,NO,3.5836,30.2199,36.1087,47.9774,74.6137,93.2127,YES,17.7575,46.9875,0.4979,NO,H39
75604LPHMG315WH,562920,N982,109778.0,Pounds,97.0515,NO,93.243,97.1706,97.2899,99.7891,100.0,99.9963,NO,2.6184,98.4747,0.0137,NO,H10
60185GRFFN1920D,336510,N982,327.0,Pounds,97.0586,NO,97.0586,97.0586,97.0586,97.0586,97.0586,97.0586,NO,0.0,97.0586,0.0,NO,H39
75069NCRWR1410M,331422,007440508,17063205.0,Pounds,86.4783,NO,67.8177,86.7432,87.0086,99.3602,100.0,100.0,NO,12.617,93.1699,0.0693,NO,H10
97203RDDPN6123N,325510,000100414,15184.0,Pounds,80.2452,NO,62.2839,81.9766,83.7091,95.1051,100.0,99.9802,NO,13.1285,88.2997,0.0857,NO,H20
46802SSXGR1601W,325510,000872504,4400.0,Pounds,28.3999,NO,0.0,33.184,39.9021,65.3306,100.0,99.4126,NO,32.1466,48.9009,0.4009,NO,H20
