TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
70601CRBLN900OP,325510,N420,3100.0,Pounds,72.093,NO,72.093,72.093,72.093,72.093,72.093,72.093,NO,0.0,72.093,0.0,NO,R99
35616LRCHNHIGHW,325311,7664417,440000.0,Pounds,53.6585,NO,25.9688,59.0813,65.6716,81.1562,100.0,94.2184,NO,22.075,70.9665,0.1923,NO,R99
60623MGMCP2324S,331421,7440508,12735287.0,Pounds,94.964,NO,87.4189,94.9658,94.9676,99.9971,100.0,99.998,NO,5.0313,97.1222,0.0256,NO,R27
04092SDWRR89CUM,322121,1330207,6200.0,Pounds,20.2086,NO,0.0,24.6405,30.6931,43.3063,71.3051,93.3735,YES,18.6659,41.7686,0.551,NO,R19
44691THRXR1700O,333911,71556,3700.0,Pounds,24.026,NO,16.7147,30.0582,36.0905,38.9539,52.2975,41.8174,NO,8.8957,33.978,0.2182,NO,R11
61301SNDSTAIRPO,333911,71556,230818.0,Pounds,59.3015,NO,35.2378,65.3078,72.6487,85.3544,100.0,99.9957,NO,20.0467,74.9496,0.1562,NO,R11
76503MRCND49THS,337127,91203,6225.0,Pounds,24.9549,NO,0.0,25.0812,25.2075,60.6733,100.0,96.139,NO,35.592,48.7671,0.6869,NO,R11
76503MRCND49THS,337127,1330207,24185.0,Pounds,23.7299,NO,0.0,23.8178,23.9058,60.449,100.0,96.9922,NO,36.6312,48.2093,0.7155,NO,R11
45387VRNYL875DA,326291,127184,0.5,Pounds,0.0025,NO,0.0,0.0032,0.0045,0.0063,0.0109,0.0227,YES,0.0031,0.007,0.9495,NO,R14
78766SHRMN401NA,331222,7664939,254590.0,Pounds,89.5709,NO,75.2562,89.7854,89.9999,99.4716,100.0,99.998,NO,9.6862,94.0118,0.052,NO,R99
16121DFRCF15ROE,331221,7647010,649000.0,Pounds,50.1274,NO,16.9912,54.9691,60.6542,80.2877,100.0,99.281,NO,25.3186,68.7946,0.2326,NO,R40
39701KMNRDNASHV,325188,91203,0.5,Pounds,0.006,NO,0.0,0.0069,0.0083,0.0312,0.0677,0.0416,NO,0.0243,0.0189,0.8009,NO,R19
