TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
63147PDGRG5200N,325510.0,001319773,0.5,Pounds,0.0006,NO,0.0,0.0009,0.0011,0.0015,0.0025,9.0909,YES,0.0007,0.1755,6.4605,YES,R11
60152THVLS1400N,325510.0,000080626,25957.0,Pounds,54.9285,NO,5.9799,56.7408,58.591,90.5814,100.0,99.9615,NO,33.8406,74.1851,0.2552,NO,R99
50314WPNTM97IND,325510.0,000078922,255.0,Pounds,27.6273,NO,0.0,33.1188,41.2621,58.833,97.4042,95.8647,NO,25.7142,47.9916,0.3673,NO,R99
17331RHSHP247EM,331511.0,007439921,133.0,Pounds,6.724,NO,0.0,7.6241,8.7905,30.4179,64.6086,67.8571,YES,22.7938,21.9711,0.8412,NO,R29
80642CHMCLHUDSO,325188.0,N010,460.0,Pounds,0.9531,NO,0.0,0.9531,0.9532,98.9209,100.0,99.9922,NO,97.9678,43.0924,1.1292,YES,R26
07823BSFCRJAMES,325510.0,000071363,613000.0,Pounds,84.074,NO,65.4858,85.0743,86.0955,98.1332,100.0,99.9886,NO,13.059,91.7267,0.0742,NO,R11
44805SHLND1745C,325520.0,N982,1011.0,Pounds,28.7788,NO,0.0,28.7952,28.8116,64.2088,100.0,99.6059,NO,35.4135,52.3988,0.637,NO,R99
35574KNNDYHWY96,321114.0,N020,245.0,Pounds,94.5946,NO,94.5946,94.5946,94.5946,94.5946,94.5946,94.5946,NO,0.0,94.5946,0.0,NO,R99
15321TMZDM100PA,325510.0,000108883,500.0,Pounds,7.3153,NO,0.0,7.8243,8.3333,22.8933,45.4967,37.4532,NO,15.0689,17.7006,0.7894,NO,R11
46225LLLYN546AB,325510.0,007439965,519.0,Pounds,50.6836,NO,14.5363,50.8079,50.9323,74.989,100.0,99.0458,NO,24.1811,66.8872,0.34,NO,R99
36571LLPTRINDUS,324110.0,000091203,2341.0,Pounds,79.9795,NO,57.3186,81.1251,82.2847,96.9961,100.0,99.9573,NO,15.871,89.6339,0.0967,NO,R99
