TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
53044KHLRC444HI,332913,N495,3600.0,Pounds,16.1587,NO,0.0,16.1969,16.2352,97.8394,100.0,99.9722,NO,81.6425,56.7094,0.7259,NO,R22
63702SPRTC4753N,325991,N982,280.0,Pounds,11.5226,NO,0.0,12.1833,12.844,32.8371,63.8178,52.8302,NO,20.6538,25.7323,0.7449,NO,R99
44707MTRPL1201M,327122,N040,10073.0,Pounds,97.3237,NO,96.3833,97.741,98.1583,98.6461,100.0,99.1339,NO,0.9051,98.2053,0.0075,NO,R99
44707MTRPL1201M,327122,N450,11131.0,Pounds,97.6489,NO,96.8647,98.0331,98.4173,98.8121,99.9804,99.2068,NO,0.7789,98.4243,0.0065,NO,R99
44707MTRPL1201M,327122,007439921,35.3,Pounds,97.6514,NO,96.8648,98.0339,98.4164,98.8133,99.9825,99.2103,NO,0.7794,98.426,0.0065,NO,R99
71753MTCHC1760H,326150,000067561,1375.0,Pounds,0.2773,NO,0.0,0.2899,0.3038,4.3329,10.3975,6.4327,NO,4.043,2.3228,1.0871,YES,R19
55033NTKWT800EA,326199,N450,3646.0,Pounds,32.9806,NO,32.9806,32.9806,32.9806,32.9806,32.9806,32.9806,NO,0.0,32.9806,0.0,NO,R99
04256THMNWWALKE,321114,N090,2147.39,Pounds,93.0532,NO,93.0532,93.0532,93.0532,93.0532,93.0532,93.0532,NO,0.0,93.0532,0.0,NO,R99
04256THMNWWALKE,321114,N020,1921.3,Pounds,94.3641,NO,94.3641,94.3641,94.3641,94.3641,94.3641,94.3641,NO,0.0,94.3641,0.0,NO,R99
64120MBYCR8400H,325320,000108101,14276129.0,Pounds,92.5214,NO,81.3304,92.5263,92.5312,99.9903,100.0,99.9989,NO,7.4639,96.011,0.0388,NO,R19
38113WMBRR2105C,325510,N106,12820.0,Pounds,4.1578,NO,0.0,4.1669,4.176,90.7262,100.0,99.5264,NO,86.5593,42.5209,1.0435,YES,R11
19428SPRTCELMHA,326113,N078,160.0,Pounds,24.2424,NO,24.2424,24.2424,24.2424,24.2424,24.2424,24.2424,NO,0.0,24.2424,0.0,NO,R99
64120MBYCR8400H,325320,000071363,3715491.0,Pounds,90.896,NO,77.2514,90.8984,90.9008,99.9965,100.0,99.9995,NO,9.098,95.1443,0.0477,NO,R19
46750NTDTC3650W,334512,N420,3631.0,Pounds,28.3894,NO,0.0,28.6171,28.8449,61.7875,100.0,94.73,NO,33.1703,50.6548,0.6153,NO,R27
47529CRNLSRR1BO,336999,001330207,530.6,Pounds,2.3889,NO,0.0,2.6046,2.8303,13.7263,30.409,67.9734,YES,11.1218,15.122,1.4626,YES,R11
05701RTLNDRIPLE,321211,000050000,53.0,Pounds,22.7468,NO,0.0,23.4188,24.0909,52.197,95.3642,80.303,NO,28.7781,42.3802,0.6329,NO,R99
83642LPWDP420WF,321999,N982,134122.0,Pounds,90.9919,NO,85.2803,91.3675,91.7431,95.4256,100.0,99.1081,NO,4.0581,93.9477,0.039,NO,R99
03235WBSTRSOMAI,331525,N420,20670.86,Pounds,34.7945,NO,0.0,37.8489,41.0339,71.0542,100.0,99.9952,NO,33.2053,60.8521,0.4155,NO,R29
01730MYKRL8ASHB,326199,000117817,0.5,Pounds,0.0008,NO,0.0,0.0012,0.0015,0.0024,0.0041,0.1664,YES,0.0011,0.0078,3.7461,YES,R11
61356HRPRW525EL,332996,000079016,35000.0,Pounds,54.6508,NO,30.467,56.5407,58.4307,73.9232,99.9969,89.4157,NO,17.3825,67.4991,0.2307,NO,R11
99021NLNDF11250,331511,N420,11192.0,Pounds,86.4047,NO,77.8387,89.0201,91.7979,96.4744,100.0,99.9821,NO,7.4543,92.8732,0.0457,NO,R99
75235JNSBL2728E,325510,000108883,27686.0,Pounds,89.773,NO,86.5313,91.3957,93.0184,94.6387,99.5031,96.259,NO,3.243,93.0168,0.0285,NO,R11
01040DLCTR218RA,322222,000078933,257.0,Pounds,0.7305,NO,0.4239,1.0702,1.4332,1.5011,2.1474,86.2416,YES,0.4309,12.0582,1.9725,YES,R11
10509CMVCNROUTE,326113,000108883,3208.0,Pounds,5.6001,NO,0.0,5.9397,6.3221,45.8942,100.0,99.5037,NO,39.9545,29.4641,0.9707,NO,R11
46231QMTCN7870W,331492,N420,317376.0,Pounds,12.4361,NO,0.0,12.4393,12.4425,99.7534,100.0,99.9757,NO,87.3141,53.1915,0.819,NO,R29
29853DYCPR108WE,326220,N982,8004.0,Pounds,14.4751,NO,0.0,18.0613,23.1698,33.9275,57.7267,99.9376,YES,15.8662,36.2922,0.7246,NO,R99
10509CMVCNROUTE,326113,000078933,6415.0,Pounds,7.5353,NO,0.0,8.0919,8.7258,45.1207,100.0,99.0275,NO,37.0288,32.1589,0.9083,NO,R11
37357BRDGSHWY55,326211,N420,38.3,Pounds,49.2921,NO,32.0429,57.8319,65.0255,75.0246,100.0,99.7396,NO,17.1926,67.5805,0.1743,NO,R99
01040DLCTR218RA,322222,001330207,219.0,Pounds,0.2498,NO,0.0,0.269,0.2896,2.0531,4.7293,55.5838,YES,1.7841,5.948,2.3206,YES,R11
38109DRXLC2487P,325320,000108316,5.0,Pounds,27.027,NO,12.963,35.1852,37.037,50.0,72.2222,58.8235,NO,14.8148,41.894,0.2486,NO,R99
