TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
75119PLYGR3801H,324122,000108883,381.0,Pounds,35.3432,NO,21.0055,44.6304,46.0145,60.3803,84.0053,65.917,NO,15.7499,51.0423,0.2033,NO,H39
29687CHPTRTANNE,325520,N982,3800.0,Pounds,99.8088,NO,99.7343,99.8363,99.8639,99.9043,100.0,99.9448,NO,0.068,99.8725,0.0006,NO,H39
01331DLLPL764SA,326121,000117817,270766.0,Pounds,39.2948,NO,0.8813,43.025,46.7552,71.1208,100.0,99.9985,NO,28.0958,59.1914,0.3527,NO,H39
23692MCLCM2201G,324110,001330207,748420.0,Pounds,90.4093,NO,78.2847,90.9336,91.464,99.3662,100.0,99.9999,NO,8.4326,95.1464,0.0444,NO,H39
19551RDNGLPOBOX,331314,007440020,1488.0,Pounds,11.569,NO,11.569,11.569,11.569,11.569,11.569,11.569,NO,0.0,11.569,0.0,NO,H39
19013WTCCR3300W,325613,000067561,179111.0,Pounds,89.4022,NO,81.457,89.4033,89.4044,94.7008,100.0,99.9972,NO,5.2975,92.9346,0.0537,NO,H20
35601WHTTKDECAT,325510,000071363,4100.0,Pounds,5.1167,NO,0.0,5.3064,5.5108,57.625,100.0,99.2736,NO,52.3186,32.8524,0.9579,NO,H20
43207CRNPL2141F,326121,N450,14020.0,Pounds,50.2131,NO,0.0,52.0969,53.9812,87.8034,100.0,99.9929,NO,35.7065,71.1967,0.2932,NO,H39
74501MCLSTHWY69,928110,007440473,26080.0,Pounds,67.1611,NO,32.8597,68.9479,70.735,93.0067,100.0,99.9923,NO,24.0588,80.2568,0.1658,NO,H39
30318FNLCH2970P,424710,000108883,31472.0,Pounds,97.6572,NO,97.2457,98.4207,98.4361,99.2041,100.0,99.9841,NO,0.7833,98.7406,0.0063,NO,H20
53154PPGND10800,325211,000108883,1.0,Pounds,0.0028,NO,0.0,0.0041,0.0052,0.0077,0.0132,50.0,YES,0.0037,0.25,10.1201,YES,H20
44460MRCNS605SE,332998,N495,940.0,Pounds,16.6048,NO,0.0,16.6417,16.6785,57.0439,100.0,97.4093,NO,40.4022,43.5642,0.874,NO,H39
59414MNTNR19001,324110,000095636,8918.0,Pounds,30.9127,NO,0.0,30.9132,30.9138,65.4513,100.0,99.9888,NO,34.5381,53.9384,0.6037,NO,H20
71302BRDNN3901S,325211,000108952,1000.0,Pounds,61.3497,NO,52.919,66.9067,72.4638,76.2319,90.2196,80.0,NO,9.3252,71.2712,0.1075,NO,H39
83501MRKND1023S,332992,007439921,3526480.0,Pounds,87.7901,NO,69.5133,87.7965,87.803,99.9854,100.0,99.9999,NO,12.1889,93.846,0.065,NO,H39
63701RCTCL450NA,326299,N982,439.0,Pounds,36.9218,NO,36.9218,36.9218,36.9218,36.9218,36.9218,36.9218,NO,0.0,36.9218,0.0,NO,H39
08530BRNCL11KAR,326121,007439921,524.0,Pounds,97.5065,NO,96.267,97.7527,97.9989,98.7431,100.0,99.4874,NO,0.9904,98.3309,0.0086,NO,H39
16602FDRTD6THAV,331492,N740,5259.0,Pounds,72.3882,NO,63.9157,78.7412,81.8521,88.6249,100.0,99.924,NO,9.8837,83.7278,0.0877,NO,H10
70663GLFCS1697P,324191,000108883,0.5,Pounds,0.0137,NO,0.0,0.0137,0.0137,4.7619,11.8842,9.0909,NO,4.7482,2.9929,1.1954,YES,H39
68117BLTZL6930F,311119,N100,2474.0,Pounds,84.1783,NO,81.6307,87.5003,90.8223,91.4134,97.283,92.0045,NO,3.9131,89.0017,0.0387,NO,H39
43302WHRLP1300M,335224,000095636,209.0,Pounds,1.3275,NO,0.0,1.3559,1.3845,24.6046,59.4777,93.3036,YES,23.2487,21.1338,1.4745,YES,H20
29715RMNDSBANKS,325132,001330207,24000.0,Pounds,53.6766,NO,0.0,54.5059,55.3352,94.7134,100.0,99.9949,NO,40.2075,72.4922,0.2875,NO,H20
54901HYDRT191WE,424690,007782505,830000.0,Pounds,99.4912,NO,98.7753,99.4998,99.5085,99.9828,100.0,99.9994,NO,0.483,99.7092,0.0024,NO,H39
53589NRYLP501SW,313320,N010,3301.0,Pounds,37.8381,NO,32.7769,46.0565,54.2749,54.9096,68.1893,55.5443,NO,8.8531,49.2191,0.1638,NO,H39
75182MRCNM359CL,327122,N982,15984.0,Pounds,60.2011,NO,12.9712,61.457,62.7143,93.7808,100.0,99.95,NO,32.3239,76.1916,0.225,NO,H39
53558MCFRL4505T,424710,000110543,1100.0,Pounds,5.6675,NO,0.0,5.8655,6.0773,58.464,100.0,99.728,NO,52.5985,34.826,0.9364,NO,H20
07105GTTYT86DOR,424710,001330207,944.0,Pounds,87.8957,NO,85.4047,90.887,93.1885,94.5418,100.0,99.8942,NO,3.6549,93.2943,0.0383,NO,H20
02905CHMPK167MI,562211,000079016,18120.0,Pounds,98.8759,NO,97.426,98.9191,98.9623,99.9145,100.0,99.9945,NO,0.9954,99.3571,0.0051,NO,H20
62901TSTPN2200N,322222,000108883,1147200.0,Pounds,58.2371,NO,20.419,61.288,64.5713,88.5341,100.0,99.9996,NO,27.246,76.5934,0.2099,NO,H20
45895KNTRB700LU,326299,N982,55317.0,Pounds,80.9877,NO,80.9877,80.9877,80.9877,80.9877,80.9877,80.9877,NO,0.0,80.9877,0.0,NO,H39
91720FRNTR2480R,331316,001330207,10000.0,Pounds,27.4356,NO,15.088,33.8865,40.5515,46.4188,65.2172,99.9999,YES,12.5323,52.466,0.5097,NO,H20
37091WLKRD1125H,331521,007439921,438.0,Pounds,16.9104,NO,0.0,17.0233,17.1362,92.7848,100.0,99.9726,NO,75.7615,50.5193,0.7669,NO,H10
21226CHMTL711PI,325188,N511,902729.0,Pounds,60.0241,NO,31.0286,60.2178,60.4115,79.6772,100.0,98.943,NO,19.4595,73.1262,0.2496,NO,H39
6408WRNTTL12MAI,325211,000108883,4175.0,Pounds,89.2094,NO,87.9103,91.7743,94.2438,94.3503,98.2143,99.8804,YES,2.576,93.6547,0.0359,NO,H39
77571PPGND1901A,325199,000075445,10309850.0,Pounds,93.2773,NO,83.1934,93.2773,93.2774,99.9999,100.0,100.0,NO,6.7226,96.1585,0.0346,NO,H39
60411CTDFL500ST,325510,000108101,0.5,Pounds,0.0004,NO,0.0,0.0004,0.0005,0.0016,0.0034,0.2849,YES,0.0012,0.0084,4.2932,YES,H20
14150TNWND3875R,324199,000191242,259.0,Pounds,99.1426,NO,98.5522,99.1634,99.1843,99.5709,100.0,99.9575,NO,0.4075,99.4281,0.0038,NO,H39
99707FRTKN1FORA,212221,N090,411.0,Pounds,0.6597,NO,0.0,0.6597,0.6597,99.7924,100.0,99.9538,NO,99.1327,43.1682,1.1371,YES,H39
16001BRMTL679EB,331112,001313275,1115.0,Pounds,51.0765,NO,32.4385,54.6368,58.1972,69.4358,91.6341,80.6743,NO,14.7989,63.316,0.1992,NO,H10
95688CRTGL4937A,332812,N982,128240.0,Pounds,82.1477,NO,55.8045,82.2123,82.2769,99.8175,100.0,99.9992,NO,17.6052,90.4624,0.0975,NO,H10
07836LMTCCBARTL,322222,007439921,7.8,Pounds,12.8283,NO,0.0,12.8286,12.8289,56.3953,100.0,99.9616,NO,43.5666,41.8729,0.9809,NO,H39
45804SHLCM1150S,324110,000095636,443.07,Pounds,0.3941,NO,0.2676,0.5864,0.7718,0.7989,1.1177,98.6661,YES,0.2125,9.5696,2.567,YES,H20
90670GLBLP11831,326299,N982,328.0,Pounds,50.9317,NO,14.398,50.9713,51.0109,75.3535,100.0,99.696,NO,24.3822,67.2129,0.3417,NO,H39
50438WMLDT500HW,333923,000108883,233.0,Pounds,1.4709,NO,0.0,1.9092,2.4578,3.9901,7.1115,84.4203,YES,2.0809,10.813,1.9364,YES,H20
76307PGGNDI44EA,327211,N096,2316.5,Pounds,33.5329,NO,0.0,37.8711,43.4738,72.3082,100.0,99.918,NO,34.4371,57.2196,0.378,NO,H39
83619RVCSP5295H,324121,000191242,0.05,Pounds,49.7344,NO,0.0,49.867,50.0,99.0158,100.0,99.8522,NO,49.1488,71.0503,0.3443,NO,H39
15061BVRVL1899B,331513,007440473,51991.0,Pounds,98.578,NO,98.3365,99.0475,99.0475,99.5214,100.0,99.5214,NO,0.474,99.1835,0.0033,NO,H10
15204PRTTSTABOR,325510,001330207,1336.0,Pounds,52.1468,NO,39.157,59.1765,67.8862,72.5229,92.5424,88.8298,NO,13.3464,67.4659,0.1703,NO,H39
44146HKLLC7013K,424690,000067561,168296.0,Pounds,76.0306,NO,73.2256,81.2622,86.2879,86.6199,94.6565,99.997,YES,5.3577,86.7546,0.094,NO,H20
30059CLCTR2030R,332812,000108883,12305.0,Pounds,49.1512,NO,0.0,50.7279,52.3216,89.2448,100.0,99.4504,NO,38.5169,68.6955,0.3059,NO,H20
44109CHMCL1010D,562211,000872504,130000.0,Pounds,84.9612,NO,62.4228,84.9643,84.9673,99.9919,100.0,99.9992,NO,15.0277,91.4057,0.0814,NO,H20
98155GLCRN6423N,327320,N511,72.3,Pounds,13.5495,NO,0.0,14.1223,14.6951,39.0859,76.5314,63.4767,NO,24.9636,30.5738,0.7611,NO,H39
24504BBCCKMTATH,332410,007697372,16461.11,Pounds,0.8283,NO,0.0,0.9707,1.117,3.1772,6.487,99.8708,YES,2.2065,17.8538,1.7213,YES,H39
77303HMPLC600CO,325510,001330207,44000.0,Pounds,18.6163,NO,0.0,19.1756,19.7449,77.2613,100.0,97.5393,NO,58.0857,46.9678,0.6962,NO,H20
98221SHLLLWESTM,324110,000108952,0.5,Pounds,0.0008,NO,0.0,0.0009,0.0009,0.016,0.0388,3.0303,YES,0.0152,0.438,2.4164,YES,H20
65769SYNTXFIRST,325199,000067561,922004.0,Pounds,66.1882,NO,44.787,71.3633,77.416,89.0808,100.0,97.4414,NO,17.7175,79.7482,0.1219,NO,H20
35217LLWRT500ME,562211,000071363,8038.0,Pounds,20.1028,NO,0.0,20.1188,20.1348,99.5264,100.0,99.8385,NO,79.4077,57.1871,0.693,NO,H20
75501CPLND303FA,325998,000067561,430000.0,Pounds,96.3931,NO,95.6409,97.4858,97.7273,98.7157,100.0,98.8733,NO,1.2299,97.9138,0.0086,NO,H39
35234BRMNG4301F,331111,N450,12210.0,Pounds,2.8517,NO,0.0,2.8876,2.9237,54.7142,100.0,99.5759,NO,51.8266,37.5919,1.0354,YES,H10
29526HNYWL440AL,332999,N096,37218.0,Pounds,97.8417,NO,96.2263,97.843,97.8443,98.9208,100.0,99.9973,NO,1.0778,98.5611,0.0103,NO,H10
62206STSTL3300M,424710,N420,0.1,Pounds,12.5,NO,12.5,12.5,12.5,12.5,12.5,12.5,NO,0.0,12.5,0.0,NO,H39
70051MRTHNHWY61,324110,001330207,33897.0,Pounds,33.9748,NO,22.3087,42.4863,50.6447,55.938,76.1155,99.9853,YES,13.4517,55.8096,0.3321,NO,H20
83642LPWDP420WF,321219,007439921,960.0,Pounds,31.5997,NO,31.5997,31.5997,31.5997,31.5997,31.5997,31.5997,NO,0.0,31.5997,0.0,NO,H39
22980NMNLM1418G,331316,000079016,29500.0,Pounds,19.9582,NO,0.0,22.0043,24.0565,53.9987,100.0,99.6622,NO,31.9944,42.2404,0.647,NO,H20
44706THTMK1835D,331111,007440020,581.0,Pounds,4.0904,NO,0.0,4.4668,4.8469,20.956,45.6898,97.4832,YES,16.4892,27.2268,1.2952,YES,H10
84087CRYSN2355S,324110,001330207,29385.3,Pounds,81.6343,NO,60.5478,82.9325,84.2719,97.8557,100.0,99.9926,NO,14.9232,90.4625,0.0846,NO,H39
49738WYRHS4111E,321219,000108952,194.0,Pounds,0.4469,NO,0.0,0.4591,0.4714,8.1189,19.6085,97.4874,YES,7.6597,19.1707,1.7118,YES,H39
49093DYNTR111DA,326299,000108883,2739327.0,Pounds,97.6249,NO,94.847,97.7912,97.9579,99.754,100.0,99.9997,NO,1.9628,98.7294,0.0102,NO,H20
36582PHNLC7770R,325199,000108952,5579192.0,Pounds,92.0293,NO,87.2471,93.3454,94.6781,97.4109,100.0,100.0,NO,4.0655,95.9026,0.0297,NO,H20
46312STCHC400EC,424710,000108883,446.0,Pounds,7.4915,NO,0.0,8.5716,10.0157,37.2847,80.3544,99.9776,YES,28.7131,25.9779,0.8527,NO,H39
42420GBBSDUS60W,336399,007439965,284000.0,Pounds,77.9965,NO,61.538,78.0092,78.022,88.99,100.0,99.9581,NO,10.9808,85.3255,0.1213,NO,H39
60644JNSNT21NOR,332813,N090,2500.0,Pounds,90.5797,NO,77.3088,90.7441,90.9091,99.701,100.0,99.8004,NO,8.9569,94.5971,0.047,NO,H39
12901MLTNN163ID,336360,000100425,0.5,Pounds,0.0042,NO,0.0,0.0059,0.0084,0.0134,0.0247,0.0666,YES,0.0075,0.0129,0.9793,NO,H20
02763CHCNC3LARS,335931,N740,76350.0,Pounds,97.6318,NO,94.2559,97.6643,97.6967,99.9365,100.0,99.9908,NO,2.2723,98.6458,0.0115,NO,H10
53048QDGRP952BA,323111,001330207,350000.0,Pounds,99.0267,NO,98.8663,99.3415,99.3754,99.6583,100.0,99.9886,NO,0.3168,99.4792,0.0026,NO,H20
32218NKFLR141WH,331524,007429905,225.0,Pounds,14.8613,NO,0.7196,19.9818,25.4525,32.8232,52.0853,97.8261,YES,12.8414,32.446,0.6044,NO,H10
37086BRDGSPOBOX,326211,N096,439.0,Pounds,16.0219,NO,0.0,19.5753,23.154,34.2702,56.3125,99.0971,YES,14.6949,35.1377,0.769,NO,H39
97203KNTCR13424,424690,007664417,4794.0,Pounds,42.4925,NO,0.0,44.9907,47.7871,84.6063,100.0,95.0436,NO,39.6156,64.8224,0.3323,NO,H39
92806MFLXX1301N,334412,007440508,750.0,Pounds,7.518,NO,0.0,7.6147,7.7113,41.3556,91.9671,75.0,NO,33.741,30.0764,1.0562,YES,H10
