TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
42302KNTRN1204I,332116,000127184,20377.0,Pounds,28.9746,NO,0.0,30.6277,32.305,74.0943,100.0,98.788,NO,43.4666,52.7874,0.5062,NO,R11
59101TRNSB1525L,325320,000098828,5.0,Pounds,25.0,NO,8.3333,33.3333,33.3333,50.0,75.0,50.0,NO,16.6667,39.2857,0.2462,NO,R99
39521BRGWRPORTB,325211,000078933,2600.0,Pounds,2.9918,NO,0.0,3.0818,3.1763,41.1228,98.1843,91.2281,NO,38.041,26.6585,1.0748,YES,R11
35578STHSTWALKE,321114,007440382,25.0,Pounds,8.6207,NO,0.0,8.8503,9.0909,71.4286,100.0,83.3333,NO,62.5783,39.8399,0.8416,NO,R99
19808MTKNC900GR,326130,000108952,335.0,Pounds,56.4924,NO,23.0383,60.0391,63.8095,84.7063,100.0,98.5294,NO,24.6672,74.1074,0.2142,NO,R19
59101TRNSB1525L,325320,000094746,7591.0,Pounds,54.0092,NO,24.8868,60.2318,68.0746,83.7951,100.0,96.8116,NO,23.5633,72.1057,0.1821,NO,R99
59101TRNSB1525L,325320,000095636,200.0,Pounds,28.3688,NO,23.9927,36.2637,43.956,44.4444,56.7155,97.561,YES,8.1807,47.3289,0.4569,NO,R99
59101TRNSB1525L,325320,000124403,212.0,Pounds,2.8816,NO,0.0,3.2804,3.6793,7.7057,14.3436,11.7322,NO,4.4253,6.0977,0.6556,NO,R99
38930BLDWNOLDAI,339992,001330207,624.0,Pounds,2.783,NO,0.0,3.248,3.8678,12.388,26.0981,67.7524,YES,9.14,12.4966,1.3193,YES,R11
61537BFGDRRR1BO,325199,000062533,288372.0,Pounds,77.3233,NO,44.9918,77.5548,77.7864,99.2634,100.0,99.9931,NO,21.7086,88.2182,0.1249,NO,R19
16365NTDRFPOBOX,324110,000108883,49000.0,Pounds,80.199,NO,64.7564,83.2639,86.5724,95.6023,100.0,99.9837,NO,12.3383,89.33,0.073,NO,R99
