TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
36582MBLPN4775H,325510,000100414,28112.0,Pounds,87.5191,NO,87.5191,87.5191,87.5191,87.5191,87.5191,87.5191,NO,0.0,87.5191,0.0,NO,H20
53148RSTLM8105F,325510,N230,12300.0,Pounds,72.0056,NO,53.9128,76.1934,80.8519,91.0471,100.0,99.8458,NO,14.8537,83.7314,0.1051,NO,H20
03051BRXND85GRE,324121,000191242,4.16,Pounds,99.9327,NO,99.9327,99.9327,99.9327,99.9327,99.9327,99.9327,NO,0.0,99.9327,0.0,NO,H39
18083HRCLS501CE,327310,N495,9187.0,Pounds,84.8292,NO,62.5998,84.9194,85.0097,99.7991,100.0,99.9021,NO,14.8797,91.3111,0.0808,NO,H10
78664CMXRN2412R,327320,N420,13.198,Pounds,98.6176,NO,97.7401,98.6804,98.7431,99.3072,100.0,99.8714,NO,0.6269,99.0774,0.0057,NO,H39
71914MDMRC847BL,325998,N230,2350930.0,Pounds,99.7901,NO,99.6329,99.7902,99.7903,99.895,100.0,99.9998,NO,0.1048,99.8601,0.001,NO,H20
06479TRRYS492SU,331491,N420,1200.0,Pounds,17.8738,NO,0.0,17.8761,17.8784,99.8926,100.0,99.9284,NO,82.0165,53.0312,0.7655,NO,H10
42029WSTLK2468I,325199,000067663,362743.0,Pounds,94.451,NO,89.3088,95.0039,95.557,98.8006,100.0,99.9986,NO,3.7967,97.0126,0.0229,NO,H20
42029WSTLK2468I,325199,000127184,43701.0,Pounds,45.0373,NO,0.0,45.8069,46.5841,93.5932,100.0,99.9154,NO,47.7863,70.2491,0.3607,NO,H20
53963FLNTHN424H,424710,000110827,0.5,Pounds,0.0582,NO,0.0,0.0626,0.0677,0.6136,1.44,20.0,YES,0.551,1.2105,2.9152,YES,H20
75710TYLRPHIGHW,331511,N420,47.35,Pounds,0.1041,NO,0.0,0.1048,0.1056,9.0632,22.5008,94.0604,YES,8.9584,11.5188,1.7762,YES,H10
7861WFLNTH1165E,424710,000110827,3649.0,Pounds,86.9638,NO,72.3494,87.7946,88.6325,98.0914,100.0,99.8905,NO,10.2968,92.9249,0.0596,NO,H20
35967THHLC45THS,336211,000071363,254.0,Pounds,0.981,NO,0.0,0.9858,0.9906,25.6937,62.7556,50.3968,NO,24.7079,17.4561,1.3344,YES,H20
72104CMBRCUSHIG,327120,N450,52184.0,Pounds,99.9309,NO,99.9309,99.9309,99.9309,99.9309,99.9309,99.9309,NO,0.0,99.9309,0.0,NO,H39
50401GLDNG18334,325193,000075070,159899.4,Pounds,92.7499,NO,87.3058,93.6807,94.612,97.9306,100.0,99.9824,NO,4.2499,95.7953,0.0273,NO,H39
3882WTYTMT12MAG,336111,N230,17789.1085,Pounds,50.7386,NO,20.7841,56.3561,63.368,80.0707,100.0,91.8398,NO,23.7147,68.5877,0.2033,NO,H39
29445SNCHM156BU,325130,000067561,20897780.0,Pounds,79.6678,NO,53.7188,80.3233,80.98,98.0597,100.0,99.9976,NO,17.7364,88.974,0.1043,NO,H20
7754WBLCBP231NB,325199,000075092,668098.0,Pounds,60.022,NO,29.4268,64.2279,68.9909,87.4286,100.0,99.9808,NO,23.2007,77.15,0.18,NO,H39
98327GLCRN4301P,327320,N420,9.4,Pounds,15.2846,NO,15.2846,15.2846,15.2846,15.2846,15.2846,15.2846,NO,0.0,15.2846,0.0,NO,H39
77541THDWCBUILD,325199,000079345,40908.0,Pounds,33.0492,NO,0.0,33.0566,33.0639,99.8718,100.0,99.9976,NO,66.8153,64.261,0.5191,NO,H39
7570WTXTYL294HI,327320,N420,2.842,Pounds,85.6282,NO,76.257,86.0977,86.5672,92.6581,100.0,98.7491,NO,6.5605,90.3148,0.0662,NO,H39
77541THDWCBUILD,325199,000087865,66768.0,Pounds,58.0223,NO,31.292,62.0719,66.1259,82.5918,100.0,99.997,NO,20.5199,75.1203,0.2053,NO,H39
64772MNVDPHIGHW,326113,000100414,920000.0,Pounds,80.5097,NO,75.6428,84.5986,88.8889,90.5691,99.5248,99.2856,NO,5.9705,88.9775,0.0686,NO,H20
55071SHLND100WT,324110,000115071,393.0,Pounds,2.3836,NO,0.0,3.2753,4.6322,5.7913,9.5654,98.9924,YES,2.5161,12.3058,1.9277,YES,H20
75602GLLSP211GU,325510,000100414,3698.0,Pounds,74.6618,NO,57.3955,75.1428,75.6237,86.9743,100.0,98.3249,NO,11.8315,82.8702,0.132,NO,H39
3882WTYTMT12MAG,336111,001330207,23.1949,Pounds,2.5995,NO,0.0,3.6954,4.3995,6.5189,10.7542,13.3695,YES,2.8235,6.0259,0.5395,NO,H39
77541THDWCBUILD,325199,000096184,999519.0,Pounds,24.7329,NO,0.0,24.7403,24.7477,99.8171,100.0,99.9999,NO,75.0768,61.7115,0.6087,NO,H39
00619CRBBNLUCHE,424710,001330207,1247.46,Pounds,39.7298,NO,0.0,41.4822,43.2468,83.1568,100.0,99.5729,NO,41.6746,61.6896,0.3876,NO,H20
55071SHLND100WT,324110,007783064,2.0,Pounds,0.0106,NO,0.0,0.0146,0.0202,0.0267,0.0448,33.3333,YES,0.0121,2.2558,3.6821,YES,H39
27520MLSNCHWY70,325414,000067561,337800.0,Pounds,76.9445,NO,44.3005,77.2277,77.5126,99.1792,100.0,99.7508,NO,21.9515,86.7174,0.1264,NO,H20
7798WBRSKM751NH,325211,000115071,3238920.01,Pounds,69.447,NO,25.7662,69.7449,70.0454,99.0641,100.0,99.4338,NO,29.3191,82.3635,0.1769,NO,H39
63701RCTCL450NA,326299,N982,123.0,Pounds,10.9821,NO,10.9821,10.9821,10.9821,10.9821,10.9821,10.9821,NO,0.0,10.9821,0.0,NO,H39
19804MDLLP305WA,326199,000110543,1521163.0,Pounds,99.9993,NO,99.9993,99.9995,99.9997,99.9997,99.9999,99.9997,NO,0.0002,99.9996,0.0,NO,H20
2984WBRDGS7777G,326211,N420,2.1,Pounds,18.5841,NO,2.3065,23.8393,31.3433,38.1944,59.7272,91.3043,YES,14.3552,37.8881,0.5306,NO,H39
15062MNSSN345DO,324199,000071432,1139.0,Pounds,0.0575,NO,0.0,0.0623,0.0672,0.4071,0.9242,99.7373,YES,0.3448,11.1211,2.2939,YES,H39
70051MRTHNHWY61,324110,000108952,516.0,Pounds,1.7306,NO,0.0,1.9081,2.1097,10.731,23.9653,98.6616,YES,8.8229,16.8588,1.4108,YES,H39
7101WDCRBN21RED,325998,007440393,8.0,Pounds,0.0356,NO,0.0,0.0362,0.0367,1.2605,3.0971,21.0526,YES,1.2244,3.761,1.8464,YES,H39
94565DWCHMFOOTO,325199,007782505,667447.0,Pounds,99.9397,NO,99.9273,99.9554,99.9685,99.9741,100.0,99.9915,NO,0.0187,99.9655,0.0002,NO,H39
15062MNSSN345DO,324199,N458,8.0,Pounds,32.7869,NO,0.0,33.9373,35.0877,59.2105,97.1204,83.3333,NO,25.2732,50.4026,0.4624,NO,H39
95376WNSLL14700,327213,N495,73.1,Pounds,10.2758,NO,0.0,10.3116,10.3477,96.2607,100.0,99.5099,NO,85.9491,52.0422,0.8285,NO,H39
03801DMTRG122OL,327420,N420,68.0,Pounds,63.7959,NO,26.8802,65.876,68.0,91.8733,100.0,99.9559,NO,25.9972,79.4325,0.1862,NO,H39
48035STMPR33180,332811,007632000,241265.0,Pounds,98.8556,NO,98.8556,98.8556,98.8556,98.8556,98.8556,98.8556,NO,0.0,98.8556,0.0,NO,H39
75702LGLRL1702E,324110,N590,149.0,Pounds,90.1391,NO,83.2859,90.3308,90.5225,95.0274,100.0,99.5324,NO,4.6966,93.398,0.0465,NO,H39
60914BRMNGRR1BO,331110,N420,24038.0,Pounds,9.3489,NO,0.0,9.3552,9.3615,99.1558,100.0,99.9824,NO,89.8005,52.8479,0.85,NO,H10
46953BHRBR2545S,331513,007440020,8128.0,Pounds,99.7394,NO,99.5484,99.7796,99.82,99.9338,100.0,99.9905,NO,0.1541,99.8609,0.0009,NO,H10
75710TYLRPHIGHW,331511,N450,1.0,Pounds,0.0046,NO,0.0,0.0046,0.0046,10.5556,26.3819,50.0,YES,10.5509,10.1614,1.6637,YES,H10
72764SPRNG81NJE,326199,N982,41709.0,Pounds,64.4334,NO,12.7742,64.6862,64.941,99.2942,100.0,99.7918,NO,34.608,80.8453,0.2137,NO,H39
01453LPHWR128TO,335929,N010,528.0,Pounds,14.3322,NO,0.0,17.7845,21.2646,30.5911,49.8009,98.8764,YES,12.8066,33.032,0.8349,NO,H39
49464HXCLC215CE,325199,000108883,285793.0,Pounds,54.4713,NO,0.0,56.0225,57.6587,93.7325,100.0,99.3154,NO,37.7099,74.0381,0.2614,NO,H20
75604LPHMG315WH,562920,N982,551681.0,Pounds,99.0072,NO,97.5548,99.0161,99.025,99.9903,100.0,99.9998,NO,0.9742,99.4875,0.0049,NO,H10
54304STRND810PA,332813,N090,7689.0,Pounds,10.5215,NO,0.0,10.5226,10.5237,99.8701,100.0,99.935,NO,89.3475,52.2267,0.8537,NO,H39
78112GLDNL14555,331315,007440473,100155.0,Pounds,99.7714,NO,99.4379,99.7732,99.7749,99.9966,100.0,99.9999,NO,0.2235,99.8694,0.0011,NO,H10
47715WNDSR601NO,326199,N495,6053.0,Pounds,3.1563,NO,0.0,3.8203,4.5049,9.7266,18.586,99.9175,YES,5.9063,26.8069,1.3774,YES,H39
21741RCKYT1201M,321114,N100,71.8,Pounds,1.7267,NO,1.7267,1.7267,1.7267,1.7267,1.7267,1.7267,NO,0.0,1.7267,0.0,NO,H39
89803BRRCK27MIL,212221,N020,91717.0,Pounds,0.5956,NO,0.0,0.6269,0.6581,5.9051,13.8224,99.9766,YES,5.2782,25.5542,1.6241,YES,H39
89803BRRCK27MIL,212221,N511,1654339.0,Pounds,65.4719,NO,28.3585,67.1612,68.8508,93.0297,100.0,99.9941,NO,25.8685,79.2427,0.1788,NO,H39
36507BLDWN1307A,321114,000087865,573.0,Pounds,26.081,NO,0.0,26.4792,26.8888,93.0951,100.0,99.8258,NO,66.6159,59.9556,0.5686,NO,H39
43207DSTNC2121N,325510,001330207,1754045.0,Pounds,86.3902,NO,70.9803,87.3789,88.3883,98.3114,100.0,99.9989,NO,10.9324,93.0225,0.0614,NO,H20
60443CHRDW21901,325510,N230,2866.0,Pounds,31.9438,NO,0.0,37.1125,44.2625,68.1084,100.0,99.7216,NO,30.9959,54.228,0.3646,NO,H20
54701WRRNV5200S,562211,000106945,190290.0,Pounds,78.3219,NO,63.2405,80.9158,83.5158,92.6994,100.0,99.9837,NO,11.7836,87.8595,0.0915,NO,H20
46312PLLTN4343K,562211,000107211,51997.0,Pounds,11.1647,NO,0.0,13.9267,17.1277,26.1256,44.424,99.8119,YES,12.1989,34.2582,0.8797,NO,H20
4470WTHTMK2514W,331110,007440508,1986.0,Pounds,2.3195,NO,0.0,2.4086,2.4985,24.8957,58.6263,95.9884,YES,22.4871,26.733,1.3115,YES,H10
27403DSTNC1025H,325510,000100414,41068.0,Pounds,64.2732,NO,42.9429,69.4703,75.5024,87.1553,100.0,99.9976,NO,17.685,79.5648,0.1431,NO,H20
75401FBRTX4300J,313320,000872504,1835.0,Pounds,1.8024,NO,0.0,1.8025,1.8027,99.3315,100.0,99.9619,NO,97.5289,43.6907,1.1071,YES,H20
45449CWMRS4301I,562211,000100414,336264.17,Pounds,31.3319,NO,0.0,35.4934,39.6594,59.9018,96.5145,99.9985,YES,24.4084,56.3455,0.458,NO,H20
08701FLXBR1969R,325991,N100,750.0,Pounds,99.3377,NO,99.3377,99.3377,99.3377,99.3377,99.3377,99.3377,NO,0.0,99.3377,0.0,NO,H39
46312PLLTN4343K,562211,000108952,16796.0,Pounds,10.9546,NO,1.0844,15.0856,18.1694,24.4197,38.4209,99.367,YES,9.3341,27.55,0.785,NO,H20
46312PLLTN4343K,562211,000071432,43784.0,Pounds,37.4161,NO,0.0,38.669,39.9668,87.4482,100.0,99.9977,NO,48.7792,64.5116,0.419,NO,H20
46312PLLTN4343K,562211,N120,4552.0,Pounds,3.4769,NO,0.0,3.7163,3.9856,28.3994,65.4241,99.978,YES,24.6831,23.8837,1.1109,YES,H20
65301PTTSB2700W,327212,N450,143445.0,Pounds,94.5315,NO,86.6967,94.5964,94.6613,99.8629,100.0,99.9847,NO,5.2664,96.8709,0.0271,NO,H39
43207DSTNC2121N,325510,000100414,310048.0,Pounds,86.2569,NO,70.6211,87.2348,88.2327,98.3106,100.0,99.9981,NO,11.0758,92.9276,0.0623,NO,H20
4881WSPRTN1663R,336111,000067561,2530.0,Pounds,38.2077,NO,0.8278,39.1269,40.0462,64.6596,100.0,89.2731,NO,25.5327,55.8423,0.4235,NO,H20
25720NCLLYRIVER,423930,N495,642.0,Pounds,98.3155,NO,98.3155,98.3155,98.3155,98.3155,98.3155,98.3155,NO,0.0,98.3155,0.0,NO,H39
7217WPPLDN1392S,332813,N090,6221.0,Pounds,91.5823,NO,90.2179,93.9121,95.5783,96.3749,100.0,99.8427,NO,2.4628,95.531,0.0251,NO,H10
59019STLLW1209L,331410,N040,5.0,Pounds,0.0048,NO,0.0,0.0048,0.0048,27.0468,67.6098,83.3333,YES,27.042,19.6351,1.4545,YES,H10
45449CWMRS4301I,562211,000108883,493753.9,Pounds,7.0821,NO,0.0,7.3369,7.5918,51.3508,100.0,99.999,NO,44.0139,39.6107,0.9432,NO,H20
44139SNWMT6060C,333517,007440020,14600.0,Pounds,1.6044,NO,0.0,1.614,1.6236,57.8023,100.0,99.9932,NO,56.1883,39.1622,1.0438,YES,H10
35234BRMNG4301F,331110,N100,3331.91,Pounds,10.5728,NO,0.0,10.9472,11.3491,75.1348,100.0,99.7234,NO,64.1876,43.4895,0.7892,NO,H10
46368NMLPRUSHWY,332812,000091203,61.0,Pounds,0.0608,NO,0.0,0.0724,0.0868,0.2488,0.5134,34.2697,YES,0.1764,1.898,3.0589,YES,H20
18235BLRDG10THB,331523,007439921,1274.0,Pounds,85.8273,NO,75.2308,85.8382,85.8491,92.9097,100.0,99.9704,NO,7.0716,90.5489,0.0736,NO,H10
4470WTHTMK2514W,331110,007440020,100664.0,Pounds,80.7651,NO,58.7604,81.7734,82.7849,97.1154,100.0,99.8988,NO,15.342,88.7466,0.0916,NO,H10
74884CMMRCOLDHW,327120,N450,34254.0,Pounds,99.7815,NO,99.7815,99.7815,99.7815,99.7815,99.7815,99.7815,NO,0.0,99.7815,0.0,NO,H39
32402RZNCHEVERE,325194,000100414,443957.0,Pounds,82.881,NO,58.7663,83.1731,83.467,99.4443,100.0,99.9995,NO,16.2712,91.0982,0.0899,NO,H20
59414MNTNR19001,324110,000091203,0.5,Pounds,0.0346,NO,0.0,0.0438,0.056,0.1105,0.2105,81.9672,YES,0.0667,1.0611,6.8434,YES,H20
01570MCDHSROBER,325510,000107211,100.0,Pounds,8.673,NO,1.0574,10.6817,12.6904,17.0979,26.7221,21.5054,NO,6.4162,14.2896,0.3751,NO,H39
