Source,Target,Value,CV
Hazardous waste treatment and disposal 1,Cement manufacturing 1,202275.6678266998,1.2506408613597146
Cement manufacturing 1,Energy recovery,202275.6678266998,1.2506408613597146
Energy recovery,Gaseous,5031.765062705563,1.2625421656238938
Energy recovery,Fugitive air release,3.1695754837472703,1.4054059615863836
Energy recovery,Destruction,197240.73318851064,1.250648654373345
