CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
3048-65-5,3048655,"10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3049-71-6,3049716,Withheld,Withheld,Withheld,Withheld
3050-88-2,3050882,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
30525-89-4,30525894,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
30526-22-8,30526228,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
30558-43-1,30558431,Withheld,Withheld,Withheld,Withheld
30560-19-1,30560191,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","< 25,000 lb"
30583-72-3,30583723,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
3061-75-4,3061754,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
3065-87-0,3065870,Withheld,Withheld,Withheld,Withheld
306-83-2,306832,"1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb"
3068-39-1,3068391,Withheld,Withheld,Withheld,Withheld
3068-76-6,3068766,Withheld,Withheld,Withheld,Withheld
3069-19-0,3069190,Withheld,Withheld,Withheld,Withheld
3069-29-2,3069292,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
3069-40-7,3069407,Withheld,Withheld,Withheld,Withheld
30697-40-6,30697406,Withheld,Withheld,Withheld,Withheld
30718-90-2,30718902,"< 25,000 lb","< 25,000 lb",Withheld,Withheld
4/8/3076,3076048,Withheld,Withheld,Withheld,Withheld
5/9/3076,3076059,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
3076-63-9,3076639,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
12/1/3077,3077121,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
3077-13-2,3077132,"100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
3077-30-3,3077303,Withheld,Withheld,Withheld,Withheld
308074-31-9,308074319,Withheld,Withheld,Withheld,Withheld
308074-73-9,308074739,"< 25,000 lb",Withheld,Withheld,Withheld
1/4/3081,3081014,Withheld,Withheld,Withheld,Withheld
3081-14-9,3081149,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
30821,30821,Withheld,Withheld,Withheld,Withheld
