CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
100-01-6,100016,Withheld,Withheld,Withheld,Withheld
100-06-1,100061,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
10006-28-7,10006287,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
1000-82-4,1000824,Withheld,Withheld,Withheld,Withheld
1000-90-4,1000904,Withheld,Withheld,"< 25,000 lb",Withheld
100-10-7,100107,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
10016-20-3,10016203,Withheld,Withheld,Withheld,Withheld
100-17-4,100174,"< 25,000 lb","< 25,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
10017-56-8,10017568,"100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100-18-5,100185,"50,000,000 - 100,000,000 lb","250,000,000 - 500,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
100208-96-6,100208966,Withheld,"< 25,000 lb","< 25,000 lb",Withheld
100-20-9,100209,"10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100-21-0,100210,"5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb"
10022-31-8,10022318,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
10024-66-5,10024665,"25,000 - 100,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
10024-93-8,10024938,Withheld,Withheld,Withheld,Withheld
10024-97-2,10024972,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
10025-67-9,10025679,"50,000,000 - 100,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","50,000,000 - 100,000,000 lb"
10025-73-7,10025737,"100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10025-78-2,10025782,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10025-82-8,10025828,Withheld,Withheld,Withheld,Withheld
10025-87-3,10025873,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10026-04-7,10026047,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10026-11-6,10026116,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10026-12-7,10026127,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
1002-62-6,1002626,Withheld,Withheld,Withheld,Withheld
1002-67-1,1002671,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
1002-69-3,1002693,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10027-33-5,10027335,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10028-18-9,10028189,Withheld,Withheld,Withheld,Withheld
10028-22-5,10028225,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
1002-84-2,1002842,Withheld,Withheld,Withheld,Withheld
1002-89-7,1002897,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10031-30-8,10031308,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb"
1003300-72-8,1003300728,Withheld,Withheld,Withheld,Withheld
10034-77-2,10034772,"20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb"
10034-85-2,10034852,Withheld,Withheld,Withheld,Withheld
10035-10-6,10035106,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
100-37-8,100378,"1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
10038-98-9,10038989,"100,000 - 500,000 lb",Withheld,Withheld,Withheld
10039-54-0,10039540,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb"
100402-75-3,100402753,Withheld,Withheld,Withheld,Withheld
100402-78-6,100402786,Withheld,Withheld,Withheld,Withheld
100402-82-2,100402822,Withheld,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100402-91-3,100402913,Withheld,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb",Withheld
100-40-3,100403,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
100-41-4,100414,"10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb"
1004-14-4,1004144,Withheld,Withheld,Withheld,Withheld
100-42-5,100425,"10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb"
10042-59-8,10042598,Withheld,Withheld,Withheld,Withheld
10042-76-9,10042769,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
10043-01-3,10043013,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10043-11-5,10043115,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10043-35-3,10043353,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
10043-52-4,10043524,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
100-43-6,100436,Withheld,Withheld,Withheld,Withheld
10043-67-1,10043671,Withheld,Withheld,Withheld,Withheld
100-44-7,100447,"50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
10045-95-1,10045951,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100-46-9,100469,Withheld,Withheld,Withheld,Withheld
100-47-0,100470,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","< 25,000 lb"
100-48-1,100481,Withheld,Withheld,Withheld,Withheld
10048-98-3,10048983,Withheld,Withheld,Withheld,Withheld
10049-04-4,10049044,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10049-06-6,10049066,"< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10049-36-2,10049362,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
100-50-5,100505,Withheld,Withheld,Withheld,Withheld
10051-44-2,10051442,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
100-51-6,100516,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100517,100517,Withheld,Withheld,Withheld,Withheld
10052-47-8,10052478,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","25,000 - 100,000 lb"
100-52-7,100527,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100545-50-4,100545504,Withheld,Withheld,Withheld,Withheld
100-54-9,100549,Withheld,Withheld,Withheld,Withheld
1005-67-0,1005670,"< 25,000 lb",Withheld,Withheld,Withheld
10058-23-8,10058238,Withheld,Withheld,Withheld,Withheld
10058-44-3,10058443,Withheld,Withheld,Withheld,Withheld
100-61-8,100618,Withheld,Withheld,Withheld,Withheld
100-64-1,100641,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","500,000,000 - 750,000,000 lb","250,000,000 - 500,000,000 lb"
100-66-3,100663,"25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
100-69-6,100696,Withheld,Withheld,Withheld,Withheld
100-70-9,100709,Withheld,Withheld,Withheld,Withheld
100-74-3,100743,"500,000 - 1,000,000 lb",Withheld,Withheld,Withheld
100765-57-9,100765579,Withheld,Withheld,Withheld,Withheld
100-79-8,100798,Withheld,Withheld,Withheld,Withheld
100816-02-2,100816022,Withheld,Withheld,Withheld,Withheld
10081-67-1,10081671,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
100-85-6,100856,Withheld,Withheld,Withheld,Withheld
10086-51-8,10086518,"< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","< 25,000 lb"
100-86-7,100867,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
1008-72-6,1008726,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
1008753-84-1,1008753841,Withheld,Withheld,Withheld,Withheld
10094-34-5,10094345,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10094-45-8,10094458,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100-97-0,100970,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
10097-09-3,10097093,Withheld,Withheld,Withheld,Withheld
100-99-2,100992,Withheld,Withheld,Withheld,Withheld
10099-58-8,10099588,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10099-59-9,10099599,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10099-71-5,10099715,Withheld,Withheld,Withheld,Withheld
10099-74-8,10099748,"1,000,000 - 10,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10099-76-0,10099760,"100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
10101-39-0,10101390,Withheld,Withheld,Withheld,Withheld
10101-41-4,10101414,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10101-50-5,10101505,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10101-52-7,10101527,Withheld,Withheld,Withheld,Withheld
10101-53-8,10101538,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb"
10101-66-3,10101663,Withheld,Withheld,Withheld,Withheld
10101-88-9,10101889,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","25,000 - 100,000 lb"
101-02-0,101020,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb"
10102-05-3,10102053,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10102-17-7,10102177,"< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10102-90-6,10102906,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
101033-44-7,101033447,Withheld,Withheld,Withheld,Withheld
10103-46-5,10103465,Withheld,Withheld,Withheld,Withheld
10108-73-3,10108733,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
10109-95-2,10109952,Withheld,Withheld,Withheld,Withheld
101-11-1,101111,Withheld,Withheld,Withheld,Withheld
10112-91-1,10112911,"25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
101-14-4,101144,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10114-86-0,10114860,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
101162-60-1,101162601,Withheld,Withheld,Withheld,Withheld
10117-38-1,10117381,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
101-20-2,101202,"< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10124-31-9,10124319,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb"
10124-37-5,10124375,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
10124-41-1,10124411,"100,000,000 - 250,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10124-43-3,10124433,"50,000,000 - 100,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10124-53-5,10124535,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10124-54-6,10124546,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10124-56-8,10124568,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
10124-65-9,10124659,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
101-25-7,101257,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10126-68-8,10126688,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
101316-53-4,101316534,Withheld,Withheld,Withheld,Withheld
101316-73-8,101316738,"1,000,000 - 10,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb"
101316-83-0,101316830,Withheld,Withheld,Withheld,Withheld
101-37-1,101371,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
101-39-3,101393,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10141-05-6,10141056,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
101-42-8,101428,Withheld,Withheld,Withheld,Withheld
101-43-9,101439,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
101-50-8,101508,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
101-54-2,101542,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
101-65-5,101655,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
101-67-7,101677,"25,000 - 100,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
101-68-8,101688,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb"
101-72-4,101724,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
101-77-9,101779,"10,000,000 - 50,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","10,000,000 - 50,000,000 lb"
101-80-4,101804,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
101-81-5,101815,"25,000 - 100,000 lb","25,000 - 100,000 lb","1,000,000 - 10,000,000 lb","25,000 - 100,000 lb"
101-83-7,101837,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
101-84-8,101848,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb"
101-86-0,101860,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
101861,101861,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
101-90-6,101906,Withheld,Withheld,Withheld,Withheld
10191-41-0,10191410,Withheld,Withheld,Withheld,Withheld
10192-30-0,10192300,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb"
10192-32-2,10192322,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","500,000 - 1,000,000 lb"
10196-04-0,10196040,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
101-96-2,101962,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10196-68-6,10196686,Withheld,Withheld,Withheld,Withheld
1019767-95-3,1019767953,Withheld,Withheld,Withheld,Withheld
102-01-2,102012,"1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
102-06-7,102067,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102-07-8,102078,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
102-08-9,102089,"100,000 - 500,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
102093-68-5,102093685,Withheld,Withheld,Withheld,Withheld
10213-78-2,10213782,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10213-79-3,10213793,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","1,000,000 - 10,000,000 lb"
10217-34-2,10217342,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10220-23-2,10220232,"< 25,000 lb",Withheld,Withheld,Withheld
102-20-5,102205,Withheld,Withheld,Withheld,Withheld
10220-75-4,10220754,Withheld,Withheld,Withheld,Withheld
10220-90-3,10220903,Withheld,Withheld,Withheld,Withheld
10222-01-2,10222012,"< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
102-24-9,102249,"< 25,000 lb","< 25,000 lb",Withheld,"< 25,000 lb"
102-25-0,102250,Withheld,Withheld,Withheld,Withheld
102262-29-3,102262293,Withheld,Withheld,Withheld,Withheld
102268-15-5,102268155,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
10233-13-3,10233133,Withheld,Withheld,Withheld,Withheld
102387-48-4,102387484,Withheld,Withheld,Withheld,Withheld
102-40-9,102409,Withheld,Withheld,Withheld,Withheld
102424-23-7,102424237,Withheld,Withheld,Withheld,Withheld
102479-87-8,102479878,Withheld,Withheld,Withheld,Withheld
1025-15-6,1025156,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
102-52-3,102523,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
102535,102535,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","100,000,000 - 250,000,000 lb","10,000,000 - 50,000,000 lb"
10254-57-6,10254576,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10258-54-5,10258545,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
102-60-3,102603,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102687-65-0,102687650,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","< 25,000 lb","< 25,000 lb"
102-69-2,102692,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102-70-5,102705,Withheld,Withheld,Withheld,Withheld
102-71-6,102716,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
102-76-1,102761,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
102-77-2,102772,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10277-43-7,10277437,"< 25,000 lb","< 25,000 lb",Withheld,Withheld
102783-85-7,102783857,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
102-79-4,102794,Withheld,Withheld,Withheld,Withheld
102-81-8,102818,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102-82-9,102829,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102-83-0,102830,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
102-85-2,102852,Withheld,Withheld,Withheld,Withheld
102-86-3,102863,Withheld,Withheld,"< 25,000 lb","< 25,000 lb"
102-87-4,102874,Withheld,Withheld,Withheld,Withheld
10287-53-3,10287533,Withheld,Withheld,Withheld,Withheld
102886,102886,Withheld,Withheld,Withheld,Withheld
10291-28-8,10291288,Withheld,Withheld,Withheld,Withheld
1029222-87-4,1029222874,Withheld,Withheld,Withheld,Withheld
102923-00-2,102923002,Withheld,Withheld,Withheld,Withheld
10294-34-5,10294345,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
10294-40-3,10294403,"25,000 - 100,000 lb","1,000,000 - 10,000,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10294-54-9,10294549,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10294-56-1,10294561,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10294-64-1,10294641,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb"
10294-66-3,10294663,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
103069-98-3,103069983,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
1030909-63-7,1030909637,Withheld,Withheld,Withheld,Withheld
103-09-3,103093,Withheld,Withheld,Withheld,Withheld
103-11-7,103117,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb"
10319-14-9,10319149,"25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
103-20-8,103208,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
103213-20-3,103213203,Withheld,Withheld,Withheld,Withheld
103-23-1,103231,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
103-24-2,103242,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10325-94-7,10325947,"< 25,000 lb","< 25,000 lb",Withheld,Withheld
103-26-4,103264,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
103-29-7,103297,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb"
10332-32-8,10332328,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
103-34-4,103344,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
103-36-6,103366,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
103-37-7,103377,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
10339-55-6,10339556,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
103432-54-8,103432548,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
103-45-7,103457,Withheld,Withheld,Withheld,Withheld
103-48-0,103480,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
103-49-1,103491,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
103-54-8,103548,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
