CAS NUMBER,CATEGORY CODE,CATEGORY NAME,CHEMICAL NAME,CHEMICAL TYPE,SOURCE
2658-05-08,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-61-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
73575-56-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5,6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
73575-55-0,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5,6'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38379-99-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
73575-54-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,6,6'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41464-51-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
60233-25-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',6'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-01-7,N575,POLYBROMINATED BIPHENYLS,"2,2',4,4',5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39485-83-1,N575,POLYBROMINATED BIPHENYLS,"2,2',4,4',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
37680-73-2,N575,POLYBROMINATED BIPHENYLS,"2,2',4,5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-06-09,N575,POLYBROMINATED BIPHENYLS,"2,2',4,5,6'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
60145-21-3,N575,POLYBROMINATED BIPHENYLS,"2,2',4,5',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
56558-16-8,N575,POLYBROMINATED BIPHENYLS,"2,2',4,6,6'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
32598-14-4,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
70424-69-0,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
70424-68-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
70362-41-3,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-35-8,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-03-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-32-0,N575,POLYBROMINATED BIPHENYLS,"2,3,3',5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-36-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',5,6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-10-05,N575,POLYBROMINATED BIPHENYLS,"2,3,3',5',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-37-0,N575,POLYBROMINATED BIPHENYLS,"2,3,4,4',5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-38-1,N575,POLYBROMINATED BIPHENYLS,"2,3,4,4',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
18259-05-07,N575,POLYBROMINATED BIPHENYLS,"2,3,4,5,6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-11-06,N575,POLYBROMINATED BIPHENYLS,"2,3,4',5,6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
31508-00-6,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
56558-17-9,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-12-07,N575,POLYBROMINATED BIPHENYLS,"2,3',4,5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
56558-18-0,N575,POLYBROMINATED BIPHENYLS,"2,3',4,5',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
11306-07-04,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
65510-44-3,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
70424-70-3,N575,POLYBROMINATED BIPHENYLS,"2,3',4',5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-39-2,N575,POLYBROMINATED BIPHENYLS,"2,3',4',5',6-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
57465-28-8,N575,POLYBROMINATED BIPHENYLS,"3,3',4,4',5-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-33-1,N575,POLYBROMINATED BIPHENYLS,"3,3',4,5,5'-Pentachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-07-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
55215-18-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-66-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
61798-70-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-05-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35694-04-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52704-70-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52744-13-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38411-22-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',6,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35694-06-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35065-28-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
56030-56-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
59291-64-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52712-04-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41411-61-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-15-0,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-14-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-40-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,6,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
51908-16-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-13-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-41-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-04-0,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-08-01,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',6,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-63-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2658-09-02,N575,POLYBROMINATED BIPHENYLS,"2,2',3,5,6,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35065-27-1,N575,POLYBROMINATED BIPHENYLS,"2,2',4,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
60145-22-4,N575,POLYBROMINATED BIPHENYLS,"2,2',4,4',5,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
33979-03-2,N575,POLYBROMINATED BIPHENYLS,"2,2',4,4',6,6'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38380-08-4,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
69782-90-7,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-42-7,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-35-3,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41411-62-5,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-43-8,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-34-2,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-44-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-45-0,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-46-1,N575,POLYBROMINATED BIPHENYLS,"2,3,3',5,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41411-63-6,N575,POLYBROMINATED BIPHENYLS,"2,3,4,4',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-72-6,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
59291-65-5,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
32774-16-6,N575,POLYBROMINATED BIPHENYLS,"3,3',4,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35065-30-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-71-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-74-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-16-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-43-8,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-34-2,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-44-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-45-0,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-46-1,N575,POLYBROMINATED BIPHENYLS,"2,3,3',5,5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41411-63-6,N575,POLYBROMINATED BIPHENYLS,"2,3,4,4',5,6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-72-6,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
59291-65-5,N575,POLYBROMINATED BIPHENYLS,"2,3',4,4',5',6-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
32774-16-6,N575,POLYBROMINATED BIPHENYLS,"3,3',4,4',5,5'-Hexachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35065-30-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-71-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-74-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-16-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
38411-25-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
40186-70-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-65-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-70-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-67-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-64-6,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35065-29-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-47-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5,6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
60145-23-5,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-69-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-48-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52712-05-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-49-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-68-0,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74487-85-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
39635-31-9,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
41411-64-7,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5,6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-50-7,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-51-8,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,5,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
69782-91-8,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4',5,5',6-Heptachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
35694-08-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-78-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
42740-50-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
33091-17-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
68194-17-2,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-75-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-73-7,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
40186-71-8,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2136-99-4,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-76-0,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-52-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
74472-53-0,N575,POLYBROMINATED BIPHENYLS,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
40186-72-9,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-79-3,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
52663-77-1,N575,POLYBROMINATED BIPHENYLS,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
2051-24-3,N575,POLYBROMINATED BIPHENYLS,Decachlorobiphenyl,Organic,https://www.epa.gov/sites/production/files/2015-09/documents/congenertable.pdf
