SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
7617,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),101
7617,Incineration; thermal destruction other than use as a fuel,2248
7617,Land treatment or application (with any prior treatment and/or stabilization),29
7617,Landfill (with prior treatment and/or stabilization),481
7617,Macro-encapsulation prior to disposal at another site,157
7617,"Metals recovery including retorting, smelting, chemical, etc.",1
7617,Neutralization only,6
7617,Other Disposal,233
7617,Other chemical precipitation with or without pre-treatment,3
7617,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",139
7617,Other treatment that does not include on-site disposal,259
7617,Solvents recovery,6
7617,Stabilization or chemical fixation prior to disposal at another site,3
7617,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
7625,Absorption,13
7625,Deepwell or underground injection (with or without treatment),8
7625,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4
7625,Incineration; thermal destruction other than use as a fuel,39
7625,Landfill (with prior treatment and/or stabilization),12
7625,Macro-encapsulation prior to disposal at another site,2
7625,Other Disposal,25
7625,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
7625,Other treatment that does not include on-site disposal,1
7666,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
7666,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
7666,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
7666,Incineration; thermal destruction other than use as a fuel,37
7666,Landfill (with prior treatment and/or stabilization),2
7666,Stabilization or chemical fixation prior to disposal at another site,1
7682,Absorption,32
7682,Deepwell or underground injection (with or without treatment),4
7682,Incineration; thermal destruction other than use as a fuel,60
7682,Land treatment or application (with any prior treatment and/or stabilization),1
7682,Landfill (with prior treatment and/or stabilization),21
7682,Macro-encapsulation prior to disposal at another site,11
7682,Other Disposal,11
7682,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
7682,Other treatment that does not include on-site disposal,32
7690,Absorption,4
7690,"Combination of chemical, biological and/or physical treatment",1
7690,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),8
7690,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
7690,Incineration; thermal destruction other than use as a fuel,185
7690,Landfill (with prior treatment and/or stabilization),29
7690,Macro-encapsulation prior to disposal at another site,4
7690,Other Disposal,2
7690,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3
7690,Other treatment that does not include on-site disposal,5
7690,Solvents recovery,1
7773,Absorption,23
7773,Chemical oxidation,1
7773,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),44
7773,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),10
7773,Incineration; thermal destruction other than use as a fuel,633
7773,Landfill (with prior treatment and/or stabilization),118
7773,Macro-encapsulation prior to disposal at another site,10
7773,"Metals recovery including retorting, smelting, chemical, etc.",2
7773,Other Disposal,17
7773,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",71
7773,Other treatment that does not include on-site disposal,41
7864,Absorption,4
7864,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),6
7864,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
7864,Incineration; thermal destruction other than use as a fuel,75
7864,Landfill (with prior treatment and/or stabilization),37
7864,Macro-encapsulation prior to disposal at another site,4
7864,Other Disposal,2
7864,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
7864,Other treatment that does not include on-site disposal,10
7864,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
7872,Absorption,4
7872,Deepwell or underground injection (with or without treatment),4
7872,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),68
7872,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),6
7872,Incineration; thermal destruction other than use as a fuel,131
7872,Landfill (with prior treatment and/or stabilization),52
7872,Macro-encapsulation prior to disposal at another site,7
7872,Other Disposal,25
7872,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",24
7872,Other treatment that does not include on-site disposal,31
8045,Absorption,6
8045,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),167
8045,Incineration; thermal destruction other than use as a fuel,235
8045,Landfill (with prior treatment and/or stabilization),192
8045,Macro-encapsulation prior to disposal at another site,3
8045,Other Disposal,28
8045,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",7
8045,Other treatment that does not include on-site disposal,8
8110,Absorption,120
8110,Deepwell or underground injection (with or without treatment),13
8110,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),358
8110,Incineration; thermal destruction other than use as a fuel,521
8110,Land treatment or application (with any prior treatment and/or stabilization),5
8110,Landfill (with prior treatment and/or stabilization),598
8110,Macro-encapsulation prior to disposal at another site,34
8110,Other Disposal,87
8110,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",121
8110,Other treatment that does not include on-site disposal,95
8110,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
8185,Absorption,25
8185,Chemical oxidation,1
8185,Deepwell or underground injection (with or without treatment),15
8185,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),113
8185,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),7
8185,Incineration; thermal destruction other than use as a fuel,364
8185,Landfill (with prior treatment and/or stabilization),83
8185,Macro-encapsulation prior to disposal at another site,3
8185,Other Disposal,28
8185,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
8185,Other treatment that does not include on-site disposal,8
8185,Stabilization or chemical fixation prior to disposal at another site,1
8458,Absorption,381
8458,Adsorption,1
8458,Biological treatment,4
8458,Chemical oxidation,1
8458,Chemical reduction with or without precipitation,8
8458,"Combination of chemical, biological and/or physical treatment",2
8458,Deepwell or underground injection (with or without treatment),61
8458,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
8458,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3251
8458,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),262
8458,Incineration; thermal destruction other than use as a fuel,3329
8458,Land treatment or application (with any prior treatment and/or stabilization),8
8458,Landfill (with prior treatment and/or stabilization),567
8458,Macro-encapsulation prior to disposal at another site,171
8458,"Metals recovery including retorting, smelting, chemical, etc.",1
8458,Neutralization only,1
8458,Other Disposal,404
8458,Other chemical precipitation with or without pre-treatment,2
8458,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",294
8458,Other treatment that does not include on-site disposal,268
8458,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),1
8458,Sludge treatment and/or dewatering,1
8458,Solvents recovery,7
8458,Stabilization or chemical fixation prior to disposal at another site,4
8458,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),2
8458,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
8557,Incineration; thermal destruction other than use as a fuel,21
8557,Landfill (with prior treatment and/or stabilization),4
8557,Other Disposal,6
8557,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
8557,Other treatment that does not include on-site disposal,1
9027,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
9373,Absorption,22
9373,Chemical oxidation,1
9373,Deepwell or underground injection (with or without treatment),9
9373,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),41
9373,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),15
9373,Incineration; thermal destruction other than use as a fuel,340
9373,Landfill (with prior treatment and/or stabilization),62
9373,Macro-encapsulation prior to disposal at another site,12
9373,Other Disposal,16
9373,Other chemical precipitation with or without pre-treatment,2
9373,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
9373,Other treatment that does not include on-site disposal,15
9373,Stabilization or chemical fixation prior to disposal at another site,1
9985,Absorption,16
9985,Chemical reduction with or without precipitation,6
9985,"Combination of chemical, biological and/or physical treatment",1
9985,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),24
9985,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),55
9985,Incineration; thermal destruction other than use as a fuel,187
9985,Landfill (with prior treatment and/or stabilization),31
9985,Macro-encapsulation prior to disposal at another site,3
9985,Other Disposal,5
9985,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",7
9985,Other treatment that does not include on-site disposal,9
9985,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),2
9985,Solvents recovery,3
9985,Stabilization or chemical fixation prior to disposal at another site,4
10025,Absorption,90
10025,Air or steam stripping,1
10025,Biological treatment,2
10025,Chemical reduction with or without precipitation,6
10025,Deepwell or underground injection (with or without treatment),9
10025,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),977
10025,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),139
10025,Incineration; thermal destruction other than use as a fuel,1189
10025,Land treatment or application (with any prior treatment and/or stabilization),2
10025,Landfill (with prior treatment and/or stabilization),275
10025,Macro-encapsulation prior to disposal at another site,60
10025,"Metals recovery including retorting, smelting, chemical, etc.",4
10025,Neutralization only,2
10025,Other Disposal,98
10025,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",162
10025,Other treatment that does not include on-site disposal,138
10025,Solvents recovery,4
10025,Stabilization or chemical fixation prior to disposal at another site,5
10199,Absorption,29
10199,Deepwell or underground injection (with or without treatment),27
10199,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),453
10199,Incineration; thermal destruction other than use as a fuel,944
10199,Land treatment or application (with any prior treatment and/or stabilization),8
10199,Landfill (with prior treatment and/or stabilization),596
10199,Macro-encapsulation prior to disposal at another site,28
10199,Other Disposal,86
10199,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",275
10199,Other treatment that does not include on-site disposal,43
10199,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),2
10355,Absorption,201
10355,Biological treatment,4
10355,Chemical reduction with or without precipitation,2
10355,"Combination of chemical, biological and/or physical treatment",1
10355,Deepwell or underground injection (with or without treatment),121
10355,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
10355,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),725
10355,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),130
10355,Incineration; thermal destruction other than use as a fuel,1709
10355,Land treatment or application (with any prior treatment and/or stabilization),5
10355,Landfill (with prior treatment and/or stabilization),439
10355,Macro-encapsulation prior to disposal at another site,58
10355,Neutralization only,8
10355,Other Disposal,133
10355,Other chemical precipitation with or without pre-treatment,5
10355,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",43
10355,Other treatment that does not include on-site disposal,109
10355,Solvents recovery,2
10355,Stabilization or chemical fixation prior to disposal at another site,14
10355,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
10470,Absorption,32
10470,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),140
10470,Incineration; thermal destruction other than use as a fuel,233
10470,Land treatment or application (with any prior treatment and/or stabilization),1
10470,Landfill (with prior treatment and/or stabilization),84
10470,Macro-encapsulation prior to disposal at another site,36
10470,"Metals recovery including retorting, smelting, chemical, etc.",2
10470,Other Disposal,17
10470,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",44
10470,Other treatment that does not include on-site disposal,22
10702,Deepwell or underground injection (with or without treatment),1
10702,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),17
10702,Incineration; thermal destruction other than use as a fuel,30
10702,Landfill (with prior treatment and/or stabilization),1
10702,Other treatment that does not include on-site disposal,5
10967,Incineration; thermal destruction other than use as a fuel,5
10967,Other treatment that does not include on-site disposal,1
11296,Absorption,1
11296,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),59
11296,Incineration; thermal destruction other than use as a fuel,7
11296,Landfill (with prior treatment and/or stabilization),4
11296,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3
11296,Other treatment that does not include on-site disposal,1
11312,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
11312,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),5
11312,Incineration; thermal destruction other than use as a fuel,12
11312,Solvents recovery,1
11312,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
11346,Absorption,4
11346,Chemical oxidation,2
11346,Chemical treatment (reduction / destruction / oxidation /precipitation),2
11346,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),37
11346,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
11346,Incineration; thermal destruction other than use as a fuel,380
11346,Land treatment or application (with any prior treatment and/or stabilization),1
11346,Landfill (with prior treatment and/or stabilization),103
11346,Macro-encapsulation prior to disposal at another site,9
11346,Other Disposal,5
11346,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",13
11346,Other treatment that does not include on-site disposal,15
11346,Solvents recovery,2
11437,Absorption,6
11437,Chemical oxidation,3
11437,Chemical treatment (reduction / destruction / oxidation /precipitation),1
11437,"Combination of chemical, biological and/or physical treatment",2
11437,Deepwell or underground injection (with or without treatment),2
11437,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
11437,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),245
11437,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),47
11437,Incineration; thermal destruction other than use as a fuel,1136
11437,Land treatment or application (with any prior treatment and/or stabilization),3
11437,Landfill (with prior treatment and/or stabilization),298
11437,Macro-encapsulation prior to disposal at another site,36
11437,"Metals recovery including retorting, smelting, chemical, etc.",3
11437,Neutralization only,7
11437,Other Disposal,83
11437,Other chemical precipitation with or without pre-treatment,7
11437,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",49
11437,Other treatment that does not include on-site disposal,33
11437,Phase separation,2
11437,Solvents recovery,4
11437,Stabilization or chemical fixation prior to disposal at another site,16
11437,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
11536,Absorption,1
11536,Chemical oxidation,3
11536,Chemical treatment (reduction / destruction / oxidation /precipitation),1
11536,Deepwell or underground injection (with or without treatment),1
11536,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
11536,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),7
11536,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),39
11536,Incineration; thermal destruction other than use as a fuel,314
11536,Land treatment or application (with any prior treatment and/or stabilization),4
11536,Landfill (with prior treatment and/or stabilization),45
11536,Macro-encapsulation prior to disposal at another site,4
11536,"Metals recovery including retorting, smelting, chemical, etc.",3
11536,Neutralization only,9
11536,Other Disposal,2
11536,Other chemical precipitation with or without pre-treatment,3
11536,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",14
11536,Other treatment that does not include on-site disposal,21
11536,Solvents recovery,2
11536,Stabilization or chemical fixation prior to disposal at another site,14
11536,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
12005,Absorption,11
12005,Deepwell or underground injection (with or without treatment),11
12005,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),8
12005,Incineration; thermal destruction other than use as a fuel,61
12005,Landfill (with prior treatment and/or stabilization),25
12005,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",9
12047,Absorption,4
12047,Adsorption,2
12047,Biological treatment,2
12047,Chemical oxidation,1
12047,Deepwell or underground injection (with or without treatment),24
12047,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),34
12047,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
12047,Incineration; thermal destruction other than use as a fuel,256
12047,Landfill (with prior treatment and/or stabilization),42
12047,Macro-encapsulation prior to disposal at another site,17
12047,Other Disposal,4
12047,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",26
12047,Other treatment that does not include on-site disposal,16
12047,Stabilization or chemical fixation prior to disposal at another site,2
12070,Absorption,4
12070,Deepwell or underground injection (with or without treatment),2
12070,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),12
12070,Incineration; thermal destruction other than use as a fuel,25
12070,Landfill (with prior treatment and/or stabilization),5
12070,Other Disposal,5
12070,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
12815,Landfill (with prior treatment and/or stabilization),2
13003,Absorption,22
13003,Deepwell or underground injection (with or without treatment),1
13003,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),27
13003,Incineration; thermal destruction other than use as a fuel,39
13003,Landfill (with prior treatment and/or stabilization),15
13003,Macro-encapsulation prior to disposal at another site,13
13003,Other Disposal,10
13003,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
13003,Other treatment that does not include on-site disposal,9
13177,Incineration; thermal destruction other than use as a fuel,11
13243,Absorption,1
13243,Deepwell or underground injection (with or without treatment),8
13243,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),48
13243,Incineration; thermal destruction other than use as a fuel,314
13243,Land treatment or application (with any prior treatment and/or stabilization),4
13243,Landfill (with prior treatment and/or stabilization),38
13243,Macro-encapsulation prior to disposal at another site,14
13243,Other Disposal,55
13243,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",14
13243,Other treatment that does not include on-site disposal,12
13326,Absorption,1177
13326,Biological treatment,2
13326,Chemical oxidation,1
13326,Chemical reduction with or without precipitation,4
13326,Chemical treatment (reduction / destruction / oxidation /precipitation),2
13326,"Combination of chemical, biological and/or physical treatment",3
13326,Deepwell or underground injection (with or without treatment),306
13326,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),2
13326,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),8061
13326,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),226
13326,Incineration; thermal destruction other than use as a fuel,8101
13326,Land treatment or application (with any prior treatment and/or stabilization),74
13326,Landfill (with prior treatment and/or stabilization),4165
13326,Macro-encapsulation prior to disposal at another site,364
13326,"Metals recovery including retorting, smelting, chemical, etc.",26
13326,Neutralization only,1
13326,Other Disposal,2067
13326,Other chemical precipitation with or without pre-treatment,3
13326,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3871
13326,Other treatment that does not include on-site disposal,892
13326,Solvents recovery,14
13326,Stabilization or chemical fixation prior to disposal at another site,9
13326,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
13326,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),22
13342,Absorption,25
13342,Deepwell or underground injection (with or without treatment),24
13342,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),86
13342,Incineration; thermal destruction other than use as a fuel,179
13342,Land treatment or application (with any prior treatment and/or stabilization),4
13342,Landfill (with prior treatment and/or stabilization),146
13342,Macro-encapsulation prior to disposal at another site,7
13342,Other Disposal,32
13342,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",19
13342,Other treatment that does not include on-site disposal,8
13532,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
13532,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
13532,Incineration; thermal destruction other than use as a fuel,6
13540,Absorption,3
13540,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),12
13540,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
13540,Incineration; thermal destruction other than use as a fuel,46
13540,Landfill (with prior treatment and/or stabilization),17
13540,Other treatment that does not include on-site disposal,3
13698,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
13698,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
13698,Incineration; thermal destruction other than use as a fuel,9
13698,Landfill (with prior treatment and/or stabilization),1
13698,Other treatment that does not include on-site disposal,1
13755,Absorption,4
13755,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),12
13755,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
13755,Incineration; thermal destruction other than use as a fuel,62
13755,Landfill (with prior treatment and/or stabilization),45
13755,Other Disposal,2
13755,Other treatment that does not include on-site disposal,2
14183,Absorption,88
14183,Deepwell or underground injection (with or without treatment),23
14183,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),572
14183,Incineration; thermal destruction other than use as a fuel,990
14183,Land treatment or application (with any prior treatment and/or stabilization),5
14183,Landfill (with prior treatment and/or stabilization),517
14183,Macro-encapsulation prior to disposal at another site,54
14183,"Metals recovery including retorting, smelting, chemical, etc.",7
14183,Other Disposal,74
14183,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",240
14183,Other treatment that does not include on-site disposal,42
14183,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),2
14308,Deepwell or underground injection (with or without treatment),1
14308,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
14308,Incineration; thermal destruction other than use as a fuel,26
14308,Landfill (with prior treatment and/or stabilization),2
14308,Other treatment that does not include on-site disposal,5
14498,Absorption,4
14498,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
14498,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),11
14498,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),7
14498,Incineration; thermal destruction other than use as a fuel,134
14498,Landfill (with prior treatment and/or stabilization),36
14498,Macro-encapsulation prior to disposal at another site,5
14498,Neutralization only,1
14498,Other Disposal,2
14498,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
14498,Other treatment that does not include on-site disposal,10
15008,Absorption,22
15008,Deepwell or underground injection (with or without treatment),8
15008,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
15008,Incineration; thermal destruction other than use as a fuel,107
15008,Landfill (with prior treatment and/or stabilization),22
15008,Macro-encapsulation prior to disposal at another site,4
15008,Other Disposal,35
15057,Chemical oxidation,3
15057,Chemical treatment (reduction / destruction / oxidation /precipitation),1
15057,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
15057,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
15057,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),29
15057,Incineration; thermal destruction other than use as a fuel,256
15057,Land treatment or application (with any prior treatment and/or stabilization),3
15057,Landfill (with prior treatment and/or stabilization),16
15057,"Metals recovery including retorting, smelting, chemical, etc.",3
15057,Neutralization only,7
15057,Other chemical precipitation with or without pre-treatment,3
15057,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
15057,Other treatment that does not include on-site disposal,14
15057,Solvents recovery,2
15057,Stabilization or chemical fixation prior to disposal at another site,18
15057,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
15065,Chemical oxidation,2
15065,Chemical treatment (reduction / destruction / oxidation /precipitation),1
15065,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
15065,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
15065,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),25
15065,Incineration; thermal destruction other than use as a fuel,239
15065,Land treatment or application (with any prior treatment and/or stabilization),3
15065,Landfill (with prior treatment and/or stabilization),14
15065,"Metals recovery including retorting, smelting, chemical, etc.",3
15065,Neutralization only,7
15065,Other chemical precipitation with or without pre-treatment,3
15065,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
15065,Other treatment that does not include on-site disposal,13
15065,Solvents recovery,2
15065,Stabilization or chemical fixation prior to disposal at another site,14
15065,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
15420,Absorption,14
15420,Deepwell or underground injection (with or without treatment),9
15420,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),69
15420,Incineration; thermal destruction other than use as a fuel,321
15420,Land treatment or application (with any prior treatment and/or stabilization),4
15420,Landfill (with prior treatment and/or stabilization),105
15420,Macro-encapsulation prior to disposal at another site,15
15420,Other Disposal,32
15420,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",24
15420,Other treatment that does not include on-site disposal,59
15529,Absorption,4
15529,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),9
15529,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
15529,Incineration; thermal destruction other than use as a fuel,34
15529,Landfill (with prior treatment and/or stabilization),37
15529,Macro-encapsulation prior to disposal at another site,4
15529,Other Disposal,2
15529,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
15529,Other treatment that does not include on-site disposal,9
15537,Absorption,4
15537,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),12
15537,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
15537,Incineration; thermal destruction other than use as a fuel,38
15537,Landfill (with prior treatment and/or stabilization),40
15537,Macro-encapsulation prior to disposal at another site,8
15537,Other Disposal,2
15537,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
15537,Other treatment that does not include on-site disposal,9
15644,Absorption,1
15644,Deepwell or underground injection (with or without treatment),12
15644,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),6
15644,Incineration; thermal destruction other than use as a fuel,106
15644,Landfill (with prior treatment and/or stabilization),22
15644,Other Disposal,2
15651,Absorption,33
15651,Biological treatment,4
15651,Chemical oxidation,1
15651,Chemical reduction with or without precipitation,2
15651,Chemical treatment (reduction / destruction / oxidation /precipitation),3
15651,"Combination of chemical, biological and/or physical treatment",5
15651,Deepwell or underground injection (with or without treatment),48
15651,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),5
15651,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),63
15651,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),161
15651,Incineration; thermal destruction other than use as a fuel,1694
15651,Land treatment or application (with any prior treatment and/or stabilization),1
15651,Landfill (with prior treatment and/or stabilization),194
15651,Macro-encapsulation prior to disposal at another site,16
15651,"Metals recovery including retorting, smelting, chemical, etc.",2
15651,Neutralization only,2
15651,Other Disposal,70
15651,Other chemical precipitation with or without pre-treatment,7
15651,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",17
15651,Other treatment that does not include on-site disposal,40
15651,Solvents recovery,2
15651,Stabilization or chemical fixation prior to disposal at another site,53
15651,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
15685,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
15685,Incineration; thermal destruction other than use as a fuel,1
15701,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),10
15701,Incineration; thermal destruction other than use as a fuel,13
16139,Absorption,153
16139,Deepwell or underground injection (with or without treatment),34
16139,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),725
16139,Incineration; thermal destruction other than use as a fuel,811
16139,Land treatment or application (with any prior treatment and/or stabilization),3
16139,Landfill (with prior treatment and/or stabilization),273
16139,Macro-encapsulation prior to disposal at another site,21
16139,"Metals recovery including retorting, smelting, chemical, etc.",15
16139,Other Disposal,91
16139,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",221
16139,Other treatment that does not include on-site disposal,61
16139,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),3
16147,Absorption,76
16147,Chemical oxidation,1
16147,Chemical reduction with or without precipitation,1
16147,"Combination of chemical, biological and/or physical treatment",2
16147,Deepwell or underground injection (with or without treatment),35
16147,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),238
