SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
1495,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),11
1495,Incineration; thermal destruction other than use as a fuel,239
1495,Landfill (with prior treatment and/or stabilization),81
1495,Macro-encapsulation prior to disposal at another site,8
1495,Other Disposal,23
1495,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",7
1495,Other treatment that does not include on-site disposal,14
1586,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
1586,Incineration; thermal destruction other than use as a fuel,41
1586,Landfill (with prior treatment and/or stabilization),23
1586,Other Disposal,1
1586,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
1586,Other treatment that does not include on-site disposal,2
1594,Deepwell or underground injection (with or without treatment),2
1594,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
1594,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
1594,Incineration; thermal destruction other than use as a fuel,57
1594,Land treatment or application (with any prior treatment and/or stabilization),1
1594,Landfill (with prior treatment and/or stabilization),3
1594,Macro-encapsulation prior to disposal at another site,1
1685,Incineration; thermal destruction other than use as a fuel,5
1719,Absorption,9
1719,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),14
1719,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
1719,Incineration; thermal destruction other than use as a fuel,46
1719,Landfill (with prior treatment and/or stabilization),46
1719,Macro-encapsulation prior to disposal at another site,6
1719,Other Disposal,2
1719,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
1719,Other treatment that does not include on-site disposal,8
1875,Absorption,1
1875,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4
1875,Incineration; thermal destruction other than use as a fuel,28
1875,Landfill (with prior treatment and/or stabilization),30
1875,Macro-encapsulation prior to disposal at another site,1
1875,Other Disposal,2
1875,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
1875,Other treatment that does not include on-site disposal,9
1883,Landfill (with prior treatment and/or stabilization),7
1883,Other treatment that does not include on-site disposal,1
1909,Incineration; thermal destruction other than use as a fuel,9
1941,Absorption,36
1941,"Combination of chemical, biological and/or physical treatment",1
1941,Deepwell or underground injection (with or without treatment),7
1941,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),17
1941,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),18
1941,Incineration; thermal destruction other than use as a fuel,588
1941,Landfill (with prior treatment and/or stabilization),42
1941,Macro-encapsulation prior to disposal at another site,6
1941,Other Disposal,17
1941,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",39
1941,Other treatment that does not include on-site disposal,49
1941,Solvents recovery,1
1982,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
1982,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
1982,Incineration; thermal destruction other than use as a fuel,116
1990,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
1990,Incineration; thermal destruction other than use as a fuel,5
2071,Absorption,95
2071,Adsorption,5
2071,Chemical oxidation,6
2071,Chemical reduction with or without precipitation,3
2071,Chemical treatment (reduction / destruction / oxidation /precipitation),2
2071,"Combination of chemical, biological and/or physical treatment",2
2071,Deepwell or underground injection (with or without treatment),101
2071,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),5
2071,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),253
2071,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),152
2071,Incineration; thermal destruction other than use as a fuel,2350
2071,Land treatment or application (with any prior treatment and/or stabilization),2
2071,Landfill (with prior treatment and/or stabilization),341
2071,Macro-encapsulation prior to disposal at another site,32
2071,"Metals recovery including retorting, smelting, chemical, etc.",2
2071,Neutralization only,3
2071,Other Disposal,102
2071,Other chemical precipitation with or without pre-treatment,3
2071,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",169
2071,Other treatment that does not include on-site disposal,104
2071,Phase separation,1
2071,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),1
2071,Sludge treatment and/or dewatering,1
2071,Solvents recovery,14
2071,Stabilization or chemical fixation prior to disposal at another site,16
2071,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
2113,Incineration; thermal destruction other than use as a fuel,3
2113,Landfill (with prior treatment and/or stabilization),23
2113,"Metals recovery including retorting, smelting, chemical, etc.",12
2113,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
2147,Absorption,5
2147,"Combination of chemical, biological and/or physical treatment",1
2147,Deepwell or underground injection (with or without treatment),11
2147,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),11
2147,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
2147,Incineration; thermal destruction other than use as a fuel,101
2147,Landfill (with prior treatment and/or stabilization),29
2147,Macro-encapsulation prior to disposal at another site,4
2147,Other Disposal,7
2147,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
2147,Other treatment that does not include on-site disposal,6
2188,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
2188,Incineration; thermal destruction other than use as a fuel,10
2188,"Metals recovery including retorting, smelting, chemical, etc.",1
2196,Incineration; thermal destruction other than use as a fuel,23
2212,Biological treatment,2
2212,Deepwell or underground injection (with or without treatment),3
2212,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
2212,Incineration; thermal destruction other than use as a fuel,17
2469,Absorption,9
2469,Cyanide destruction with or without precipitation,1
2469,Deepwell or underground injection (with or without treatment),1
2469,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),17
2469,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
2469,Incineration; thermal destruction other than use as a fuel,197
2469,Landfill (with prior treatment and/or stabilization),54
2469,Macro-encapsulation prior to disposal at another site,8
2469,Neutralization only,5
2469,Other Disposal,5
2469,Other chemical precipitation with or without pre-treatment,2
2469,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",10
2469,Other treatment that does not include on-site disposal,8
2493,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
2493,Incineration; thermal destruction other than use as a fuel,7
2535,Incineration; thermal destruction other than use as a fuel,18
2535,Land treatment or application (with any prior treatment and/or stabilization),4
2535,Landfill (with prior treatment and/or stabilization),9
2535,Macro-encapsulation prior to disposal at another site,9
2543,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
2543,Incineration; thermal destruction other than use as a fuel,42
2543,Land treatment or application (with any prior treatment and/or stabilization),1
2634,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
2634,Incineration; thermal destruction other than use as a fuel,41
2634,Other treatment that does not include on-site disposal,1
2634,Stabilization or chemical fixation prior to disposal at another site,1
2683,Absorption,7
2683,Biological treatment,5
2683,Chemical oxidation,3
2683,Chemical treatment (reduction / destruction / oxidation /precipitation),2
2683,"Combination of chemical, biological and/or physical treatment",3
2683,Deepwell or underground injection (with or without treatment),7
2683,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),154
2683,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),19
2683,Incineration; thermal destruction other than use as a fuel,364
2683,Land treatment or application (with any prior treatment and/or stabilization),1
2683,Landfill (with prior treatment and/or stabilization),129
2683,Macro-encapsulation prior to disposal at another site,7
2683,"Metals recovery including retorting, smelting, chemical, etc.",1
2683,Neutralization only,1
2683,Other Disposal,30
2683,Other chemical precipitation with or without pre-treatment,1
2683,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",13
2683,Other treatment that does not include on-site disposal,49
2683,Phase separation,2
2683,Solvents recovery,3
2683,Stabilization or chemical fixation prior to disposal at another site,6
2683,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
2733,Incineration; thermal destruction other than use as a fuel,23
2923,Absorption,8
2923,Biological treatment,1
2923,Chemical oxidation,2
2923,Chemical reduction with or without precipitation,1
2923,"Combination of chemical, biological and/or physical treatment",1
2923,Deepwell or underground injection (with or without treatment),8
2923,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),41
2923,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),43
2923,Incineration; thermal destruction other than use as a fuel,417
2923,Land treatment or application (with any prior treatment and/or stabilization),1
2923,Landfill (with prior treatment and/or stabilization),77
2923,Macro-encapsulation prior to disposal at another site,8
2923,Other Disposal,10
2923,Other chemical precipitation with or without pre-treatment,1
2923,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",9
2923,Other treatment that does not include on-site disposal,22
2923,Solvents recovery,1
2923,Stabilization or chemical fixation prior to disposal at another site,5
2923,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
2931,Chemical oxidation,2
2931,Chemical treatment (reduction / destruction / oxidation /precipitation),1
2931,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
2931,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),3
2931,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),25
2931,Incineration; thermal destruction other than use as a fuel,239
2931,Land treatment or application (with any prior treatment and/or stabilization),3
2931,Landfill (with prior treatment and/or stabilization),14
2931,"Metals recovery including retorting, smelting, chemical, etc.",3
2931,Neutralization only,7
2931,Other chemical precipitation with or without pre-treatment,3
2931,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
2931,Other treatment that does not include on-site disposal,13
2931,Solvents recovery,2
2931,Stabilization or chemical fixation prior to disposal at another site,14
2931,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
3103,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
3103,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),5
3103,Incineration; thermal destruction other than use as a fuel,59
3103,Other chemical precipitation with or without pre-treatment,6
3103,Other treatment that does not include on-site disposal,1
3194,Deepwell or underground injection (with or without treatment),1
3194,Incineration; thermal destruction other than use as a fuel,3
3194,Landfill (with prior treatment and/or stabilization),1
3194,Other treatment that does not include on-site disposal,5
3244,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
3244,Incineration; thermal destruction other than use as a fuel,23
3269,Absorption,4
3269,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
3269,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4
3269,Incineration; thermal destruction other than use as a fuel,83
3269,Landfill (with prior treatment and/or stabilization),21
3269,Macro-encapsulation prior to disposal at another site,1
3269,"Metals recovery including retorting, smelting, chemical, etc.",1
3269,Other Disposal,2
3269,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
3269,Other treatment that does not include on-site disposal,7
3335,Biological treatment,2
3335,Chemical oxidation,1
3335,Chemical reduction with or without precipitation,4
3335,"Combination of chemical, biological and/or physical treatment",2
3335,Deepwell or underground injection (with or without treatment),1
3335,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),15
3335,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),168
3335,Incineration; thermal destruction other than use as a fuel,424
3335,Land treatment or application (with any prior treatment and/or stabilization),3
3335,Landfill (with prior treatment and/or stabilization),1
3335,Macro-encapsulation prior to disposal at another site,1
3335,Neutralization only,1
3335,Other chemical precipitation with or without pre-treatment,2
3335,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
3335,Other treatment that does not include on-site disposal,14
3335,Solvents recovery,5
3335,Stabilization or chemical fixation prior to disposal at another site,3
3335,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
3376,Absorption,7
3376,Chemical oxidation,2
3376,"Combination of chemical, biological and/or physical treatment",2
3376,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),6
3376,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
3376,Incineration; thermal destruction other than use as a fuel,191
3376,Land treatment or application (with any prior treatment and/or stabilization),2
3376,Landfill (with prior treatment and/or stabilization),12
3376,Macro-encapsulation prior to disposal at another site,1
3376,"Metals recovery including retorting, smelting, chemical, etc.",1
3376,Neutralization only,2
3376,Other Disposal,1
3376,Other chemical precipitation with or without pre-treatment,2
3376,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
3376,Other treatment that does not include on-site disposal,4
3384,Absorption,11
3384,Deepwell or underground injection (with or without treatment),4
3384,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),25
3384,Incineration; thermal destruction other than use as a fuel,114
3384,Landfill (with prior treatment and/or stabilization),10
3384,Other Disposal,2
3400,Absorption,4
3400,Chemical reduction with or without precipitation,2
3400,Deepwell or underground injection (with or without treatment),1
3400,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),16
3400,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
3400,Incineration; thermal destruction other than use as a fuel,182
3400,Landfill (with prior treatment and/or stabilization),2
3400,Macro-encapsulation prior to disposal at another site,1
3400,Other Disposal,6
3400,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3
3400,Stabilization or chemical fixation prior to disposal at another site,2
3400,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
3426,Chemical oxidation,3
3426,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
3426,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
3426,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
3426,Incineration; thermal destruction other than use as a fuel,45
3426,Landfill (with prior treatment and/or stabilization),8
3426,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
3426,Other treatment that does not include on-site disposal,2
3426,Solvents recovery,1
3533,Absorption,4
3533,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),19
3533,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
3533,Incineration; thermal destruction other than use as a fuel,98
3533,Landfill (with prior treatment and/or stabilization),39
3533,Macro-encapsulation prior to disposal at another site,4
3533,Other Disposal,2
3533,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",5
3533,Other treatment that does not include on-site disposal,9
3582,Chemical reduction with or without precipitation,2
3582,"Combination of chemical, biological and/or physical treatment",1
3582,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),8
3582,Incineration; thermal destruction other than use as a fuel,77
3582,Landfill (with prior treatment and/or stabilization),2
3582,"Metals recovery including retorting, smelting, chemical, etc.",72
3582,Neutralization only,2
3582,Other chemical precipitation with or without pre-treatment,1
3582,Other treatment that does not include on-site disposal,1
3582,Solvents recovery,1
3582,Stabilization or chemical fixation prior to disposal at another site,4
3590,Biological treatment,2
3590,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
3590,Incineration; thermal destruction other than use as a fuel,27
3590,"Metals recovery including retorting, smelting, chemical, etc.",1
3590,Other treatment that does not include on-site disposal,1
3616,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
3616,Incineration; thermal destruction other than use as a fuel,43
3616,"Metals recovery including retorting, smelting, chemical, etc.",1
3616,Neutralization only,1
3616,Other chemical precipitation with or without pre-treatment,2
3632,Absorption,68
3632,Biological treatment,6
3632,"Combination of chemical, biological and/or physical treatment",2
