TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
46320STTLN103ST,7664939,1.21,,,,,2010
48229GRTLKNO1QU,N450,6.62,,,,,2010
23665SRFRC1CESC,91203,1.0,,,,,2010
13209CRCBLSTATE,7440508,1.7,,,,,2010
23150RNTRN5901L,7439921,1.1,,,,,2010
23860QLNCM1111H,75569,0.81,,,,,2010
53213GRDFN6432W,7440020,1.85,,,,,2010
92509DRCTP5361V,98828,1.26,,,,,2010
60914BRMNGRR1BO,N420,1.01,,,,,2010
29115CRPNTCAMER,7439965,1.2,,,,,2010
18407GNTXCMAINS,67561,1.23,,,,,2010
17362PHGLT228SO,108952,1.02,,,,,2010
5618WVLRWL14441,110827,2.06,,,,,2010
19022DDYSTNO1IN,N982,0.98,,,,,2010
10461FRDMS1400F,95636,1.07,,,,,2010
70669KRNSL3300B,N150,1.11,,,,,2010
15317NCSNC30CUR,7440020,3.57,,,,,2010
54221MNTWC1303S,N458,1.02,,,,,2010
82334SNCLREASTL,1330207,0.83,,,,,2010
71109TLSPR3333M,108883,0.83,,,,,2010
98807WNTCHMALAG,N420,1.01,,,,,2010
06787SMMTC1430W,N100,1.03,,,,,2010
23185BRNSC9393M,N590,1.65,,,,,2010
98248MBLLC3901U,1330207,0.94,,,,,2010
62526DMCRN4666F,7664939,1.05,,,,,2010
75041SHLND3101W,75092,1.33,,,,,2010
47978NWNGC1325E,N420,0.94,,,,,2010
27261HGHPN255BE,75569,1.02,,,,,2010
37050STVCM815CU,N090,0.89,,,,,2010
15864GLNGRRT28X,N450,1.12,,,,,2010
65610WLCRP304SW,1330207,0.99,,,,,2010
47394TMSCN2INKS,7440473,22.92,,,,,2010
17512GRNNL1411L,N420,1.18,,,,,2010
30566THGLD4261W,4080313,1.28,,,,,2010
30906GSTNW2434H,N150,1.08,,,,,2010
38012PCTSW217AN,7664417,1.0,,,,,2010
7737WSPRNG621SP,7439921,1.01,,,,,2010
06601SKRSK6900M,7697372,1.04,,,,,2010
49829MDPBLCOUNT,N040,1.07,,,,,2010
65301TYSNF19571,N450,1.02,,,,,2010
38305FLRDSUSHIG,N982,1.44,,,,,2010
98625BHPCT222WE,67561,1.32,,,,,2010
90040STBTT2700C,N010,1.08,,,,,2010
43348BLLMR6964S,7439921,2.32,,,,,2010
19526HDCNCVALLE,7440508,1.47,,,,,2010
