TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
97062GYLRD10900,7440020,1.54,,,,,2009
60441MBLLL12909,108883,1.34,,,,,2009
90058MBLLV2619E,191242,1.03,,,,,2009
90058MBLLV2619E,100414,1.03,,,,,2009
02093TLNTC10CUS,7440020,0.66,,,,,2009
54457MCRBN841MA,50000,1.16,,,,,2009
01520LSNMN56IND,7439921,0.89,,,,,2009
53959STLLF1120C,7697372,1.0,,,,,2009
94565GWFPW895E3,N495,1.09,,,,,2009
32177SMNLGUSHWY,91203,1.0,,,,,2009
21643BGFDS4715H,191242,0.93,,,,,2009
49437HYSLM5353W,N100,0.57,,,,,2009
37398CKRNDRTE3B,108883,8.39,,,,,2009
57034SXRVR29619,75070,1.18,,,,,2009
39567FRSTC1001I,108883,0.44,,,,,2009
18106BHRPR7529M,107211,1.11,,,,,2009
68847TNCRP4200E,7440020,0.74,,,,,2009
35207SLSSN35003,115071,0.63,,,,,2009
81639PBLCS12795,N450,0.9,,,,,2009
75042DSTNC701SH,N230,0.79,,,,,2009
75042DSTNC701SH,111422,0.79,,,,,2009
95014KSRCMNAXXX,N420,0.72,,,,,2009
50219PRCSN300SE,7440484,0.63,,,,,2009
78219XXNCS3214N,1330207,1.04,,,,,2009
9202WLCJNP215CY,N420,1.0,,,,,2009
72863RVRVLPOBOX,7664417,0.98,,,,,2009
97113SHLDN300N2,7440020,1.14,,,,,2009
32177SMNLGUSHWY,N040,1.0,,,,,2009
07001PRDSL211RA,108883,0.95,,,,,2009
17931GLBRT50ELE,N040,0.92,,,,,2009
85235SRCNC64ASA,N982,0.89,,,,,2009
38113WSTRN1471C,132649,0.83,,,,,2009
01923MDTRN37ACH,110543,0.9,,,,,2009
46241RLLYT1500S,N770,1.09,,,,,2009
46225LLLYN546AB,N982,0.47,,,,,2009
66115PHLLP2029F,110827,0.98,,,,,2009
44139SNWMT6060C,7439921,0.77,,,,,2009
92704RLNXX2811S,N230,0.85,,,,,2009
53511NTDND1546H,N495,0.64,,,,,2009
30162NLNDR238MA,120809,1.15,,,,,2009
54401LNTTX725S7,100414,0.49,,,,,2009
65625FSCNCSALEB,7440020,0.75,,,,,2009
27295DYNVR144WE,50000,0.75,,,,,2009
9227WTHSND7246V,N420,1.0,,,,,2009
38106XXNCS454WI,91203,1.03,,,,,2009
77051XXNCS10617,100414,1.21,,,,,2009
66061STHWS1400S,N120,0.63,,,,,2009
08875RTRCL187DA,7440666,0.88,,,,,2009
48045SLFRD42081,N106,0.89,,,,,2009
37134STVJH535ST,91203,0.61,,,,,2009
67575KBKNDEASTH,80626,0.8,,,,,2009
67575KBKNDEASTH,100425,0.8,,,,,2009
62953LCTRC2100P,N150,0.88,,,,,2009
29446BLCHMPOBOX,75218,0.95,,,,,2009
44095FRSTN10ERI,N770,0.7,,,,,2009
60803VLRLS36W13,1330207,0.91,,,,,2009
35207SLSSN35003,N420,0.63,,,,,2009
60076RSNDN7557S,67561,0.51,,,,,2009
42029PNNWLALTON,75887,1.17,,,,,2009
77720THGDYINTER,N590,0.07,,,,,2009
43207DSTNC2121N,78922,1.19,,,,,2009
43207DSTNC2121N,1330207,0.55,,,,,2009
60134BRTCH500FL,7440020,0.34,,,,,2009
76574GMNNC1610E,7440508,0.82,,,,,2009
15301DRKNFWESTW,N230,1.0,,,,,2009
75042DSTNC701SH,96333,0.79,,,,,2009
02038HLXHT20FOR,7440508,0.84,,,,,2009
84120THLTG4603W,7550450,0.57,,,,,2009
16531GNRLL2901E,7440473,0.71,,,,,2009
44109CHMCL3751J,872504,1.12,,,,,2009
03304PBLCS97RIV,7664417,0.84,,,,,2009
72370DNSMN1DENS,7440666,1.2,,,,,2009
37185SCPTR1485S,7664417,0.91,,,,,2009
72902HCKRY4925S,26471625,0.85,,,,,2009
89036CHMCLOLDSA,7647010,0.92,,,,,2009
31030BLBRDNORTH,108883,1.25,,,,,2009
46738GRPDK165DE,N100,0.93,,,,,2009
29073SFTYK130AF,N590,0.92,,,,,2009
49417GRNDH1231N,7647010,0.85,,,,,2009
70737SHLLCRIVER,75218,0.83,,,,,2009
90503NNCRB19206,80626,1.2,,,,,2009
52406PNFRD1001F,1330207,2.5,,,,,2009
46947CPLYCSTATE,100414,0.97,,,,,2009
97812CHMCL17629,71556,48.33,,,,,2009
90744LTRMR961LA,110543,1.47,,,,,2009
78223HWLLH7811S,110543,1.04,,,,,2009
78469VLRRF5900U,98828,0.95,,,,,2009
77512CNCHMFM291,106990,0.83,,,,,2009
32824LNCHR6MIDF,110543,1.5,,,,,2009
44203PPGND4829F,107211,0.87,,,,,2009
06320SHFFL17BRA,N982,2.12,,,,,2009
03304PBLCS97RIV,N150,0.84,,,,,2009
92111RGRSC7447C,N420,1.12,,,,,2009
30809SBTTR653IN,7439921,1.1,,,,,2009
89036CHMCLOLDSA,N458,0.92,,,,,2009
35016THHLLHIGHW,N096,1.13,,,,,2009
30828WHLND1117T,7439965,0.08,,,,,2009
35616LRCHNHIGHW,7664417,1.13,,,,,2009
23150RNTRN5901L,7697372,0.71,,,,,2009
45662SCNDS202VI,N450,0.68,,,,,2009
87416FRCRNCOUNT,N590,1.07,,,,,2009
54843NRSNN121VE,108952,0.76,,,,,2009
78469VLRRF5900U,110827,0.95,,,,,2009
45229BPXPL930TE,N590,0.8,,,,,2009
37303PNCXX2008D,100425,0.31,,,,,2009
5070WCNGRF271MI,N511,1.34,,,,,2009
84116CHVRN2351N,71432,1.05,,,,,2009
27103TYLRB2415S,7664417,1.01,,,,,2009
45373FPMRC211CR,7440508,1.0,,,,,2009
53207MLPRT2829S,N106,0.52,,,,,2009
40475THSHRBOGGS,67561,1.56,,,,,2009
02895TCHNC300PA,67561,1.25,,,,,2009
24112PNPRD315CA,7439921,1249.0,,,,,2009
14094VNCHL555WE,7782505,0.83,,,,,2009
