TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
93308HYDRL3237P,7439921,1.0,,,,,2004
39735TRCTBRTE1B,N458,0.94,,,,,2004
70791GRNTCHWY61,107211,1.63,,,,,2004
57104TYCPL18NMA,N420,1.0,,,,,2004
11733NRTHV19TER,191242,1.83,,,,,2004
28456FDRLPRIEGE,N040,1.11,,,,,2004
15025RSTCH400ST,191242,0.92,,,,,2004
91352NPLCR11912,100425,0.0,,,,,2004
67357DYTNS1900W,95636,4.63,,,,,2004
80907PNRMN3410N,7439921,1.3,,,,,2004
96792KHGNR89900,N150,1.02,,,,,2004
71764BRRYPBERRY,108883,1.0,,,,,2004
78012SNMGL6200F,N150,1.0,,,,,2004
94565GWFPW1600L,7664417,0.98,,,,,2004
92071CLCST9353A,100425,0.68,,,,,2004
90745LDQKR21243,100414,1.6,,,,,2004
64701MTRLS2318S,7439976,0.0,,,,,2004
79765NLCXX12205,100414,1.43,,,,,2004
30620HRRSNSTATE,N511,1.0,,,,,2004
28645BRNHRMORGA,71363,1.0,,,,,2004
77541BSFCR602CO,79107,0.81,,,,,2004
53105NSTLF637SO,7697372,1.13,,,,,2004
15301WSTPN22NMA,N420,1.0,,,,,2004
44044RSSNC36790,100414,0.59,,,,,2004
53085CRTGJ1CRCK,7440508,1.3,,,,,2004
48174FNTXL89INK,N511,1.0,,,,,2004
84116TSCLT595WA,7440020,1.04,,,,,2004
85009PRPTR408S4,95636,1.12,,,,,2004
70725DPNTB3460H,131113,1.03,,,,,2004
28208DNCRP6900C,7440508,1.69,,,,,2004
46755HNDRC101SP,7440020,1.27,,,,,2004
46755HNDRC2450P,7439965,1.0,,,,,2004
57104GRCNC3501N,7439921,1.06,,,,,2004
92138NTNLSHARBO,1330207,1.2,,,,,2004
39212PRCTM1095M,N230,0.93,,,,,2004
41105KNTCKUS60W,N090,0.0,,,,,2004
41105KNTCKUS60W,N982,0.0,,,,,2004
45714HNTSMTOWNS,100414,0.66,,,,,2004
70075MRPHY2500E,75456,1.68,,,,,2004
17921GLDSPEASTC,7439965,0.98,,,,,2004
98221PGTSN600ST,N590,1.0,,,,,2004
43207DSTNC2121N,98828,1.14,,,,,2004
70737SHLLCRIVER,1634044,0.0,,,,,2004
