TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
86321CYPRS1MAIN,N511,0.0,,,,,1998
38108VLSCL1100W,108883,1.06,,,,,1998
77536FNLND1818B,7647010,1.0,,,,,1998
01887SRFCC100EA,78933,0.85,,,,,1998
97701NRTHL681SE,95636,1.2,,,,,1998
31907MTSSH0NEPA,N450,9.0,,,,,1998
67801FRMLN3MILE,7697372,1.09,,,,,1998
44482LTVST2234M,71432,1.0,,,,,1998
17404JBKRC320NO,108952,0.9,,,,,1998
30120BLSSL8DENT,7439921,1.09,,,,,1998
07457FLTRC1NORT,N120,0.98,,,,,1998
28402STHTL3527H,108316,0.0,,,,,1998
92631PCFCS1301E,100425,1.39,,,,,1998
67202STFFN700EC,7697372,1.01,,,,,1998
91010DSGNR2310C,100425,1.0,,,,,1998
98390BTRCC1515P,7697372,1.0,,,,,1998
75686WLSHPFM173,7782505,0.0,,,,,1998
27285DRHTC1000D,7439965,1.74,,,,,1998
26062SCNCM3028B,108101,1.26,,,,,1998
76110GWNTR1800P,108101,0.54,,,,,1998
68748BPNCX1200I,7664417,1.16,,,,,1998
29151BCTNDAIRPO,N982,0.0,,,,,1998
45014SPRRS320NO,78933,1.0,,,,,1998
47421BRNNR80090,7439965,0.8,,,,,1998
29702MGNLFSCHIG,68122,0.71,,,,,1998
72086DPNTRINTER,127184,0.95,,,,,1998
77483CNCHM13MIL,67561,1.11,,,,,1998
42348NTNLSINTER,7439965,0.95,,,,,1998
97440PRCCR10NOR,N982,0.66,,,,,1998
38827RDMNT11DUN,100425,1.4,,,,,1998
76307HWMTC6200C,7440473,0.96,,,,,1998
30223RBBRC200WI,1330207,0.85,,,,,1998
42701MBRKC300RI,7697372,1.03,,,,,1998
75063HTCHS6431L,67561,0.58,,,,,1998
75243DLLS011344,95636,1.31,,,,,1998
75006KTCHM1200W,872504,1.47,,,,,1998
15088HRCLSSTATE,7664417,1.06,,,,,1998
92502FLTWD5300V,108883,1.63,,,,,1998
77507VLCMP11500,74851,1.03,,,,,1998
29448GNTCMPOBOX,7440280,1.07,,,,,1998
77971MTPPC101IN,7664939,0.0,,,,,1998
18018BRRNM824TW,75218,1.5,,,,,1998
29115RPRCRRTE33,N230,1.08,,,,,1998
40216SPRRS4211B,1330207,1.0,,,,,1998
44060NTRNT7638S,7440508,1.08,,,,,1998
27894CSTLD400SO,7664417,1.0,,,,,1998
19973DPNTS400WO,7647010,0.97,,,,,1998
70669NTRGY3500H,7647010,0.95,,,,,1998
15059JLSPC12THS,7439965,1.34,,,,,1998
02172NTRDC580PL,7697372,0.8,,,,,1998
52761BYRMS2500W,100425,1.06,,,,,1998
46526MSTRF16710,100425,1.12,,,,,1998
79008PHLLPSTATE,71432,0.76,,,,,1998
60064BBTTL1400N,67561,1.77,,,,,1998
60064BBTTL1400N,109864,2.51,,,,,1998
27107DGLSB500BA,7440382,1.26,,,,,1998
10980NSLXP50HOL,108101,0.79,,,,,1998
75951LSNPCHWY19,N120,1.2,,,,,1998
60421STPNCRURAL,100447,0.95,,,,,1998
48551GMCTRG3100,N495,1.12,,,,,1998
81505CLTTT2306H,94360,0.93,,,,,1998
45805BPCHMFORTA,110861,1.13,,,,,1998
60609STRTR2306W,111422,0.69,,,,,1998
78551VLLYC1901N,110543,0.0,,,,,1998
93654SFTYK1000S,872504,0.9,,,,,1998
60007PNDST1250M,7664417,1.0,,,,,1998
66538CRNDS31EAM,78933,0.93,,,,,1998
34234NPCRP2383I,N495,4.76,,,,,1998
47404NDPND303NC,N230,1.15,,,,,1998
28752WLSNMRT4BO,100425,0.0,,,,,1998
90023BRGLC3150E,108101,1.2,,,,,1998
00754LNCMNURBAP,108883,1.17,,,,,1998
14611GRFFT27533,1330207,1.22,,,,,1998
38242PLMLYHENRY,108101,1.06,,,,,1998
76804MCMPNCAMPB,117817,1.1,,,,,1998
61761DMNDS100ND,1330207,1.0,,,,,1998
45833CNTRL234SJ,110543,0.84,,,,,1998
30336GGRNT7005F,95636,1.15,,,,,1998
60064MCCHM2100C,75092,2.85,,,,,1998
06513CMDVL166CH,95636,1.13,,,,,1998
46224NNCRB1245M,7440508,1.28,,,,,1998
47108HLSLNSTATE,7440020,1.02,,,,,1998
02722HVTXC106FE,80626,1.5,,,,,1998
25710CFNDS2300T,7439965,0.0,,,,,1998
97818BRDMN73334,N982,0.0,,,,,1998
15907FRNKL119WA,N982,1.4,,,,,1998
50317NDRSN2229H,7697372,1.37,,,,,1998
32675MRKND5401N,108883,0.8,,,,,1998
19380WRCBL205CA,7664417,0.72,,,,,1998
54174NLNND214NU,78933,0.87,,,,,1998
63801TRNGL1620E,7440508,1.03,,,,,1998
76119GRWGR5703C,N230,0.35,,,,,1998
66111GRFFN7111G,108952,1.18,,,,,1998
91016MXXXX1601S,1330207,0.9,,,,,1998
27107DGLSB500BA,7440360,1.26,,,,,1998
75688CNDCTHWY80,98862,0.94,,,,,1998
29301TTXCR3020N,1163195,1.3,,,,,1998
44146BRMTL7130K,1330207,1.06,,,,,1998
07001PRDSL211RA,68122,1.0,,,,,1998
42701MBRKC300RI,67561,0.83,,,,,1998
19136THLWR7430S,78933,0.81,,,,,1998
15139TRNGL931TH,7440508,1.18,,,,,1998
74128HLCYN12337,100425,0.87,,,,,1998
37167NSSNMNISSA,78922,0.78,,,,,1998
40216RHMND4300C,80159,0.9,,,,,1998
60439STLLMNEWAV,N100,0.89,,,,,1998
56751PLRSNHWY89,1330207,0.9,,,,,1998
85631MGMCPHIGHW,N420,0.91,,,,,1998
27105RJRYN1101R,7664417,1.3,,,,,1998
78071DMNDS301LE,110827,1.22,,,,,1998
61081LWRNC2FIRS,7440020,1.0,,,,,1998
81001BFGDR50WIL,91203,0.0,,,,,1998
46904DLCLC700EA,N100,0.56,,,,,1998
46202TRPNN404WE,7439965,1.11,,,,,1998
45015GCSCC3024S,7440484,1.15,,,,,1998
60187SPRYNNORTH,N420,0.94,,,,,1998
14611GRFFT27533,110543,1.22,,,,,1998
00754LNCMNURBAP,N982,1.07,,,,,1998
35903LBMPW1000G,7647010,0.0,,,,,1998
65803KRRMC2800W,8001589,1.02,,,,,1998
07660CLLHN200IN,108883,1.83,,,,,1998
35803GNRLS13205,7664393,1.0,,,,,1998
64772MNVDPHIGHW,71363,0.83,,,,,1998
03906PRTTWROUTE,7440484,0.96,,,,,1998
19713PRMFL375BE,101144,0.6,,,,,1998
37167NSSNMNISSA,100414,0.78,,,,,1998
62702THPLL1525E,74839,1.01,,,,,1998
98421KSRLM3400T,554132,0.92,,,,,1998
23231STRLZ5674E,107211,2.05,,,,,1998
61834LLDSGNO5BR,1717006,1.05,,,,,1998
26323CRCRBPHILI,N590,0.73,,,,,1998
91730RBRTM10667,7440508,0.71,,,,,1998
12553WRXTRRIVER,95636,1.0,,,,,1998
53144CNVRS56019,7440020,1.0,,,,,1998
26062WRTNS400TH,7782505,0.97,,,,,1998
98203BNGCM3003W,N511,1.03,,,,,1998
63401NDRND2001O,7440473,1.25,,,,,1998
28139RVSBRRAILR,108883,0.75,,,,,1998
02743CSHNT4SLOC,N982,1.01,,,,,1998
41653CTNPT10BAL,108883,0.0,,,,,1998
52808LMNMCHIGHW,N982,0.86,,,,,1998
75119NTDCT301PL,110827,1.01,,,,,1998
60608GRFBR935W2,78933,1.0,,,,,1998
90063PRCSN3301M,N511,1.01,,,,,1998
30080MCDNG5551S,N495,0.0,,,,,1998
06405TRBNC4COMM,7440473,0.84,,,,,1998
35222THMSF900NO,7439965,0.69,,,,,1998
70601CRBLN900OP,7429905,0.97,,,,,1998
02816CLRNT500WA,612839,1.04,,,,,1998
90660LBRCT8015P,7782505,1.0,,,,,1998
15122SFTYK650NO,107211,0.0,,,,,1998
98837NNCRB330CO,N511,1.27,,,,,1998
25880GRGPC79NOR,75070,1.07,,,,,1998
06514PRCLN129LE,78933,1.03,,,,,1998
37857TRWNC2101W,7440508,1.09,,,,,1998
48066MCRPR16470,78933,1.01,,,,,1998
92509SRRLM2345F,108883,1.25,,,,,1998
43140STNLY1627S,108101,2.53,,,,,1998
01020FCMTC5WEST,7664939,1.07,,,,,1998
78934TXSMN15HWY,100425,1.06,,,,,1998
70051NLCCHRIVER,108316,1.31,,,,,1998
27530HFLST1677O,N020,0.0,,,,,1998
27530HFLST1677O,N090,0.0,,,,,1998
30722DVNCD424SS,108883,0.89,,,,,1998
02743CSHNT4SLOC,108883,0.73,,,,,1998
27802CCBLD100RE,107211,2.04,,,,,1998
90813PTRDM1920L,71432,1.0,,,,,1998
39703CLMBSCARSO,7439965,0.98,,,,,1998
36470LBMRVOFFHI,N040,0.94,,,,,1998
02809DXNND386ME,7664417,0.58,,,,,1998
43612CHRYS1000J,1330207,0.99,,,,,1998
71602GYLRD500MC,67561,0.98,,,,,1998
68512SQRDC1717C,108952,1.13,,,,,1998
60639CNTNN1819N,N982,0.0,,,,,1998
31046SCHRR10986,N725,0.0,,,,,1998
75104WSTRN1001C,1330207,1.41,,,,,1998
47006BTSVLEASTP,95636,1.0,,,,,1998
44482BCLRD2300H,71432,0.84,,,,,1998
70051NLCCHRIVER,107051,0.98,,,,,1998
64833SBRYG21133,7439965,0.0,,,,,1998
78407MRCNC3800B,7664417,0.98,,,,,1998
07036DCKRS1512W,108883,0.98,,,,,1998
55447CRNNC2705C,7697372,0.79,,,,,1998
28216BCNDS724NI,7440508,0.5,,,,,1998
29038STHCR405TE,7440020,0.0,,,,,1998
47591SSXGRESSEX,N100,1.21,,,,,1998
74403FRTHW5600E,N040,0.92,,,,,1998
63026STLSS1050D,100414,1.27,,,,,1998
80401VLLYM17755,7439965,0.97,,,,,1998
43078CHVTC720SO,N100,1.02,,,,,1998
55051SHLLR1020E,78933,0.0,,,,,1998
31709DVDSNRT6BO,1330207,1.0,,,,,1998
35044SPLPNALABA,7782505,0.91,,,,,1998
30129HMMND5963A,N495,0.0,,,,,1998
54813WSCNSNORTH,7439965,1.44,,,,,1998
27360MSNTC200MA,108883,1.13,,,,,1998
14652STMNK1669L,7697372,0.93,,,,,1998
30170WNSLYGEORG,N050,0.0,,,,,1998
92335GLDSH11751,100425,0.93,,,,,1998
08831BSFCR1065C,100425,0.85,,,,,1998
29650TFFLY601HI,7440508,0.96,,,,,1998
16686QLTYCINDUS,140885,0.68,,,,,1998
44904NRMNF265MI,7440666,0.9,,,,,1998
68601BHLNMHWY30,108383,1.06,,,,,1998
37814SHLBY5303E,1330207,0.94,,,,,1998
35674STVCL900CO,95636,0.0,,,,,1998
38655MRSNMHIGHW,121448,1.2,,,,,1998
38655MRSNMHIGHW,N230,1.2,,,,,1998
43207HFNCT2421M,78933,1.17,,,,,1998
43207DSTNC2121N,872504,1.13,,,,,1998
53581RCHLNFOUND,108952,0.97,,,,,1998
32078GRGPCSTATE,67663,1.04,,,,,1998
48763THMSN905CE,117817,0.46,,,,,1998
45750LKMMTROUTE,7439921,94.3,,,,,1998
52806SFTYK3035W,107211,0.0,,,,,1998
02563CNLLC9FREE,7647010,0.0,,,,,1998
22801VCTRN810NO,1330207,1.43,,,,,1998
27263SFTYK6182O,107211,0.0,,,,,1998
94086FFYMT1145S,75058,1.54,,,,,1998
35404TSCLS1500H,N458,1.05,,,,,1998
40218NTRSN4820J,75218,0.02,,,,,1998
49423GRDSM636E4,108883,0.96,,,,,1998
70340MCDRMDEGRA,108883,1.03,,,,,1998
98032HYTKF8202S,N511,1.38,,,,,1998
83303TWNFL236WA,N511,1.04,,,,,1998
29044STHCR142WA,N982,0.0,,,,,1998
98002BNGCM70015,N511,0.93,,,,,1998
50314WPNTM97IND,100414,0.86,,,,,1998
37167NSSNMNISSA,N982,0.78,,,,,1998
40216RHMND4300C,96333,0.9,,,,,1998
36605MBLPL905SO,7429905,0.91,,,,,1998
08066CPLYRMANTU,N120,1.3,,,,,1998
76702VNTRN7711I,1330207,1.0,,,,,1998
57701SCMFG222DI,N420,1.05,,,,,1998
