TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
74107SNRFN1700S,100414,0.97,,,,,1993
53511BLTCR1401E,7440508,1.5,,,,,1993
23901STCKPHWY15,7440508,0.87,,,,,1993
27298CHRCX457WS,108883,1.2,,,,,1993
53142MTTHW82011,1330207,1.32,,,,,1993
46176WLLMNONEPR,79016,0.9,,,,,1993
46312NLNDS3210W,120127,0.8,,,,,1993
55418NVRSL1900M,7664939,1.0,,,,,1993
90749RCPRD1801E,108952,1.0,,,,,1993
63869NRNDLSTJUD,N106,1.0,,,,,1993
13502TCCTL820NO,79016,1.15,,,,,1993
06360PHLPS41WAW,N100,1.21,,,,,1993
49456NTGRT17155,7439921,3.74,,,,,1993
27409TRWNC7915I,N040,1.42,,,,,1993
53223SPRST7900W,108101,0.97,,,,,1993
26105MNVLL29053,7664417,0.98,,,,,1993
28214MRCNC8309W,107211,1.21,,,,,1993
39440CNTNN2HAWK,N982,1.0,,,,,1993
77507RCCHM10801,67641,1.0,,,,,1993
23237BLLWD2001R,71556,1.0,,,,,1993
46219VNDPR2720T,N100,1.01,,,,,1993
60626SCLCT6601N,N090,0.96,,,,,1993
04106NTNLS333WE,1330207,1.24,,,,,1993
95051HNTRT3305K,7439921,1.25,,,,,1993
72801GRCNGROUTE,7782505,1.0,,,,,1993
44056RSLSY9150V,1330207,0.3,,,,,1993
76310CRTNT4515A,67561,1.24,,,,,1993
07508MBYCR550BE,67561,0.28,,,,,1993
26155MBYCRSTATE,50000,1.09,,,,,1993
48223MLFRD19200,N100,0.65,,,,,1993
75668LNSTRHWY25,108883,1.55,,,,,1993
60638LLGHN5950W,7664939,0.91,,,,,1993
60473MCWHR192W1,108101,2.03,,,,,1993
17512CLNLM2NDLI,7439921,1.2,,,,,1993
52060GLDNSPERSH,N982,100.0,,,,,1993
72203TMXCR19CRI,75092,1.11,,,,,1993
08011SYBRNBIRMI,108054,1.1,,,,,1993
90503DWCHM305CR,100414,1.1,,,,,1993
35401HNTRF1855F,108883,1.05,,,,,1993
94621MRCNB7825S,71556,0.69,,,,,1993
76110TXSST3901H,7440473,1.1,,,,,1993
97116TKTRN1521P,7647010,1.1,,,,,1993
97116TKTRN1521P,67561,1.17,,,,,1993
65301KLSYH3610W,1330207,1.17,,,,,1993
62062SPRRC25SCH,67641,1.11,,,,,1993
24506CBFLT4615M,7664382,0.99,,,,,1993
55110DYNGL5100N,67641,1.25,,,,,1993
59044CNXRF803HI,7664939,1.1,,,,,1993
66115CRTNT103FU,N090,1.06,,,,,1993
07410FSHRS1REAG,7664939,2.22,,,,,1993
98620CLMBL85JOH,7440473,0.8,,,,,1993
34787DMNDR321NH,7440508,1.0,,,,,1993
49456MRDNN18558,108883,1.1,,,,,1993
29330CHMCRHIGHW,92524,1.0,,,,,1993
90801LNZNC20851,7647010,1.0,,,,,1993
44077VRYXX250CH,108054,2.3,,,,,1993
21205LLDMT4000E,7664939,1.03,,,,,1993
45308PRDCT140CE,1330207,1.09,,,,,1993
60160ZNTHL2407W,7647010,0.95,,,,,1993
35215DXLCT1500R,7647010,1.0,,,,,1993
35957RGNCY1321I,67641,1.0,,,,,1993
28302CMRCSPOBOX,7664939,2.13,,,,,1993
62002JFFRSPOBOX,7664382,0.96,,,,,1993
96819HSFDS2277K,7664382,0.0,,,,,1993
51054GPRCSBOX20,7782505,1.39,,,,,1993
43302SMCNC1025P,7440508,1.37,,,,,1993
60623RMSTR1440S,7440360,1.26,,,,,1993
29687MRTNC1116T,107211,0.91,,,,,1993
15906JHNST124LA,7647010,0.93,,,,,1993
06085PNRDV37MIL,7440473,0.92,,,,,1993
71753THYLCROUTE,7664417,1.2,,,,,1993
54221MNTWC500SO,7440020,1.23,,,,,1993
55337RSMNT14300,76131,0.87,,,,,1993
27840WSTPNHIGHW,120821,0.92,,,,,1993
60160ZNTHL2407W,N982,0.98,,,,,1993
49090WYCKF1421K,7664939,1.3,,,,,1993
97754CLRPN1155N,78933,1.23,,,,,1993
61702LNFBR2047I,7440508,1.06,,,,,1993
31015HLNCHFENNR,95636,3.6,,,,,1993
06516NTHNN350FR,N230,0.81,,,,,1993
92665KZCTN434WE,71363,0.96,,,,,1993
49003MRCNC2715M,7697372,0.96,,,,,1993
46783GMCTR12200,108101,1.24,,,,,1993
77522XXNBY2800D,N040,1.08,,,,,1993
90670LLPRC11600,7782505,1.0,,,,,1993
98625LLPRC1265N,7782505,1.0,,,,,1993
77507KZCHM13000,80159,0.94,,,,,1993
99901KTCHKMILE7,67663,0.6,,,,,1993
90058FLTRL3250E,7782505,1.69,,,,,1993
44254PHLWY138WE,7664939,1.09,,,,,1993
73110CHRML1720N,7697372,1.51,,,,,1993
53141MCWHY29061,7664939,1.31,,,,,1993
15225NVLLC2800N,92524,1.13,,,,,1993
02081MJRGR24IND,108883,0.97,,,,,1993
43056QNTMC1855J,N982,1.0,,,,,1993
61356JSTNS615S6,7664417,0.93,,,,,1993
44109CHMCL3751J,71363,1.48,,,,,1993
