TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
47710MRCNN2201W,100414,0.99,,,,,2016
28092GSCRT3211P,7439921,1.18,,,,,2016
64402YRKNTHWY13,N120,1.63,,,,,2016
11222MTRTR498KI,1330207,1.2,,,,,2016
53511STNLS81FUR,7440508,1.0,,,,,2016
76305TXSRC908NO,108883,0.82,,,,,2016
49036LCHML368WG,N150,1.1,,,,,2016
30179DBSTH580CA,872504,0.75,,,,,2016
90023RCDNC3225E,1330207,1.0,,,,,2016
77507PTRLT13200,50000,1.0,,,,,2016
36426CNTNRHIGHW,108952,1.0,,,,,2016
47201CMMNS1460N,7440473,0.87,,,,,2016
4351WDFNCM6728S,7440473,1.09,,,,,2016
52632KKKST240RO,N090,0.0,,,,,2016
45817DTRND320SN,1330207,0.95,,,,,2016
57078HSTNG1901H,7439965,1.1,,,,,2016
07105NWRKT909DE,100425,0.92,,,,,2016
90701NTNLR11725,N420,0.92,,,,,2016
77522CHVRN9500I,1330207,0.72,,,,,2016
44663LRNMN2228R,N982,1.02,,,,,2016
5615WHGHWT245US,110543,1.0,,,,,2016
36446SCTCH101MA,7439921,1.09,,,,,2016
70665VNTRC1920P,N590,0.89,,,,,2016
15021NNLCTPOBOX,7440020,1.07,,,,,2016
73096KDKPL2720E,108101,1.06,,,,,2016
98203KHKKS14078,108952,0.97,,,,,2016
04240JNSND765WE,N120,0.91,,,,,2016
46975RCHST616IN,7439965,0.82,,,,,2016
44410CNTRL3701W,7440508,1.0,,,,,2016
48091MCHMP23343,N090,1.15,,,,,2016
17522SGNTR434SP,108383,1.17,,,,,2016
46320MRCNN25011,71363,0.91,,,,,2016
77487NLCCH7701U,111422,0.93,,,,,2016
78264VNZRN1LNES,26471625,1.0,,,,,2016
34208TRPCN10011,67561,0.72,,,,,2016
3970WMMCMT462LA,N420,1.31,,,,,2016
77507PTRLT13200,62566,1.0,,,,,2016
0802WCHMRS67CAN,68122,0.93,,,,,2016
58523NTLPV294CO,N420,1.01,,,,,2016
64836FRDSFHIGHW,7664417,0.45,R5,,,,2016
05301FLFLXPUTNE,149304,0.99,,,,,2016
46041BRCKG175WS,7440508,0.99,,,,,2016
68848BLDWNEASTH,7632000,1.05,,,,,2016
3847WMSNBC1319N,7439965,1.03,,,,,2016
65020SPDLNHWY5S,7439921,1.0,,,,,2016
46214CBLCP7950R,N420,0.66,,,,,2016
24333VGHNBOLDTO,7439921,0.83,,,,,2016
28732CNTNN1QUAL,N495,1.05,,,,,2016
6044WLCKPR351SU,7440508,1.02,,,,,2016
11222MTRTR498KI,110543,1.2,,,,,2016
77530KSLVL17LAK,100425,0.84,,,,,2016
71923SPLST35MCC,80626,1.1,,,,,2016
61801SFTYK500WA,N590,1.44,,,,,2016
29715RMNDSBANKS,108952,0.94,,,,,2016
8011WLYNNL7915C,100425,1.06,,,,,2016
47201MPCTF20805,7439965,1.0,,,,,2016
30243WKNST1000W,7440020,1.03,,,,,2016
1990WCLPNC45GAR,110543,3.1,,,,,2016
44256FRCTN920LA,7439921,0.83,,,,,2016
77507PTRLT13200,N230,1.0,,,,,2016
44146HKLLC7013K,127184,0.81,,,,,2016
96817HNLLM777NN,108883,0.96,,,,,2016
48507PRMRP6220L,N982,1.15,,,,,2016
61025PHNXC16675,7664417,0.98,,,,,2016
3610WHYNDM1395B,100414,0.97,,,,,2016
28043GNDST30PIN,7439921,1.0,,,,,2016
07410FSHRS1REAG,110543,1.22,,,,,2016
43219PLSKL1770J,80626,1.03,,,,,2016
16502NTNLF1341W,N420,1.0,,,,,2016
6362WHLCMS2942U,N420,1.3,,,,,2016
60110MCWHR400EA,85449,0.93,,,,,2016
54729CRYRS234CA,N230,0.93,,,,,2016
54729CRYRS234CA,107211,0.93,,,,,2016
85532NSPRTPOBOX,N458,0.49,,,,,2016
75051LTVRS1701W,7439921,1.1,,,,,2016
16159JNSPR1JONE,100425,0.89,,,,,2016
73446KLHMSPOBOX,7440508,1.15,,,,,2016
73446KLHMSPOBOX,7440020,1.12,,,,,2016
47250CLFTY1335C,N770,0.96,,,,,2016
16686QLTYCINDUS,67561,2.2,,,,,2016
4451WVMSXX153HI,7439921,3.0,,,,,2016
56007LBRTL80812,N982,1.13,,,,,2016
47542STYLN908NC,N120,1.0,,,,,2016
