TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
70357CPRTL169TH,100414,4.58,,,,,2006
35215BLZRF4466P,7439965,1.38,,,,,2006
6054WBRWSD951IC,7664417,1.11,,,,,2006
99701RRNRG1204F,N495,1.01,,,,,2006
9722WVRSND1664S,N420,1.13,,,,,2006
89821CRTZGSTARA,N450,0.9,,,,,2006
88210NVJRF501EA,67561,1.03,,,,,2006
67042TXCRF1401S,110827,0.0,,,,,2006
13057NRTHR6ADLE,7439921,0.47,,,,,2006
48131DNDCM6211N,108883,1.01,,,,,2006
90245CHVRN324WE,N106,1.12,,,,,2006
77017LYNDL12000,1330207,1.24,,,,,2006
46394MCLCX2815I,191242,1.03,,,,,2006
77704MBLCHGULFS,1313275,1.0,,,,,2006
70037CHVRNHIGHW,100414,0.51,,,,,2006
29151STHST755IN,67561,1.15,,,,,2006
38017CRRRC975BY,N495,0.74,,,,,2006
44142DNLRD15600,7440508,0.89,,,,,2006
17331RHSHP247EM,1344281,0.96,,,,,2006
75766WRMNSRT2BO,100425,0.8,,,,,2006
11542CHMCTCHARL,123319,0.71,,,,,2006
60139HDPCK550MI,7632000,0.95,,,,,2006
46808TTNWL3011C,N090,1.27,,,,,2006
36732GLFSTHIGHW,7782505,0.98,,,,,2006
97128CSCDS3200N,N090,1.06,,,,,2006
70357CPRT2181ST,91203,0.65,,,,,2006
44657PCCRF3860U,7440473,1.1,,,,,2006
52808NCHLS1725R,7439965,0.9,,,,,2006
68512SQRDC1717C,N982,0.97,,,,,2006
89821CRTZGSTARA,N010,0.9,,,,,2006
84087PHLLP393SO,95636,0.97,,,,,2006
84087PHLLP393SO,74851,0.97,,,,,2006
67042TXCRF1401S,115071,0.0,,,,,2006
74107SNCLR902W2,100414,1.01,,,,,2006
04740MCCNFSTATI,91203,1.1,,,,,2006
77327LSNPC9MILE,N420,1.0,,,,,2006
89419CRRCH180EX,N458,1.14,,,,,2006
96707TXCBR91119,110543,1.06,,,,,2006
75602WSTLK229CA,74851,0.0,,,,,2006
48238QKRCH14301,N230,1.04,,,,,2006
75939CHMPNPLANT,67561,0.89,,,,,2006
42452RDGRN9000H,N590,1.03,,,,,2006
45840FNDLX1901I,7440508,1.1,,,,,2006
63145GDNVT10735,95636,0.93,,,,,2006
77041HSTNS11235,N230,1.01,,,,,2006
48838KNTFN1413C,95636,1.25,,,,,2006
46201CNTCT70SGR,79016,1.03,,,,,2006
38778PRTNP1042M,N150,0.95,,,,,2006
07481NVMTS681LA,7440666,2.06,,,,,2006
55987BDGRF1058E,7439921,1.22,,,,,2006
35601FRHFTHWY20,108883,0.92,,,,,2006
52808NCHLS1725R,1330207,1.0,,,,,2006
08014PGCRPRTE13,7664393,0.96,,,,,2006
40511SQRDC1601M,7440473,1.03,,,,,2006
88210NVJRF501EA,74851,1.03,,,,,2006
60409CDRCY138TH,1330207,2.13,,,,,2006
25015DPNTB901WE,7664417,1.2,,,,,2006
48060CHSNC1600W,7664417,1.06,,,,,2006
77507PTRLT13200,67561,1.04,,,,,2006
48054DTRTD4505K,N770,0.99,,,,,2006
48131DNDCM6211N,N150,1.01,,,,,2006
45414LRDCR4644W,108101,0.81,,,,,2006
33860TMPLC9995S,N458,0.0,,,,,2006
42452RDGRN9000H,N450,1.03,,,,,2006
46394MCLCX2815I,N090,1.03,,,,,2006
28542CMPLJATTNA,N420,1.45,,,,,2006
77701BMNTREASTE,7782505,1.01,,,,,2006
48217MRTHN1300S,110543,1.0,,,,,2006
36752GPLSTONEPL,75092,1.1,,,,,2006
85034GRRTT111SO,7664417,1.02,,,,,2006
63145GDNVT10735,108883,0.93,,,,,2006
72315TRRNT1000T,1912249,0.94,,,,,2006
55418HRDCH26312,N982,1.0,,,,,2006
06040TLCNC301HA,N590,0.0,,,,,2006
55008TMNDS625SE,7440473,0.66,,,,,2006
27239DPNTCRT1BO,50000,0.72,,,,,2006
15944SWRDS595PL,N760,7.0,,,,,2006
15944SWRDS595PL,N770,1.88,,,,,2006
94541DVNCD401WH,67561,0.67,,,,,2006
90701CLFRN11709,7697372,1.1,,,,,2006
01605MRGNC40CRE,7440473,1.06,,,,,2006
47882MRMGNHWY54,7664417,0.96,,,,,2006
47882MRMGNHWY54,N458,0.96,,,,,2006
39502MSSSSINTER,N040,1.3,,,,,2006
39502MSSSSINTER,N495,1.3,,,,,2006
55071SHLND100WT,1313275,0.0,,,,,2006
38358MLNRMSTATE,55630,0.0,,,,,2006
36067NNCMP100JE,N590,0.99,,,,,2006
57078GHLPW900FE,108101,1.34,,,,,2006
44139SNWMT6060C,7440473,2.81,,,,,2006
49423HLLND64PIN,N150,0.87,,,,,2006
87416FRCRNCOUNT,7664393,1.03,,,,,2006
12508WTCCH570FI,108883,0.62,,,,,2006
36505KZCHMUSHIG,7782505,1.15,,,,,2006
44681THBLDCOUNT,7664393,0.96,,,,,2006
63834GTSRB1300S,N230,0.95,,,,,2006
36732GLFSTHIGHW,108952,0.98,,,,,2006
46755SSXGR800WM,106445,0.84,,,,,2006
63080RFLTC225IN,107211,0.16,,,,,2006
63080RFLTC225IN,121755,0.86,,,,,2006
94565DWCHMFOOTO,56235,0.48,,,,,2006
94565DWCHMFOOTO,75456,0.93,,,,,2006
53158LWTRN86019,50000,1.0,,,,,2006
63873PLSTN101ME,7697372,1.32,,,,,2006
53082DGWTR3739L,N450,1.0,,,,,2006
60016KZNBL521SA,872504,1.49,,,,,2006
97203RGNST14400,N495,1.02,,,,,2006
42348CNTRY1627S,7664393,1.04,,,,,2006
43160YSCRP151JA,108883,0.0,,,,,2006
40509LNKBL3001T,N982,1.66,,,,,2006
52761MNSNTWIGGI,N150,0.84,,,,,2006
55350MMGMDHIGHW,110827,1.2,,,,,2006
55350MMGMDHIGHW,191242,0.77,,,,,2006
55350MMGMDHIGHW,107211,0.59,,,,,2006
97210WLLBR5501N,191242,1.03,,,,,2006
20705GGPRS11642,7440473,1.05,,,,,2006
63901GTSRB1650R,N230,0.85,,,,,2006
84029SFTYK11600,108907,0.0,,,,,2006
98203CBSRV55SFI,7439965,4.88,,,,,2006
60803VLRLS36W13,95636,0.85,,,,,2006
62201TRDWS7MOBI,40487421,1.18,,,,,2006
57059BRNNT851WA,75070,1.03,,,,,2006
75662THRDL1915N,67561,0.0,,,,,2006
18974CRCCH885LO,100414,1.0,,,,,2006
44077LBRZL155FR,111422,0.78,,,,,2006
44077LBRZL155FR,67561,0.97,,,,,2006
13165WRGRC228EA,N511,0.96,,,,,2006
50441SBCRP7121S,7429905,0.05,,,,,2006
94565DWCHMFOOTO,75092,0.93,,,,,2006
60134JHNSN300SO,N010,1.03,,,,,2006
49464HXCLC215CE,108907,1.48,,,,,2006
23860LLDSGPOBOX,108883,1.03,,,,,2006
31995CLMBS1600N,N450,1.1,,,,,2006
35234BRMNG4301F,N420,0.98,,,,,2006
36067NNCMP100JE,7664939,0.97,,,,,2006
30243WKNST1000W,7440020,1.1,,,,,2006
73401TTLPTHIGHW,463581,0.0,,,,,2006
01862SPNCRIRONH,7440508,1.08,,,,,2006
37309BWTRSROUTE,67561,1.11,,,,,2006
38039SQNTN450NO,100425,1.0,,,,,2006
62301PRNCMONEPR,N458,1.2,,,,,2006
19720MRCNM301PI,N450,1.62,,,,,2006
36830BRGGS150TE,108883,0.85,,,,,2006
54474WSTNP2501M,N450,0.96,,,,,2006
97210WLLBR5501N,N420,1.03,,,,,2006
20705GGPRS11642,7440020,1.05,,,,,2006
44481WRRNW1040P,7632000,1.12,,,,,2006
12188GNRLL260HU,7664417,1.04,,,,,2006
43551CMMRC3RDDS,7439965,0.0,,,,,2006
94804RCPRD1306C,1330207,0.87,,,,,2006
78550SPHLT5809P,N590,1.55,,,,,2006
01887NLGDV804WO,7664393,1.23,,,,,2006
08223BLNGL900NS,N040,0.88,,,,,2006
52040SPCCS4286T,7439921,0.67,,,,,2006
94802CHVRN841ST,N511,0.94,,,,,2006
94802CHVRN841ST,95636,0.98,,,,,2006
78409CHMPL7350I,100414,1.01,,,,,2006
78409CHMPL7350I,7439976,1.09,,,,,2006
78419NVLRS11001,N450,0.0,,,,,2006
08822TLNTC137RT,N090,1.32,,,,,2006
28170TRNGLRTE1B,7664393,1.0,,,,,2006
39209BLDRS121BI,100425,0.92,,,,,2006
83467QBCRP142HW,108952,0.89,,,,,2006
07932PRCSN306CO,7440473,1.25,,,,,2006
71852JNZPLHWY36,N511,0.67,,,,,2006
37771YLSCRYALEA,N420,1.03,,,,,2006
65608MRSNL1400N,7440020,1.39,,,,,2006
27214PRCTR6200B,N982,0.96,,,,,2006
27520CTRPL954NC,91203,0.71,,,,,2006
08861NGLRT1200A,1330207,0.79,,,,,2006
62201TRDWS7MOBI,1582098,1.18,,,,,2006
56444PRKRH325FR,7439921,1.18,,,,,2006
66115CRTNT103FU,7664417,1.1,,,,,2006
01887NLGDV804WO,7664939,1.25,,,,,2006
60441WLLCN529ER,N040,1.06,,,,,2006
38012HYWDC751DU,N590,0.6,,,,,2006
52761THHNC301OA,95636,0.0,,,,,2006
29642SRDNF1407P,7439921,2.57,,,,,2006
14048NGRMH106PO,N982,0.98,,,,,2006
83714HWLTT11311,N511,1.0,,,,,2006
44036LYRFN120FI,108952,1.0,,,,,2006
48060CHSNC1600W,N420,0.74,,,,,2006
97062SRPWR10189,7439921,0.97,,,,,2006
15301WSTPN2833W,N420,1.0,,,,,2006
27533PVNRT1200A,7439965,0.8,,,,,2006
27105RCLFL22EPL,872504,0.94,,,,,2006
44146FRRCR7050K,N040,0.92,,,,,2006
38935YZVLL2015W,110543,0.76,,,,,2006
49862KMBRL601EM,7647010,0.96,,,,,2006
39367DMNDS800OD,709988,0.0,,,,,2006
24340PPLCHPOBOX,80626,1.53,,,,,2006
29836SNDZCHIGHW,124403,2.49,,,,,2006
75773NTRNT701FR,N100,1.04,,,,,2006
02129MYSTC173AL,7664417,1.18,,,,,2006
49507VCHMC55CTT,7440360,0.9,,,,,2006
54455MSNPP100MA,7664939,1.04,,,,,2006
59034HRDNGSUGAR,N982,0.0,,,,,2006
53188GMDCL3000N,7439921,0.7,,,,,2006
94804RCPRD1306C,N458,0.87,,,,,2006
77580DYNGY1319H,71432,0.0,,,,,2006
97062GNTRL12345,7439921,1.0,,,,,2006
55003NDRSNFOOTO,108101,0.87,,,,,2006
62201TRDWS7MOBI,123386,1.18,,,,,2006
28217WSTNG5101W,191242,0.0,,,,,2006
08066MBLLCBILLI,110543,0.76,,,,,2006
16056DCCRM155SR,N982,1.0,,,,,2006
48556CSPRK1300N,107211,0.92,,,,,2006
77640CLRKR1801S,74851,1.17,,,,,2006
01752SHPLY455FO,N420,1.22,,,,,2006
60101DVNCW21SWI,7439965,1.0,,,,,2006
91352PRMPL11321,N511,0.85,,,,,2006
77522XXNCH5000B,106990,1.1,,,,,2006
78410CCPCC1501M,N420,0.95,,,,,2006
48065RMRMN74000,107211,0.96,,,,,2006
04861DRGNPUSROU,7440473,1.76,,,,,2006
07932PRCSN306CO,7440020,1.25,,,,,2006
31709MCFRT1611O,7664417,1.12,,,,,2006
37854FRTFLROANE,56235,0.75,,,,,2006
70586CBTCR412MI,N590,0.85,,,,,2006
24089MRTNPRTE68,872504,1.03,,,,,2006
52808LMNMCHIGHW,7647010,0.99,,,,,2006
36048STHST99PLA,N100,0.77,,,,,2006
69044TRNTNHC2PB,75070,0.47,,,,,2006
29588DMSPR2517B,7439921,1.1,,,,,2006
17042LBNNC1600E,50000,1.02,,,,,2006
44004FRSTN2133L,7664939,1.12,,,,,2006
41105RMCST4000E,N511,0.0,,,,,2006
54457NKSMLMARKE,N150,1.0,,,,,2006
16117LLWDCCOMME,N420,1.05,,,,,2006
45449PPLTN1030W,7664939,0.89,,,,,2006
46725STLDY2601C,N450,1.34,,,,,2006
83338DRGLD1703S,7697372,1.03,,,,,2006
46320STFFR2000M,7664939,0.0,,,,,2006
06492MTKNC21TOE,N982,2.65,,,,,2006
70094NWRLN8400R,100425,1.19,,,,,2006
21226MRDHS6200P,110543,0.8,,,,,2006
40324TYTMT1001C,108883,0.99,,,,,2006
89036CHMCLOLDSA,N770,1.01,,,,,2006
62953LCTRC2100P,7664393,1.06,,,,,2006
70805XXNBT4050S,872504,0.98,,,,,2006
97210VNWTR3950N,7664417,0.0,,,,,2006
35967THHLC45THS,71363,0.0,,,,,2006
35967THHLC45THS,95636,0.0,,,,,2006
77640CLRKR1801S,85018,1.12,,,,,2006
54457NKSMLMARKE,50000,1.11,,,,,2006
70634WSTVCPOBOX,79107,0.2,,,,,2006
40216BRDNN6200C,N120,1.1,,,,,2006
93610CRTNT17775,7440473,1.0,,,,,2006
63755CFNDS1305L,7439965,1.0,,,,,2006
71753LMXMG1617N,7439921,1.01,,,,,2006
54494CNSLD950FO,64186,1.09,,,,,2006
46320STFFR2000M,N770,0.0,,,,,2006
75494SSCTD1015E,N511,1.07,,,,,2006
73942SBRDF2700N,7664417,0.0,,,,,2006
98537WYRHS700EA,10049044,0.74,,,,,2006
77507DXCHM10701,107131,1.0,,,,,2006
30577CTRPL203AR,7440484,0.0,,,,,2006
97886SMTHFDEPOT,7664417,0.98,,,,,2006
07083SCHRN1011M,108883,0.26,,,,,2006
08701LPHSS145LE,1330207,0.0,,,,,2006
91702MRCNC1001N,N511,91.0,,,,,2006
70114BLLNG435PO,7440473,0.79,,,,,2006
04976SDWRRRFD3U,N450,1.32,,,,,2006
04976SDWRRRFD3U,N458,1.32,,,,,2006
32780NDNRV7800S,N458,0.0,,,,,2006
84029SFTYK11600,1336363,1.32,,,,,2006
28752CBBTC1CBIA,100425,1.0,,,,,2006
68901TNCRP300E3,7439921,1.05,,,,,2006
38965CLTNDHIGHW,7439921,1.1,,,,,2006
06470TLCNC9BUTO,N590,0.0,,,,,2006
48121DRBRN3001M,N230,0.85,,,,,2006
65807SYNTX2460W,7647010,0.11,,,,,2006
30024HSSMN2700C,7440508,0.0,,,,,2006
96707SHWNC91086,N982,0.95,,,,,2006
60007DLTPR1370L,N100,0.9,,,,,2006
92714NTNLR16282,N458,1.23,,,,,2006
60419SFTYK633E1,127184,0.0,,,,,2006
54457NKSMLMARKE,N420,1.0,,,,,2006
55102HGHBR501SH,N590,0.89,,,,,2006
83606DRYMN520AL,7697372,1.06,,,,,2006
21226MRDHS6200P,7439921,0.8,,,,,2006
40324TYTMT1001C,N230,0.99,,,,,2006
77507DXCHM10701,77736,1.0,,,,,2006
89003SCLGYHWY95,1582098,0.05,,,,,2006
96707HWNND91325,7664417,1.01,,,,,2006
04240DMNDP9ALFR,7440508,1.13,,,,,2006
98073GNNDS18700,7439965,1.13,,,,,2006
23703CGNTR1WILD,N150,0.98,,,,,2006
47903SBRSZ5500S,N230,0.93,,,,,2006
27606SRTRN4001B,7697372,1.23,,,,,2006
61012CPRNM200BU,N495,0.91,,,,,2006
89418FLRDCEXIT1,N420,18.7,,,,,2006
63069TRMNF900IN,75456,1.09,,,,,2006
47670HNSNM901SO,7440508,1.02,,,,,2006
46508WRSWB545WW,N982,1.0,,,,,2006
93239CHMCL35251,7440224,0.9,,,,,2006
15108PTTSB9THRN,N590,1.39,,,,,2006
77701NRTHSOLDHI,N420,1.69,,,,,2006
84624NTRMN850BR,N010,1.0,,,,,2006
