TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
36535VLCNN400EA,N420,0.35,,,,,2014
62236MZLNC1900W,71363,0.87,,,,,2014
48055GNRLM4555G,100414,1.03,,,,,2014
35004VLCNN3DISP,7440473,0.96,,,,,2014
3132WFRTHR93DUN,7440473,1.03,,,,,2014
77474CMBRC562PE,N450,1.09,,,,,2014
74158CMBRC4103D,N040,1.08,,,,,2014
4314WKHNTH15DAY,7439965,0.9,,,,,2014
54603NRTHR200SB,N982,0.85,,,,,2014
92390HXFTM41915,N511,0.99,,,,,2014
60914THWWH150MO,N230,1.09,,,,,2014
77511MCCHM2MISO,100425,1.0,,,,,2014
31092TYSNF1151E,79210,0.97,,,,,2014
54154SCTTP106EC,N511,0.99,,,,,2014
27565CRTNT200CE,N458,1.01,,,,,2014
10511GRGPC415BR,N458,1.0,,,,,2014
15845PNNTC100CE,7783064,0.96,,,,,2014
78409CHMPL7350I,7782505,1.0,,,,,2014
92020CRPNT1717C,N495,0.24,,,,,2014
29385SYBRN10150,100447,1.25,R6,,,,2014
53050MYVLL715SO,7439965,1.15,,,,,2014
60449STHHL26100,N982,1.35,,,,,2014
57078LMXXT2300A,108883,0.95,,,,,2014
23607NWPRT4101W,100414,0.75,,,,,2014
90749RCPRD1801E,75150,0.91,,,,,2014
63857PRKRHHWYEN,N982,1.03,,,,,2014
14750CMMNS4720B,N982,1.22,,,,,2014
16365SPRRT1818P,7440473,0.4,,,,,2014
57034SXRVR29619,50000,1.01,,,,,2014
14094GNRLM200UP,N120,0.97,,,,,2014
9852WSPBRD31HAG,75070,1.0,,,,,2014
97227TRRNC2429N,71363,1.04,,,,,2014
53224MLWKF9343N,N590,0.92,,,,,2014
50664WPSVL30010,N511,1.09,R6,R6,R6,,2014
64116NNCRB1234A,7697372,0.8,R5,,,,2014
26722KPPRSRAILR,N590,0.87,,,,,2014
46805LLNDR3400N,7697372,0.92,,,,,2014
62540KNCDG4MILE,7664417,1.14,,,,,2014
71247STNHDMILLS,120809,1.1,,,,,2014
71822NKSPPHIGHW,64186,1.04,,,,,2014
61834KRPPG100LY,7439965,1.4,,,,,2014
51250SXLND389GA,110543,1.01,,,,,2014
77704MBLCHGULFS,7783064,1.0,,,,,2014
61252GRKNG18246,N420,1.37,,,,,2014
30701WLLCC1844H,N982,1.1,,,,,2014
46947CPLYCSTATE,N420,1.82,,,,,2014
46947CPLYCSTATE,N982,0.46,,,,,2014
80542BLDRS5983R,108907,2.24,,,,,2014
77041VRCSH12950,7439965,1.07,,,,,2014
08505STPNCFOURT,67561,1.94,,,,,2014
40216RHMND4300C,141322,1.2,,,,,2014
14750CMMNS4720B,7439965,1.21,,,,,2014
13211SFTYK6741V,N590,1.93,,,,,2014
48079KZSLT916SO,7647010,0.98,,,,,2014
47842LLLLYSTATE,7664417,2.38,,,,,2014
89045SMKYV1SMOK,N106,0.8,,,,,2014
87124NTLCR4100S,N511,1.08,,,,,2014
77483CNCHM13MIL,7550450,0.9,,,,,2014
41042GVDNF95SAM,7697372,0.97,,,,,2014
77511MCCHM2MISO,1330207,1.0,,,,,2014
46206LLSNT4700W,N420,0.98,,,,,2014
7313WKLHMC46SE5,7440508,1.0,,,,,2014
71923RYNLD500ER,N590,1.13,,,,,2014
29836SNDZCHIGHW,7664417,1.13,R6,,,,2014
29836SNDZCHIGHW,111422,0.73,,,,,2014
4616WNTGRT78IND,67561,0.59,,,,,2014
82716NLSMP13151,7439921,0.53,,,,,2014
62832LLNSM1135I,7697372,0.65,,,,,2014
7749WDYNDR234CL,7440508,2.19,,,,,2014
70767PLCDR1940L,100414,0.93,,,,,2014
77378RMNRG10586,7439965,9.03,,,,,2014
77378RMNRG10586,1330207,0.93,,,,,2014
77536SFTYK2027B,N040,3.52,,,,,2014
94802CHVRN576ST,7664417,1462.46,,,,,2014
7401WCNTNN2188E,7440508,1.0,,,,,2014
44044RSSNC36790,584849,1.1,,,,,2014
78501SFTYK1311E,107211,0.29,,,,,2014
