TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
49913CLMTL25830,7664417,1.06,,,,,2012
96707HWNND91325,108952,0.97,,,,,2012
14807CRWLY25HUR,191242,1.0,,,,,2012
46241RLLYT1500S,71432,1.08,,,,,2012
84528PCFCR10MIL,N458,1.12,,,,,2012
46767STRCT1118G,100425,1.44,,,,,2012
19440PNNCL2755B,N090,1.0,,,,,2012
71280NGSCHLAHWY,7782505,1.1,,,,,2012
23323CHSPK2701V,N150,0.51,,,,,2012
60921NCHLSRT24E,7440473,1.1,,,,,2012
77541SHNTS565HW,7782505,1.13,,,,,2012
69150MDMRC768RD,75070,0.95,,,,,2012
43319HNDFM11000,N511,1.27,,,,,2012
03103NYLTC333SU,N982,1.17,,,,,2012
60101RNDST381AR,7440020,1.1,,,,,2012
29609TNNRCFURMA,4080313,1.0,,,,,2012
76060CHSLS635TO,N420,1.04,,,,,2012
23703CGNTR1WILD,N420,0.2,,,,,2012
08846THBTHLINCO,108883,0.94,,,,,2012
77705CLNLT15651,71432,0.89,,,,,2012
45601MDCRP401SP,N150,1.03,,,,,2012
77701NRTHSOLDHI,N150,1.05,,,,,2012
77701NRTHSOLDHI,N495,1.05,,,,,2012
21550MTTKC293TA,N450,1.22,,,,,2012
66032STKNS134SM,107028,0.77,,,,,2012
52632THHBNONEPR,7440020,1.06,,,,,2012
45302HNDFM12500,7439965,1.56,,,,,2012
60419CLMTB14610,7439921,1.04,,,,,2012
56511TMNDSFRTHR,7440508,1.4,,,,,2012
48057HSPTR4150S,95636,1.33,,,,,2012
3013WPNHLL318IN,7664393,1.0,,,,,2012
48057HSPTR4150S,26471625,1.0,,,,,2012
60501WNSCR5824S,71432,0.94,,,,,2012
60525PNCXX8400J,7664417,1.09,,,,,2012
45601MDCRP401SP,N770,1.04,,,,,2012
20664MRGNT12620,N420,0.74,,,,,2012
54457NKSMLMARKE,10049044,0.96,,,,,2012
19947PRDNC200SA,79210,1.04,,,,,2012
78666HTRST2005T,N511,0.85,,,,,2012
06708HBBRD563SL,108883,1.2,,,,,2012
43521DYTNW705NF,N982,6.0,,,,,2012
90221FLKMN19402,7697372,1.14,,,,,2012
29687CHPTRTANNE,50000,1.5,,,,,2012
70047TRNSM14902,1313275,0.89,,,,,2012
50801CFPRC1310E,110543,1.19,,,,,2012
39502MSSSSINTER,7664393,1.0,,,,,2012
2710WDWNTW159WI,7439921,0.8,,,,,2012
9813WCRTNT5931E,7439976,1.0,,,,,2012
59701MNTNR600SH,N020,1.07,,,,,2012
44109CHMCL1010D,56235,0.99,,,,,2012
77506PHLLP1400J,74851,1.05,,,,,2012
32347BCKYCROUTE,74873,0.96,,,,,2012
19013PNNSY100BE,7439965,1.07,,,,,2012
44077LBRZL155FR,100414,1.03,,,,,2012
54913PRCMN3100N,7440473,0.96,,,,,2012
18088MRCNNCHERR,7440508,0.8,,,,,2012
93308BKRPT5135B,91203,0.95,,,,,2012
54457NKSMLMARKE,75070,0.93,,,,,2012
9781WPPRCL772PL,7439921,1.67,,,,,2012
80217RBNSN1845W,7664393,0.89,,,,,2012
70069DPNTPHIGHW,N150,0.89,,,,,2012
29687CHPTRTANNE,121448,1.0,,,,,2012
01472HLLNGTOWNS,191242,0.98,,,,,2012
70710SDRCHPOBOX,75150,0.93,,,,,2012
31634BRCKWHIGHW,100414,1.0,,,,,2012
70602FRSTNLA108,N590,1.06,,,,,2012
3500WPRCSN52MAR,7440020,1.06,,,,,2012
90670BRNNT10747,107211,1.52,,,,,2012
52240XRXSC515WE,100425,1.11,,,,,2012
44044RSSNC36790,95487,1.26,,,,,2012
70069DPNTPHIGHW,86306,0.89,,,,,2012
29687CHPTRTANNE,100425,1.0,,,,,2012
37311MLLRC62IND,7439921,1.17,,,,,2012
99801CRLSK331CL,7440020,1.1,,,,,2012
28208SHLND3930G,111422,13.27,,,,,2012
93308TXCRF6451R,108883,1.87,,,,,2012
45506MYNPR1895W,N090,0.98,,,,,2012
42348WLLMTPOBOX,7664417,1.03,,,,,2012
77053CSSPR14211,7439965,1.07,,,,,2012
29302RRDNNJONES,108883,0.97,,,,,2012
92055MRNCRPOBOX,91203,0.99,,,,,2012
14701NDRSN17ROS,7439921,1.08,,,,,2012
77541BSFCR602CO,92524,1.03,,,,,2012
04694GRGPCMILLA,10049044,0.96,,,,,2012
04694GRGPCMILLA,7647010,0.96,,,,,2012
18848MSNTCMASON,7783064,1.09,,,,,2012
27893NCRMC2401S,7440473,1.17,,,,,2012
33316STHFL12SE3,1330207,1.05,,,,,2012
00960CRBMTBAYAM,67561,1.05,,,,,2012
70047TRNSM14902,115071,0.89,,,,,2012
90744TSCRF150PI,108883,1.01,,,,,2012
68731BPNCWGSTXX,7664417,1.0,,,,,2012
15748PRMMT11INN,N982,0.7,,,,,2012
36543HXFRDHIGHW,N590,1.43,,,,,2012
15522RXHTT7CORP,7664417,0.95,,,,,2012
46151NDNPL4040B,N420,0.31,,,,,2012
48601LCHML2600N,N100,0.78,,,,,2012
53204WYNPG300SB,N090,0.92,,,,,2012
37406SFXCR2800R,108883,1.14,,,,,2012
01757RCHRR213CE,191242,0.72,,,,,2012
46131SSXGR3200E,105679,1.04,,,,,2012
46755SSXGR800WM,95636,0.87,,,,,2012
46217NDNPL3700S,N450,1.02,,,,,2012
48091WRRNS22800,95636,1.18,,,,,2012
28335WRRNL234US,N230,1.76,,,,,2012
48121DRBRN3001M,7440508,0.01,,,,,2012
60016CNTRS1217T,7439921,0.72,,,,,2012
21921TRMMD950EL,67561,1.04,,,,,2012
30103MRCHM400NO,N982,1.04,,,,,2012
17751VRYCHDRAKE,108054,1.08,,,,,2012
68008CRGLL650IN,7440020,1.07,,,,,2012
47620BLDNG901GI,N590,1.05,,,,,2012
53085LDRCH6100H,75058,1.1,,,,,2012
93308TXCRF6451R,N420,1.87,,,,,2012
17094TRNGLJUNIA,1330207,1.02,,,,,2012
89414KNSNY60MIL,N458,0.79,,,,,2012
