TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
44012BFGDRMOORE,80626,0.77,,,,,2008
76104THDNN401SL,7697372,0.78,,,,,2008
28262NGNRD11300,80057,1.08,,,,,2008
06787DRWNM101EL,7440508,1.08,,,,,2008
3101WFLRDR2391S,7439921,0.9,,,,,2008
66749CMRNN25WMI,N495,1.0,,,,,2008
36633LBMBLHWY90,110543,0.65,,,,,2008
63110CRNDL2101S,7439965,0.95,,,,,2008
63147THPRC169EA,N982,0.99,,,,,2008
96950MBLLCPORTO,N590,0.9,,,,,2008
50438WMLDT500HW,7439965,0.76,,,,,2008
33853CTRSW650US,7782505,1.1,,,,,2008
25880GRGPC79NOR,67561,0.76,,,,,2008
15074THVLS372CL,107211,1.01,,,,,2008
07072HGHTN3AMRA,108101,0.09,,,,,2008
78666BLSCP231NI,7440020,0.85,,,,,2008
5322WCHRTR785NR,7632000,1.0,,,,,2008
06026NLSNH2CONN,1163195,0.9,,,,,2008
44109LMTCH4181B,7664417,1.02,,,,,2008
44870MRCNC1110E,95636,1.1,,,,,2008
43571MRCNN10444,N230,1.06,,,,,2008
27406NTXCH520BR,95476,1.04,,,,,2008
53207DYNMC2024S,N450,1.59,,,,,2008
33316MBLLP1150S,108883,0.88,,,,,2008
90058MBLLV2619E,191242,0.98,,,,,2008
38106XXNCS454WI,71432,0.86,,,,,2008
63353MSSRCHIGHW,7782505,0.9,,,,,2008
29072MCHLN2420T,N982,1.1,,,,,2008
37064SSXGR120SE,105679,2.23,,,,,2008
61102DLPHN892SO,108883,0.93,,,,,2008
48220GGPRD625WA,1330207,1.0,,,,,2008
48183MNSNT5045W,108054,1.05,,,,,2008
13760NDCTT1701N,79947,1.25,,,,,2008
43469MRTNM755LI,7697372,0.85,,,,,2008
59107MNTNSEXXON,463581,1.69,,,,,2008
77592MCCHMFOOTO,98828,0.48,,,,,2008
77592MCCHMFOOTO,100414,0.47,,,,,2008
92669FBRTX645NC,330541,1.27,,,,,2008
30001STLLB3100W,N150,1.0,,,,,2008
43113DPNTCUSRT2,872504,1.0,,,,,2008
43143RBRTS10732,7439921,0.88,,,,,2008
18407GNTXCMAINS,67561,0.88,,,,,2008
74501MCLSTHWY69,N120,0.81,,,,,2008
13088STRTHBURRD,108883,0.77,,,,,2008
72015RNC001007V,95636,1.29,,,,,2008
48078CRTSC6645S,N982,1.21,,,,,2008
88005RMGNT301RE,7440508,0.84,,,,,2008
04107MBLLS170LI,100414,0.76,,,,,2008
78219XXNCS3214N,N590,0.93,,,,,2008
74820JPMCNONEGE,100414,1.05,,,,,2008
38108PRCTR2899J,7782505,0.96,,,,,2008
15024CHSWCPITTS,N150,0.87,,,,,2008
62024LNCRPLEWIS,7439965,0.9,,,,,2008
15201MCCNW10948,N420,0.6,,,,,2008
60803VLRLS36W13,71432,1.29,,,,,2008
91730SCHLS11711,7440020,1.0,,,,,2008
53020BRMRMW22HW,7440020,0.91,,,,,2008
97015GLCRN1134S,N511,1.24,,,,,2008
72015RNC001007V,N100,1.03,,,,,2008
72015RNC001007V,106898,1.09,,,,,2008
53210MSTRL2600N,N495,0.21,,,,,2008
84116RCKYM1125W,7440020,0.8,,,,,2008
78219XXNCS3214N,1634044,0.93,,,,,2008
49333BRDFR200LA,7632000,1.02,,,,,2008
60016CNTRS1217T,7440473,1.0,,,,,2008
15824WNSBRCRENS,N420,1.02,,,,,2008
44301BFGDR240WE,7697372,0.82,,,,,2008
28803TYCLC3165S,7439921,0.6,,,,,2008
72150STRLNOKLAH,7440020,0.77,,,,,2008
48854SSBHR200KI,67561,0.91,,,,,2008
46312LTVST3001D,N511,0.9,,,,,2008
77590MCLCM24015,100425,1.25,,,,,2008
49431GRTLK800NW,N450,1.0,,,,,2008
46947CPLYCSTATE,108952,0.85,,,,,2008
23847GRGPCDAVIS,N150,0.86,,,,,2008
01462WKFLD1000R,N420,1.09,,,,,2008
02178CMBRD39HIT,N495,1.05,,,,,2008
92054HNSNG15AIR,N420,0.59,,,,,2008
28456FDRLPRIEGE,N150,1.0,,,,,2008
87416FRCRNCOUNT,N040,0.98,,,,,2008
71730NVRNM309AM,94360,1.0,,,,,2008
48089JMLPN13251,1330207,0.85,,,,,2008
16059NPCNCMCFAN,95636,0.76,,,,,2008
45404BPXPL621BR,7439976,1.12,,,,,2008
27922NCRST1505R,N495,1.01,,,,,2008
27922NCRST1505R,N770,1.01,,,,,2008
27559CPFRS500CP,7664393,0.88,,,,,2008
23666CTLNC2400A,7440508,1.5,,,,,2008
45042BYWST700CO,7647010,0.99,,,,,2008
62301TTNWH2701S,1344281,1.5,,,,,2008
92705TTCNN666EA,7697372,0.83,,,,,2008
55414KHLMD78229,N040,0.66,,,,,2008
11733NRTHV19TER,108883,0.82,,,,,2008
78942LFMFGHWY29,100425,0.65,,,,,2008
55428LDYNP552NH,7439921,0.01,,,,,2008
90748NNPCF2402E,106990,1.0,,,,,2008
77511MCCHM2MISO,110543,0.95,,,,,2008
67460NTNLC2000M,1319773,0.98,,,,,2008
12550RSTNG992RA,7664939,0.41,,,,,2008
26030WHLNGROUTE,91203,0.59,,,,,2008
46312LTVST3001D,7664417,0.9,,,,,2008
46312LTVST3001D,N106,0.9,,,,,2008
82609LTTLM5700E,100414,1.06,,,,,2008
82609LTTLM5700E,1330207,1.06,,,,,2008
00979GDNVTSUNOI,91203,0.87,,,,,2008
47630SGCFB3711D,7664393,0.93,,,,,2008
47630SGCFB3711D,N450,0.93,,,,,2008
70721CSMRPLAHWY,91203,0.92,,,,,2008
84006KNNCT12300,N106,1.06,,,,,2008
46947CPLYCSTATE,100016,0.85,,,,,2008
28456FDRLPRIEGE,108952,1.0,,,,,2008
14605FNGRL418ST,N230,0.33,,,,,2008
71730NVRNM309AM,1336363,1.0,,,,,2008
71730NVRNM309AM,79016,1.0,,,,,2008
48332CCNTR23435,7439921,1.14,,,,,2008
39208BSCSTFOURT,N100,0.87,,,,,2008
95112BBBTB1170N,N420,1.0,,,,,2008
70669CNCLKOLDSP,7664939,1.1,,,,,2008
96707CHVRN91480,100414,0.93,,,,,2008
77522CHVRN9500I,7637072,1.0,,,,,2008
71730NVRNM309AM,77736,1.0,,,,,2008
90744RPRDS700HE,67561,1.11,,,,,2008
70669CNCLKOLDSP,100425,0.92,,,,,2008
80551KDKCLCOUNT,N590,1.91,,,,,2008
75901CHRMM2602S,50000,0.77,,,,,2008
19335JHNSN498AC,67561,2.16,,,,,2008
45042BYWST700CO,N420,0.9,,,,,2008
62301TTNWH2701S,78922,1.4,,,,,2008
17756SPRTBSHERM,7440508,0.83,,,,,2008
70057NNCRBHWY31,111422,0.87,,,,,2008
62040GRNTC20THS,463581,0.98,,,,,2008
11733NRTHV19TER,95636,0.82,,,,,2008
30228CSTLC75GEO,7782505,0.95,,,,,2008
46526BNTLR910SE,7439965,0.7,,,,,2008
30680LKRLCINDUS,67561,1.18,,,,,2008
40351GRDNT200GU,1330207,1.82,,,,,2008
39773BLZNT103EI,7439921,0.89,,,,,2008
74116JHNZN11920,7440020,1.35,,,,,2008
60090CMMRC1444S,7440473,0.9,,,,,2008
90670CSBYL1292E,100414,1.1,,,,,2008
55060JSTNS1900H,7697372,1.15,,,,,2008
48174KTPRD13177,N511,1.0,,,,,2008
84029SFTYK11600,79345,1.25,,,,,2008
54936MRCRYW6250,7440020,0.69,,,,,2008
54467SWHTC1075P,7782505,0.97,,,,,2008
85009TRFFR1021N,7697372,0.82,,,,,2008
48551GMCTRG3100,107211,0.48,,,,,2008
59019STLLW1209L,N100,0.89,,,,,2008
92054DTSCHMUNIC,N511,0.8,,,,,2008
73801TRRNT1000T,7782505,0.87,,,,,2008
72132NTRGY1100W,N420,0.95,,,,,2008
00731PRLSSFIRMD,71432,0.91,,,,,2008
30906GSTNW2434H,67561,0.95,,,,,2008
36614MRCNCCYANA,7664417,1.07,,,,,2008
94601PRSSR4210E,7440508,0.96,,,,,2008
48121RGSTL3001M,7647010,0.71,,,,,2008
65808DYCPR2601W,N590,0.9,,,,,2008
17552MPNCX1250E,7439921,1.3,,,,,2008
33056BFGDR3201N,7439921,0.75,,,,,2008
30577MRCNWWOODM,N420,0.92,,,,,2008
94710PCFCS1333S,7439965,0.85,,,,,2008
94710PCFCS1333S,1313275,0.83,,,,,2008
75901CHRMM2602S,N090,0.77,,,,,2008
75846LMSTNFM39A,N495,1.08,,,,,2008
33069CHMCL2700S,79016,1.15,,,,,2008
70057NNCRBHWY31,7440224,1.0,,,,,2008
92316TLSPC2803I,7440508,1.02,,,,,2008
90704PBBLY1PEBB,91203,1.02,,,,,2008
06484NCNGN217LN,7439921,0.85,,,,,2008
19067PRFNS1295N,95636,1.12,,,,,2008
19020SPCLT2374S,7440473,0.8,,,,,2008
08093CSTLGRTES1,71432,0.96,,,,,2008
90505RXNRD3000W,7697372,1.03,,,,,2008
80216ZMMRM201EA,7439965,1.91,,,,,2008
51041DMNDVINDUS,75092,0.95,,,,,2008
51041DMNDVINDUS,67561,0.88,,,,,2008
17901WRLDRWALNU,N495,1.25,,,,,2008
84029SFTYK11600,107211,1.08,,,,,2008
75006STHWS2901B,N230,0.84,,,,,2008
21226CTGPT2201S,98828,1.24,,,,,2008
29127NNDSTHWY76,7440473,0.72,,,,,2008
50659TRMRK500BA,7439921,0.86,,,,,2008
70422MTFND13040,7439976,0.88,,,,,2008
29020DPNTCPOBOX,7647010,0.7,,,,,2008
84029SFTYK11600,75092,0.83,,,,,2008
21077KPFLXHARMA,N495,1.02,,,,,2008
77547NTDST1201M,N458,0.71,,,,,2008
48551GMCTRG3100,95636,0.48,,,,,2008
38301TLPRD825LO,7439965,0.66,,,,,2008
18411SNDVKIVYIN,7440020,1.09,,,,,2008
07008SHLND350RO,71363,0.85,,,,,2008
