TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
44111SZTLD3180B,7440473,1.31,,,,,1990
30501STRKG1024A,7440508,1.14,,,,,1990
44077QNTMC303HI,N010,2.0,,,,,1990
31732GRTSTHIGHW,67561,0.91,,,,,1990
03743TNXNC91BMA,100425,1.44,,,,,1990
30501STRKG1024A,7440473,1.14,,,,,1990
53207MLWKF1532E,N090,1.0,,,,,1990
40210CRHRT1600W,N120,0.7,,,,,1990
77507HCHST9502B,110543,0.9,,,,,1990
71753THYLCROUTE,80057,1.06,,,,,1990
28311KLLYS6650R,N982,1.0,,,,,1990
33903PRCSN8940N,78933,1.42,,,,,1990
90032LPHTH5555V,67641,0.7,,,,,1990
54660TRCXX200SI,1330207,1.14,,,,,1990
61341MRSLL1401B,N040,1.0,,,,,1990
30643NVFCM300FI,7440508,1.05,,,,,1990
30643NVFCM300FI,7440473,1.05,,,,,1990
90744NTDST300FA,7664939,1.09,,,,,1990
44280WBBST675LI,7440473,0.61,,,,,1990
75482RCKWL1511J,71556,1.0,,,,,1990
97470RSBRGHIGHW,1330207,1.0,,,,,1990
41042WLDNG8535D,7440473,1.55,,,,,1990
27910SCLMNRT1BO,7440508,1.0,,,,,1990
04073YRKMF43COM,7440508,1.0,,,,,1990
07201NYPCR805EG,7664417,1.31,,,,,1990
62525DCTRF1745N,7439965,1.0,,,,,1990
27260THMSB1408C,N090,1.0,,,,,1990
62525DCTRF1745N,1330207,1.0,,,,,1990
60656CPRBS7300W,7440508,1.07,,,,,1990
71764BRRYPBERRY,108883,1.38,,,,,1990
47401NDNMT1820S,7439921,3.0,,,,,1990
53207MLWKF1532E,N495,1.0,,,,,1990
01085WSTFLSOUTH,71556,0.0,,,,,1990
71764BRRYPBERRY,110543,1.38,,,,,1990
28352TNCRPHWY40,N982,1.13,,,,,1990
90032LPHTH5555V,7647010,0.99,,,,,1990
54301PCKRL1330L,7664382,1.0,,,,,1990
46312NLNDS3210W,7647010,1.01,,,,,1990
67480SLMNC103WM,108883,1.29,,,,,1990
53209KLLYD6720N,7439965,0.88,,,,,1990
46902KKMTR2401S,7439921,0.88,,,,,1990
45885STMRY40540,7439965,0.83,,,,,1990
27260THMSB1408C,7440020,1.0,,,,,1990
44256RTNCR1030L,108883,1.48,,,,,1990
54660TRCXX200SI,107211,1.0,,,,,1990
90032LPHTH5555V,67561,0.92,,,,,1990
53082JLFRN3101S,7647010,0.0,,,,,1990
45246PMBBB518WC,7439921,1.0,,,,,1990
61132BRBRC1354C,7440508,1.15,,,,,1990
45246CRNSH4933P,7440473,0.8,,,,,1990
75482RCKWL1511J,7439965,1.0,,,,,1990
77055MRRRN11510,N090,1.2,,,,,1990
53132GNTMT5801W,79016,1.01,,,,,1990
38242TCMSH2700W,7440508,0.64,,,,,1990
45042MMPCK1701R,108883,1.07,,,,,1990
67460KCHHY462US,127184,1.0,,,,,1990
31732GRTSTHIGHW,78933,0.91,,,,,1990
17603DWCRP2919O,7439965,1.2,,,,,1990
27260THMSB1408C,N040,1.0,,,,,1990
54660TRCXX200SI,N230,1.14,,,,,1990
18960SCHLMCARIL,7440508,0.92,,,,,1990
54301PCKRL1330L,7664417,1.0,,,,,1990
60101FNSTL21NCH,N495,1.3,,,,,1990
30501STRKG1024A,7440020,1.14,,,,,1990
44280WBBST675LI,7439965,0.61,,,,,1990
20705CHRKS7100M,7439965,0.0,,,,,1990
17777WTSNTRTE40,7664393,0.92,,,,,1990
31079MRTNRHWY28,N511,1.11,,,,,1990
31079MRTNRHWY28,7664417,1.29,,,,,1990
54660TRCXX200SI,95636,0.7,,,,,1990
44077QNTMC303HI,67561,0.92,,,,,1990
62525DCTRF1745N,108952,1.0,,,,,1990
49801THNLSONENE,1330207,0.93,,,,,1990
77507HCHST9502B,71432,1.0,,,,,1990
77507HCHST9502B,108883,1.0,,,,,1990
17777WTSNTRTE40,N040,0.92,,,,,1990
16142DRYFRRR1BO,7664382,1.0,,,,,1990
54552FLMBP200NO,75070,1.0,,,,,1990
49801THNLSONENE,67561,1.15,,,,,1990
76310CRTNT4515A,67561,0.94,,,,,1990
61341MRSLL1401B,N450,1.0,,,,,1990
45246CRNSH4933P,7439965,0.8,,,,,1990
77507HCHST9502B,1330207,1.0,,,,,1990
30529RPRPM3475O,7440508,0.99,,,,,1990
17777WTSNTRTE40,N450,0.92,,,,,1990
04073YRKMF43COM,7439921,1.0,,,,,1990
71764BRRYPBERRY,1330207,1.38,,,,,1990
31079MRTNRHWY28,7664382,0.87,,,,,1990
41240MRCNSROUTE,7440508,1.32,,,,,1990
30529RPRPM3475O,7440020,0.99,,,,,1990
32703MRNMF185EA,100425,0.86,,,,,1990
31732GRTSTHIGHW,1319773,0.91,,,,,1990
75482RCKWL1511J,7440473,1.0,,,,,1990
27260THMSB1408C,N010,1.0,,,,,1990
31732GRTSTHIGHW,50000,0.91,,,,,1990
71764BRRYPBERRY,110827,1.38,,,,,1990
54889HRTZL300IN,7440508,1.0,,,,,1990
43351MLLSC11500,108883,0.8,,,,,1990
06795HYLPR669ST,7440508,0.64,,,,,1990
25430DLBNC105IN,N230,0.68,,,,,1990
30501STRKG1024A,7439965,1.14,,,,,1990
44111SZTLD3180B,7439965,1.31,,,,,1990
92663HXSNM829PR,127184,1.04,,,,,1990
77507HCHST9502B,100414,1.0,,,,,1990
01527NWNGL49RAI,7664382,1.01,,,,,1990
60101FNSTL21NCH,N090,1.3,,,,,1990
43692GNRLM1455W,111422,0.96,,,,,1990
45246CRNSH4933P,7440020,0.8,,,,,1990
62525DCTRF1745N,95636,1.0,,,,,1990
48505FLNTC4221J,N230,0.82,,,,,1990
30529RPRPM3475O,7440473,0.99,,,,,1990
90744NTDST300FA,N982,1.09,,,,,1990
37091HLQKR651HE,7440508,0.78,,,,,1990
60101FNSTL21NCH,N100,1.3,,,,,1990
46312NLNDS3210W,7664939,1.01,,,,,1990
10801RSHMN18COL,75092,1.7,,,,,1990
27260THMSB1408C,7439965,1.0,,,,,1990
98225GRGPC300WL,7647010,1.14,,,,,1990
90032LPHTH5555V,107211,1.0,,,,,1990
06110SSCRP1045N,7664417,1.0,,,,,1990
30529RPRPM3475O,7440484,0.99,,,,,1990
30529RPRPM3475O,7439965,0.99,,,,,1990
16142DRYFRRR1BO,7697372,1.0,,,,,1990
07662CNNGC280MI,71556,1.0,,,,,1990
67401PWRVC500GR,7664393,0.98,,,,,1990
46312NLNDS3210W,7664393,1.01,,,,,1990
44111SZTLD3180B,7440020,1.31,,,,,1990
30643NVFCM300FI,7440020,1.05,,,,,1990
46923GLBVL1200N,N495,1.0,,,,,1990
53209KLLYD6720N,N230,0.88,,,,,1990
27260THMSB1408C,7664382,1.0,,,,,1990
07201NYPCR805EG,N100,1.31,,,,,1990
32703MRNMF185EA,67641,0.86,,,,,1990
36027CRBCR36ARC,7664417,1.59,,,,,1990
53142GLBLN70193,7440508,2.24,,,,,1990
71764BRRYPBERRY,71432,1.38,,,,,1990
71764BRRYPBERRY,95636,1.38,,,,,1990
44430DNMNT400DI,N982,0.78,,,,,1990
77009STHWS1312H,N078,0.83,,,,,1990
53207MLWKF1532E,N450,1.0,,,,,1990
48505FLNTC4221J,N982,0.93,,,,,1990
77009STHWS1312H,N982,0.83,,,,,1990
