DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2002,kg,00851HSSLVLIMET,324110,7439921,78.471416
Other landfills,2002,kg,38305FLRDSUSHIG,331110,N450,32681.757192
Other landfills,2002,kg,38305FLRDSUSHIG,331110,N495,4697.852344
Other landfills,2002,kg,38305FLRDSUSHIG,331110,N982,245112.04496
Other landfills,2002,kg,38326TNNSSHIGHW,322130,191242,0.0453592
Other landfills,2002,kg,38326TNNSSHIGHW,322130,7664417,0.226796
Other landfills,2002,kg,38326TNNSSHIGHW,322130,N040,1179.3392
Other landfills,2002,kg,38326TNNSSHIGHW,322130,N420,385.5532
Other landfills,2002,kg,38326TNNSSHIGHW,322130,N450,45359.2
Other landfills,2002,kg,38326TNNSSHIGHW,322130,N458,0.0907184
Other landfills,2002,kg,38326TNNSSHIGHW,322130,N982,5443.104
Other landfills,2002,kg,38401CCDNTBOX59,325180,7439921,350.626616
Other landfills,2002,kg,38401CCDNTBOX59,325180,7440473,83401.507448
Other landfills,2002,kg,38401CRCRBSANTA,335991,191242,1496.8536
Other landfills,2002,kg,38401CRCRBSANTA,335991,N590,13294.78152
Other landfills,2002,kg,38305FLRDSUSHIG,331110,N420,20426.154943999998
Other landfills,2002,kg,38464NNCRBHWY43,335991,191242,83.91452
Other landfills,2002,kg,38562RQPCRHWY53,332721,7439965,0.226796
Other landfills,2002,kg,38562RQPCRHWY53,332721,7440020,0.226796
Other landfills,2002,kg,38655GRGPCOLDHW,321219,N420,36.3327192
Other landfills,2002,kg,38849NRBRD1194H,321219,7439921,259.454624
Other landfills,2002,kg,38849NRBRD1194H,321219,7439965,9730.455584
Other landfills,2002,kg,38849NRBRD1194H,321219,N150,6.49e-05
Other landfills,2002,kg,38915WYRHS511RA,321113,N420,17.236496
Other landfills,2002,kg,38925GRGPCHWY51,321219,N150,5.0000000000000004e-08
Other landfills,2002,kg,38930GRNWDRIVER,221112,7439976,7.257472
Other landfills,2002,kg,38930GRNWDRIVER,221112,N420,1588.9327759999999
Other landfills,2002,kg,39120NTRNT312LO,322121,108952,2.3133192
