DISPOSAL ACTIVITY,TRIFID,PRIMARY NAICS CODE,REPORTING YEAR,TRI_CHEM_ID,UNIT OF MEASURE,FLOW
Land treatment/application farming,02403BRBRC932NM,326121,1998,117817,kg,0.226796
Other landfills,71106BRDND601BE,332313,1998,7440020,kg,521.177208
Other landfills,71106BRDND601BE,332313,1998,7439965,kg,628.678512
Other landfills,71052NTRNTHWY50,322130,1998,78933,kg,0.907184
Other landfills,71052NTRNTHWY50,322110,1998,7664417,kg,0.226796
Other landfills,71052NTRNTHWY50,322110,1998,75070,kg,0.907184
Other landfills,71052NTRNTHWY50,322110,1998,67561,kg,4491.921576
Other landfills,71052NTRNTHWY50,322110,1998,50000,kg,0.453592
Other landfills,71052NTRNTHWY50,322110,1998,120809,kg,3.628736
Other landfills,71052NTRNTHWY50,322110,1998,108952,kg,15.422128
Other landfills,70791GRGPCZACHA,322121,1998,78933,kg,0.226796
Other landfills,70791GRGPCZACHA,322110,1998,75070,kg,2.721552
Other landfills,70791GRGPCZACHA,322110,1998,67561,kg,1088.6208
Other landfills,70791GRGPCZACHA,322110,1998,64186,kg,0.226796
Other landfills,70791GRGPCZACHA,322110,1998,1319773,kg,0.226796
Other landfills,70791GRGPCZACHA,322110,1998,108952,kg,13.154168
Other landfills,70765THDWCHIGHW,325998,1998,91203,kg,0.907184
Other landfills,70765THDWCHIGHW,325998,1998,7664939,kg,27.215519999999998
Other landfills,70765THDWCHIGHW,325998,1998,7664417,kg,54.431039999999996
Other landfills,70765THDWCHIGHW,325998,1998,71432,kg,0.907184
Other landfills,70765THDWCHIGHW,325998,1998,108601,kg,0.907184
Other landfills,70765THDWCHIGHW,325998,1998,107211,kg,240.40376
Other landfills,70765THDWCHIGHW,325211,1998,78875,kg,13.607759999999999
Other landfills,70765THDWCHIGHW,325211,1998,75569,kg,81.64656
Other landfills,70765THDWCHIGHW,325211,1998,67561,kg,3719.4544
Other landfills,70765THDWCHIGHW,325199,1998,1332214,kg,254918.704
Other landfills,71106BRDND601BE,332313,1998,7440473,kg,990.191336
Other landfills,71220NTRNT705CO,322121,1998,67561,kg,0.226796
Other landfills,71220NTRNT705CO,322121,1998,75070,kg,0.226796
Other landfills,71361NTRNTWILLI,322130,1998,108952,kg,0.453592
Other landfills,71730GRRSN181CO,325199,1998,75445,kg,0.226796
Other landfills,71730GRRSN181CO,325199,1998,7440666,kg,0.226796
Other landfills,71730GRRSN181CO,325199,1998,67561,kg,0.226796
Other landfills,71730GRRSN181CO,325199,1998,108883,kg,0.226796
Other landfills,71730GRRSN181CO,325199,1998,107062,kg,0.226796
Other landfills,71701NTRNT1944A,322220,1998,7664417,kg,2.26796
