PRIMARY NAICS CODE,TRIFID,REPORTING YEAR,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,FLOW
331110,19320LKNSSMODEN,1987,Other landfills,kg,7440393,113.398
331110,19320LKNSSMODEN,1987,Other landfills,kg,7440417,113.398
331110,19320LKNSSMODEN,1987,Other landfills,kg,7440439,113.398
331110,21219BTHLHDUALH,1987,Other disposal,kg,100414,113.398
331110,19612CRPNT101WB,1987,Other landfills,kg,7440508,13426.3232
331110,19612CRPNT101WB,1987,Other landfills,kg,7440484,1905.0864
331110,19612CRPNT101WB,1987,Other landfills,kg,7440473,133945.7176
331110,19612CRPNT101WB,1987,Other landfills,kg,7440020,72801.516
331110,19612CRPNT101WB,1987,Other landfills,kg,7439965,124556.36319999999
331110,18016BTHLH301EA,1987,Other landfills,kg,N420,340.194
331110,19612CRPNT101WB,1987,Other disposal,kg,7697372,408.2328
331110,19612CRPNT101WB,1987,Other disposal,kg,7664393,272.1552
331110,19612CRPNT101WB,1987,Other disposal,kg,7647010,226.796
331110,19320LKNSSMODEN,1987,Other landfills,kg,7697372,113.398
331110,19320LKNSSMODEN,1987,Other landfills,kg,7664393,113.398
331110,19320LKNSSMODEN,1987,Other landfills,kg,7440666,340.194
331110,19320LKNSSMODEN,1987,Other landfills,kg,7440508,113.398
331110,19612CRPNT101WB,1987,Other disposal,kg,7664939,226.796
331110,18016BTHLH301EA,1987,Other landfills,kg,N100,9979.024
331110,18016BTHLH301EA,1987,Other landfills,kg,N090,49895.12
331110,17801YNGDR215PA,1987,Other landfills,kg,7440020,149.68536
331110,15650STNDR107GE,1987,Land treatment/application farming,kg,7439965,0.226796
331110,15650LTRBS2626L,1987,Other landfills,kg,N495,4490.5608
331110,15650LTRBS2626L,1987,Other landfills,kg,N450,3.175144
331110,15650LTRBS2626L,1987,Other landfills,kg,N100,1088.6208
331110,15650LTRBS2626L,1987,Other landfills,kg,N096,816.4656
331110,15650LTRBS2626L,1987,Other landfills,kg,N090,86182.48
331110,15650STNDR107GE,1987,Other landfills,kg,1344281,376408.78528
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7697372,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7664393,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7647010,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7440666,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7440473,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7440020,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7439965,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,7664939,0.226796
331110,15059JLSPC12THS,1987,Underground injection to class i wells,kg,1310732,0.226796
331110,15650STNDR107GE,1987,Other landfills,kg,7439965,6392.925648
331110,15650STNDR107GE,1987,Other landfills,kg,7440473,5633.61264
331110,17801YNGDR215PA,1987,Other landfills,kg,7439965,312.97848
331110,17113BTHLHFRONT,1987,Other landfills,kg,N495,20865.232
331110,17113BTHLHFRONT,1987,Other landfills,kg,N090,28576.296
331110,17009STNDR500WA,1987,Other landfills,kg,7664382,11457.280328
331110,17009STNDR500WA,1987,Other landfills,kg,7440473,4799.910544
331110,17009STNDR500WA,1987,Other landfills,kg,7440020,3124.341696
331110,15650STNDR107GE,1987,Other landfills,kg,7440020,649.090152
331110,17009STNDR500WA,1987,Other landfills,kg,7439965,1998.526352
331110,16003RMCDVROUTE,1987,Other landfills,kg,1310732,113.398
331110,15907RDWRB119WA,1987,Other landfills,kg,107211,8618.248
331110,15650TLDYNROUTE,1987,Other landfills,kg,N495,4535.92
331110,15650TLDYNROUTE,1987,Other landfills,kg,N090,4535.92
331110,15650TLDYNROUTE,1987,Other landfills,kg,1344281,1224698.4
331110,15650STNDR107GE,1987,Other landfills,kg,7664382,10625.3926
331110,17009STNDR500WA,1987,Other landfills,kg,1344281,1145067.602848
331110,21219BTHLHDUALH,1987,Other disposal,kg,100425,113.398
327910,43085GSPRB6325H,1987,Underground injection to class i wells,kg,7647010,0.226796
327910,43085GSPRB6325H,1987,Underground injection to class i wells,kg,1310732,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,MIXTURE,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,100414,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,108101,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,108883,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,1330207,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,67561,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,67641,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,71363,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,78933,0.226796
327310,18014KYSTNRT329,1987,Underground injection to class i wells,kg,MIXTURE,0.226796
327310,21740NDPNDSECUR,1987,Other landfills,kg,1344281,0.226796
327310,21740NDPNDSECUR,1987,Other landfills,kg,7440473,0.226796
327310,21740NDPNDSECUR,1987,Underground injection to class i wells,kg,1344281,0.226796
327310,21740NDPNDSECUR,1987,Underground injection to class i wells,kg,7440473,0.226796
327310,25401CPTLCSOUTH,1987,Other landfills,kg,107211,4.082328
327310,25401CPTLCSOUTH,1987,Other landfills,kg,1344281,45560.141256
327310,25401CPTLCSOUTH,1987,Other landfills,kg,N090,3128.8776159999998
327310,63336DNDCMPOBOX,1987,Other landfills,kg,N982,6896.86636
327310,63336DNDCMPOBOX,1987,Other landfills,kg,N420,1122.186608
327310,63336DNDCMPOBOX,1987,Other landfills,kg,N090,28940.983968
327310,62953MSSRPCOUNT,1987,Other landfills,kg,N090,113.398
327310,50401PRTLN17THS,1987,Other landfills,kg,N090,23087.8328
327310,48131DNDCM6211N,1987,Other landfills,kg,N090,907.184
327310,18014KYSTNRT329,1987,Other landfills,kg,78933,0.226796
327310,47172CPLYCHIGHW,1987,Underground injection to class i wells,kg,N090,0.226796
327310,47172CPLYCHIGHW,1987,Other landfills,kg,N090,0.226796
327310,47172CPLYCHIGHW,1987,Other landfills,kg,1336363,0.0453592
327310,47172CPLYCHIGHW,1987,Other disposal,kg,7664939,340.194
327310,47172CPLYCHIGHW,1987,Other disposal,kg,107211,0.907184
327310,46947CPLYCSTATE,1987,Land treatment/application farming,kg,MIXTURE,340.194
327310,29059SNTCMSCHWY,1987,Other landfills,kg,N090,7929.241752
327310,47172CPLYCHIGHW,1987,Underground injection to class i wells,kg,1336363,0.0453592
327310,18014KYSTNRT329,1987,Other landfills,kg,71363,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,67641,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,67561,0.226796
327215,14870CRNNGADDIA,1987,Underground injection to class i wells,kg,67561,0.226796
327215,14870CRNNGADDIA,1987,Other landfills,kg,N982,113.398
327215,14870CRNNGADDIA,1987,Other landfills,kg,N420,0.0453592
327215,14870CRNNGADDIA,1987,Other landfills,kg,7664393,0.226796
327215,14870CRNNGADDIA,1987,Other landfills,kg,67561,0.226796
327213,92707KRRXX1221E,1987,Underground injection to class i wells,kg,7757826,0.226796
327215,14870CRNNGADDIA,1987,Underground injection to class i wells,kg,7664393,0.226796
327213,92707KRRXX1221E,1987,Underground injection to class i wells,kg,115071,0.226796
327213,92707KRRXX1221E,1987,Other landfills,kg,115071,0.226796
327213,92707KRRXX1221E,1987,Land treatment/application farming,kg,7757826,0.226796
327213,92707KRRXX1221E,1987,Land treatment/application farming,kg,115071,0.226796
327213,90058NCHRG3601S,1987,Underground injection to class i wells,kg,1310732,113.398
327213,90058NCHRG3601S,1987,Other landfills,kg,1310732,113.398
327213,74820WNSBR300EA,1987,Other disposal,kg,1310732,113.398
327213,92707KRRXX1221E,1987,Other landfills,kg,7757826,0.226796
327310,63401CNTNNHIGHW,1987,Land treatment/application farming,kg,7440473,17.690088
327215,14870CRNNGADDIA,1987,Underground injection to class i wells,kg,N420,0.0453592
327215,30269GSRFN200SI,1987,Other landfills,kg,7440666,340.194
327310,18014KYSTNRT329,1987,Other landfills,kg,1330207,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,108883,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,108101,0.226796
327310,18014KYSTNRT329,1987,Other landfills,kg,100414,0.226796
327310,12143BLCRCROUTE,1987,Other disposal,kg,67561,16415.49448
327310,04861DRGNPUSROU,1987,Other landfills,kg,N090,2222.6008
327215,14870CRNNGADDIA,1987,Underground injection to class i wells,kg,N982,0.226796
327215,62025RCHRD234SP,1987,Other landfills,kg,7440393,5.443104
327215,45245SPRCS4000M,1987,Underground injection to class i wells,kg,71556,0.226796
327215,45245SPRCS4000M,1987,Other landfills,kg,71556,0.226796
327215,45245SPRCS3997M,1987,Underground injection to class i wells,kg,78933,0.226796
327215,45245SPRCS3997M,1987,Other landfills,kg,78933,0.226796
327215,45120SPRCS3919B,1987,Underground injection to class i wells,kg,76131,0.226796
327215,45120SPRCS3919B,1987,Other landfills,kg,76131,0.226796
327215,62025RCHRD234SP,1987,Other landfills,kg,7439965,72.121128
327910,43085GSPRB6325H,1987,Underground injection to class i wells,kg,71556,0.226796
327310,64451SCHYLRRIII,1987,Other landfills,kg,7439921,5170.9488
327310,64451SCHYLRRIII,1987,Other landfills,kg,7440382,544.3104
327910,01086MCRBR720SO,1987,Other landfills,kg,1344281,281998.14639999997
327910,01581BLLRD52HOP,1987,Other landfills,kg,1344281,6168.8512
327910,03561NRTNCHIGHL,1987,Other landfills,kg,1344281,24040.376
327910,19008THDMRPOBOX,1987,Other landfills,kg,1344281,340.194
327910,28315CLNLBPOBOX,1987,Other landfills,kg,1344281,340.194
327910,30833GLTNC809BR,1987,Other landfills,kg,1344281,453592.0
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,107211,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,1310732,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,71556,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,7647010,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,7664393,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,7664939,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,7697372,0.226796
327910,43085GSPRB6325H,1987,Land treatment/application farming,kg,N495,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,107211,4.53592
327910,43085GSPRB6325H,1987,Other disposal,kg,1310732,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,71556,0.226796
327910,43085GSPRB6325H,1987,Underground injection to class i wells,kg,107211,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,N495,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,7697372,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,7664939,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,7664393,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,7647010,0.226796
327910,01085WSTFL135AP,1987,Other landfills,kg,1344281,9979.024
327910,43085GSPRB6325H,1987,Other landfills,kg,71556,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,107211,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,N495,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,7697372,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,7664939,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,7664393,0.226796
327910,43085GSPRB6325H,1987,Other disposal,kg,7647010,0.226796
327910,43085GSPRB6325H,1987,Other landfills,kg,1310732,0.226796
327420,94509DMTRNWILBU,1987,Other landfills,kg,N230,1238.759752
327420,81226DMTRNPOBOX,1987,Other landfills,kg,N230,577.422616
327420,81226DMTRNPOBOX,1987,Other disposal,kg,N230,112.037224
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,1330207,0.226796
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,108883,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,79016,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,78933,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,75092,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,71556,0.226796
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,71556,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,1330207,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,79016,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,78933,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,75092,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,71556,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,1330207,0.226796
327310,71836SHGRVPOBOX,1987,Land treatment/application farming,kg,108883,0.226796
327310,71836SHGRVPOBOX,1987,Other landfills,kg,108883,0.226796
327310,64451SCHYLRRIII,1987,Other landfills,kg,7440360,5080.2304
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,75092,0.226796
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,79016,0.226796
327420,7955WGRGPC31FM1,1987,Other landfills,kg,N230,1736.803768
327420,08103DMTRN1101S,1987,Other landfills,kg,N230,174.179328
327410,63670MSSSSHIGHW,1987,Other landfills,kg,7647010,113.398
327410,41056DRVLMROUTE,1987,Other landfills,kg,N090,7542.327776
327410,41006DRVLMRTE1B,1987,Other disposal,kg,107211,6191.077208
327410,17404JBKRC320NO,1987,Other landfills,kg,7439921,11611.9552
327310,71836SHGRVPOBOX,1987,Underground injection to class i wells,kg,78933,0.226796
327410,17404JBKRC320NO,1987,Other landfills,kg,1344281,15422.128
327390,22404XPSCNPOBOX,1987,Other disposal,kg,7647010,19504.456
327332,28677PLYDRMURDO,1987,Other landfills,kg,100425,0.226796
327331,61364STRTRWESTE,1987,Other landfills,kg,7439965,226.796
327310,79776STHDW13MIL,1987,Other landfills,kg,7440473,386.006792
327310,79776STHDW13MIL,1987,Other landfills,kg,7439921,8640.927599999999
327310,74820DLCMN1100W,1987,Other disposal,kg,107211,3401.94
327410,01220PFZRN260CO,1987,Other landfills,kg,TRD SECRT,0.226796
331110,21219BTHLHDUALH,1987,Other disposal,kg,108883,113.398
331110,21219BTHLHDUALH,1987,Other disposal,kg,108952,1859.7272
331110,21219BTHLHDUALH,1987,Other disposal,kg,120127,113.398
331110,46402SSGRYONENO,1987,Other landfills,kg,N420,303906.64
331110,46402SSGRYONENO,1987,Other landfills,kg,N450,725747.2
331110,46402SSGRYONENO,1987,Other landfills,kg,N495,44452.015999999996
331110,46402SSGRYONENO,1987,Other landfills,kg,N982,997902.4
331110,46402SSGRYONENO,1987,Underground injection to class i wells,kg,7647010,11793.392
331110,46402SSGRYONENO,1987,Underground injection to class i wells,kg,N090,32.658624
331110,46402SSGRYONENO,1987,Underground injection to class i wells,kg,N420,14.061352
331110,46402SSGRYONENO,1987,Underground injection to class i wells,kg,N450,249.4756
331110,46402SSGRYONENO,1987,Underground injection to class i wells,kg,N495,9.525432
331110,47362LLGHNPOBOX,1987,Other landfills,kg,N090,185972.72
331110,47362LLGHNPOBOX,1987,Other landfills,kg,N450,5443.104
331110,47362LLGHNPOBOX,1987,Other landfills,kg,N495,136077.6
331110,48209JLSPC330SO,1987,Other disposal,kg,1310732,113.398
331110,48209JLSPC330SO,1987,Other disposal,kg,7647010,113.398
331110,48209JLSPC330SO,1987,Other disposal,kg,7664939,113.398
331110,48209JLSPC330SO,1987,Underground injection to class i wells,kg,1310732,0.226796
331110,48209JLSPC330SO,1987,Underground injection to class i wells,kg,7647010,0.226796
331110,61081NRTHW121WA,1987,Other landfills,kg,7440473,12246.984
331110,61081NRTHW121WA,1987,Other landfills,kg,7439965,267619.27999999997
331110,61081NRTHW121WA,1987,Other landfills,kg,7439921,58966.96
331110,60617LTVST11600,1987,Other landfills,kg,7664939,0.453592
331110,60617LTVST11600,1987,Other landfills,kg,7664417,0.453592
331110,60617LTVST11600,1987,Other landfills,kg,7440666,7711.064
331110,46402SSGRYONENO,1987,Other landfills,kg,N100,58966.96
331110,60617LTVST11600,1987,Other landfills,kg,7439921,498.9512
331110,53963CMTCH401IN,1987,Underground injection to class i wells,kg,7664417,0.226796
331110,53963CMTCH401IN,1987,Other landfills,kg,7664417,0.226796
331110,52778NRTHSHWY38,1987,Other disposal,kg,7440473,24947.56
331110,52778NRTHSHWY38,1987,Other disposal,kg,7439965,1678.2904
331110,49442BKRTC2121L,1987,Other disposal,kg,1310732,113.398
331110,48209JLSPC330SO,1987,Underground injection to class i wells,kg,7664939,0.226796
331110,60617LTVST11600,1987,Other landfills,kg,108952,0.453592
331110,46402SSGRYONENO,1987,Other landfills,kg,N090,952543.2
331110,46402SSGRYONENO,1987,Other landfills,kg,71432,40.369688
