DISPOSAL ACTIVITY,TRIFID,UNIT OF MEASURE,PRIMARY NAICS CODE,TRI_CHEM_ID,REPORTING YEAR,FLOW
Land treatment/application farming,00659CNTRLRD2KM,kg,311119,N982,2017,0.226796
Other landfills,76567SNDWS7MISW,kg,221112,N020,2017,3762.092048
Other landfills,76307PGGNDI44EA,kg,327211,N982,2017,0.226796
Other landfills,76065TXSND245WA,kg,327310,N982,2017,713.953808
Other landfills,76065TXSND245WA,kg,327310,N458,2017,0.33339012
Other landfills,76065TXSND245WA,kg,327310,N450,2017,12165.33744
Other landfills,76065TXSND245WA,kg,327310,N420,2017,299.49318984
Other landfills,76065TXSND245WA,kg,327310,N090,2017,340.194
Other landfills,76065HLNMT1600D,kg,327310,N982,2017,1276.407888
Other landfills,76065HLNMT1600D,kg,327310,N420,2017,1218.801704
Other landfills,76065HLNMT1600D,kg,327310,7439976,2017,0.05896696
Other landfills,76031TXSLM15865,kg,327410,N770,2017,23145.631307008003
Other landfills,76031TXSLM15865,kg,327410,N495,2017,6505.217337112002
Other landfills,76031TXSLM15865,kg,327410,N420,2017,486.633002056
Other landfills,75846NCRSTHWY79,kg,331110,N982,2017,5762.8863599999995
Other landfills,75846NCRSTHWY79,kg,331110,N495,2017,0.226796
Other landfills,75846NCRSTHWY79,kg,331110,N458,2017,0.0453592
Other landfills,75846NCRSTHWY79,kg,331110,N450,2017,26532.86404
Other landfills,75846NCRSTHWY79,kg,331110,N420,2017,1086.806432
Other landfills,75846NCRSTHWY79,kg,331110,N100,2017,1295.912344
Other landfills,76567SNDWS7MISW,kg,221112,N040,2017,115173.359088
Other landfills,75846NCRSTHWY79,kg,331110,N090,2017,1094.517496
Other landfills,76567SNDWS7MISW,kg,221112,N090,2017,22577.088208
Other landfills,76567SNDWS7MISW,kg,221112,N420,2017,11139.312335999999
Other landfills,7656WSNDWG378CH,kg,221112,N982,2017,63785.921408
Other landfills,7656WSNDWG378CH,kg,221112,N770,2017,139532.610264
Other landfills,7656WSNDWG378CH,kg,221112,N760,2017,37672.629968
Other landfills,7656WSNDWG378CH,kg,221112,N725,2017,14397.01008
Other landfills,7656WSNDWG378CH,kg,221112,N495,2017,29677.163784
Other landfills,7656WSNDWG378CH,kg,221112,N458,2017,598.59175464
Other landfills,7656WSNDWG378CH,kg,221112,N450,2017,265931.010576
Other landfills,7656WSNDWG378CH,kg,221112,N420,2017,29865.776409440004
Other landfills,7656WSNDWG378CH,kg,221112,N100,2017,88931.701112
Other landfills,7656WSNDWG378CH,kg,221112,N096,2017,15251.577408
Other landfills,7656WSNDWG378CH,kg,221112,N090,2017,60503.276104
Other landfills,7656WSNDWG378CH,kg,221112,N040,2017,308447.549512
Other landfills,7656WSNDWG378CH,kg,221112,N020,2017,10039.805328
Other landfills,76567SNDWS7MISW,kg,221112,N982,2017,24904.922352
Other landfills,76567SNDWS7MISW,kg,221112,N770,2017,51983.003976
Other landfills,76567SNDWS7MISW,kg,221112,N725,2017,3666.384136
Other landfills,76567SNDWS7MISW,kg,221112,N495,2017,11217.33016
Other landfills,76567SNDWS7MISW,kg,221112,N458,2017,217.4746844
Other landfills,76567SNDWS7MISW,kg,221112,N450,2017,99759.849336
Other landfills,76567SNDWS7MISW,kg,221112,N100,2017,32795.608784
Other landfills,7668WSNDYC2161R,kg,221112,7647010,2017,0.226796
Other landfills,75846LMSTNFM39A,kg,221122,N982,2017,19219.146632
Other landfills,75846LMSTNFM39A,kg,221122,N725,2017,3103.930056
Other landfills,75691MRTNL8850F,kg,221112,N495,2017,19084.429808
Other landfills,75691MRTNL8850F,kg,221112,N458,2017,317.29213992
Other landfills,75691MRTNL8850F,kg,221112,N450,2017,248962.133856
Other landfills,75691MRTNL8850F,kg,221112,N420,2017,13090.09813
Other landfills,75691MRTNL8850F,kg,221112,N100,2017,50437.616032
Other landfills,75691MRTNL8850F,kg,221112,N096,2017,8156.037752
Other landfills,75691MRTNL8850F,kg,221112,N090,2017,25670.132056
Other landfills,75691MRTNL8850F,kg,221112,N050,2017,2495.663184
Other landfills,75691MRTNL8850F,kg,221112,N040,2017,637809.772552
Other landfills,75691MRTNL8850F,kg,221112,N020,2017,8362.875704
Other landfills,75670MRCNNWESTE,kg,325998,7439976,2017,0.57152592
Other landfills,75670MRCNNWESTE,kg,325998,7439965,2017,365.14155999999997
Other landfills,75670MRCNNWESTE,kg,325998,7439921,2017,31.297848
Other landfills,75650HWPRK2400F,kg,221112,N982,2017,23133.192
Other landfills,75650HWPRK2400F,kg,221112,N770,2017,43544.832
Other landfills,75650HWPRK2400F,kg,221112,N760,2017,13154.168
Other landfills,75650HWPRK2400F,kg,221112,N725,2017,8164.656
Other landfills,75650HWPRK2400F,kg,221112,N495,2017,15875.72
Other landfills,75650HWPRK2400F,kg,221112,N458,2017,337.01885599999997
Other landfills,75691MRTNL8850F,kg,221112,N725,2017,6743.098672
Other landfills,75846LMSTNFM39A,kg,221122,N770,2017,27734.88284
Other landfills,75691MRTNL8850F,kg,221112,N760,2017,25554.012504
Other landfills,75691MRTNL8850F,kg,221112,N982,2017,27183.76856
Other landfills,75846LMSTNFM39A,kg,221122,N495,2017,8505.303592
Other landfills,75846LMSTNFM39A,kg,221122,N458,2017,168.055836
Other landfills,75846LMSTNFM39A,kg,221122,N450,2017,89623.882504
Other landfills,75846LMSTNFM39A,kg,221122,N420,2017,6177.469448
Other landfills,75846LMSTNFM39A,kg,221122,N100,2017,21977.893176
Other landfills,75846LMSTNFM39A,kg,221122,N090,2017,11846.008672
Other landfills,75846LMSTNFM39A,kg,221122,N040,2017,472779.848784
Other landfills,75846LMSTNFM39A,kg,221122,N020,2017,3881.8403359999998
Other landfills,75840BGBRW11MIE,kg,221112,N982,2017,12364.91792
Other landfills,75840BGBRW11MIE,kg,221112,N770,2017,25200.664335999998
Other landfills,75840BGBRW11MIE,kg,221112,N760,2017,5336.963472
Other landfills,75840BGBRW11MIE,kg,221112,N495,2017,7652.5506319999995
Other landfills,75840BGBRW11MIE,kg,221112,N458,2017,37.61184864
Other landfills,75840BGBRW11MIE,kg,221112,N450,2017,61486.209968
Other landfills,75840BGBRW11MIE,kg,221112,N420,2017,4907.8200808
Other landfills,75840BGBRW11MIE,kg,221112,N100,2017,17657.429376
Other landfills,75840BGBRW11MIE,kg,221112,N090,2017,9177.980528
Other landfills,75840BGBRW11MIE,kg,221112,N040,2017,299221.03463999997
Other landfills,75840BGBRW11MIE,kg,221112,N020,2017,3086.69356
Other landfills,75691MRTNL8850F,kg,221112,N770,2017,78527.207816
Other landfills,7668WSNDYC2161R,kg,221112,7664393,2017,0.226796
Other landfills,7668WSNDYC2161R,kg,221112,7664417,2017,19982.99556
Other landfills,7668WSNDYC2161R,kg,221112,7664939,2017,0.226796
Other landfills,77656PLPPPPOBOX,kg,322130,N458,2017,3.02545864
Other landfills,77656PLPPPPOBOX,kg,322130,N450,2017,150499.104048
Other landfills,77656PLPPPPOBOX,kg,322130,N420,2017,1025.344716
Other landfills,77656PLPPPPOBOX,kg,322130,N150,2017,0.000815
Other landfills,77656PLPPPPOBOX,kg,322130,N040,2017,29658.11292
Other landfills,77656PLPPPPOBOX,kg,322130,7783064,2017,206.0214864
Other landfills,77656PLPPPPOBOX,kg,322130,75070,2017,6.577084
Other landfills,77656PLPPPPOBOX,kg,322130,67561,2017,1495.039232
Other landfills,77656PLPPPPOBOX,kg,322130,50000,2017,4.8080752
Other landfills,77656PLPPPPOBOX,kg,322130,1319773,2017,0.907184
Other landfills,77656PLPPPPOBOX,kg,322130,120809,2017,0.453592
Other landfills,77656PLPPPPOBOX,kg,322130,108952,2017,17.690088
Other landfills,77630NLNDROLDHI,kg,322130,N982,2017,30866.572726399998
Other landfills,77630NLNDROLDHI,kg,322130,N458,2017,5.6699
Other landfills,77630NLNDROLDHI,kg,322130,N450,2017,74416.99297984
Other landfills,77630NLNDROLDHI,kg,322130,N420,2017,862.4326132799999
Other landfills,77630NLNDROLDHI,kg,322130,N090,2017,23369.51796792
Other landfills,77630NLNDROLDHI,kg,322130,N040,2017,25903.5958584
Other landfills,77630NLNDROLDHI,kg,322130,7783064,2017,26.308336
Other landfills,77656PLPPPPOBOX,kg,322130,N590,2017,27.714471200000002
Other landfills,77630NLNDROLDHI,kg,322130,7782505,2017,2748.21867368
Other landfills,77656PLPPPPOBOX,kg,322130,N770,2017,508.02304
Other landfills,77720THGDYINTER,kg,325212,N511,2017,0.226796
Other landfills,7785WKGRVS13MIL,kg,221112,N495,2017,35538.026015999996
Other landfills,7785WKGRVS13MIL,kg,221112,N458,2017,415.57645448
Other landfills,7785WKGRVS13MIL,kg,221112,N450,2017,596082.937288
Other landfills,7785WKGRVS13MIL,kg,221112,N420,2017,22085.19489952
Other landfills,7785WKGRVS13MIL,kg,221112,N100,2017,109924.846056
Other landfills,7785WKGRVS13MIL,kg,221112,N096,2017,11759.826192
Other landfills,7785WKGRVS13MIL,kg,221112,N090,2017,62211.503576
Other landfills,7785WKGRVS13MIL,kg,221112,N050,2017,6896.86636
Other landfills,7785WKGRVS13MIL,kg,221112,N040,2017,730211.452464
Other landfills,7785WKGRVS13MIL,kg,221112,N020,2017,16745.709456
Other landfills,77830GBBNS25MIL,kg,221112,N982,2017,1241.481304
Other landfills,77830GBBNS25MIL,kg,221112,N770,2017,1951.352784
Other landfills,77830GBBNS25MIL,kg,221112,N450,2017,3904.973528
Other landfills,77830GBBNS25MIL,kg,221112,N420,2017,306.628192
Other landfills,77830GBBNS25MIL,kg,221112,N100,2017,1402.052872
Other landfills,77830GBBNS25MIL,kg,221112,N040,2017,55277.896264
Other landfills,77830GBBNS25MIL,kg,221112,7782414,2017,6541.703824
Other landfills,77830GBBNS25MIL,kg,221112,7726956,2017,170.550592
Other landfills,77830GBBNS25MIL,kg,221112,7439976,2017,1.814368
Other landfills,77656PLPPPPOBOX,kg,322130,N982,2017,12951.865968
Other landfills,77630NLNDROLDHI,kg,322130,75070,2017,35.93809416
Other landfills,77630NLNDROLDHI,kg,322130,67561,2017,13979.478644
Other landfills,77630NLNDROLDHI,kg,322130,64186,2017,154.26210328
Other landfills,76804MCMPNCAMPB,kg,326113,N230,2017,2.721552
Other landfills,76804MCMPNCAMPB,kg,326113,N040,2017,816.4656
Other landfills,76804MCMPNCAMPB,kg,326113,N010,2017,1.814368
Other landfills,76804MCMPNCAMPB,kg,326113,872504,2017,4.082328
Other landfills,76804MCMPNCAMPB,kg,326113,71363,2017,226.796
Other landfills,76804MCMPNCAMPB,kg,326113,1330207,2017,145.14944
Other landfills,76804MCMPNCAMPB,kg,326113,108883,2017,54.431039999999996
Other landfills,76804MCMPNCAMPB,kg,326113,108101,2017,63.50288
Other landfills,76804MCMPNCAMPB,kg,326113,100414,2017,35.833768
Other landfills,76804KHLRCMILAM,kg,326191,N982,2017,15787.723152
Other landfills,76712LHGHC1SWIC,kg,327310,N420,2017,0.0453592
Other landfills,7668WSNDYC2161R,kg,221112,N982,2017,22803.884208
Other landfills,7668WSNDYC2161R,kg,221112,N770,2017,42359.596104
Other landfills,7668WSNDYC2161R,kg,221112,N458,2017,190.055048
Other landfills,7668WSNDYC2161R,kg,221112,N450,2017,33192.955376
Other landfills,7668WSNDYC2161R,kg,221112,N420,2017,7059.7058879999995
Other landfills,7668WSNDYC2161R,kg,221112,N100,2017,31973.70008
Other landfills,7668WSNDYC2161R,kg,221112,N090,2017,15142.715328
Other landfills,7668WSNDYC2161R,kg,221112,N040,2017,1126323.820632
Other landfills,76804MCMPNCAMPB,kg,326113,N420,2017,0.9979024000000001
Other landfills,76804MCMPNCAMPB,kg,326113,N982,2017,444.52016
Other landfills,77481WPRSHYUJON,kg,221122,N020,2017,4956.399784
Other landfills,77481WPRSHYUJON,kg,221122,N040,2017,765081.791056
Other landfills,77630NLNDROLDHI,kg,322130,50000,2017,34.14186984
Other landfills,77630NLNDROLDHI,kg,322130,120809,2017,4.331803600000001
Other landfills,77630NLNDROLDHI,kg,322130,108952,2017,23.051545439999998
Other landfills,77630JMHBRFM736,kg,325180,N590,2017,1.22923432
Other landfills,77630JMHBRFM736,kg,325180,191242,2017,0.04989512
Other landfills,77547MRCNP903MA,kg,325314,N982,2017,0.226796
Other landfills,77541THDWCBUILD,kg,325199,N982,2017,8190.057152
Other landfills,77541THDWCBUILD,kg,325199,N150,2017,4.216520000000001
Other landfills,77541THDWCBUILD,kg,325199,N100,2017,1326.7566
Other landfills,75650HWPRK2400F,kg,221112,N450,2017,158757.2
Other landfills,77541THDWCBUILD,kg,325199,608935,2017,2.62176176
Other landfills,77481WPRSHYUJON,kg,221122,N982,2017,24745.71156
Other landfills,77481WPRSHYUJON,kg,221122,N770,2017,34639.460264
Other landfills,77481WPRSHYUJON,kg,221122,N495,2017,10655.329672
Other landfills,77481WPRSHYUJON,kg,221122,N458,2017,225.3445056
Other landfills,77481WPRSHYUJON,kg,221122,N450,2017,80714.882032
Other landfills,77481WPRSHYUJON,kg,221122,N420,2017,7915.860788
Other landfills,77481WPRSHYUJON,kg,221122,N100,2017,27145.21324
Other landfills,77481WPRSHYUJON,kg,221122,N096,2017,3953.507872
Other landfills,77481WPRSHYUJON,kg,221122,N090,2017,14410.164248
Other landfills,77541THDWCBUILD,kg,325199,118741,2017,57.025586239999996
Other landfills,7785WKGRVS13MIL,kg,221112,N725,2017,16372.856832
Other landfills,75650HWPRK2400F,kg,221112,N420,2017,15748.71424
Other landfills,75650HWPRK2400F,kg,221112,N096,2017,7257.472
Other landfills,74053NRTHSJCTHW,kg,221112,N450,2017,771.1064
Other landfills,74053NRTHSJCTHW,kg,221112,N420,2017,126.552168
Other landfills,74053NRTHSJCTHW,kg,221112,N040,2017,8618.248
Other landfills,73763NTDSTHWY51,kg,327420,N458,2017,0.8164656
Other landfills,73763NTDSTHWY51,kg,327420,N420,2017,23.700181999999998
Other landfills,73532MRCNG18972,kg,327420,7439921,2017,367.863112
Other landfills,72914PRCSN497CL,kg,327390,N420,2017,0.0453592
Other landfills,72734FLNTC21797,kg,221112,N982,2017,240.40376
Other landfills,72734FLNTC21797,kg,221112,N770,2017,335.65808
Other landfills,72734FLNTC21797,kg,221112,N458,2017,2.26796
Other landfills,72734FLNTC21797,kg,221112,N450,2017,340.194
Other landfills,72734FLNTC21797,kg,221112,N420,2017,78.471416
Other landfills,72734FLNTC21797,kg,221112,N100,2017,27.669112
Other landfills,72734FLNTC21797,kg,221112,N040,2017,4989.512
Other landfills,72562NRGYN555PO,kg,221112,N982,2017,11339.8
Other landfills,72562NRGYN555PO,kg,221112,N770,2017,16782.904
Other landfills,72562NRGYN555PO,kg,221112,N495,2017,4989.512
Other landfills,72562NRGYN555PO,kg,221112,N458,2017,72.121128
Other landfills,72562NRGYN555PO,kg,221112,N450,2017,15422.128
Other landfills,74053NRTHSJCTHW,kg,221112,N458,2017,4.082328
Other landfills,72562NRGYN555PO,kg,221112,N420,2017,3020.92272
Other landfills,74053NRTHSJCTHW,kg,221112,N770,2017,498.9512
Other landfills,74116BLCRC2609N,kg,327310,N458,2017,0.1347621832
Other landfills,74434MSKGG5501T,kg,221112,N100,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N090,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N040,2017,0.226796
Other landfills,74403FRTHW5600E,kg,322121,N982,2017,7888.418472
Other landfills,74403FRTHW5600E,kg,322121,N511,2017,0.226796
Other landfills,74403FRTHW5600E,kg,322121,N458,2017,7.116858479999999
Other landfills,74403FRTHW5600E,kg,322121,N420,2017,204.56999199999998
Other landfills,74403FRTHW5600E,kg,322121,N150,2017,1.77e-05
Other landfills,74403FRTHW5600E,kg,322121,67561,2017,420.026192
Other landfills,74361LNSTR5MILE,kg,327310,N982,2017,929.8636
Other landfills,74361LNSTR5MILE,kg,327310,N458,2017,0.0907184
Other landfills,74361LNSTR5MILE,kg,327310,N420,2017,347.40611279999996
Other landfills,74361LNSTR5MILE,kg,327310,7440473,2017,156.035648
Other landfills,74337GRNDR3MIEO,kg,221112,N458,2017,8.618248
Other landfills,74337GRNDR3MIEO,kg,221112,N420,2017,137.891968
Other landfills,74337GRNDR3MIEO,kg,221112,N040,2017,31393.102319999998
Other landfills,7411WCNTNM991E5,kg,326199,131113,2017,0.226796
Other landfills,7411WCNTNM991E5,kg,326199,100425,2017,0.226796
Other landfills,74116BLCRC2609N,kg,327310,N495,2017,585.7687088
Other landfills,74116BLCRC2609N,kg,327310,N420,2017,1378.466088
Other landfills,74434MSKGG5501T,kg,221112,N150,2017,5.0000000000000004e-08
Other landfills,72562NRGYN555PO,kg,221112,N150,2017,5.0000000000000004e-08
Other landfills,72562NRGYN555PO,kg,221112,N090,2017,5443.104
Other landfills,72117PRCSN315PH,kg,327390,N458,2017,0.0453592
Other landfills,72117PRCSN315PH,kg,327390,N420,2017,0.0453592
Other landfills,72110RKNSSHIGHW,kg,322130,N982,2017,13646.392430639999
Other landfills,72110RKNSSHIGHW,kg,322130,N511,2017,48.67495752
Other landfills,72110RKNSSHIGHW,kg,322130,N458,2017,2.81680632
Other landfills,72110RKNSSHIGHW,kg,322130,N450,2017,31898.108973200004
Other landfills,72110RKNSSHIGHW,kg,322130,N420,2017,541.57070432
Other landfills,72110RKNSSHIGHW,kg,322130,N150,2017,4.971e-05
Other landfills,72110RKNSSHIGHW,kg,322130,N040,2017,6087.7262708
Other landfills,72110RKNSSHIGHW,kg,322130,7783064,2017,46.765335199999996
Other landfills,72110RKNSSHIGHW,kg,322130,75070,2017,38.16069496
Other landfills,72110RKNSSHIGHW,kg,322130,67561,2017,1570.03613328
Other landfills,72110RKNSSHIGHW,kg,322130,50000,2017,0.92532768
Other landfills,72110RKNSSHIGHW,kg,322130,120809,2017,0.46719976
Other landfills,72110RKNSSHIGHW,kg,322130,108952,2017,26.22215352
Other landfills,72006NBCNCHWY33,kg,331529,7440508,2017,68969.117192
Other landfills,72006NBCNCHWY33,kg,331529,7439921,2017,12931.454328
Other landfills,7183WJHNWT3711H,kg,221112,N982,2017,14061.351999999999
Other landfills,7183WJHNWT3711H,kg,221112,N770,2017,19504.456
Other landfills,72132NTRGY1100W,kg,221112,N040,2017,399160.96
Other landfills,72562NRGYN555PO,kg,221112,N100,2017,12700.576
Other landfills,72132NTRGY1100W,kg,221112,N090,2017,4989.512
Other landfills,72132NTRGY1100W,kg,221112,N150,2017,5.0000000000000004e-08
Other landfills,72562NRGYN555PO,kg,221112,N040,2017,439984.24
Other landfills,72503RKNSS600LI,kg,327410,N770,2017,4988.950906696
Other landfills,72503RKNSS600LI,kg,327410,N495,2017,1814.875569448
Other landfills,72503RKNSS600LI,kg,327410,N420,2017,3455.39354924
Other landfills,7237WPLMPN2732A,kg,221112,N982,2017,7306.913528
Other landfills,7237WPLMPN2732A,kg,221112,N770,2017,15750.528608
Other landfills,7237WPLMPN2732A,kg,221112,N450,2017,18643.084792
Other landfills,7237WPLMPN2732A,kg,221112,N420,2017,2142.995404
Other landfills,7237WPLMPN2732A,kg,221112,N100,2017,19824.691952
Other landfills,7237WPLMPN2732A,kg,221112,N090,2017,9292.739304
Other landfills,7237WPLMPN2732A,kg,221112,N040,2017,376476.370488
Other landfills,7237WPLMPN2732A,kg,221112,7664417,2017,652.718888
Other landfills,7237WPLMPN2732A,kg,221112,7439976,2017,48.76114
Other landfills,72132NTRGY1100W,kg,221112,N982,2017,10432.616
Other landfills,72132NTRGY1100W,kg,221112,N770,2017,15875.72
Other landfills,72132NTRGY1100W,kg,221112,N495,2017,4535.92
Other landfills,72132NTRGY1100W,kg,221112,N458,2017,69.399576
Other landfills,72132NTRGY1100W,kg,221112,N450,2017,14061.351999999999
Other landfills,72132NTRGY1100W,kg,221112,N420,2017,2916.59656
Other landfills,72132NTRGY1100W,kg,221112,N100,2017,11793.392
Other landfills,74434MSKGG5501T,kg,221112,N420,2017,0.0453592
Other landfills,74434MSKGG5501T,kg,221112,N450,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N458,2017,0.0453592
Other landfills,75607TXSSTOFFHI,kg,325199,50000,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,4170303,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,1330207,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,131113,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,123728,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,123637,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,123386,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,120127,2017,0.680388
Other landfills,75607TXSSTOFFHI,kg,325199,115071,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,110827,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,110543,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,108883,2017,1.814368
Other landfills,75607TXSSTOFFHI,kg,325199,107211,2017,17.690088
Other landfills,75607TXSSTOFFHI,kg,325199,106990,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,100425,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,100414,2017,1.814368
Other landfills,75504NTRNTPOBOX,kg,322121,N982,2017,344.72992
Other landfills,75504NTRNTPOBOX,kg,322121,N458,2017,0.0113398
Other landfills,75504NTRNTPOBOX,kg,322121,N450,2017,1400.238504
Other landfills,75607TXSSTOFFHI,kg,325199,67561,2017,0.226796
Other landfills,75504NTRNTPOBOX,kg,322121,N420,2017,4.082328
Other landfills,75607TXSSTOFFHI,kg,325199,67663,2017,204.796788
Other landfills,75607TXSSTOFFHI,kg,325199,71432,2017,204.796788
Other landfills,75650HWPRK2400F,kg,221112,N090,2017,20411.64
Other landfills,75650HWPRK2400F,kg,221112,N050,2017,6350.288
Other landfills,75650HWPRK2400F,kg,221112,N040,2017,244939.68
Other landfills,75650HWPRK2400F,kg,221112,N020,2017,6803.88
Other landfills,75607TXSSTOFFHI,kg,325199,N982,2017,133.80964
Other landfills,75607TXSSTOFFHI,kg,325199,N230,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,N100,2017,19.958047999999998
Other landfills,75607TXSSTOFFHI,kg,325199,98828,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,92524,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,91203,2017,0.907184
Other landfills,75607TXSSTOFFHI,kg,325199,85018,2017,0.680388
Other landfills,75607TXSSTOFFHI,kg,325199,78842,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,78795,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,77736,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,75218,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,75092,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,74873,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,74851,2017,0.226796
Other landfills,75607TXSSTOFFHI,kg,325199,7440020,2017,190.50863999999999
Other landfills,75607TXSSTOFFHI,kg,325199,71363,2017,16.782904
Other landfills,75504NTRNTPOBOX,kg,322121,N040,2017,1547.202312
Other landfills,75455MNTCLOFFFM,kg,221112,N982,2017,26705.229
Other landfills,75455MNTCLOFFFM,kg,221112,N770,2017,34159.559928
Other landfills,74764WYRHSHIGHW,kg,322130,75070,2017,1.360776
Other landfills,74764WYRHSHIGHW,kg,322130,67561,2017,154.674872
Other landfills,74764WYRHSHIGHW,kg,322130,50000,2017,3.175144
Other landfills,74764WYRHSHIGHW,kg,322130,1319773,2017,0.13154168
Other landfills,74764WYRHSHIGHW,kg,322130,120809,2017,0.13154168
Other landfills,74764WYRHSHIGHW,kg,322130,108952,2017,6.350288
Other landfills,74651SNRGNHWY15,kg,221112,N982,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,N770,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,N458,2017,0.0453592
Other landfills,74651SNRGNHWY15,kg,221112,N450,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,N420,2017,0.0453592
Other landfills,74651SNRGNHWY15,kg,221112,N150,2017,5.0000000000000004e-08
Other landfills,74651SNRGNHWY15,kg,221112,N100,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,N090,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,N040,2017,0.226796
Other landfills,74651SNRGNHWY15,kg,221112,91203,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N982,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N770,2017,0.226796
Other landfills,74434MSKGG5501T,kg,221112,N495,2017,0.226796
Other landfills,74764WYRHSHIGHW,kg,322130,N040,2017,30294.502496
Other landfills,74764WYRHSHIGHW,kg,322130,N090,2017,1934.116288
Other landfills,74764WYRHSHIGHW,kg,322130,N150,2017,0.0077094
Other landfills,74764WYRHSHIGHW,kg,322130,N420,2017,762.0345599999999
Other landfills,75455MNTCLOFFFM,kg,221112,N495,2017,14242.335208
Other landfills,75455MNTCLOFFFM,kg,221112,N458,2017,192.68134568000002
Other landfills,75455MNTCLOFFFM,kg,221112,N450,2017,55842.164712
Other landfills,75455MNTCLOFFFM,kg,221112,N420,2017,8226.15853928
Other landfills,75455MNTCLOFFFM,kg,221112,N100,2017,27428.70824
Other landfills,75455MNTCLOFFFM,kg,221112,N090,2017,14871.013719999999
Other landfills,75455MNTCLOFFFM,kg,221112,N040,2017,595705.095152
Other landfills,75110LCTYR909S1,kg,331511,N495,2017,871.803824
Other landfills,75110LCTYR909S1,kg,331511,N450,2017,105.233344
Other landfills,75650HWPRK2400F,kg,221112,N100,2017,19504.456
Other landfills,75110LCTYR909S1,kg,331511,N120,2017,161.932344
Other landfills,75110LCTYR909S1,kg,331511,108952,2017,114.305184
Other landfills,75041CRRLL2900W,kg,325611,N230,2017,0.226796
