REPORTING YEAR,PRIMARY NAICS CODE,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,TRIFID,FLOW
2016,111930,Land treatment/application farming,kg,1912249,33493KLNTC7MILE,36631.636328
2016,332996,Other disposal,kg,7439965,7704WSPCLZ11971,0.226796
2016,332996,Other disposal,kg,7439965,77050SSTBL9518E,0.226796
2016,332996,Other disposal,kg,7440020,7035WHWCMT3639W,0.226796
2016,332996,Other disposal,kg,7440020,7704WSPCLZ11971,0.226796
2016,332996,Other disposal,kg,7440020,77095HWCMT9611T,0.226796
2016,332996,Other disposal,kg,7440473,7035WHWCMT3639W,0.453592
2016,332996,Other disposal,kg,7440473,7704WSPCLZ11971,0.226796
2016,332996,Other disposal,kg,7440473,77050SSTBL9518E,0.226796
2016,332996,Other disposal,kg,7440473,77095HWCMT9611T,0.226796
2016,332996,Other disposal,kg,7440484,08829CSTML3WASH,0.226796
2016,332996,Other disposal,kg,7440508,77095HWCMT9611T,0.226796
2016,332996,Other landfills,kg,7440508,61550MRTNW7CMME,0.0049441528
2016,332996,RCRA subtitle c landfills,kg,7440508,61550MRTNW7CMME,8.85865176
2016,332999,Other disposal,kg,100425,44460MRCNS605SE,0.226796
2016,332999,Other disposal,kg,554132,53044KHLRC444HI,0.226796
2016,332999,Other disposal,kg,67561,37831SDKRDBEARC,3.628736
2016,332999,Other disposal,kg,71363,60455SGNDC7701W,0.226796
2016,332999,Other disposal,kg,7439921,3626WLBMSP152ME,0.0453592
2016,332999,Other disposal,kg,7439921,60630RSWNS55214,0.0453592
2016,332996,Other disposal,kg,7439965,75656WHLNG22STA,0.226796
2016,332999,Other disposal,kg,7439921,61364STRTR175NS,0.0453592
2016,332996,Other disposal,kg,7439965,73701HCKNY4THWI,0.226796
2016,332996,Other disposal,kg,7439965,15715STRRNMITCH,0.226796
2016,332991,Other disposal,kg,7439965,29340THTMK100TI,0.226796
2016,332991,Other disposal,kg,7440020,27317THTMK3500T,0.226796
2016,332991,Other disposal,kg,7440020,28080THTMK1TIMK,0.226796
2016,332991,Other disposal,kg,7440020,28752DDGRC100RO,0.226796
2016,332991,Other disposal,kg,7440020,29340THTMK100TI,0.226796
2016,332991,Other disposal,kg,7440020,29379THTRRINDUS,0.226796
2016,332991,Other disposal,kg,7440020,44820THTMK2325E,0.226796
2016,332991,Other disposal,kg,7440473,27317THTMK3500T,0.226796
2016,332991,Other disposal,kg,7440473,28752DDGRC100RO,0.226796
2016,332991,Other disposal,kg,7440473,29379THTRRINDUS,0.226796
2016,332991,Other disposal,kg,7440473,38478THTRRPOBOX,0.226796
2016,332991,Other disposal,kg,7440508,29379THTRRINDUS,0.226796
2016,332992,Other disposal,kg,7439921,85205TRWSF4051N,0.0453592
2016,332992,Other disposal,kg,7697372,62024LNCRPSHAMR,0.226796
2016,332993,Other disposal,kg,55630,71744HTCHN12MIW,0.226796
2016,332994,Other disposal,kg,7439921,7862WSTNTR114HA,0.0453592
2016,332996,Other disposal,kg,7439921,71602WHLNG5411I,0.0453592
2016,332996,Other disposal,kg,7439921,75656WHLNG22STA,0.0453592
2016,332996,Other disposal,kg,7439921,77050SSTBL9518E,0.0453592
2016,332996,Other disposal,kg,7439965,71602WHLNG5411I,0.226796
2016,332999,Other disposal,kg,7439921,61561PRSNSJUNCT,0.0453592
2016,332999,Other disposal,kg,7439921,68901DTTNL1601W,0.0453592
2016,332999,Other disposal,kg,7439965,3503WTHGSG1759C,0.226796
2016,332999,Other disposal,kg,7440020,8021WBNDTD4799D,0.226796
2016,332999,Other disposal,kg,7440473,17601GSMND3249H,2.26796
2016,332999,Other disposal,kg,7440473,3626WLBMSP152ME,0.226796
2016,332999,Other disposal,kg,7440473,37831SDKRDBEARC,0.226796
2016,332999,Other disposal,kg,7440473,4302WLSRFL3649P,0.226796
2016,332999,Other disposal,kg,7440473,55342SCHWS72121,0.226796
2016,332999,Other disposal,kg,7440473,61364STRTR175NS,0.226796
2016,332999,Other disposal,kg,7440473,61561PRSNSJUNCT,0.226796
2016,332999,Other disposal,kg,7440473,62510GSGRP14EIL,0.226796
2016,332999,Other disposal,kg,7440473,6411WHLLND134BU,0.226796
2016,332999,Other disposal,kg,7440473,65706TYLRC1300T,2.26796
2016,332999,Other disposal,kg,7440473,8021WBNDTD4799D,0.226796
2016,332999,Other disposal,kg,7440508,37831SDKRDBEARC,1026.478696
2016,332999,Other disposal,kg,7440508,55342SCHWS72121,0.226796
2016,332999,Other disposal,kg,7440508,61364STRTR175NS,0.226796
2016,332999,Other disposal,kg,7440508,61561PRSNSJUNCT,0.226796
2016,332999,Other disposal,kg,7440508,75020KWKST2600N,0.8391452
2016,332999,Other disposal,kg,7647010,98409NWTCH2601S,113.398
2016,332999,Other disposal,kg,7697372,6004WGRMRC1275E,0.226796
2016,332999,Other disposal,kg,7440020,65706TYLRC1300T,2.26796
2016,332999,Other disposal,kg,7440020,6411WHLLND134BU,0.226796
2016,332999,Other disposal,kg,7440020,6283WGSGRP151WN,0.226796
2016,332999,Other disposal,kg,7440020,6256WGSGRP24SSP,0.226796
2016,332999,Other disposal,kg,7439965,37831SDKRDBEARC,0.226796
2016,332999,Other disposal,kg,7439965,4302WLSRFL3649P,0.226796
2016,332999,Other disposal,kg,7439965,60455SGNDC7701W,0.226796
2016,332999,Other disposal,kg,7439965,61364STRTR175NS,0.226796
2016,332999,Other disposal,kg,7439965,6194WGSGRP13217,0.226796
2016,332999,Other disposal,kg,7439965,62510GSGRP14EIL,0.226796
2016,332999,Other disposal,kg,7439965,6256WGSGRP24SSP,0.226796
2016,332999,Other disposal,kg,7439965,6283WGSGRP151WN,0.226796
2016,332999,Other disposal,kg,7439965,65706TYLRC1300T,2.26796
2016,332991,Other disposal,kg,7439965,28080THTMK1TIMK,0.226796
2016,332999,Other disposal,kg,7439976,37831SDKRDBEARC,0.0453592
2016,332999,Other disposal,kg,7440020,3503WTHGSG1759C,0.226796
2016,332999,Other disposal,kg,7440020,3626WLBMSP152ME,0.226796
2016,332999,Other disposal,kg,7440020,37831SDKRDBEARC,15.87572
2016,332999,Other disposal,kg,7440020,4302WLSRFL3649P,0.226796
2016,332999,Other disposal,kg,7440020,55342SCHWS72121,0.226796
