DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2005,kg,00759BRCWDCARR8,321114,N020,0.226796
Other landfills,2005,kg,79008PHLLPSTATE,324110,7440622,436.809096
Other landfills,2005,kg,79008PHLLPSTATE,324110,71432,14.968536
Other landfills,2005,kg,79008PHLLPSTATE,324110,127184,19.504456
Other landfills,2005,kg,79008PHLLPSTATE,324110,111422,204.1164
Other landfills,2005,kg,79008PHLLPSTATE,324110,110827,31.297848
Other landfills,2005,kg,79008PHLLPSTATE,324110,110543,43.544832
Other landfills,2005,kg,79008PHLLPSTATE,324110,108952,8.618248
Other landfills,2005,kg,79008PHLLPSTATE,324110,108883,8.164656
Other landfills,2005,kg,79008PHLLPSTATE,324110,107211,4.9895119999999995
Other landfills,2005,kg,79008PHLLP2MILE,325199,67561,0.226796
Other landfills,2005,kg,79008PHLLP2MILE,325199,108952,271.701608
Other landfills,2005,kg,79008PHLLP2MILE,325199,108883,0.226796
Other landfills,2005,kg,79008PHLLP2MILE,325199,106467,4.53592
Other landfills,2005,kg,79008CMNCMFMROA,325311,1332214,843.68112
Other landfills,2005,kg,79007JMHBRHIGHW,325180,N590,2.20899304
Other landfills,2005,kg,79007JMHBRHIGHW,325180,7439921,0.04989512
Other landfills,2005,kg,79007JMHBRHIGHW,325180,191242,0.08618248
Other landfills,2005,kg,78945LCRFY6549P,221122,N096,0.226796
Other landfills,2005,kg,78945LCRFY6549P,221112,N982,0.226796
Other landfills,2005,kg,79008PHLLPSTATE,324110,74851,3.175144
Other landfills,2005,kg,79008PHLLPSTATE,324110,7664417,2.26796
Other landfills,2005,kg,79008PHLLPSTATE,324110,91203,4.082328
Other landfills,2005,kg,79008PHLLPSTATE,324110,95636,37.194544
Other landfills,2005,kg,79546NWNGC832CO,327420,N420,11.4305184
Other landfills,2005,kg,79535LNSTRFARMR,327310,7440473,267.165688
Other landfills,2005,kg,79535LNSTRFARMR,327310,7439921,0.0453592
Other landfills,2005,kg,79252GRGPCLOOP2,327420,N982,1315.4168
Other landfills,2005,kg,79252GRGPCLOOP2,327420,7439976,0.0453592
Other landfills,2005,kg,79187BPNCXFARMR,311611,N090,2.26796
Other landfills,2005,kg,79108STHWSNLAKE,221112,N100,0.226796
Other landfills,2005,kg,79066CBTCR5MILE,325180,N590,12.6325372
Other landfills,2005,kg,79066CBTCR5MILE,325180,7439976,0.02721552
Other landfills,2005,kg,78945LCRFY6549P,221112,N770,0.226796
Other landfills,2005,kg,79066CBTCR5MILE,325180,7439921,1.12037224
Other landfills,2005,kg,79065CBTCR3MLSW,325180,N590,42.90073136
Other landfills,2005,kg,79065CBTCR3MLSW,325180,7439976,0.031751440000000006
Other landfills,2005,kg,79065CBTCR3MLSW,325180,7439921,1.31995272
Other landfills,2005,kg,79065CBTCR3MLSW,325180,191242,0.487157808
Other landfills,2005,kg,79008PHLLPSTATE,324110,N590,49.441528
Other landfills,2005,kg,79008PHLLPSTATE,324110,N495,3343.880224
Other landfills,2005,kg,79008PHLLPSTATE,324110,N458,8.164656
Other landfills,2005,kg,79008PHLLPSTATE,324110,N420,33.565808
Other landfills,2005,kg,79008PHLLPSTATE,324110,98828,1.814368
Other landfills,2005,kg,79066CBTCR5MILE,325180,191242,0.031751440000000006
Other landfills,2005,kg,79721FNLNDIS20E,324110,71432,0.08164655999999999
Other landfills,2005,kg,78945LCRFY6549P,221112,N590,0.0453592
Other landfills,2005,kg,78945LCRFY6549P,221112,N458,0.0453592
Other landfills,2005,kg,78217CPTLG11551,327310,7439976,0.109428162816
Other landfills,2005,kg,78215DRMTL307EJ,325412,94360,113.398
Other landfills,2005,kg,78132TXPRT7781F,327310,N458,1.3048934656
Other landfills,2005,kg,78132TXPRT7781F,327310,N450,1865.9867696000001
Other landfills,2005,kg,78132TXPRT7781F,327310,N420,904.2810112
Other landfills,2005,kg,78132TXPRT7781F,327310,N090,681.1591064
Other landfills,2005,kg,77979NNCRBPOBOX,325199,N982,0.226796
Other landfills,2005,kg,77979NNCRBPOBOX,325199,N420,0.0453592
Other landfills,2005,kg,77979NNCRBPOBOX,325199,N230,0.226796
Other landfills,2005,kg,77979NNCRBPOBOX,325199,N090,14.061352
Other landfills,2005,kg,77979NNCRBPOBOX,325199,111422,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,N770,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,N495,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,N106,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,79107,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,79061,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,7782505,0.226796
Other landfills,2005,kg,77979BPCHMTEXAS,325199,7664417,0.226796
