DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,1994,kg,00625BNNRPPRRD1,325510,108883,0.226796
Other landfills,1994,kg,43416BRSHWSOUTH,331420,7440417,8473.09856
Other landfills,1994,kg,43416BRSHWSOUTH,331420,7440020,4730.96456
Other landfills,1994,kg,43325GLNGR3785C,327120,N450,2.26796
Other landfills,1994,kg,43325GLNGR3785C,327120,N090,113.398
Other landfills,1994,kg,43325GLNGR3785C,327120,N040,113.398
Other landfills,1994,kg,43206PLTNG800FR,332813,N982,11990.70452
Other landfills,1994,kg,43162JFFRS6670S,336370,117817,0.226796
Other landfills,1994,kg,43125GRFFN3900B,331513,7439965,596473.48
Other landfills,1994,kg,43072KTHPR1111N,336211,7440508,155.582056
Other landfills,1994,kg,43055WNSCRCASEA,327993,7664417,32312.079712
Other landfills,1994,kg,43055WNSCRCASEA,327993,50000,32312.079712
Other landfills,1994,kg,43055WNSCRCASEA,327993,108952,2456.20068
Other landfills,1994,kg,43416BRSHWSOUTH,331420,7440508,123649.1792
Other landfills,1994,kg,43040HNDFM2400A,336111,100425,0.226796
Other landfills,1994,kg,42420LCNNGKENTU,331313,7440508,9579.86304
Other landfills,1994,kg,42348WLLMTPOBOX,322121,7782505,0.226796
Other landfills,1994,kg,42348WLLMTPOBOX,322121,7664939,0.226796
Other landfills,1994,kg,42348WLLMTPOBOX,322121,7647010,0.226796
Other landfills,1994,kg,42348WLLMTPOBOX,322121,75070,0.907184
Other landfills,1994,kg,42348WLLMTPOBOX,322121,67663,2.26796
Other landfills,1994,kg,42348WLLMTPOBOX,322121,67561,113.398
Other landfills,1994,kg,42348WLLMTPOBOX,322121,120809,2.26796
Other landfills,1994,kg,42348WLLMTPOBOX,322121,10049044,0.226796
Other landfills,1994,kg,42276LGNLMPOBOX,331315,N230,0.226796
Other landfills,1994,kg,42276LGNLMPOBOX,331315,78933,0.226796
Other landfills,1994,kg,42276LGNLMPOBOX,331315,7782505,0.226796
Other landfills,1994,kg,42431GTKNTISLAN,333515,7440484,113.398
Other landfills,1994,kg,42276LGNLMPOBOX,331315,7664939,0.226796
Other landfills,1994,kg,4343WNTDST121LA,322121,107211,1.814368
Other landfills,1994,kg,43512GMCXXSTATE,331511,103231,39008.912
Other landfills,1994,kg,43515BNTNG200VA,331529,7440508,0.226796
Other landfills,1994,kg,43515BNTNG200VA,331529,7440020,0.226796
Other landfills,1994,kg,43515BNTNG200VA,331529,7439921,0.0453592
Other landfills,1994,kg,43512MNVLLTHIRD,327993,50000,0.226796
Other landfills,1994,kg,43512MNVLLCARPE,327993,7664417,1521.80116
Other landfills,1994,kg,43512MNVLLCARPE,327993,50000,742.983696
Other landfills,1994,kg,43512MNVLLCARPE,327993,108952,1624.312952
Other landfills,1994,kg,43512GMCXXSTATE,331511,N982,1360776.0
Other landfills,1994,kg,43512GMCXXSTATE,331511,N450,181436.8
Other landfills,1994,kg,43512GMCXXSTATE,331511,N420,16329.312
Other landfills,1994,kg,43512GMCXXSTATE,331511,N100,9979.024
Other landfills,1994,kg,43512GMCXXSTATE,331511,N090,9979.024
Other landfills,1994,kg,43512GMCXXSTATE,331511,101688,952.5432
Other landfills,1994,kg,43512GMCXXSTATE,331511,7664939,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,7664382,24493.968
Other landfills,1994,kg,43512GMCXXSTATE,331511,7647010,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,7440020,2902.9888
Other landfills,1994,kg,43512GMCXXSTATE,331511,71432,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,67561,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,6484522,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,50000,5896.696
Other landfills,1994,kg,43512GMCXXSTATE,331511,1319773,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,111422,113.398
Other landfills,1994,kg,43512GMCXXSTATE,331511,108952,5896.696
Other landfills,1994,kg,43512GMCXXSTATE,331511,108883,0.226796
Other landfills,1994,kg,43512GMCXXSTATE,331511,107211,21318.824
Other landfills,1994,kg,43512GMCXXSTATE,331511,7664417,0.226796
Other landfills,1994,kg,42276LGNLMPOBOX,331315,7440508,0.226796
Other landfills,1994,kg,42276LGNLMPOBOX,331315,7440473,1020.582
Other landfills,1994,kg,42276LGNLMPOBOX,331315,7439965,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,7664417,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,7664382,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,7647010,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,7440508,3492.6584
Other landfills,1994,kg,42029GFCHMHIGHW,325199,7440020,3566.593896
Other landfills,1994,kg,42029GFCHMHIGHW,325199,71432,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,67561,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,64675,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,50000,10.432616
Other landfills,1994,kg,42029GFCHMHIGHW,325199,108883,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,108316,0.226796
Other landfills,1994,kg,42029GFCHMHIGHW,325199,108054,0.226796
