DISPOSAL ACTIVITY,TRIFID,PRIMARY NAICS CODE,REPORTING YEAR,TRI_CHEM_ID,UNIT OF MEASURE,FLOW
Land treatment/application farming,00655YRSTWSTATE,325412,1991,7664939,kg,0.226796
Other landfills,43055WNSCRCASEA,327993,1991,108952,kg,1814.368
Other landfills,43015LBRTC975PI,333316,1991,7440508,kg,113.398
Other landfills,43015LBRTC975PI,334118,1991,7440508,kg,113.398
Other landfills,42701THCLT901WE,326199,1991,101688,kg,469.46772
Other landfills,42701THCLT901WE,336612,1991,101688,kg,469.46772
Other landfills,42431GTKNTISLAN,333515,1991,7440484,kg,113.398
Other landfills,42420LCNNGKENTU,331313,1991,7440508,kg,9579.86304
Other landfills,42348WRLDS45RIV,332812,1991,71363,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,78933,kg,2.26796
Other landfills,42348WLLMTPOBOX,322121,1991,7782505,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,7664939,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,7664417,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,7664382,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,7647010,kg,0.226796
Other landfills,42348WLLMTPOBOX,322121,1991,67663,kg,113.398
Other landfills,42348WLLMTPOBOX,322121,1991,67641,kg,113.398
Other landfills,42348WLLMTPOBOX,322121,1991,67561,kg,1088.6208
Other landfills,42348WLLMTPOBOX,322121,1991,120809,kg,113.398
Other landfills,42348WLLMTPOBOX,322121,1991,10049044,kg,0.226796
Other landfills,42303WRGRC5525U,322121,1991,79107,kg,2.26796
Other landfills,42303GRNRV4701U,331110,1991,7439965,kg,907.184
Other landfills,42303GRNRV4701U,331110,1991,1313275,kg,340.194
Other landfills,42276LGNLMPOBOX,331315,1991,78933,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,7782505,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,7664939,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,7440508,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,7440473,kg,498.9512
Other landfills,43055WNSCRCASEA,327993,1991,50000,kg,23133.192
Other landfills,42276LGNLMPOBOX,331315,1991,7439965,kg,0.226796
Other landfills,43055WNSCRCASEA,327993,1991,7664417,kg,24040.376
Other landfills,43162JFFRS6670S,336370,1991,117817,kg,2654.420384
Other landfills,43605NTNLC1414E,331513,1991,1313275,kg,2.26796
Other landfills,43567MLTCS225EL,331524,1991,7440508,kg,0.907184
Other landfills,43566MNVLLPLANT,327212,1991,50000,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,91203,kg,544.3104
Other landfills,43512GMCXXSTATE,331511,1991,7783202,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,7664939,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,7664417,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,7664382,kg,26761.928
Other landfills,43512GMCXXSTATE,331511,1991,7647010,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,71556,kg,299.37072
Other landfills,43512GMCXXSTATE,331511,1991,67561,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,6484522,kg,0.226796
Other landfills,43512GMCXXSTATE,331511,1991,50000,kg,1133.98
Other landfills,43512GMCXXSTATE,331511,1991,108952,kg,2494.756
Other landfills,43512GMCXXSTATE,331511,1991,107211,kg,33112.216
Other landfills,43512GMCXXSTATE,331511,1991,103231,kg,14061.351999999999
Other landfills,43512GMCXXSTATE,331511,1991,101688,kg,816.4656
Other landfills,43502SDRWD502MI,337122,1991,7440393,kg,3.175144
Other landfills,4343WNTDST121LA,327420,1991,7429905,kg,6.350288
Other landfills,4343WNTDST121LA,322121,1991,107211,kg,53.523856
Other landfills,43416BRSHWSOUTH,331410,1991,7440508,kg,57061.8736
Other landfills,43416BRSHWSOUTH,331410,1991,7440417,kg,9797.5872
Other landfills,43416BRSHWSOUTH,331410,1991,7440020,kg,6032.7735999999995
Other landfills,43229LBRTC1050D,333415,1991,7440508,kg,113.398
Other landfills,43201MLDXX1209N,332813,1991,79016,kg,2041.164
Other landfills,43125GRFFN3900B,331513,1991,7439965,kg,498951.2
Other landfills,43605NTNLC1414E,331513,1991,7439965,kg,231126.442824
Other landfills,42276LGNLMPOBOX,331315,1991,7429905,kg,1.360776
Other landfills,42276LGNLMPOBOX,331315,1991,1330207,kg,0.226796
Other landfills,41105RMCST4000E,324199,1991,71432,kg,113.398
Other landfills,41105RMCST4000E,324199,1991,1330207,kg,113.398
Other landfills,41105RMCST4000E,324199,1991,108952,kg,113.398
Other landfills,41105RMCST4000E,324199,1991,108883,kg,113.398
Other landfills,41105RMCSHUSROU,331110,1991,7440666,kg,544.3104
Other landfills,41105RMCSHUSROU,331110,1991,7429905,kg,2267.96
Other landfills,41008DWCRNUSHIG,325199,1991,7647010,kg,0.226796
Other landfills,41008DWCRNUSHIG,325199,1991,74873,kg,0.226796
Other landfills,41008DWCRNUSHIG,325199,1991,74851,kg,0.226796
Other landfills,41008DWCRNUSHIG,325199,1991,67561,kg,78.471416
Other landfills,41008DWCRNUSHIG,325199,1991,107211,kg,0.453592
Other landfills,40701NTNLSINDUS,331222,1991,7664382,kg,0.226796
Other landfills,40701MRCNGRFD3A,511191,1991,127184,kg,0.226796
Other landfills,40701MRCNGRFD3A,519130,1991,127184,kg,0.226796
Other landfills,40602TPYCRCHENA,336390,1991,7664382,kg,2857.6295999999998
Other landfills,40422DNVCT500TE,339991,1991,7440473,kg,0.226796
Other landfills,40422DNVCT500TE,339991,1991,7440020,kg,0.226796
Other landfills,40213DVRYN101LO,325510,1991,107211,kg,11.3398
Other landfills,40208MRCNR200CE,333415,1991,78933,kg,0.226796
Other landfills,40208MRCNR200CE,333415,1991,7440473,kg,0.226796
Other landfills,40208MRCNR200CE,333415,1991,7440020,kg,0.226796
Other landfills,40208MRCNR200CE,333415,1991,7439965,kg,0.226796
Other landfills,39744PLYMTINDUS,331210,1991,7664939,kg,0.226796
Other landfills,39744PLYMTINDUS,331210,1991,7664382,kg,0.226796
Other landfills,39567FRSTC1001I,325110,1991,99650,kg,27.215519999999998
Other landfills,39567FRSTC1001I,325110,1991,98953,kg,163.29312
Other landfills,41105RMCST4000E,324199,1991,7664417,kg,113.398
Other landfills,42276LGNLMPOBOX,331315,1991,71363,kg,0.226796
Other landfills,41105RMCST4000E,324199,1991,91203,kg,113.398
Other landfills,42029GFCHMHIGHW,325199,1991,50000,kg,29.029888
Other landfills,42276LGNLMPOBOX,331315,1991,108883,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,108101,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,107211,kg,0.226796
Other landfills,42276LGNLMPOBOX,331315,1991,100414,kg,0.226796
Other landfills,42261MCRCY609GA,331314,1991,7664417,kg,399160.96
Other landfills,42261MCRCY609GA,331314,1991,7440508,kg,2948.348
Other landfills,42261MCRCY609GA,331314,1991,7439965,kg,10432.616
Other landfills,42261MCRCY609GA,331314,1991,7429905,kg,124737.8
Other landfills,42164SMTML796SM,336320,1991,7440508,kg,0.226796
Other landfills,42134MRCNBUSHIG,331420,1991,7440508,kg,2.26796
Other landfills,42129SMTML687IN,334418,1991,7440508,kg,0.226796
Other landfills,42087WSTVCHIGHW,322121,1991,78933,kg,4.9895119999999995
Other landfills,42087WSTVCHIGHW,322121,1991,7782505,kg,0.226796
Other landfills,42087WSTVCHIGHW,322121,1991,67641,kg,0.226796
Other landfills,42087WSTVCHIGHW,322121,1991,67561,kg,2177.2416
Other landfills,42087WSTVCHIGHW,322121,1991,120809,kg,0.226796
Other landfills,42087WSTVCHIGHW,322121,1991,108952,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,7664417,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,7440508,kg,3311.2216
Other landfills,42029GFCHMHIGHW,325199,1991,7440020,kg,6803.88
Other landfills,42029GFCHMHIGHW,325199,1991,71432,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,71363,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,67641,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,67561,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,64675,kg,0.226796
Other landfills,42029GFCHMHIGHW,325199,1991,108883,kg,0.226796
Other landfills,39567FRSTC1001I,325110,1991,88891,kg,7.711064
Other landfills,43605NTNLC1414E,331513,1991,7440020,kg,855.928104
Other landfills,43616CRDXD1800N,325120,1991,7664417,kg,0.226796
Other landfills,45804RNDLL1046G,332721,1991,7439921,kg,0.0453592
Other landfills,45802SPRRC600EW,336111,1991,67641,kg,0.226796
Other landfills,45802SPRRC600EW,336111,1991,108883,kg,0.226796
Other landfills,45656PGRNRCOUNT,327120,1991,7664382,kg,4115.893808
Other landfills,45404DRRNC450NO,333914,1991,7440473,kg,145.14944
Other landfills,45365THSTL1501W,332119,1991,7697372,kg,0.226796
Other landfills,45365THSTL1501W,332119,1991,7664939,kg,0.226796
Other landfills,45365THSTL1501W,332119,1991,7664382,kg,0.226796
Other landfills,45365THSTL1501W,332119,1991,7647010,kg,0.226796
Other landfills,45365DRSSRNMAIN,333912,1991,7439965,kg,2.26796
Other landfills,45237MPRLD6315W,325520,1991,78933,kg,0.226796
Other landfills,45237MPRLD6315W,325520,1991,75092,kg,0.226796
Other landfills,45237MPRLD6315W,325520,1991,71556,kg,0.226796
Other landfills,45237MPRLD6315W,325520,1991,123911,kg,0.226796
Other landfills,45237MPRLD6315W,325520,1991,110827,kg,0.226796
Other landfills,45237MPRLD6315W,325520,1991,108883,kg,0.226796
Other landfills,45225MDLPT3242S,331524,1991,7440508,kg,0.226796
Other landfills,45225KHNSN3241S,311611,1991,7782505,kg,0.226796
Other landfills,45056SQRDC5735C,335311,1991,7440508,kg,562.45408
Other landfills,45044SQRDC1500S,335313,1991,7440508,kg,0.226796
Other landfills,45044SQRDC1500S,335313,1991,7439965,kg,0.226796
Other landfills,45043RMCNC1801C,331110,1991,7429905,kg,213188.24
Other landfills,45042SRGPP901MA,322121,1991,7783202,kg,19.958047999999998
Other landfills,45042SRGPP901MA,322121,1991,67561,kg,252.197152
Other landfills,45042SRGPP901MA,322121,1991,50000,kg,995.63444
Other landfills,45804RNDLL1046G,332721,1991,7440508,kg,0.226796
Other landfills,45042SRGPP901MA,322121,1991,1344281,kg,6230.539712
Other landfills,45804WHMCX1600M,331511,1991,7439965,kg,21772.416
Other landfills,45804WHMCX1600M,331511,1991,7440473,kg,19504.456
Other landfills,46312NLNDS3210W,331110,1991,156627,kg,2.26796
Other landfills,46312NLNDS3210W,331110,1991,1313275,kg,113.398
Other landfills,46304BTHLHBURNS,331110,1991,95636,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,92524,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,91225,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,91203,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,7782505,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,7664939,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,7664417,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,7664382,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,7647010,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,71556,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,71432,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,1330207,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,132649,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,120127,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,110861,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,108952,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,108883,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,107211,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,105679,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,100425,kg,0.226796
Other landfills,46304BTHLHBURNS,331110,1991,100414,kg,0.226796
Other landfills,46012BCRLC705ES,331513,1991,7440473,kg,113.398
Other landfills,46012BCRLC705ES,331513,1991,7439965,kg,5126.950376
Other landfills,45804WHMCX1600M,331511,1991,7440020,kg,12246.984
Other landfills,43605NTNLC1414E,331513,1991,7440473,kg,1194.761328
Other landfills,45036CNCNNRT484,334419,1991,7440508,kg,231.33192
Other landfills,44864MNSFL150FI,327110,1991,7440508,kg,157.396424
Other landfills,44509YNGST3700O,331210,1991,7697372,kg,0.226796
Other landfills,44509YNGST3700O,331210,1991,7440473,kg,0.226796
Other landfills,44502LCTRC751EL,325998,1991,7697372,kg,0.226796
Other landfills,44502LCTRC751EL,325998,1991,7664939,kg,0.226796
Other landfills,44502LCTRC751EL,325998,1991,7664382,kg,0.226796
Other landfills,44502LCTRC751EL,325998,1991,7647010,kg,0.226796
Other landfills,44502LCTRC751EL,325998,1991,50000,kg,0.226796
Other landfills,44481WRRNW1040P,331110,1991,7664417,kg,122.46984
Other landfills,44305LNCRD1680E,326199,1991,67641,kg,0.226796
Other landfills,44305LNCRD1680E,336612,1991,67641,kg,0.226796
Other landfills,44266GNRLL6800N,335110,1991,7439921,kg,2.26796
Other landfills,44146TTLST25661,331523,1991,7440508,kg,2.26796
Other landfills,44128STNLY19120,332710,1991,7440473,kg,0.226796
Other landfills,44105LMNMC1600H,332112,1991,7440508,kg,127.00576
Other landfills,44105LMNMC1600H,332112,1991,7440473,kg,439.98424
Other landfills,44105LMNMC1600H,332112,1991,7440020,kg,1270.0576
Other landfills,44105LMNMC1600H,332112,1991,7439965,kg,2.721552
Other landfills,44104LGRYB2800E,339999,1991,1330207,kg,113.398
Other landfills,44103DYGLC4515S,325130,1991,989388,kg,170.097
Other landfills,44102LWCHM8300B,339999,1991,7664382,kg,0.226796
