DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,1992,kg,00617BBTTCROADN,325412,7664939,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,107211,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,100414,0.226796
Other landfills,1992,kg,45365STLLC2633C,332322,N230,0.226796
Other landfills,1992,kg,45365DRSSRNMAIN,333912,7439965,2.26796
Other landfills,1992,kg,45245LCSTM3241O,336211,7647010,0.226796
Other landfills,1992,kg,45237HLTND2235L,325130,85449,340.194
Other landfills,1992,kg,45225MDLPT3242S,331524,7440508,0.226796
Other landfills,1992,kg,45177HRSTY2627S,331523,7440508,113.398
Other landfills,1992,kg,45056SQRDC5735C,335311,7440508,566.99
Other landfills,1992,kg,45050RKYPL240AM,326121,108883,0.226796
Other landfills,1992,kg,45043RMCNC1801C,331110,N982,504847.896
Other landfills,1992,kg,45043RMCNC1801C,331110,N495,6350.288
Other landfills,1992,kg,45043RMCNC1801C,331110,N450,127005.76
Other landfills,1992,kg,45365STLLC2633C,332812,108101,0.226796
Other landfills,1992,kg,45043RMCNC1801C,331110,N420,24040.376
Other landfills,1992,kg,44870GCFND2806W,331511,7439965,2589.103136
Other landfills,1992,kg,44864MNSFL150FI,327110,N982,41730.464
Other landfills,1992,kg,44864MNSFL150FI,327110,7440508,179.16884
Other landfills,1992,kg,44864MNSFL150FI,327110,7439921,111.583632
Other landfills,1992,kg,44805FLTLS268EA,326299,N982,0.226796
Other landfills,1992,kg,44805FLTLS268EA,336612,N982,0.226796
Other landfills,1992,kg,44805FLTLS268EA,325412,108883,0.226796
Other landfills,1992,kg,44805FLTLS1111F,326299,108883,0.226796
Other landfills,1992,kg,44805FLTLS1111F,336612,108883,0.226796
Other landfills,1992,kg,44708GRGRY41001,332322,N982,0.226796
Other landfills,1992,kg,44707MTRPL1201M,327120,N450,113.398
Other landfills,1992,kg,44707MTRPL1201M,327120,N090,113.398
Other landfills,1992,kg,44706CNTND4575S,332111,7440473,9434.7136
Other landfills,1992,kg,44601MRCNS1001E,331513,50000,0.226796
Other landfills,1992,kg,44601MRCNS1001E,331513,108952,0.226796
Other landfills,1992,kg,45043RMCNC1801C,331110,7429905,79378.6
Other landfills,1992,kg,44481WRRNW1040P,331110,N982,23133.192
Other landfills,1992,kg,45365STLLC2633C,332812,108883,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,71363,0.226796
Other landfills,1992,kg,46304BTHLHBURNS,331110,106990,0.226796
Other landfills,1992,kg,46304BTHLHBURNS,331110,105679,0.226796
Other landfills,1992,kg,46304BTHLHBURNS,331110,100425,0.226796
Other landfills,1992,kg,46304BTHLHBURNS,331110,100414,0.226796
Other landfills,1992,kg,46202MTCHM1340N,331491,7440224,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,79016,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,7697372,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,7664417,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,7664393,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,7440473,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,7440020,0.226796
Other landfills,1992,kg,45895SPRRT820SW,331210,71556,0.226796
Other landfills,1992,kg,45804WHMCX1600M,331511,7440473,28576.296
Other landfills,1992,kg,45365STLLC2633C,332812,1330207,0.226796
Other landfills,1992,kg,45804WHMCX1600M,331511,7440020,18143.68
Other landfills,1992,kg,45656PGRNRCOUNT,327120,N040,113.398
Other landfills,1992,kg,45656PGRNRCOUNT,327120,7664382,5533.8224
Other landfills,1992,kg,45365STLLC2633C,332812,N982,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,N495,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,N090,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,N078,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,N010,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,95636,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,91203,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,78933,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,7697372,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,7664939,0.226796
Other landfills,1992,kg,45365STLLC2633C,332812,71556,0.226796
Other landfills,1992,kg,45804WHMCX1600M,331511,7439965,31751.44
Other landfills,1992,kg,44481WRRNW1040P,331110,N495,2086.5232
Other landfills,1992,kg,44481WRRNW1040P,331110,N450,412768.72
Other landfills,1992,kg,44481WRRNW1040P,331110,N420,997.9024
Other landfills,1992,kg,43512MNVLLCOLUM,327993,50000,0.226796
Other landfills,1992,kg,43512MNVLLCOLUM,327993,108952,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,N982,258547.44
Other landfills,1992,kg,43512GMCXXSTATE,331511,N450,249475.6
Other landfills,1992,kg,43512GMCXXSTATE,331511,N420,4354.4832
Other landfills,1992,kg,43512GMCXXSTATE,331511,N100,9071.84
Other landfills,1992,kg,43512GMCXXSTATE,331511,N090,17690.088
Other landfills,1992,kg,43512GMCXXSTATE,331511,7783202,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,7664939,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,7664417,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,7664382,24493.968
Other landfills,1992,kg,43512GMCXXSTATE,331511,7647010,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,7440020,3946.2504
Other landfills,1992,kg,43567MLTCS225EL,331524,7440508,0.907184
Other landfills,1992,kg,43512GMCXXSTATE,331511,71556,2.26796
Other landfills,1992,kg,43512GMCXXSTATE,331511,6484522,0.226796
Other landfills,1992,kg,43512GMCXXSTATE,331511,50000,3538.0176
Other landfills,1992,kg,43512GMCXXSTATE,331511,111422,113.398
Other landfills,1992,kg,43512GMCXXSTATE,331511,108952,4535.92
Other landfills,1992,kg,43512GMCXXSTATE,331511,107211,23586.784
Other landfills,1992,kg,43512GMCXXSTATE,331511,103231,29937.072
Other landfills,1992,kg,43512GMCXXSTATE,331511,101688,1224.6984
Other landfills,1992,kg,4343WNTDST121LA,327420,N040,5.896696
Other landfills,1992,kg,4343WNTDST121LA,327420,7429905,6.350288
Other landfills,1992,kg,4343WNTDST121LA,322121,107211,42.637648
Other landfills,1992,kg,43416BRSHWSOUTH,331410,7440508,66224.432
Other landfills,1992,kg,43416BRSHWSOUTH,331410,7440417,7076.0352
Other landfills,1992,kg,43416BRSHWSOUTH,331410,7440020,3674.0951999999997
Other landfills,1992,kg,43512GMCXXSTATE,331511,67561,0.226796
Other landfills,1992,kg,43605NTNLC1414E,331513,7439965,106716.136248
Other landfills,1992,kg,43605NTNLC1414E,331513,7440020,693.542168
Other landfills,1992,kg,43605NTNLC1414E,331513,7440473,733.004672
Other landfills,1992,kg,44481WRRNW1040P,331110,N090,31751.44
Other landfills,1992,kg,44481WRRNW1040P,331110,7664417,376.48136
Other landfills,1992,kg,44460QKRCT310EU,331511,7664382,113.398
Other landfills,1992,kg,44408CLMBN501LI,331513,N090,113.398
Other landfills,1992,kg,44281NVXNC258SO,326220,75092,0.453592
Other landfills,1992,kg,44281NVXNC258SO,326220,7440473,0.907184
Other landfills,1992,kg,44266RVNNL706NW,331524,80159,824.630256
Other landfills,1992,kg,44224STRKT201ES,325998,N982,113.398
Other landfills,1992,kg,44128STNLY19120,332710,7439965,0.226796
Other landfills,1992,kg,44127LTVST3100E,331110,N982,544310.4
Other landfills,1992,kg,44127LTVST3100E,331110,N495,10432.616
Other landfills,1992,kg,44127LTVST3100E,331110,N450,385553.2
Other landfills,1992,kg,44127LTVST3100E,331110,N100,2721.552
Other landfills,1992,kg,44127LTVST3100E,331110,N090,17690.088
Other landfills,1992,kg,44127GSMTL3330E,332119,75092,0.226796
