DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,1996,kg,00619CRBBNLUCHE,324110,115071,0.226796
RCRA subtitle c landfills,1996,kg,01089NTNLM203CI,332999,7440020,0.226796
RCRA subtitle c landfills,1996,kg,01089NTNLM203CI,332999,7440473,0.226796
RCRA subtitle c landfills,1996,kg,01835LTRNT46ROG,334412,7440508,725.7472
RCRA subtitle c landfills,1996,kg,01841MLDNM46STA,313310,1163195,0.226796
RCRA subtitle c landfills,1996,kg,01844WNGLB126ME,334412,N100,6.350288
RCRA subtitle c landfills,1996,kg,01887CRSNS730MA,325211,78933,90.7184
RCRA subtitle c landfills,1996,kg,02403BRBRC932NM,326121,117817,0.226796
RCRA subtitle c landfills,1996,kg,00661PCRPRHUMAC,325411,51218,113.398
RCRA subtitle c landfills,1996,kg,02703SWNKN6HAZE,339910,7440508,0.226796
RCRA subtitle c landfills,1996,kg,02832CSTLP35MEC,325211,117817,0.226796
RCRA subtitle c landfills,1996,kg,02893SLLCHGREEN,325211,108883,0.226796
RCRA subtitle c landfills,1996,kg,04090SPNCR90SPE,323111,107211,0.226796
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,108952,30.390664
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,120809,0.453592
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,67561,1814.368
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,67663,33.565808
RCRA subtitle c landfills,1996,kg,02722NRTHM106FE,326299,N982,3011.397288
RCRA subtitle c landfills,1996,kg,02722NRTHM106FE,336612,N982,3011.397288
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,91203,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,71432,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,1330207,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,108883,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,108907,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,67561,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,71751412,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,74873,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,75092,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,75434,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,7647010,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,7664417,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,N106,0.226796
RCRA subtitle c landfills,1996,kg,00617MRCKSSTATE,325411,N495,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,324110,115071,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,324110,74851,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,100414,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,108883,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,110543,0.226796
RCRA subtitle c landfills,1996,kg,00619CRBBNLUCHE,424710,110827,0.226796
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,75070,2.721552
Other landfills,1996,kg,99901KTCHKMILE7,322110,7664417,0.226796
RCRA subtitle c landfills,1996,kg,04694GRGPCMILLA,322121,7664417,0.226796
RCRA subtitle c landfills,1996,kg,06110CHNDLCHART,336412,71556,2.26796
RCRA subtitle c landfills,1996,kg,07080NTRLB650SO,311999,N982,0.226796
RCRA subtitle c landfills,1996,kg,07080NTRLB650SO,325412,67561,0.226796
RCRA subtitle c landfills,1996,kg,07083MCCNF1000B,331491,7439921,0.0453592
RCRA subtitle c landfills,1996,kg,07083MCCNF1000B,331491,7440224,0.226796
RCRA subtitle c landfills,1996,kg,07083MCCNF1000B,331491,7440360,0.226796
RCRA subtitle c landfills,1996,kg,07083MCCNF1000B,331491,7440439,0.226796
RCRA subtitle c landfills,1996,kg,07083MCCNF1000B,331491,7440508,0.226796
RCRA subtitle c landfills,1996,kg,07077CPCHMARBOR,325180,N495,907.184
RCRA subtitle c landfills,1996,kg,07095LCNBL11CRA,332812,872504,8.164656
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,324199,71556,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,324199,7664382,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,324199,98828,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,325998,1330207,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,325998,872504,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,325998,95636,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,325998,N230,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,324199,100414,0.226796
RCRA subtitle c landfills,1996,kg,07077CPCHMARBOR,325180,N100,725.7472
RCRA subtitle c landfills,1996,kg,07072CRLTN456WA,332813,N982,0.226796
RCRA subtitle c landfills,1996,kg,07072CRLTN456WA,332813,N106,0.226796
RCRA subtitle c landfills,1996,kg,06378MRCNV22BAY,313310,7664939,0.226796
RCRA subtitle c landfills,1996,kg,06473PRTTW415WA,336412,7429905,0.226796
RCRA subtitle c landfills,1996,kg,06473PRTTW415WA,336412,7440020,0.226796
RCRA subtitle c landfills,1996,kg,06473PRTTW415WA,336412,7440473,0.226796
RCRA subtitle c landfills,1996,kg,06473PRTTW415WA,336412,7440484,0.226796
RCRA subtitle c landfills,1996,kg,06473PRTTW415WA,336412,7440508,0.226796
RCRA subtitle c landfills,1996,kg,06475RRDNNSCHOO,323111,N230,0.226796
RCRA subtitle c landfills,1996,kg,06492TCHCR340QU,334418,7664417,2.26796
RCRA subtitle c landfills,1996,kg,06820CHRKT330PO,325998,100447,0.226796
RCRA subtitle c landfills,1996,kg,07014LPHPR210DE,332812,108883,0.226796
RCRA subtitle c landfills,1996,kg,07014LPHPR210DE,332812,1330207,0.226796
RCRA subtitle c landfills,1996,kg,07014LPHPR210DE,332812,71556,0.226796
RCRA subtitle c landfills,1996,kg,07014LPHPR210DE,332812,78933,0.226796
RCRA subtitle c landfills,1996,kg,07066CSMRN20022,325620,7664382,0.226796
RCRA subtitle c landfills,1996,kg,07066CSMRN20022,325620,7664417,0.226796
RCRA subtitle c landfills,1996,kg,07066CSMRN20022,325620,N230,0.226796
RCRA subtitle c landfills,1996,kg,07071SKCRP201PO,325520,100414,0.226796
RCRA subtitle c landfills,1996,kg,04841FMCCRCROCK,325199,7664939,0.226796
RCRA subtitle c landfills,1996,kg,07105DLTMR26BLA,325998,N511,0.226796
Other landfills,1996,kg,99901KTCHKMILE7,322110,67663,0.907184
Other landfills,1996,kg,99363BSCSCPOBOX,322130,7664382,0.226796
Other landfills,1996,kg,96007SMPSNHAWES,322121,N230,2.721552
Other landfills,1996,kg,96707CHVRN91480,324110,100414,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,106423,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,108383,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,108883,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,110543,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,110827,113.398
Other landfills,1996,kg,96007SMPSNHAWES,322121,7782505,0.226796
Other landfills,1996,kg,96707CHVRN91480,324110,71432,2.26796
Other landfills,1996,kg,96707CHVRN91480,324110,95476,113.398
Other landfills,1996,kg,96707CHVRN91480,324110,95636,113.398
Other landfills,1996,kg,97016JMSRVWAUNA,322121,120809,0.226796
Other landfills,1996,kg,97016JMSRVWAUNA,322121,64186,0.226796
Other landfills,1996,kg,97055MDNBR16600,332323,7440508,2.26796
Other landfills,1996,kg,97124PSNPR3950N,333316,N010,113.398
