DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,1988,kg,00636MRSNPDORAD,335313,7439976,0.0453592
Other landfills,1988,kg,62025RCHRD234SP,327120,N040,36.28736
Other landfills,1988,kg,62002LCLDSCUTST,331110,7664382,1148.494944
Other landfills,1988,kg,62002LCLDSCUTST,331110,7440473,1426.54684
Other landfills,1988,kg,62002LCLDSCUTST,331110,1344281,21123.77944
Other landfills,1988,kg,61920MRBSNROUTE,323111,71556,141.974296
Other landfills,1988,kg,61832GMCXXI74AT,331511,7440508,18143.68
Other landfills,1988,kg,62025RCHRD234SP,327120,N450,220.899304
Other landfills,1988,kg,61832GMCXXI74AT,331511,7440473,54431.04
Other landfills,1988,kg,61832GMCXXI74AT,331511,7429905,14061.351999999999
Other landfills,1988,kg,61832GMCXXI74AT,331511,71556,816.4656
Other landfills,1988,kg,61832GMCXXI74AT,331511,50000,145149.44
Other landfills,1988,kg,61832GMCXXI74AT,331511,1344281,635028.8
Other landfills,1988,kg,61832GMCXXI74AT,331511,108952,145149.44
Other landfills,1988,kg,61832GMCXXI74AT,331511,101688,7257.472
Other landfills,1988,kg,61832GMCXXI74AT,331511,7439965,63502.88
Other landfills,1988,kg,61821KRFTN1701W,311513,7782505,0.226796
Other landfills,1988,kg,62040GRNTC20THS,331110,107211,725.7472
Other landfills,1988,kg,62040GRNTC20THS,331110,67561,4.53592
Other landfills,1988,kg,62084SHLLLRTE11,324110,107062,0.226796
Other landfills,1988,kg,62084SHLLLRTE11,324110,106990,0.226796
Other landfills,1988,kg,62084SHLLLRTE11,324110,106934,0.226796
Other landfills,1988,kg,62084SHLLLRTE11,324110,106503,0.226796
Other landfills,1988,kg,62084SHLLLRTE11,324110,100414,0.226796
Other landfills,1988,kg,62048CLRKLHAWTH,324110,67561,0.226796
Other landfills,1988,kg,62040GRNTC20THS,331110,1344281,29937.072
Other landfills,1988,kg,62040GRNTC20THS,331110,7664939,38.55532
Other landfills,1988,kg,62040GRNTC20THS,331110,7440666,1406135.2
Other landfills,1988,kg,62040GRNTC20THS,331110,7440508,2222.6008
Other landfills,1988,kg,62040GRNTC20THS,331110,7440473,8618.248
Other landfills,1988,kg,62040GRNTC20THS,331110,7439965,172364.96
