DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,2011,kg,00851HSSLVLIMET,324110,100414,0.226796
Other landfills,2011,kg,66536JFFRY25905,221112,N450,42819.0848
Other landfills,2011,kg,66536JFFRY25905,221112,N420,9295.007264
Other landfills,2011,kg,66536JFFRY25905,221112,N100,29755.6352
Other landfills,2011,kg,66536JFFRY25905,221112,N096,4182.11824
Other landfills,2011,kg,66536JFFRY25905,221112,N090,11521.2368
Other landfills,2011,kg,66536JFFRY25905,221112,N040,898112.16
Other landfills,2011,kg,66411GRGPC2127H,327420,N458,0.08618248
Other landfills,2011,kg,66411GRGPC2127H,327420,N420,10.6140528
Other landfills,2011,kg,66536JFFRY25905,221112,N458,53.433137599999995
Other landfills,2011,kg,66111GRFFN7111G,331513,7439965,307930.908224
Other landfills,2011,kg,66104QNDRP3601N,221112,7440666,6.8038799999999995
Other landfills,2011,kg,66104QNDRP3601N,221112,7440622,0.05443104
Other landfills,2011,kg,66104QNDRP3601N,221112,7440508,7.257472
Other landfills,2011,kg,66104QNDRP3601N,221112,7440393,204.1164
Other landfills,2011,kg,66104QNDRP3601N,221112,7439976,0.0453592
Other landfills,2011,kg,66104QNDRP3601N,221112,7439965,10.432616
Other landfills,2011,kg,66104QNDRP3601N,221112,7439921,1.360776
Other landfills,2011,kg,66104NRMNC4240N,221112,7440666,1403.413648
Other landfills,2011,kg,66111GRFFN7111G,331513,7439921,2086.976792
Other landfills,2011,kg,66536JFFRY25905,221112,N495,7166.7536
Other landfills,2011,kg,66536JFFRY25905,221112,N760,11475.8776
Other landfills,2011,kg,66536JFFRY25905,221112,N770,31071.052
Other landfills,2011,kg,66736LFRGCSOUTH,327310,N100,2177.2416
Other landfills,2011,kg,66736LFRGCSOUTH,327310,N090,997.9024
Other landfills,2011,kg,66736LFRGCSOUTH,327310,N040,453.592
Other landfills,2011,kg,66720SHGRVNORTH,327310,N982,924.2254514399999
Other landfills,2011,kg,66720SHGRVNORTH,327310,N770,109.71029704
Other landfills,2011,kg,66720SHGRVNORTH,327310,N495,126.46144960000001
Other landfills,2011,kg,66720SHGRVNORTH,327310,N458,4.327267679999999
Other landfills,2011,kg,66720SHGRVNORTH,327310,N450,2471.8722836
Other landfills,2011,kg,66720SHGRVNORTH,327310,N420,731.14948072
Other landfills,2011,kg,66720SHGRVNORTH,327310,N150,7.4449000000000005e-06
Other landfills,2011,kg,66720SHGRVNORTH,327310,N100,194.24170216000002
Other landfills,2011,kg,66720SHGRVNORTH,327310,N096,19.164262
Other landfills,2011,kg,66720SHGRVNORTH,327310,N090,147.8483124
Other landfills,2011,kg,66720SHGRVNORTH,327310,N050,0.7030676
Other landfills,2011,kg,66720SHGRVNORTH,327310,N040,868.72393432
Other landfills,2011,kg,66542TCMSH2NDDU,221112,N458,1.0432616
Other landfills,2011,kg,66542TCMSH2NDDU,221112,N420,381.697668
Other landfills,2011,kg,66542TCMSH2NDDU,221112,N040,57152.592
Other landfills,2011,kg,66536JFFRY25905,221112,N982,21681.6976
Other landfills,2011,kg,66104NRMNC4240N,221112,7440622,2993.7072
Other landfills,2011,kg,66736LFRGCSOUTH,327310,N150,0.0023902700000000003
Other landfills,2011,kg,66104NRMNC4240N,221112,7440508,2526.053848
Other landfills,2011,kg,66104NRMNC4240N,221112,7439976,6.350288
Other landfills,2011,kg,65804JMSRV5701K,221112,N458,1.814368
Other landfills,2011,kg,65804JMSRV5701K,221112,N420,132.81173760000001
Other landfills,2011,kg,65804JMSRV5701K,221112,N040,3032.2625199999998
Other landfills,2011,kg,65804JMSRV5701K,221112,7664417,113.398
Other landfills,2011,kg,65619STHWSWALNU,221112,N770,14367.5266
Other landfills,2011,kg,65619STHWSWALNU,221112,N458,22.226008
Other landfills,2011,kg,65619STHWSWALNU,221112,N420,2150.933264
Other landfills,2011,kg,65619STHWSWALNU,221112,N040,117387.34164
Other landfills,2011,kg,66040LCYGNRR1BO,221112,7664393,0.226796
Other landfills,2011,kg,65619STHWSWALNU,221112,7664417,1492.771272
Other landfills,2011,kg,65244THMSHRTE1B,221112,N770,19504.456
Other landfills,2011,kg,65244THMSHRTE1B,221112,N495,5307.0264
Other landfills,2011,kg,65244THMSHRTE1B,221112,N458,45.3592
Other landfills,2011,kg,65244THMSHRTE1B,221112,N450,12564.4984
Other landfills,2011,kg,65244THMSHRTE1B,221112,N420,3900.8912
Other landfills,2011,kg,65244THMSHRTE1B,221112,N100,20411.64
Other landfills,2011,kg,65244THMSHRTE1B,221112,N090,6803.88
Other landfills,2011,kg,65244THMSHRTE1B,221112,N040,639564.72
Other landfills,2011,kg,65244THMSHRTE1B,221112,N982,12473.78
Other landfills,2011,kg,66040LCYGNRR1BO,221112,7664417,127.00576
Other landfills,2011,kg,66040LCYGNRR1BO,221112,N020,7711.064
