REPORTING YEAR,PRIMARY NAICS CODE,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,TRIFID,FLOW
2008,111930,Land treatment/application farming,kg,13194484,33440NTDSTSOUTH,20105.011808
2008,332322,Other disposal,kg,7440473,16511THVCT1651E,0.226796
2008,332322,Other disposal,kg,7440508,1470WDWSNM825AL,0.226796
2008,332322,Other surface impoundment,kg,108883,45365STLLC2633C,0.226796
2008,332322,Other surface impoundment,kg,71363,45365STLLC2633C,0.226796
2008,332322,Other surface impoundment,kg,7439965,45365STLLC2633C,0.226796
2008,332323,Other disposal,kg,108883,4470WHGRTN5299S,0.226796
2008,332323,Other disposal,kg,7439965,43502BLJXN125TA,0.226796
2008,332323,Other disposal,kg,7439965,4470WHGRTN5299S,0.226796
2008,332322,Other disposal,kg,7440473,16323SPCLT455AL,0.226796
2008,332323,Other disposal,kg,7440020,4470WHGRTN5299S,0.226796
2008,332323,Other disposal,kg,7440508,4470WHGRTN5299S,0.226796
2008,332323,Other landfills,kg,7440508,97055MDNBR16600,2.26796
2008,332410,Other disposal,kg,7440020,90502RDMNQ198NR,0.226796
2008,332410,Other disposal,kg,7440473,90502RDMNQ198NR,0.226796
2008,332410,Other disposal,kg,7440508,23323GHTTR2601T,0.226796
2008,332410,Other disposal,kg,7440508,90502RDMNQ198NR,0.226796
2008,332410,Other disposal,kg,7664393,24504BBCCKMTATH,0.226796
2008,332410,Other surface impoundment,kg,7664393,24504BBCCKMTATH,0.226796
2008,332323,Other disposal,kg,7440473,4470WHGRTN5299S,0.226796
2008,332322,Other disposal,kg,7440473,1470WDWSNM825AL,0.226796
2008,332322,Other disposal,kg,7440473,14701BLCKS1BLAC,0.226796
2008,332322,Other disposal,kg,7440020,16323SPCLT455AL,0.226796
2008,332313,Other surface impoundment,kg,7440473,74015MTRXS119WM,0.226796
2008,332313,RCRA subtitle c landfills,kg,7439965,74015MTRXS119WM,0.226796
2008,332313,RCRA subtitle c landfills,kg,7440020,74015MTRXS119WM,0.226796
2008,332313,RCRA subtitle c landfills,kg,7440473,74015MTRXS119WM,0.226796
2008,332321,Other disposal,kg,108883,50401CRRSC2519T,0.226796
2008,332321,Other disposal,kg,1330207,50401CRRSC16001,0.226796
2008,332321,Other disposal,kg,1330207,50401CRRSC2519T,0.226796
2008,332321,Other disposal,kg,7439921,50401CRRSC16001,0.0453592
2008,332321,Other disposal,kg,7439965,50401CRRSC2519T,0.226796
2008,332321,Other disposal,kg,7440508,14733LLSNB125WM,0.226796
2008,332321,Other disposal,kg,95636,50401CRRSC2519T,0.226796
2008,332322,Other disposal,kg,108883,45365STLLC2633C,0.226796
2008,332322,Other disposal,kg,108883,55343DCPRD845EX,0.226796
2008,332322,Other disposal,kg,71363,45365STLLC2633C,0.226796
2008,332322,Other disposal,kg,7439921,06484NCNGN217LN,0.0453592
2008,332322,Other disposal,kg,7439965,14701BLCKS1BLAC,0.226796
2008,332322,Other disposal,kg,7439965,45365STLLC2633C,0.226796
2008,332322,Other disposal,kg,7440020,14701BLCKS1BLAC,0.226796
2008,332322,Other disposal,kg,7440020,1470WDWSNM825AL,0.226796
2008,332410,Other surface impoundment,kg,7697372,24504BBCCKMTATH,0.226796
2008,332313,Other surface impoundment,kg,7440020,74015MTRXS119WM,0.226796
2008,332420,Other disposal,kg,1330207,44424STNWD6868S,0.226796
2008,332431,Other disposal,kg,108101,17604JLCLR303NO,120.75979816
2008,332618,Other disposal,kg,7440020,55987PRLSS1416E,0.226796
2008,332618,Other disposal,kg,7440473,77007HLLBR1201S,0.226796
2008,332618,Other disposal,kg,7440473,77007HLLBR1907S,0.226796
2008,332618,Other disposal,kg,7440666,61354WHMZC100SO,2.041164
2008,332710,Other disposal,kg,127184,44111TTPNC3317W,0.226796
2008,332710,Other disposal,kg,7439921,24120MCRMT2900W,0.0453592
2008,332710,Other disposal,kg,7439921,45885PRKRH1700E,2.26796
2008,332710,Other disposal,kg,7439921,52544CCMCH22233,0.0453592
2008,332618,Other disposal,kg,7439965,55987PRLSS1416E,0.226796
2008,332710,Other disposal,kg,7439921,63025RTDCN800HO,0.0453592
2008,332710,Other disposal,kg,7439921,9280WRTDCM712NR,0.0453592
2008,332710,Other disposal,kg,7439965,16161MSPCL100FI,0.226796
2008,332710,Other disposal,kg,7439965,45885PRKRH1700E,2.26796
2008,332710,Other disposal,kg,7439965,52544CCMCH22233,0.226796
2008,332710,Other disposal,kg,7439965,7703WTXSHN2ALDI,0.226796
2008,332710,Other disposal,kg,7439965,7758WTXSHN171MY,0.226796
2008,332710,Other disposal,kg,7440020,15846RBCNC650BR,0.226796
2008,332710,Other disposal,kg,7440020,7703WTMKNB1473Y,0.226796
2008,332710,Other disposal,kg,7439921,7758WTXSHN171MY,0.0453592
2008,332618,Other disposal,kg,7439921,55987PRLSS1416E,0.0453592
2008,332613,Other disposal,kg,7440473,49443CLRCR2700W,0.226796
2008,332613,Other disposal,kg,7440473,16407SSCTD226SO,0.226796
2008,332431,Other disposal,kg,1330207,17604JLCLR303NO,263.18768616
2008,332431,Other disposal,kg,71363,17604JLCLR303NO,95.79409448
2008,332431,Other disposal,kg,7439921,96707RYNLD91320,0.01360776
2008,332431,Other disposal,kg,95636,17604JLCLR303NO,52.01793056
2008,332431,Other disposal,kg,95636,45244HKNCN8200B,0.226796
2008,332439,Other disposal,kg,127184,60160MCHTR1635N,0.226796
2008,332439,Other disposal,kg,7439921,15317NCSNC30CUR,0.0453592
2008,332439,Other disposal,kg,7439965,15317NCSNC30CUR,0.226796
2008,332439,Other disposal,kg,7440020,15317NCSNC30CUR,0.226796
2008,332439,Other disposal,kg,7440473,15317NCSNC30CUR,0.226796
2008,332439,Other disposal,kg,7697372,60160MCHTR1635N,0.226796
2008,332510,Other disposal,kg,7439965,53210MSTRL2600N,0.226796
2008,332510,Other disposal,kg,7440020,61356SCHLG121WR,0.226796
2008,332510,Other disposal,kg,7440473,53210MSTRL2600N,0.226796
2008,332510,Other disposal,kg,7440473,61356SCHLG121WR,0.226796
2008,332510,Other disposal,kg,7440508,19611BLDWN841EW,0.226796
2008,332510,Other disposal,kg,7697372,53210MSTRL2600N,0.226796
2008,332510,Other disposal,kg,79016,19611BLDWN841EW,0.226796
2008,332613,Other disposal,kg,7440020,16407SSCTD226SO,0.226796
2008,332431,Other disposal,kg,100414,17604JLCLR303NO,72.81058784000001
2008,332710,Other disposal,kg,7440020,7703WTXSHN2ALDI,0.226796
2008,332313,Other surface impoundment,kg,7439965,74015MTRXS119WM,0.226796
2008,332313,Other landfills,kg,7440020,74015MTRXS119WM,0.226796
2008,332117,Other disposal,kg,7440020,06801VTTCR7TRWB,0.226796
2008,332117,Other disposal,kg,7440020,60176CHCGP9700W,0.226796
2008,332117,Other disposal,kg,7440508,15824BRCKW921CL,0.226796
2008,332117,Other disposal,kg,7440508,60176CHCGP9700W,0.226796
2008,332117,Other disposal,kg,7697372,5475WPHLLP422TE,0.226796
2008,332117,Other landfills,kg,7440020,06801VTTCR7TRWB,0.226796
2008,332216,Other disposal,kg,7439921,29501GNRLL3001W,0.0453592
2008,332216,Other disposal,kg,7439965,29501GNRLL3001W,0.226796
2008,332119,Underground injection to class ii-v wells,kg,7440508,49686GRNDT2707A,0.226796
2008,332216,Other disposal,kg,7440020,29501GNRLL3001W,0.226796
2008,332216,Other disposal,kg,7440508,29501GNRLL3001W,0.226796
2008,332215,Other disposal,kg,127184,66203VTCRF11100,0.226796
2008,332215,Other disposal,kg,7429905,15317CLDMTRD2HE,0.226796
2008,332215,Other disposal,kg,7439965,15317CLDMTRD2HE,0.226796
2008,332215,Other disposal,kg,7440020,15317CLDMTRD2HE,0.226796
2008,332215,Other disposal,kg,7440473,15317CLDMTRD2HE,0.226796
2008,332215,Other disposal,kg,7440473,66203VTCRF11100,113.398
2008,332215,Other disposal,kg,7440508,15317CLDMTRD2HE,0.226796
2008,332216,Other disposal,kg,7440473,29501GNRLL3001W,0.226796
2008,332119,Other landfills,kg,7440473,18407HNDRC7THAV,415.490272
2008,332119,Other landfills,kg,7440020,18407HNDRC7THAV,115.66596
2008,332119,Other landfills,kg,7439965,18407HNDRC7THAV,103.872568
2008,332119,Other disposal,kg,7439965,44092NVRSL29980,0.226796
2008,332119,Other disposal,kg,7439965,60005BRKND511WA,0.226796
2008,332119,Other disposal,kg,7440020,04210GNRLL135RO,0.226796
2008,332119,Other disposal,kg,7440020,35055CLLMN1909B,0.226796
2008,332119,Other disposal,kg,7440020,44030GNRLL880MA,2.26796
2008,332119,Other disposal,kg,7440020,44092NVRSL29980,0.226796
2008,332119,Other disposal,kg,7440020,60005BRKND511WA,0.226796
2008,332119,Other disposal,kg,7440473,04210GNRLL135RO,0.226796
2008,332119,Other disposal,kg,7440473,35055CLLMN1909B,0.226796
2008,332119,Other disposal,kg,7440473,44092NVRSL29980,0.226796
2008,332119,Other disposal,kg,7440473,60005BRKND511WA,0.226796
2008,332119,Other disposal,kg,7440484,35055CLLMN1909B,0.226796
2008,332119,Other disposal,kg,7440484,44092NVRSL29980,0.226796
2008,332119,Other disposal,kg,7440508,16407TNNRD715SP,0.226796
2008,332119,Other disposal,kg,7440508,35055CLLMN1909B,0.226796
2008,332119,Other disposal,kg,7440508,44030GNRLL880MA,2.26796
2008,332119,Other disposal,kg,7440508,44092NVRSL29980,0.226796
2008,332119,Other disposal,kg,7440508,47304TWSNT4620W,0.453592
2008,332119,Other disposal,kg,7440508,60005BRKND511WA,0.226796
2008,332215,Other landfills,kg,1344281,53095THWST400WA,1031475.465472
2008,332313,Other landfills,kg,7440473,74015MTRXS119WM,0.226796
2008,332311,Other disposal,kg,108883,49601RBRKS201HA,0.907184
2008,332312,Land treatment/application farming,kg,7439921,40391CNTCH700TE,0.0453592
2008,332312,Other disposal,kg,7440508,60188BNNRS494EL,0.226796
2008,332312,Other disposal,kg,7440666,32177SHFFLCOMFO,0.226796
2008,332312,Other disposal,kg,7440666,39181MRTHNPOBOX,3488.576072
2008,332312,Other disposal,kg,7440666,73106WWSTL1730W,0.226796
