DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,1997,kg,00851HSSLVLIMET,324110,N495,243.125312
Other landfills,1997,kg,75149TTMCR3000S,334210,7439921,0.0453592
Other landfills,1997,kg,75034GNBNCSOUTH,331492,N420,258547.44
Other landfills,1997,kg,75034GNBNCSOUTH,331492,7440382,1542.2128
Other landfills,1997,kg,75034GNBNCSOUTH,331492,7440360,4309.124
Other landfills,1997,kg,75006TBFRM1533C,332996,7440508,2.26796
Other landfills,1997,kg,74728DMNNCRTE3B,321219,MIXTURE,113.398
Other landfills,1997,kg,74603CNCPN1000S,324110,N010,20.41164
Other landfills,1997,kg,74403FRTHW5600E,322121,N040,5896.696
Other landfills,1997,kg,74403FRTHW5600E,322121,95636,113.398
Other landfills,1997,kg,74403FRTHW5600E,322121,92524,0.226796
Other landfills,1997,kg,74403FRTHW5600E,322121,7664417,0.226796
Other landfills,1997,kg,74403FRTHW5600E,322121,67663,113.398
Other landfills,1997,kg,74403FRTHW5600E,322121,67561,0.226796
Other landfills,1997,kg,74361LNSTR5MILE,327310,N090,5805.9776
Other landfills,1997,kg,74137CNLYC2795E,326122,108452,2979.645848
Other landfills,1997,kg,74137CNLYC2795E,326122,100425,3785.2252399999998
Other landfills,1997,kg,74116CMMRC2001N,333120,7439965,285.76296
Other landfills,1997,kg,74116CMMRC2001N,332812,80057,1224.6984
Other landfills,1997,kg,74066NTRNT15031,333316,7440473,453.592
Other landfills,1997,kg,74066NTRNT15031,334118,7440473,453.592
Other landfills,1997,kg,74066NTRNT15031,333316,7439965,2948.348
Other landfills,1997,kg,74066NTRNT15031,334118,7439965,2948.348
Other landfills,1997,kg,74066NTRNT15031,331314,7440508,5896.696
Other landfills,1997,kg,74066NTRNT15031,331314,7439921,376.48136
Other landfills,1997,kg,73505CHMCL5201S,325998,N982,589.6696
Other landfills,1997,kg,73446WWTRLHWY19,336212,7440473,340.194
Other landfills,1997,kg,73446WWTRLHWY19,336212,7440020,340.194
Other landfills,1997,kg,73129PRDCR6SEFO,311224,110543,2.26796
Other landfills,1997,kg,72830RKBRCPOBOX,327120,N450,113.398
Other landfills,1997,kg,72756MRSNL1315N,335312,7440508,0.226796
Other landfills,1997,kg,72601CLRDGHWY62,339940,7439921,4833.476352
Other landfills,1997,kg,75182MRCNM359CL,327120,N040,2658.502712
Other landfills,1997,kg,75182MRCNM359CL,327120,N450,126352.133928
Other landfills,1997,kg,75182MRCNM359CL,327120,N982,2000.794312
Other landfills,1997,kg,75235JNSBL2728E,325510,26471625,0.226796
Other landfills,1997,kg,76401NRTNC2770W,327910,N982,764.30252
Other landfills,1997,kg,76310CRTNT4515A,327212,N090,565.629224
Other landfills,1997,kg,76111HNTNG3600C,327120,7440666,4141.29496
Other landfills,1997,kg,76111HNTNG3600C,327120,7440393,1896.01456
Other landfills,1997,kg,76086JMPKN1226W,339920,N982,303.453048
Other landfills,1997,kg,76086JMPKN1226W,339920,7439965,93.893544
Other landfills,1997,kg,76065TXSND245WA,327310,N495,3881.386744
Other landfills,1997,kg,76065TXSND245WA,327310,N450,276305.5668
Other landfills,1997,kg,76065TXSND245WA,327310,N090,6093.101336
Other landfills,1997,kg,76065GFFRDPOBOX,327310,7440473,698.985272
Other landfills,1997,kg,76065GFFRDPOBOX,327310,7439965,73230.16043999999
Other landfills,1997,kg,75941DBLLF600AS,321219,50000,30.844256
Other landfills,1997,kg,75902CHMPNHIGHW,322121,7782505,0.226796
Other landfills,1997,kg,75902CHMPNHIGHW,322121,7664417,0.226796
Other landfills,1997,kg,72450MRSNLPEKIN,335312,7440508,1542.2128
Other landfills,1997,kg,75902CHMPNHIGHW,322121,7647010,0.226796
Other landfills,1997,kg,75902CHMPNHIGHW,322121,7440393,6703.182576
Other landfills,1997,kg,75902CHMPNHIGHW,322121,7439965,8087.998952
Other landfills,1997,kg,75902CHMPNHIGHW,322121,67663,27.215519999999998
Other landfills,1997,kg,75902CHMPNHIGHW,322121,67561,31.297848
Other landfills,1997,kg,75902CHMPNHIGHW,322121,1319773,0.907184
Other landfills,1997,kg,75902CHMPNHIGHW,322121,120809,3.175144
Other landfills,1997,kg,75902CHMPNHIGHW,322121,108952,102.511792
Other landfills,1997,kg,75688CNDCTHWY80,335929,98862,1587.572
Other landfills,1997,kg,75670MRCNNWESTE,325180,N450,1179.3392
Other landfills,1997,kg,75504NTRNTPOBOX,322121,N982,10547.828368
Other landfills,1997,kg,75504NTRNTPOBOX,322121,N450,94060.919448
Other landfills,1997,kg,75504NTRNTPOBOX,322121,N040,7739.186704
Other landfills,1997,kg,75457MNNNGUSHWY,327120,7440666,1803.0282
Other landfills,1997,kg,75457MNNNGUSHWY,327120,7440393,381.470872
Other landfills,1997,kg,75902CHMPNHIGHW,322121,75070,1418.382184
Other landfills,1997,kg,76504CNTRF3320P,331513,N090,241.764536
Other landfills,1997,kg,72216MXXXXPOBOX,212319,N982,478.993152
Other landfills,1997,kg,72216MXXXXPOBOX,212319,N100,3236.37892
Other landfills,1997,kg,71730GRRSN181CO,325199,7637072,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325199,75445,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325199,67561,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325199,107062,0.226796
Other landfills,1997,kg,71701NTRNT1944A,322220,N982,113.398
Other landfills,1997,kg,71701NTRNT1944A,322220,N450,113.398
Other landfills,1997,kg,71701NTRNT1944A,322220,N040,113.398
Other landfills,1997,kg,71701NTRNT1944A,322220,7664417,0.226796
Other landfills,1997,kg,71701NTRNT1944A,322220,75070,0.226796
Other landfills,1997,kg,71701NTRNT1944A,322220,67561,2.26796
Other landfills,1997,kg,71701NTRNT1944A,322220,28407376,0.226796
Other landfills,1997,kg,71701NTRNT1944A,322220,120809,0.226796
Other landfills,1997,kg,71701NTRNT1944A,322220,108952,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322130,7664382,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322130,67663,0.453592
Other landfills,1997,kg,71654PTLTCHIGHW,322110,N982,607.359688
Other landfills,1997,kg,71654PTLTCHIGHW,322110,7782505,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322110,7664417,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322110,75070,0.453592
Other landfills,1997,kg,71654PTLTCHIGHW,322110,67561,100.697424
Other landfills,1997,kg,71654PTLTCHIGHW,322110,64186,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322110,120809,0.226796
Other landfills,1997,kg,71654PTLTCHIGHW,322110,10049044,0.226796
Other landfills,1997,kg,71646RPDDMRT2BO,313320,67561,0.226796
Other landfills,1997,kg,71635GRGPCPAPER,322121,N450,64646.385432
Other landfills,1997,kg,71635GRGPCPAPER,322121,N040,17420.20076
Other landfills,1997,kg,71635GRGPCPAPER,322110,N982,6297.217736
Other landfills,1997,kg,71429FLRNPHWY17,321212,N120,0.226796
Other landfills,1997,kg,71361NTRNTWILLI,322130,N982,36740.952
Other landfills,1997,kg,71730GRRSN181CO,325199,98077,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325411,108883,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325411,7440666,0.226796
Other landfills,1997,kg,71730GRRSN181CO,325411,7664382,0.226796
Other landfills,1997,kg,72216MXXXXPOBOX,212319,N090,573.79388
Other landfills,1997,kg,72110RKNSSHIGHW,322130,N982,7257.472
Other landfills,1997,kg,72110RKNSSHIGHW,322130,N450,18143.68
Other landfills,1997,kg,72110RKNSSHIGHW,322130,N040,6350.288
Other landfills,1997,kg,72110RKNSSHIGHW,322130,7664417,0.226796
Other landfills,1997,kg,72110RKNSSHIGHW,322130,75070,15.422128
Other landfills,1997,kg,72110RKNSSHIGHW,322130,67561,5896.696
Other landfills,1997,kg,72110RKNSSHIGHW,322130,50000,5.896696
Other landfills,1997,kg,72110RKNSSHIGHW,322130,120809,1.814368
Other landfills,1997,kg,72110RKNSSHIGHW,322130,108952,77.11064
Other landfills,1997,kg,72023DRMLN1514S,337910,98828,113.398
Other landfills,1997,kg,72023DRMLN1514S,337910,1330207,113.398
Other landfills,1997,kg,72023DRMLN1514S,337910,108883,113.398
Other landfills,1997,kg,72023DRMLN1514S,337910,100414,113.398
Other landfills,1997,kg,72216MXXXXPOBOX,212319,N450,5579.1816
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N982,49441.528
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N420,8436.8112
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N100,3538.0176
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N090,1496.8536
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N040,29.48348
Other landfills,1997,kg,71822NKSPPHIGHW,322121,N495,1451.4944
Other landfills,1997,kg,71822NKSPPHIGHW,322110,N982,9.07184
Other landfills,1997,kg,71822NKSPPHIGHW,322110,N450,8164.656
Other landfills,1997,kg,71822NKSPPHIGHW,322110,N040,8618.248
Other landfills,1997,kg,71822NKSPPHIGHW,322110,75070,2.26796
Other landfills,1997,kg,71822NKSPPHIGHW,322110,120809,9.07184
Other landfills,1997,kg,71822NKSPPHIGHW,322110,108952,54.431039999999996
Other landfills,1997,kg,71753THYLCROUTE,325998,7723140,0.226796
Other landfills,1997,kg,71753THYLCROUTE,325180,80057,163.29312
Other landfills,1997,kg,71753THYLCROUTE,325180,1163195,390804.888176
Other landfills,1997,kg,71836SHGRVPOBOX,327310,N495,680.388
Other landfills,1997,kg,76567LMNMCSANDO,331313,7439965,117933.92
Other landfills,1997,kg,76567LMNMCSANDO,331313,7440417,5896.696
Other landfills,1997,kg,76567LMNMCSANDO,331313,7440473,18597.272
Other landfills,1997,kg,77541THDWCBUILD,325180,96093,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,95501,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,92524,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,91203,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,87683,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,80057,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,79016,0.226796
Other landfills,1997,kg,77541THDWCBUILD,325180,78933,0.226796
