DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,2000,kg,00723FLRQMROADN,325998,67561,0.226796
Other landfills,2000,kg,43811MRCNL47201,221112,N458,362.8736
Other landfills,2000,kg,43811MRCNL47201,221112,N495,30844.256
Other landfills,2000,kg,43811MRCNL47201,221112,N590,0.0453592
Other landfills,2000,kg,43811MRCNL47201,221112,N725,5443.104
Other landfills,2000,kg,43811MRCNL47201,221112,N770,77110.64
Other landfills,2000,kg,43811MRCNL47201,221112,N982,54431.04
Other landfills,2000,kg,43811MRCNL47201,221114,7664417,0.226796
Other landfills,2000,kg,43811MRCNL47201,221115,7664417,0.226796
Other landfills,2000,kg,43811MRCNL47201,221116,7664417,0.226796
Other landfills,2000,kg,43811MRCNL47201,221117,7664417,0.226796
Other landfills,2000,kg,43811MRCNL47201,221118,7664417,0.226796
Other landfills,2000,kg,43811MRCNL47201,221114,N050,2948.348
Other landfills,2000,kg,43811MRCNL47201,221115,N050,2948.348
Other landfills,2000,kg,43811MRCNL47201,221116,N050,2948.348
Other landfills,2000,kg,43811MRCNL47201,221117,N050,2948.348
Other landfills,2000,kg,43811MRCNL47201,221118,N050,2948.348
Other landfills,2000,kg,43840THSTNNORTH,327120,7439965,4263.7648
Other landfills,2000,kg,43902HVLLY56854,212112,7440393,8464.933904
Other landfills,2000,kg,43947FRSTN57246,221112,191242,0.0453592
Other landfills,2000,kg,43947FRSTN57246,221112,N040,7711.064
Other landfills,2000,kg,43947FRSTN57246,221112,N100,907.184
Other landfills,2000,kg,43947FRSTN57246,221112,N450,2222.6008
Other landfills,2000,kg,43947FRSTN57246,221112,N458,0.0453592
Other landfills,2000,kg,43947FRSTN57246,221112,N590,0.0453592
Other landfills,2000,kg,43947FRSTN57246,221112,N770,2449.3968
Other landfills,2000,kg,43947FRSTN57246,221112,N982,1360.776
Other landfills,2000,kg,43947FRSTN57246,221114,N090,1224.6984
Other landfills,2000,kg,43947FRSTN57246,221115,N090,1224.6984
Other landfills,2000,kg,43947FRSTN57246,221116,N090,1224.6984
Other landfills,2000,kg,43947FRSTN57246,221117,N090,1224.6984
Other landfills,2000,kg,43947FRSTN57246,221118,N090,1224.6984
Other landfills,2000,kg,43947FRSTN57246,221114,N495,997.9024
Other landfills,2000,kg,43947FRSTN57246,221115,N495,997.9024
Other landfills,2000,kg,43947FRSTN57246,221116,N495,997.9024
Other landfills,2000,kg,43947FRSTN57246,221117,N495,997.9024
Other landfills,2000,kg,43947FRSTN57246,221118,N495,997.9024
Other landfills,2000,kg,43976HRRSN86395,212112,7439965,340.194
Other landfills,2000,kg,44004SCMCH2426M,325130,7439976,0.39916096
Other landfills,2000,kg,44004SCMCH2426M,325130,N150,0.15655000000000002
Other landfills,2000,kg,44004SCMCH2900M,325130,N150,0.06609999999999999
Other landfills,2000,kg,44035CTLYS555GA,325199,75650,0.226796
Other landfills,2000,kg,44035CTLYS555GA,325199,7664417,0.226796
Other landfills,2000,kg,44035CTLYS555GA,325199,94360,0.226796
Other landfills,2000,kg,43811MRCNL47201,221112,N450,54431.04
Other landfills,2000,kg,44035CTLYS555GA,325199,95636,0.226796
Other landfills,2000,kg,43811MRCNL47201,221112,N420,23133.192
Other landfills,2000,kg,43811MRCNL47201,221112,N100,49895.12
Other landfills,2000,kg,43512GMCXXSTATE,331511,N090,39462.504
Other landfills,2000,kg,43512GMCXXSTATE,331511,N100,34926.584
Other landfills,2000,kg,43512GMCXXSTATE,331511,N120,7711.064
Other landfills,2000,kg,43512GMCXXSTATE,331511,N150,0.0002
Other landfills,2000,kg,43512GMCXXSTATE,331511,N420,63502.88
Other landfills,2000,kg,43512GMCXXSTATE,331511,N450,276691.12
Other landfills,2000,kg,43512GMCXXSTATE,331511,N458,2.4040376
Other landfills,2000,kg,43512GMCXXSTATE,331511,N495,9979.024
Other landfills,2000,kg,43512GMCXXSTATE,331511,N511,0.226796
Other landfills,2000,kg,43567KRDZL620WL,331511,7439965,0.226796
Other landfills,2000,kg,43567MLTCS225EL,331524,7440508,2.26796
Other landfills,2000,kg,43616FRSTN4701B,221112,191242,0.0453592
Other landfills,2000,kg,43616FRSTN4701B,221112,N010,4989.512
Other landfills,2000,kg,43616FRSTN4701B,221112,N040,199580.48
Other landfills,2000,kg,43616FRSTN4701B,221112,N100,5896.696
Other landfills,2000,kg,43616FRSTN4701B,221112,N450,13154.168
Other landfills,2000,kg,43616FRSTN4701B,221112,N458,13.607759999999999
Other landfills,2000,kg,43616FRSTN4701B,221112,N495,5896.696
Other landfills,2000,kg,43616FRSTN4701B,221112,N590,0.7711064
Other landfills,2000,kg,43616FRSTN4701B,221112,N770,10432.616
Other landfills,2000,kg,43616FRSTN4701B,221112,N982,5443.104
Other landfills,2000,kg,43811MRCNL47201,221112,191242,0.0453592
Other landfills,2000,kg,43811MRCNL47201,221112,7664393,0.226796
Other landfills,2000,kg,43811MRCNL47201,221112,N020,28576.296
Other landfills,2000,kg,43811MRCNL47201,221112,N040,217724.16
Other landfills,2000,kg,43811MRCNL47201,221112,N090,38555.32
Other landfills,2000,kg,43811MRCNL47201,221112,N096,14514.944
Other landfills,2000,kg,43811MRCNL47201,221112,N150,5.0000000000000004e-08
Other landfills,2000,kg,43512GMCXXSTATE,331511,91203,2041.164
Other landfills,2000,kg,44035CTLYS555GA,325199,98884,0.226796
Other landfills,2000,kg,44095SKLDC34580,331523,N982,0.907184
Other landfills,2000,kg,45043RMCNC1801C,331110,N150,0.0070599999999999994
Other landfills,2000,kg,45043RMCNC1801C,331110,N420,2661.677856
Other landfills,2000,kg,45043RMCNC1801C,331110,N450,64267.636112
Other landfills,2000,kg,45043RMCNC1801C,331110,N495,1102.682152
Other landfills,2000,kg,45153CNCNN1781U,221111,7440382,8618.248
Other landfills,2000,kg,45153CNCNN1781U,221112,N040,95254.31999999999
Other landfills,2000,kg,45153CNCNN1781U,221112,N090,29029.888
Other landfills,2000,kg,45153CNCNN1781U,221112,N100,45359.2
Other landfills,2000,kg,45153CNCNN1781U,221112,N420,17236.496
Other landfills,2000,kg,45153CNCNN1781U,221112,N450,42184.056
Other landfills,2000,kg,45153CNCNN1781U,221112,N458,181.4368
Other landfills,2000,kg,45153CNCNN1781U,221112,N495,54431.04
Other landfills,2000,kg,45153CNCNN1781U,221112,N770,77110.64
Other landfills,2000,kg,45153CNCNN1781U,221112,N982,28576.296
Other landfills,2000,kg,45212MRSNL6000F,335931,N495,0.226796
Other landfills,2000,kg,45620MRCNL7397N,221112,191242,0.0453592
Other landfills,2000,kg,45620MRCNL7397N,221112,7664393,0.226796
Other landfills,2000,kg,45620MRCNL7397N,221112,N020,49895.12
Other landfills,2000,kg,45620MRCNL7397N,221112,N040,403696.88
Other landfills,2000,kg,45620MRCNL7397N,221112,N050,5443.104
Other landfills,2000,kg,45620MRCNL7397N,221112,N090,72574.72
Other landfills,2000,kg,45620MRCNL7397N,221112,N096,27215.52
Other landfills,2000,kg,45620MRCNL7397N,221112,N100,90718.4
Other landfills,2000,kg,45620MRCNL7397N,221112,N150,5.0000000000000004e-08
Other landfills,2000,kg,45620MRCNL7397N,221112,N420,41276.872
Other landfills,2000,kg,45620MRCNL7397N,221112,N450,117933.92
Other landfills,2000,kg,45620MRCNL7397N,221112,N458,816.4656
Other landfills,2000,kg,45043RMCNC1801C,331110,N096,304.813824
Other landfills,2000,kg,44095SKLDC34580,331523,7440508,1.360776
Other landfills,2000,kg,45043RMCNC1801C,331110,N090,4178.489504
Other landfills,2000,kg,44905JYPLS150EL,332813,108952,453.592
Other landfills,2000,kg,44127LTVST3100E,331110,N010,311.617704
Other landfills,2000,kg,44127LTVST3100E,331110,N090,19379.7182
Other landfills,2000,kg,44127LTVST3100E,331110,N420,24463.123744
Other landfills,2000,kg,44127LTVST3100E,331110,N450,231667.57808
Other landfills,2000,kg,44127LTVST3100E,331110,N495,2578.216928
Other landfills,2000,kg,44127LTVST3100E,331110,N770,15829.453616
Other landfills,2000,kg,44127LTVST3100E,331110,N982,798011.20948
Other landfills,2000,kg,44224STRKT201ES,325998,85449,113.398
Other landfills,2000,kg,44224STRKT201ES,325998,N982,113.398
Other landfills,2000,kg,44266PRKRH1300N,326220,N420,99.79024
Other landfills,2000,kg,44274SCHLM1475W,325991,1163195,478.085968
Other landfills,2000,kg,44274SCHLM1475W,325991,N010,9766.289352
Other landfills,2000,kg,44274SCHLM1475W,325991,N420,604.184544
Other landfills,2000,kg,44481WRRNW1040P,331110,7664417,30.844256
Other landfills,2000,kg,44481WRRNW1040P,331110,N010,498.9512
Other landfills,2000,kg,44481WRRNW1040P,331110,N090,7620.3456
Other landfills,2000,kg,44481WRRNW1040P,331110,N450,208652.32
Other landfills,2000,kg,44481WRRNW1040P,331110,N458,6.7585208
Other landfills,2000,kg,44481WRRNW1040P,331110,N495,1496.8536
Other landfills,2000,kg,44481WRRNW1040P,331110,N982,2766.9112
Other landfills,2000,kg,44647RWSCR999OB,332721,7439965,340.194
Other landfills,2000,kg,44663LRNMN2228R,326299,7632000,28657.94256
Other landfills,2000,kg,44663LRNMN2228R,336612,7632000,28657.94256
Other landfills,2000,kg,44663THGRD406MI,333120,7439965,1432.443536
Other landfills,2000,kg,44708GRGRY41001,332322,N982,0.226796
Other landfills,2000,kg,44815HLMNC1967W,327410,7439976,1.2700576
Other landfills,2000,kg,44864MNSFL150FI,327110,N982,11351.139799999999
Other landfills,2000,kg,44904NRMNF265MI,335932,7440666,272.1552
Other landfills,2000,kg,45042NLNDC912NE,322211,N511,4.53592
Other landfills,2000,kg,45620MRCNL7397N,221112,N495,58966.96
Other landfills,2000,kg,43512GMCXXSTATE,331511,872504,108.86207999999999
Other landfills,2000,kg,43512GMCXXSTATE,331511,71432,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,N450,2876.226872
Other landfills,2000,kg,42087WSTVCHIGHW,322121,N511,4.53592
Other landfills,2000,kg,42087WSTVCHIGHW,322121,N590,0.0453592
Other landfills,2000,kg,42101STPPB445CE,332312,7439965,4211.60172
Other landfills,2000,kg,42141NRTHM2601H,334416,107211,1119.918648
Other landfills,2000,kg,42261MCRCY609GA,331314,7429905,1043261.6
Other landfills,2000,kg,42261MCRCY609GA,331314,7439921,544.3104
Other landfills,2000,kg,42261MCRCY609GA,331314,7439965,32205.032
Other landfills,2000,kg,42261MCRCY609GA,331314,7440020,725.7472
Other landfills,2000,kg,42261MCRCY609GA,331314,7440473,1360.776
Other landfills,2000,kg,42261MCRCY609GA,331314,7440508,10432.616
Other landfills,2000,kg,42261MCRCY609GA,331314,7440666,997.9024
Other landfills,2000,kg,42261MCRCY609GA,331314,N150,0.25
Other landfills,2000,kg,42276LGNLMPOBOX,331315,108101,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,108883,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,1330207,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7429905,19.504456
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7439965,158.7572
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7440473,1950.4456
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7440508,263.08335999999997
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7647010,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,7782505,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,78933,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,95636,0.226796
Other landfills,2000,kg,42276LGNLMPOBOX,331315,N230,0.226796
Other landfills,2000,kg,42330KNTCKUS431,221112,N040,27442.316
Other landfills,2000,kg,42330KNTCKUS431,221112,N450,15013.895199999999
Other landfills,2000,kg,42087WSTVCHIGHW,322121,N150,5.0000000000000004e-08
Other landfills,2000,kg,42330KNTCKUS431,221112,N458,7.257472
Other landfills,2000,kg,42087WSTVCHIGHW,322121,7782505,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,7647010,0.226796
Other landfills,2000,kg,42029RPRDCHIGHW,325199,7664417,8371.947544
Other landfills,2000,kg,42029RPRDCHIGHW,325199,N511,885.865176
Other landfills,2000,kg,42029SKWLLHIGHW,331110,N040,2454.386312
Other landfills,2000,kg,42029SKWLLHIGHW,331110,N450,3686.342184
Other landfills,2000,kg,42086STVSH7900M,221112,110543,0.226796
Other landfills,2000,kg,42086STVSH7900M,221112,191242,0.0453592
Other landfills,2000,kg,42086STVSH7900M,221112,7664393,0.226796
Other landfills,2000,kg,42086STVSH7900M,221112,95636,0.226796
Other landfills,2000,kg,42086STVSH7900M,221112,N040,725747.2
Other landfills,2000,kg,42086STVSH7900M,221112,N100,12700.576
Other landfills,2000,kg,42086STVSH7900M,221112,N150,5.0000000000000004e-08
Other landfills,2000,kg,42086STVSH7900M,221112,N450,30844.256
Other landfills,2000,kg,42086STVSH7900M,221112,N458,0.0453592
Other landfills,2000,kg,42086STVSH7900M,221112,N590,4.1276872
Other landfills,2000,kg,42086STVSH7900M,221112,N770,23586.784
Other landfills,2000,kg,42086STVSH7900M,221112,N982,28122.703999999998
Other landfills,2000,kg,42087WSTVCHIGHA,113110,N150,9.877e-07
Other landfills,2000,kg,42087WSTVCHIGHW,322121,10049044,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,107211,2.26796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,108952,1.814368
Other landfills,2000,kg,42087WSTVCHIGHW,322121,120809,113.398
Other landfills,2000,kg,42087WSTVCHIGHW,322121,1319773,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,50000,2.26796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,64186,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,67561,423.654928
Other landfills,2000,kg,42087WSTVCHIGHW,322121,74873,0.226796
Other landfills,2000,kg,42087WSTVCHIGHW,322121,75070,0.907184
Other landfills,2000,kg,42087WSTVCHIGHW,322121,7664417,0.226796
Other landfills,2000,kg,43512GMCXXSTATE,331511,7664417,0.226796
Other landfills,2000,kg,42330KNTCKUS431,221112,N770,26535.132
Other landfills,2000,kg,42337STVPR13246,221112,191242,13.154168
Other landfills,2000,kg,43055WNSCRCASEA,327993,108952,1031.9218
Other landfills,2000,kg,43055WNSCRCASEA,327993,191242,0.453592
Other landfills,2000,kg,43055WNSCRCASEA,327993,50000,15230.258584
Other landfills,2000,kg,43055WNSCRCASEA,327993,7440020,16.329312
Other landfills,2000,kg,43055WNSCRCASEA,327993,7440473,29.937072
Other landfills,2000,kg,43055WNSCRCASEA,327993,7440484,29.48348
Other landfills,2000,kg,43055WNSCRCASEA,327993,7664417,15151.787168
Other landfills,2000,kg,43055WNSCRCASEA,327993,N090,1980.382672
Other landfills,2000,kg,43125GRFFN3900B,331513,7439965,317313.005152
Other landfills,2000,kg,43351BRDGS235CO,326291,N982,1338.0964
Other landfills,2000,kg,43351BRDGS235CO,326299,N982,1338.0964
Other landfills,2000,kg,43416BRSHWSOUTH,331410,N050,38189.271256
Other landfills,2000,kg,43416BRSHWSOUTH,331410,N100,285091.64384
Other landfills,2000,kg,43416BRSHWSOUTH,331410,N420,287.577328
Other landfills,2000,kg,43416BRSHWSOUTH,331410,N495,3560.6972
Other landfills,2000,kg,43416BRSHWSOUTH,331420,7439921,287.577328
Other landfills,2000,kg,43416BRSHWSOUTH,331420,7440020,3560.6972
Other landfills,2000,kg,43416BRSHWSOUTH,331420,7440417,38189.271256
Other landfills,2000,kg,43416BRSHWSOUTH,331420,7440508,285091.64384
Other landfills,2000,kg,43430GRYMN21880,327410,N458,4.9441528
Other landfills,2000,kg,43435MLLRS3964C,327410,7439976,2.1318824
Other landfills,2000,kg,43512DFNCP1125P,336310,7440473,1226.512768
Other landfills,2000,kg,43512GMCXXSTATE,331511,107211,11793.392
Other landfills,2000,kg,43512GMCXXSTATE,331511,108952,1496.8536
Other landfills,2000,kg,43512GMCXXSTATE,331511,121448,0.226796
Other landfills,2000,kg,43512GMCXXSTATE,331511,1319773,0.226796
Other landfills,2000,kg,43512GMCXXSTATE,331511,50000,240.40376
Other landfills,2000,kg,43512GMCXXSTATE,331511,67561,0.226796
Other landfills,2000,kg,42519CPRPW1247S,221112,N982,13154.168
Other landfills,2000,kg,42330KNTCKUS431,221112,N982,20139.4848
Other landfills,2000,kg,42519CPRPW1247S,221112,N495,9525.432
Other landfills,2000,kg,42519CPRPW1247S,221112,N450,12246.984
Other landfills,2000,kg,42337STVPR13246,221112,N458,362.8736
Other landfills,2000,kg,42337STVPR13246,221112,N590,1678.2904
Other landfills,2000,kg,42348WLLMTPOBOX,322121,75070,0.453592
Other landfills,2000,kg,42348WLLMTPOBOX,322121,7664417,0.226796
Other landfills,2000,kg,42350WLSNSHWY85,221112,N450,30601.130688
Other landfills,2000,kg,42350WLSNSHWY85,221112,N458,11.294440799999999
Other landfills,2000,kg,42350WLSNSHWY85,221112,N495,23225.271176
Other landfills,2000,kg,42350WLSNSHWY85,221112,N982,31764.594168
Other landfills,2000,kg,42420LCNNGKENTU,331313,7440508,0.226796
Other landfills,2000,kg,42420LCNNGKENTU,331313,N420,0.0453592
Other landfills,2000,kg,42420LCNNGKENTU,331313,N495,0.226796
Other landfills,2000,kg,42452RDGRN9000H,221112,7647010,0.226796
Other landfills,2000,kg,42452RDGRN9000H,221112,7664393,0.226796
Other landfills,2000,kg,42452RDGRN9000H,221112,N020,16047.631368
Other landfills,2000,kg,42452RDGRN9000H,221112,N040,27695.873928
Other landfills,2000,kg,42452RDGRN9000H,221112,N090,10774.624368
Other landfills,2000,kg,42452RDGRN9000H,221112,N096,12832.571272
Other landfills,2000,kg,42452RDGRN9000H,221112,N100,22040.488871999998
Other landfills,2000,kg,42452RDGRN9000H,221112,N420,18204.461328
Other landfills,2000,kg,42452RDGRN9000H,221112,N450,37176.40032
Other landfills,2000,kg,42452RDGRN9000H,221112,N458,101.83140399999999
Other landfills,2000,kg,42452RDGRN9000H,221112,N495,62445.557048
Other landfills,2000,kg,42452RDGRN9000H,221112,N725,6579.35196
Other landfills,2000,kg,42452RDGRN9000H,221112,N982,163716.321336
Other landfills,2000,kg,42519CPRPW1247S,221112,N040,58966.96
Other landfills,2000,kg,42519CPRPW1247S,221112,N090,9979.024
Other landfills,2000,kg,42519CPRPW1247S,221112,N100,11339.8
Other landfills,2000,kg,42519CPRPW1247S,221112,N458,16.329312
Other landfills,2000,kg,42029LWDNC1637S,332312,N100,4623.916848
Other landfills,2000,kg,45620MRCNL7397N,221112,N590,0.0453592
Other landfills,2000,kg,45620MRCNL7397N,221112,N760,14061.351999999999
Other landfills,2000,kg,47250CLFTY1335C,221112,N090,17236.496
Other landfills,2000,kg,47250CLFTY1335C,221112,N096,4036.9688
Other landfills,2000,kg,47250CLFTY1335C,221112,N100,15875.72
Other landfills,2000,kg,47250CLFTY1335C,221112,N420,6350.288
Other landfills,2000,kg,47250CLFTY1335C,221112,N450,37648.136
Other landfills,2000,kg,47250CLFTY1335C,221112,N495,11339.8
Other landfills,2000,kg,47250CLFTY1335C,221112,N982,17236.496
Other landfills,2000,kg,47274GTPRD1231A,336320,N511,0.226796
Other landfills,2000,kg,47304TWSNT4620W,332119,7440473,0.226796
Other landfills,2000,kg,47304TWSNT4620W,332119,7440508,0.226796
Other landfills,2000,kg,47331RTSDV900WM,333413,7439976,0.0453592
Other landfills,2000,kg,47446LHGHP121NO,327310,7439976,28.803092
Other landfills,2000,kg,47558VKNGMCR100,212111,N020,5358.735888
Other landfills,2000,kg,47558VKNGMCR100,212111,N040,6721.326256
Other landfills,2000,kg,47558VKNGMCR100,212111,N450,6701.368208
Other landfills,2000,kg,47558VKNGMCR100,212111,N770,4704.656224
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N010,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N020,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N040,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N050,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N090,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N096,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N100,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N150,5.0000000000000004e-08
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N420,0.0453592
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N450,0.226796
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N458,0.0453592
Other landfills,2000,kg,47250CLFTY1335C,221112,N040,240403.76
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N495,0.226796
Other landfills,2000,kg,47250CLFTY1335C,221112,N020,6350.288
Other landfills,2000,kg,47250CLFTY1335C,221112,7664393,0.226796
Other landfills,2000,kg,46809CHMRX3401M,327310,N982,663.605096
Other landfills,2000,kg,46947CPLYCSTATE,327310,N040,6392.018464
Other landfills,2000,kg,46947CPLYCSTATE,327310,N090,1746.3292
Other landfills,2000,kg,46947CPLYCSTATE,327310,N100,2677.553576
Other landfills,2000,kg,46947CPLYCSTATE,327310,N420,12918.30016
Other landfills,2000,kg,46947CPLYCSTATE,327310,N458,80.3311432
Other landfills,2000,kg,46947CPLYCSTATE,327310,N982,45715.723312
Other landfills,2000,kg,46947NTNLFPOBOX,327999,108883,1861.087976
Other landfills,2000,kg,46992THFRD775MA,331529,7439921,2585.4744
Other landfills,2000,kg,46992THFRD775MA,331529,7440508,9979.024
Other landfills,2000,kg,46992THFRD775MA,331529,7440666,10886.208
Other landfills,2000,kg,46992WBSHLOLDUS,331313,7439965,113.398
Other landfills,2000,kg,46992WBSHLOLDUS,331314,7439976,0.4082328
Other landfills,2000,kg,46992WBSHLOLDUS,331314,7440020,113.398
Other landfills,2000,kg,46992WBSHLOLDUS,331314,7440508,2222.6008
Other landfills,2000,kg,46992WBSHLOLDUS,331314,N150,0.0189
Other landfills,2000,kg,47118JSPRN6400E,336310,N511,113.398
Other landfills,2000,kg,47118JSPRN6400E,336390,7632000,113.398
Other landfills,2000,kg,47150PSNRG30JAC,221112,N040,4989.512
Other landfills,2000,kg,47150PSNRG30JAC,221112,N090,907.184
Other landfills,2000,kg,47150PSNRG30JAC,221112,N450,997.9024
Other landfills,2000,kg,47150PSNRG30JAC,221112,N458,1.587572
Other landfills,2000,kg,47150PSNRG30JAC,221112,N770,1451.4944
Other landfills,2000,kg,47150PSNRG30JAC,221112,N982,680.388
Other landfills,2000,kg,47172CPLYCHIGHW,327310,N450,33.565808
Other landfills,2000,kg,47172CPLYCHIGHW,327310,N458,12.1562656
Other landfills,2000,kg,47250CLFTY1335C,221112,7439976,39.008912
Other landfills,2000,kg,47250CLFTY1335C,221112,N010,5896.696
Other landfills,2000,kg,46809CHMRX3401M,327310,7429905,340.194
Other landfills,2000,kg,47567NDNPLRRTE1,221112,N725,0.226796
Other landfills,2000,kg,47591SSXGRESSEX,331420,7440508,2.26796
Other landfills,2000,kg,47635RCKPR2791N,221112,N760,5443.104
Other landfills,2000,kg,47635RCKPR2791N,221112,N770,37194.544
Other landfills,2000,kg,47635RCKPR2791N,221112,N982,28122.703999999998
Other landfills,2000,kg,47670PSNRGHWY64,221112,N020,11793.392
Other landfills,2000,kg,47670PSNRGHWY64,221112,N040,104326.16
Other landfills,2000,kg,47670PSNRGHWY64,221112,N050,2721.552
Other landfills,2000,kg,47670PSNRGHWY64,221112,N090,38101.728
