DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2015,kg,00851HSSLVLIMET,324110,100414,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,N040,2730623.84
Other landfills,2015,kg,58523NTLPV294CO,325311,N020,6078.1328
Other landfills,2015,kg,58523NTLPV294CO,325311,95636,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,92524,143.788664
Other landfills,2015,kg,58523NTLPV294CO,325311,91225,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,91203,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,85018,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,7783064,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,N090,4671.9976
Other landfills,2015,kg,58523NTLPV294CO,325311,7782505,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,7664417,152.860504
Other landfills,2015,kg,58523NTLPV294CO,325311,7647010,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,75150,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,75058,32.658624
Other landfills,2015,kg,58523NTLPV294CO,325311,74908,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,74851,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,71556,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,71432,143.788664
Other landfills,2015,kg,58523NTLPV294CO,325311,7664939,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,N096,2729.716656
Other landfills,2015,kg,58523NTLPV294CO,325311,N100,7711.064
Other landfills,2015,kg,58523NTLPV294CO,325311,N150,6.39e-05
Other landfills,2015,kg,58530MLTNR34012,221112,N100,16617.34292
Other landfills,2015,kg,58530MLTNR34012,221112,N090,17599.369599999998
Other landfills,2015,kg,58530MLTNR34012,221112,N040,1661497.516976
Other landfills,2015,kg,58530MLTNR34012,221112,N020,39189.895208
Other landfills,2015,kg,58530MLTNR34012,221112,7664417,0.226796
Other landfills,2015,kg,58523TTRTL62401,221112,N770,6283.156384
Other landfills,2015,kg,58523TTRTL62401,221112,N458,12.718946476000001
Other landfills,2015,kg,58523TTRTL62401,221112,N450,19638.719232
Other landfills,2015,kg,58523TTRTL62401,221112,N420,1720.2374995392001
Other landfills,2015,kg,58523TTRTL62401,221112,N090,4591.711816
Other landfills,2015,kg,58523TTRTL62401,221112,N040,155855.571976
Other landfills,2015,kg,58523NTLPV294CO,325311,N982,5533.8224
Other landfills,2015,kg,58523NTLPV294CO,325311,N770,9389.3544
Other landfills,2015,kg,58523NTLPV294CO,325311,N725,166.468264
Other landfills,2015,kg,58523NTLPV294CO,325311,N590,145.14944
Other landfills,2015,kg,58523NTLPV294CO,325311,N495,2939.27616
Other landfills,2015,kg,58523NTLPV294CO,325311,N458,344.72992
Other landfills,2015,kg,58523NTLPV294CO,325311,N450,36922.3888
Other landfills,2015,kg,58523NTLPV294CO,325311,N420,3188.75176
Other landfills,2015,kg,58523NTLPV294CO,325311,67561,105.686936
Other landfills,2015,kg,58530MLTNR34012,221112,N420,7851.67752
Other landfills,2015,kg,58523NTLPV294CO,325311,64186,0.226796
Other landfills,2015,kg,58523NTLPV294CO,325311,463581,0.226796
Other landfills,2015,kg,57754WHRFRTROJA,212221,7440473,36474.131041919994
Other landfills,2015,kg,57754WHRFRTROJA,212221,7439965,19414.644784
Other landfills,2015,kg,57754WHRFRTROJA,212221,67561,1561.263664
