DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,1990,kg,00623CBRJWROAD3,321114,N020,2.26796
Other landfills,1990,kg,46371WRKRF4744E,331420,N010,0.226796
Other landfills,1990,kg,46371WRKRF4744E,331420,N420,0.0453592
Other landfills,1990,kg,46402DLTNC1015M,332322,7440666,0.226796
Other landfills,1990,kg,46402SSGRYONENO,331110,108952,15.422128
Other landfills,1990,kg,46402SSGRYONENO,331110,N090,267619.27999999997
Other landfills,1990,kg,46402SSGRYONENO,331110,N100,5896.696
Other landfills,1990,kg,46402SSGRYONENO,331110,N106,15.422128
Other landfills,1990,kg,46402SSGRYONENO,331110,N450,32205.032
Other landfills,1990,kg,46402SSGRYONENO,331110,N495,14061.351999999999
Other landfills,1990,kg,46402SSGRYONENO,331110,N982,37648.136
Other landfills,1990,kg,46404NDRSN3400W,325211,106990,2.26796
Other landfills,1990,kg,46404NDRSN3400W,325211,107131,2.26796
Other landfills,1990,kg,46371WRKRF4744E,331420,7440508,0.226796
Other landfills,1990,kg,46404NDRSN3400W,325211,7664939,2.26796
Other landfills,1990,kg,46514KCHMT24087,325520,7429905,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,100414,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,107211,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,127184,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,1330207,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,67561,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,67641,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,71556,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,7647010,0.226796
Other landfills,1990,kg,46515CCRPC2730M,332431,78933,0.226796
Other landfills,1990,kg,46515GDFRY22787,336612,100425,0.226796
Other landfills,1990,kg,46515GDFRY22787,336612,67641,0.226796
Other landfills,1990,kg,46514KCHMT24087,325520,108883,0.226796
Other landfills,1990,kg,46368MDWSTROUTE,331221,N090,38918.1936
Other landfills,1990,kg,46368MDWSTROUTE,331221,7440020,362.8736
Other landfills,1990,kg,46368MDWSTROUTE,331221,71556,0.226796
Other landfills,1990,kg,46304BTHLHBURNS,331110,N450,150138.952
Other landfills,1990,kg,46304BTHLHBURNS,331110,N495,907.184
Other landfills,1990,kg,46304BTHLHBURNS,331110,N982,14651.0216
Other landfills,1990,kg,46304TLSMF1050B,331523,7440508,0.226796
Other landfills,1990,kg,46312LTVST3001D,324199,N010,816.4656
Other landfills,1990,kg,46312LTVST3001D,331110,N090,20865.232
Other landfills,1990,kg,46312LTVST3001D,331110,N450,158757.2
Other landfills,1990,kg,46312NLNDS3210W,331110,1313275,113.398
Other landfills,1990,kg,46312NLNDS3210W,331110,7440360,1723.6496
Other landfills,1990,kg,46312NLNDS3210W,331110,N090,589669.6
Other landfills,1990,kg,46312NLNDS3210W,331110,N100,26308.336
Other landfills,1990,kg,46312NLNDS3210W,331110,N420,90718.4
Other landfills,1990,kg,46312NLNDS3210W,331110,N450,17690088.0
Other landfills,1990,kg,46312NLNDS3210W,331110,N495,25854.744
Other landfills,1990,kg,46312NLNDS3210W,331110,N982,1179339.2
Other landfills,1990,kg,46319STNRL801EM,332999,1330207,0.226796
Other landfills,1990,kg,46345KNGSB3RDRD,331511,7440020,410.954352
Other landfills,1990,kg,46350HWMTC1110E,331529,100425,1360.776
Other landfills,1990,kg,46350HWMTC1110E,331529,7429905,16982.48448
Other landfills,1990,kg,46350HWMTC1110E,331529,7440020,980.665904
Other landfills,1990,kg,46350HWMTC1110E,331529,7440473,547.485544
Other landfills,1990,kg,46350HWMTC1110E,331529,7440484,809.66172
Other landfills,1990,kg,46350MRCNM105KO,332510,108883,2.26796
Other landfills,1990,kg,46350MRCNM105KO,332510,1330207,2.26796
Other landfills,1990,kg,46360WLMCLBLAIN,331511,7440020,0.226796
Other landfills,1990,kg,46360WLMCLBLAIN,331511,7440473,0.226796
Other landfills,1990,kg,46360WLMCLBLAIN,331511,7664382,0.226796
Other landfills,1990,kg,46515THSLM500IN,339992,7647010,0.226796
Other landfills,1990,kg,46304BTHLHBURNS,331110,N420,44361.2976
Other landfills,1990,kg,46515THSLM500IN,339992,7664939,0.226796
Other landfills,1990,kg,46544RLNCL500SU,331511,7440508,340.194
Other landfills,1990,kg,47401NDNMT1820S,332510,7439921,0.0453592
Other landfills,1990,kg,47532DMFRN5THVI,337122,108883,0.226796
Other landfills,1990,kg,47546JSPRR1010F,326291,117817,0.226796
Other landfills,1990,kg,47546JSPRR1010F,326299,117817,0.226796
Other landfills,1990,kg,47546JSPRR1010F,339991,N982,0.226796
Other landfills,1990,kg,47591VNCNN2007O,332312,7439965,3628.736
Other landfills,1990,kg,47591VNCNN2007O,332312,7440666,6350.288
Other landfills,1990,kg,47710MLLRL3200N,332813,76131,0.226796
Other landfills,1990,kg,47710MLLRL3200N,332813,7664939,0.226796
Other landfills,1990,kg,47710MLLRL3200N,332813,7697372,0.226796
Other landfills,1990,kg,47710MLLRL3200N,332813,N495,0.226796
Other landfills,1990,kg,47711DLMRC700EM,311511,7664382,2.26796
Other landfills,1990,kg,47918HRRSN900MO,331513,67561,907.184
Other landfills,1990,kg,47374SLVCS2153W,331511,7440508,2.26796
Other landfills,1990,kg,47918HRRSN900MO,333511,7439965,17646.543168
Other landfills,1990,kg,47918HRRSN900MO,333511,7440473,1542.2128
Other landfills,1990,kg,47933SMMRM315PO,332813,7440020,2.26796
Other landfills,1990,kg,47933SMMRM315PO,332813,7647010,2.26796
Other landfills,1990,kg,47933SMMRM315PO,332813,7664939,2.26796
Other landfills,1990,kg,48040VNSST2541M,325520,N096,2.26796
Other landfills,1990,kg,48040VNSST2541M,325520,N982,113.398
Other landfills,1990,kg,48066WLVRN29456,332813,7440439,0.226796
Other landfills,1990,kg,48066WLVRN29456,332813,7647010,0.226796
Other landfills,1990,kg,48066WLVRN29456,332813,N106,0.226796
Other landfills,1990,kg,48077CSHMM6640S,332813,50000,0.226796
Other landfills,1990,kg,48077CSHMM6640S,332813,7440020,0.226796
Other landfills,1990,kg,48077CSHMM6640S,332813,7440473,0.226796
Other landfills,1990,kg,47918HRRSN900MO,333511,7440020,498.9512
Other landfills,1990,kg,47374SLVCS2153W,331511,7440473,2.26796
Other landfills,1990,kg,47374SLVCS2153W,331511,7440439,2.26796
Other landfills,1990,kg,47374SLVCS2153W,331511,7439965,2.26796
Other landfills,1990,kg,46563SGRNL1433W,331492,7429905,0.226796
Other landfills,1990,kg,46962TNCRP703WS,334519,79016,0.226796
Other landfills,1990,kg,46992THFRD775MA,331529,7439921,4989.512
Other landfills,1990,kg,46992THFRD775MA,331529,7440508,27669.112
Other landfills,1990,kg,47130JFFBT1030E,333120,7440666,18051.600824
Other landfills,1990,kg,47150WRGRC2910G,325312,7439965,2.26796
Other landfills,1990,kg,47150WRGRC2910G,325312,7664382,2.26796
Other landfills,1990,kg,47150WRGRC2910G,325312,7664417,2.26796
Other landfills,1990,kg,47150WRGRC2910G,325312,7664939,2.26796
Other landfills,1990,kg,47172RNPGC840PE,332999,1330207,2.26796
Other landfills,1990,kg,47201VNTRC18042,336992,108883,113.398
Other landfills,1990,kg,47201VNTRC18042,336992,1330207,113.398
Other landfills,1990,kg,47250RBSLT4201W,322130,7664417,2.26796
Other landfills,1990,kg,47250RBSLT4201W,322130,7664939,2.26796
Other landfills,1990,kg,47265RVNNR505IN,336390,N420,0.0453592
Other landfills,1990,kg,47265RVNNR505IN,336390,N982,0.226796
Other landfills,1990,kg,47320LTTLR500WW,331523,1344281,113.398
Other landfills,1990,kg,47320LTTLR500WW,331523,7429905,113.398
Other landfills,1990,kg,47320LTTLR500WW,331523,7439965,113.398
Other landfills,1990,kg,47320LTTLR500WW,331523,7440020,113.398
Other landfills,1990,kg,47320LTTLR500WW,331523,7440508,113.398
Other landfills,1990,kg,47320LTTLR500WW,331523,7440666,113.398
Other landfills,1990,kg,47362NTRNC1112S,336211,108952,0.226796
Other landfills,1990,kg,47371TLDYNELAFA,332111,7439965,340.194
Other landfills,1990,kg,47371TLDYNELAFA,332111,7440020,113.398
Other landfills,1990,kg,47374SLVCS2153W,331511,1344281,10886.208
Other landfills,1990,kg,47374SLVCS2153W,331511,7439921,2.26796
Other landfills,1990,kg,46515THSLM500IN,339992,7697372,0.226796
Other landfills,1990,kg,46304BTHLHBURNS,331110,N090,5397.7448
Other landfills,1990,kg,46304BTHLHBURNS,331110,N040,113.398
Other landfills,1990,kg,46304BTHLHBURNS,331110,108952,340.194
Other landfills,1990,kg,44681THBLDDOVER,327120,7440393,113.398
Other landfills,1990,kg,44681THBLDMAINS,327120,7439965,113.398
Other landfills,1990,kg,44681THBLDMAINS,327120,7440393,113.398
Other landfills,1990,kg,44691CRWND1654O,336390,108883,0.226796
Other landfills,1990,kg,44704LTVST26338,331110,N090,635.0288
Other landfills,1990,kg,44704LTVST26338,331110,N096,267.61928
Other landfills,1990,kg,44704LTVST26338,331110,N100,5443.104
Other landfills,1990,kg,44704LTVST26338,331110,N420,12246.984
Other landfills,1990,kg,44704LTVST26338,331110,N450,331122.16
Other landfills,1990,kg,44704LTVST26338,331110,N495,11793.392
Other landfills,1990,kg,44704LTVST26338,331110,N982,45359.2
Other landfills,1990,kg,44706CNTND4575S,332111,7439965,2267.96
Other landfills,1990,kg,44681THBLDDOVER,327120,7439965,113.398
Other landfills,1990,kg,44706CNTND4575S,332111,7440020,5896.696
Other landfills,1990,kg,44706CNTND4575S,332111,7440484,340.194
Other landfills,1990,kg,44706CNTND4575S,332111,7440508,113.398
Other landfills,1990,kg,44706LTVST2201H,331110,N090,371.94544
Other landfills,1990,kg,44706LTVST2201H,331110,N096,34.472992
Other landfills,1990,kg,44706LTVST2201H,331110,N100,408.2328
Other landfills,1990,kg,44706LTVST2201H,331110,N450,19958.048
Other landfills,1990,kg,44706LTVST2201H,331110,N495,771.1064
Other landfills,1990,kg,44730CRSCN6878O,327120,7664382,0.226796
Other landfills,1990,kg,44820BJBTS1520I,336612,100425,5533.8224
Other landfills,1990,kg,44827GGCMP900SW,326199,117817,0.226796
Other landfills,1990,kg,44827GGCMP900SW,336612,117817,0.226796
Other landfills,1990,kg,44864MNSFL150FI,327110,7440508,1.814368
Other landfills,1990,kg,44864MNSFL150FI,327110,N420,0.0453592
Other landfills,1990,kg,44706CNTND4575S,332111,7440473,4082.328
Other landfills,1990,kg,44681THBLDCOUNT,327120,7440473,113.398
Other landfills,1990,kg,44681THBLDCOUNT,327120,7440393,113.398
Other landfills,1990,kg,44681THBLDCOUNT,327120,7439965,113.398
Other landfills,1990,kg,44460LJRPL921SE,332999,N096,2.26796
Other landfills,1990,kg,44460LJRPL921SE,332999,N420,2.26796
Other landfills,1990,kg,44460LJRPL921SE,332999,N982,2.26796
