DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2007,kg,00851HSSLVLIMET,324110,100414,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N150,5.0000000000000004e-08
Other landfills,2007,kg,76567LMNMCSANDO,331313,N100,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N090,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,7440508,1360.776
Other landfills,2007,kg,76310CRTNT4515A,327212,N458,0.0453592
Other landfills,2007,kg,76310CRTNT4515A,327212,N420,0.0453592
Other landfills,2007,kg,76310CRTNT4515A,327212,N230,0.226796
Other landfills,2007,kg,76310CRTNT4515A,327212,67561,0.226796
Other landfills,2007,kg,76067NMCBL3800I,326199,7440360,25.401152
Other landfills,2007,kg,76067NMCBL3800I,326199,7439921,0.33565807999999997
Other landfills,2007,kg,76065TXSND245WA,327310,N982,154545.59828
Other landfills,2007,kg,76065TXSND245WA,327310,N495,3561.150792
Other landfills,2007,kg,76065TXSND245WA,327310,N458,10.48007079504
Other landfills,2007,kg,76065TXSND245WA,327310,N450,124240.209576
Other landfills,2007,kg,76065TXSND245WA,327310,N420,7902.933416
Other landfills,2007,kg,76065TXSND245WA,327310,N090,5065.715456
Other landfills,2007,kg,76065HLNMT1600D,327310,N982,0.226796
Other landfills,2007,kg,76065HLNMT1600D,327310,7440473,0.226796
Other landfills,2007,kg,76065GFFRDPOBOX,327310,N982,22827.0174
Other landfills,2007,kg,76567LMNMCSANDO,331313,N420,0.0453592
Other landfills,2007,kg,76065GFFRDPOBOX,327310,N458,0.46719976
Other landfills,2007,kg,76567LMNMCSANDO,331313,N450,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N495,0.226796
Other landfills,2007,kg,76804KHLRCMILAM,327110,7439921,555.6502
Other landfills,2007,kg,76804KHLRC2901M,327110,7439921,0.0453592
Other landfills,2007,kg,76634CHMCL2861F,327410,N458,69.3088576
Other landfills,2007,kg,76634CHMCL2861F,327410,N420,400.975328
Other landfills,2007,kg,76567SNDWS7MISW,221112,N982,14720.874768
Other landfills,2007,kg,76567SNDWS7MISW,221112,N770,62241.440647999996
Other landfills,2007,kg,76567SNDWS7MISW,221112,N760,22003.294328
Other landfills,2007,kg,76567SNDWS7MISW,221112,N725,7154.053024
Other landfills,2007,kg,76567SNDWS7MISW,221112,N495,12434.317496
Other landfills,2007,kg,76567SNDWS7MISW,221112,N458,67.585208
Other landfills,2007,kg,76567SNDWS7MISW,221112,N450,220671.600816
Other landfills,2007,kg,76567SNDWS7MISW,221112,N420,9391.168768
Other landfills,2007,kg,76567SNDWS7MISW,221112,N100,37500.265008
Other landfills,2007,kg,76567SNDWS7MISW,221112,N090,18733.803192
Other landfills,2007,kg,76567SNDWS7MISW,221112,N040,361897.923608
Other landfills,2007,kg,76567SNDWS7MISW,221112,N020,6146.1716
Other landfills,2007,kg,76567LMNMCSANDO,331313,N982,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N770,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N725,0.226796
Other landfills,2007,kg,76567LMNMCSANDO,331313,N458,0.0453592
Other landfills,2007,kg,76065GFFRDPOBOX,327310,N450,21426.778896
Other landfills,2007,kg,76065GFFRDPOBOX,327310,N420,686.738288
Other landfills,2007,kg,76065GFFRDPOBOX,327310,N090,483.529072
Other landfills,2007,kg,75840BGBRW11MIE,221112,N420,7845.7808239999995
Other landfills,2007,kg,75840BGBRW11MIE,221112,N100,30523.566456
Other landfills,2007,kg,75840BGBRW11MIE,221112,N096,4600.783656
Other landfills,2007,kg,75840BGBRW11MIE,221112,N090,15436.642944
Other landfills,2007,kg,75840BGBRW11MIE,221112,N040,373288.07232
Other landfills,2007,kg,75840BGBRW11MIE,221112,N020,4838.465864
Other landfills,2007,kg,75691MRTNL8850F,221112,N982,46276.816616
Other landfills,2007,kg,75691MRTNL8850F,221112,N770,179688.20283999998
Other landfills,2007,kg,75691MRTNL8850F,221112,N760,58945.641176
Other landfills,2007,kg,75691MRTNL8850F,221112,N725,11242.731312
Other landfills,2007,kg,75691MRTNL8850F,221112,N495,37576.922056
