DISPOSAL ACTIVITY,TRIFID,PRIMARY NAICS CODE,REPORTING YEAR,TRI_CHEM_ID,UNIT OF MEASURE,FLOW
Land treatment/application farming,00627PNMSHPRRD1,316210,1989,67641,kg,0.226796
Other landfills,48686DWCRN3901S,325199,1989,7647010,kg,4.53592
Other landfills,48867MCHGN1525W,332117,1989,7440508,kg,0.226796
Other landfills,48867MCHGN1525W,332117,1989,7664417,kg,0.226796
Other landfills,49001LLDPP2030P,322121,1989,7647010,kg,0.226796
Other landfills,49001LLDPP2030P,322121,1989,7782505,kg,0.226796
Other landfills,49004JMSRV100IS,322121,1989,50000,kg,4.9895119999999995
Other landfills,49015STHRN4582W,323120,1989,7440508,kg,0.226796
Other landfills,49022HRBRM800SF,332811,1989,7664417,kg,0.226796
Other landfills,49022KRZMN191GR,332813,1989,7647010,kg,0.226796
Other landfills,49022KRZMN191GR,332813,1989,7664939,kg,0.226796
Other landfills,48686DWCRN3901S,325199,1989,1330207,kg,37.648136
Other landfills,49022KRZMN191GR,332813,1989,7697372,kg,0.226796
Other landfills,49079PWPWP139CO,332813,1989,7440508,kg,3628.736
Other landfills,49091FRYCP1210P,339940,1989,7440393,kg,183.251168
Other landfills,49091STRGS1000W,331511,1989,7439965,kg,11748.032799999999
Other landfills,49097SMPSN336WW,322299,1989,7664939,kg,0.226796
Other landfills,49221HYDRT1400E,325199,1989,7664417,kg,0.226796
Other landfills,49221HYDRT1400E,325199,1989,7782505,kg,0.226796
Other landfills,49247MTLLG393SM,339999,1989,127184,kg,159.66438399999998
Other landfills,49247MTLLY3985M,331523,1989,107211,kg,181.4368
Other landfills,49247MTLLY3985M,331523,1989,111422,kg,90.7184
Other landfills,49247MTLLY3985M,331523,1989,7429905,kg,2721.552
Other landfills,49079PWPWP139CO,332813,1989,7440020,kg,10886.208
Other landfills,48686DWCRN3901S,325199,1989,108883,kg,45.3592
Other landfills,48686DWCRN3901S,325199,1989,100414,kg,7.711064
Other landfills,48647HSKNS830EK,331491,1989,7697372,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,67641,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,71363,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,78933,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,80626,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,84662,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,85687,kg,0.226796
Other landfills,48507PRMRP6220L,325612,1989,100414,kg,0.226796
Other landfills,48507PRMRP6220L,325612,1989,1330207,kg,0.226796
Other landfills,48605SGNWG1629N,331511,1989,6484522,kg,113.398
Other landfills,48605SGNWG1629N,331511,1989,7439921,kg,104326.16
Other landfills,48605SGNWG1629N,331511,1989,7439965,kg,498951.2
Other landfills,48605SGNWG1629N,331511,1989,7440020,kg,3492.6584
Other landfills,48605SGNWG1629N,331511,1989,7440393,kg,14061.351999999999
Other landfills,48605SGNWG1629N,331511,1989,7440473,kg,15422.128
Other landfills,48605SGNWG1629N,331511,1989,7440508,kg,10432.616
Other landfills,48605SGNWG1629N,331511,1989,7440666,kg,2721552.0
Other landfills,48605SGNWG1629N,331524,1989,108952,kg,12700.576
Other landfills,48647HSKNS830EK,331491,1989,127184,kg,0.226796
Other landfills,48647HSKNS830EK,331491,1989,7440020,kg,0.226796
Other landfills,48647HSKNS830EK,331491,1989,7440473,kg,0.226796
Other landfills,48647HSKNS830EK,331491,1989,7440508,kg,0.226796
Other landfills,48647HSKNS830EK,331491,1989,7647010,kg,0.226796
Other landfills,48647HSKNS830EK,331491,1989,7664417,kg,0.226796
Other landfills,49404LGHPR41164,332323,1989,100414,kg,0.226796
Other landfills,48503DPNTF1555J,325510,1989,67561,kg,0.226796
Other landfills,49404LGHPR41164,332323,1989,107211,kg,0.226796
Other landfills,49404LGHPR41164,332323,1989,108883,kg,0.226796
Other landfills,49507DVNCP1529S,332813,1989,7440020,kg,0.226796
