DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2003,kg,00851HSSLVLIMET,324110,7439921,136.0776
Other landfills,2003,kg,84601PCFCS2550S,331511,7440020,113.398
Other landfills,2003,kg,84601PCFCS2550S,331511,7439965,140613.52
Other landfills,2003,kg,84601PCFCS2550S,331511,7439921,23586.784
Other landfills,2003,kg,84601PCFCS2550S,331511,108952,2148.665304
Other landfills,2003,kg,84539SNNYSONEPO,221112,N450,17062.770264
Other landfills,2003,kg,84539SNNYSONEPO,221112,7439976,49.08772624
Other landfills,2003,kg,84539SNNYSONEPO,221112,7439921,8748.428904
Other landfills,2003,kg,84601PCFCS2550S,331511,7440393,9979.024
Other landfills,2003,kg,84528PCFCR10MIL,221112,N982,26761.928
Other landfills,2003,kg,84528PCFCR10MIL,221112,N495,20865.232
Other landfills,2003,kg,84528PCFCR10MIL,221112,N458,113.398
Other landfills,2003,kg,84528PCFCR10MIL,221112,N450,34019.4
Other landfills,2003,kg,84528PCFCR10MIL,221112,N420,12089.4514984
Other landfills,2003,kg,84528PCFCR10MIL,221112,N100,17690.088
Other landfills,2003,kg,84528PCFCR10MIL,221112,N096,10886.208
Other landfills,2003,kg,84528PCFCR10MIL,221112,N090,26761.928
Other landfills,2003,kg,84528PCFCR10MIL,221112,N770,19958.048
Other landfills,2003,kg,84624BRSHW10MIL,212299,7664417,0.226796
Other landfills,2003,kg,84624BRSHW10MIL,212299,N050,49.89512
Other landfills,2003,kg,84624BRSHW10MIL,212299,N982,122.46984
Other landfills,2003,kg,84624NTRMN850BR,221112,N495,8164.656
Other landfills,2003,kg,84624NTRMN850BR,221112,N458,116.6185032
Other landfills,2003,kg,84624NTRMN850BR,221112,N450,23586.784
Other landfills,2003,kg,84624NTRMN850BR,221112,N420,11046.552772
Other landfills,2003,kg,84624NTRMN850BR,221112,N150,0.006617700000000001
Other landfills,2003,kg,84624NTRMN850BR,221112,N100,13607.76
Other landfills,2003,kg,84624NTRMN850BR,221112,N096,4989.512
Other landfills,2003,kg,84624NTRMN850BR,221112,N090,41276.872
Other landfills,2003,kg,84624NTRMN850BR,221112,N040,163293.12
Other landfills,2003,kg,84624NTRMN850BR,221112,N020,20411.64
Other landfills,2003,kg,84624NTRMN850BR,221112,N010,8164.656
Other landfills,2003,kg,84624NTRMN850BR,221112,7782505,0.226796
Other landfills,2003,kg,84624NTRMN850BR,221112,7664417,0.226796
Other landfills,2003,kg,84624NTRMN850BR,221112,7664393,0.226796
Other landfills,2003,kg,84624GRYMN32MIL,327410,N458,40.4150472
Other landfills,2003,kg,84624GRYMN32MIL,327410,7439965,4071.895384
Other landfills,2003,kg,84624GRYMN32MIL,327410,7439921,263.2194376
Other landfills,2003,kg,84528PCFCR10MIL,221112,N040,449056.08
Other landfills,2003,kg,84526PCFCRINTER,221112,N458,7.8471416000000005
Other landfills,2003,kg,84526PCFCRINTER,221112,N420,2086.7046367999997
Other landfills,2003,kg,84526PCFCRINTER,221112,N040,54431.04
Other landfills,2003,kg,84104WSTRN4340W,327993,50000,2.4947559999999998
Other landfills,2003,kg,84088NTRST9780S,327120,N090,0.226796
Other landfills,2003,kg,84078BNNZP12500,221112,N770,19632.368943999998
Other landfills,2003,kg,84078BNNZP12500,221112,N458,60.146299199999994
Other landfills,2003,kg,84078BNNZP12500,221112,N450,13375.067304
Other landfills,2003,kg,84078BNNZP12500,221112,N420,16923.51752
Other landfills,2003,kg,84078BNNZP12500,221112,N090,12545.447536
Other landfills,2003,kg,84078BNNZP12500,221112,N040,577729.697784
Other landfills,2003,kg,84074PPMNCI80XX,562211,N078,0.226796
Other landfills,2003,kg,84074PPMNCI80XX,562211,N050,0.226796
Other landfills,2003,kg,84074PPMNCI80XX,562211,N020,0.226796
Other landfills,2003,kg,84074PPMNCI80XX,562211,N010,0.226796
Other landfills,2003,kg,84074PPMNCI80XX,562211,7697372,0.226796
Other landfills,2003,kg,84074PPMNCI80XX,562211,1336363,1862871.046152
Other landfills,2003,kg,84074PPMNCI80XX,562211,1332214,0.226796
Other landfills,2003,kg,84074MXMGNROWLE,331410,1336363,5.443104
Other landfills,2003,kg,84050HLNMN6055E,327310,N982,3401.94
Other landfills,2003,kg,84116STNLM5040W,339920,N511,113.398
Other landfills,2003,kg,84624NTRMN850BR,221112,N590,0.0453592
Other landfills,2003,kg,84302MRTNT9160N,336415,7429905,64166.938688
Other landfills,2003,kg,84330NCRST7285W,331110,N090,1647.899736
Other landfills,2003,kg,84513PCFCR3MILE,221114,N982,14061.351999999999
Other landfills,2003,kg,84513PCFCR3MILE,221115,N982,14061.351999999999
Other landfills,2003,kg,84513PCFCR3MILE,221116,N982,14061.351999999999
Other landfills,2003,kg,84513PCFCR3MILE,221117,N982,14061.351999999999
Other landfills,2003,kg,84513PCFCR3MILE,221118,N982,14061.351999999999
Other landfills,2003,kg,84513PCFCR3MILE,221114,N096,14514.944
Other landfills,2003,kg,84513PCFCR3MILE,221115,N096,14514.944
Other landfills,2003,kg,84513PCFCR3MILE,221116,N096,14514.944
Other landfills,2003,kg,84513PCFCR3MILE,221117,N096,14514.944
Other landfills,2003,kg,84513PCFCR3MILE,221118,N096,14514.944
Other landfills,2003,kg,84513PCFCR3MILE,221112,N770,28576.296
Other landfills,2003,kg,84513PCFCR3MILE,221112,N495,22226.007999999998
Other landfills,2003,kg,84513PCFCR3MILE,221112,N458,167.8743992
Other landfills,2003,kg,84513PCFCR3MILE,221112,N450,58966.96
Other landfills,2003,kg,84513PCFCR3MILE,221112,N420,13255.1829384
Other landfills,2003,kg,84513PCFCR3MILE,221112,N100,19958.048
Other landfills,2003,kg,84513PCFCR3MILE,221112,N090,27669.112
Other landfills,2003,kg,84513PCFCR3MILE,221112,N040,258547.44
Other landfills,2003,kg,84330NCRST7285W,331110,N982,49.89512
Other landfills,2003,kg,84330NCRST7285W,331110,N770,10197.201751999999
