REPORTING YEAR,PRIMARY NAICS CODE,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,TRIFID,FLOW
2009,111930,Land treatment/application farming,kg,13194484,33440NTDSTSOUTH,26871.243672
2009,332431,Other disposal,kg,108101,17604JLCLR303NO,114.59548287999999
2009,332431,Other disposal,kg,1330207,17604JLCLR303NO,239.64172544000002
2009,332431,Other disposal,kg,71363,17604JLCLR303NO,89.03103776
2009,332431,Other disposal,kg,95636,17604JLCLR303NO,50.4847896
2009,332439,Other disposal,kg,7439921,15317NCSNC30CUR,0.0453592
2009,332439,Other disposal,kg,7439965,15317NCSNC30CUR,0.226796
2009,332439,Other disposal,kg,7440020,15317NCSNC30CUR,0.226796
2009,332439,Other disposal,kg,7440473,15317NCSNC30CUR,0.226796
2009,332439,Other disposal,kg,7697372,60160MCHTR1635N,0.226796
2009,332510,Other disposal,kg,7439921,84651LBRTY1199W,0.0453592
2009,332510,Other disposal,kg,7439965,53210MSTRL2600N,0.226796
2009,332510,Other disposal,kg,7440020,61356SCHLG121WR,0.226796
2009,332510,Other disposal,kg,7440020,84651LBRTY1199W,0.226796
2009,332510,Other disposal,kg,7440473,53210MSTRL2600N,0.226796
2009,332510,Other disposal,kg,7440473,61356SCHLG121WR,0.226796
2009,332510,Other disposal,kg,7440473,84651LBRTY1199W,0.226796
2009,332510,Other disposal,kg,7440508,19611BLDWN841EW,0.226796
2009,332431,Other disposal,kg,100414,17604JLCLR303NO,65.41250232
2009,332410,Other surface impoundment,kg,7697372,24504BBCCKMTATH,0.226796
2009,332410,Other surface impoundment,kg,7664393,24504BBCCKMTATH,0.226796
2009,332410,Other disposal,kg,7664393,24504BBCCKMTATH,0.226796
2009,332322,Other disposal,kg,7440020,14701BLCKS1BLAC,0.226796
2009,332322,Other disposal,kg,7440020,1470WDWSNM825AL,0.226796
2009,332322,Other disposal,kg,7440473,14701BLCKS1BLAC,0.226796
2009,332322,Other disposal,kg,7440473,1470WDWSNM825AL,0.226796
2009,332322,Other disposal,kg,7440473,16323SPCLT455AL,0.226796
2009,332322,Other disposal,kg,7440473,16511THVCT1651E,0.226796
2009,332322,Other disposal,kg,7440508,1470WDWSNM825AL,0.226796
2009,332322,Other surface impoundment,kg,108883,45365STLLC2633C,0.226796
2009,332510,Other disposal,kg,7440508,84651LBRTY1199W,0.226796
2009,332322,Other surface impoundment,kg,71363,45365STLLC2633C,0.226796
2009,332323,Other disposal,kg,7439965,43502BLJXN125TA,0.226796
2009,332323,Other disposal,kg,7439965,4470WHGRTN5299S,0.226796
2009,332323,Other disposal,kg,7440020,4470WHGRTN5299S,0.226796
2009,332323,Other disposal,kg,7440473,4470WHGRTN5299S,0.226796
2009,332323,Other landfills,kg,7440508,97055MDNBR16600,2.26796
2009,332410,Other disposal,kg,7439921,23323GHTTR2601T,0.0453592
2009,332410,Other disposal,kg,7440508,23323GHTTR2601T,0.226796
2009,332410,Other disposal,kg,7440508,90502RDMNQ198NR,0.453592
2009,332322,Other surface impoundment,kg,7439965,45365STLLC2633C,0.226796
2009,332510,Other disposal,kg,7697372,53210MSTRL2600N,0.226796
2009,332510,Other disposal,kg,79016,19611BLDWN841EW,0.226796
2009,332613,Other disposal,kg,7440473,16407SSCTD226SO,0.226796
2009,332710,Other disposal,kg,7440020,16502MRCNH191RA,0.226796
2009,332710,Other disposal,kg,7440020,7702WSTNDR562AR,0.226796
2009,332710,Other disposal,kg,7440020,7703WTMKNB1473Y,0.226796
2009,332710,Other disposal,kg,7440020,7703WTXSHN2ALDI,0.226796
2009,332710,Other disposal,kg,7440020,7758WTXSHN171MY,0.226796
2009,332710,Other disposal,kg,7440020,9176WSMMTM288EP,0.226796
2009,332710,Other disposal,kg,7440473,15846RBCNC650BR,0.226796
2009,332710,Other disposal,kg,7440473,7702WSTNDR562AR,0.226796
2009,332710,Other disposal,kg,7440020,15846RBCNC650BR,0.226796
2009,332710,Other disposal,kg,7440473,7703WTMKNB1473Y,0.226796
2009,332710,Other disposal,kg,7440473,7758WTXSHN171MY,0.226796
2009,332710,Other disposal,kg,7440473,9176WSMMTM288EP,0.226796
2009,332710,Other disposal,kg,7440473,9503WFLXTR925LI,0.226796
2009,332710,Other disposal,kg,7440484,9176WSMMTM288EP,0.226796
2009,332710,Other disposal,kg,7440508,15846RBCNC650BR,0.226796
2009,332710,Other disposal,kg,7440508,45885PRKRH1700E,9.979023999999999
2009,332710,Other disposal,kg,7440508,7703WTMKNB1473Y,0.226796
2009,332710,Other disposal,kg,7440508,9176WSMMTM288EP,0.226796
2009,332710,Other disposal,kg,7440473,7703WTXSHN2ALDI,0.226796
2009,332322,Other disposal,kg,7439965,45365STLLC2633C,0.226796
2009,332710,Other disposal,kg,7439965,7758WTXSHN171MY,0.226796
2009,332710,Other disposal,kg,7439965,45885PRKRH1700E,2.26796
2009,332613,Other disposal,kg,7440473,49443CLRCR2700W,0.226796
2009,332618,Other disposal,kg,7429905,1870WNTRMTSECND,2525.600256
2009,332618,Other disposal,kg,7439921,55987PRLSS1416E,0.0453592
2009,332618,Other disposal,kg,7439965,55987PRLSS1416E,0.226796
2009,332618,Other disposal,kg,7440020,42301HNDRC3074M,0.226796
2009,332618,Other disposal,kg,7440020,55987PRLSS1416E,0.226796
2009,332618,Other disposal,kg,7440020,73446KLHMSPOBOX,0.226796
2009,332618,Other disposal,kg,7440020,77007HLLBR1907S,0.226796
2009,332710,Other disposal,kg,7439965,7703WTXSHN2ALDI,0.226796
2009,332618,Other disposal,kg,7440473,42301HNDRC3074M,0.226796
2009,332618,Other disposal,kg,7440473,77007HLLBR1907S,0.226796
2009,332618,Other disposal,kg,7440666,61354WHMZC100SO,0.226796
2009,332710,Other disposal,kg,7439921,24120MCRMT2900W,0.0453592
2009,332710,Other disposal,kg,7439921,45885PRKRH1700E,0.907184
2009,332710,Other disposal,kg,7439921,52544CCMCH22233,0.0453592
2009,332710,Other disposal,kg,7439921,63025RTDCN800HO,0.0453592
2009,332710,Other disposal,kg,7439921,7758WTXSHN171MY,0.0453592
2009,332710,Other disposal,kg,7439965,16161MSPCL100FI,0.226796
2009,332618,Other disposal,kg,7440473,77007HLLBR1201S,0.226796
2009,332710,Other surface impoundment,kg,7439965,7703WTXSHN2ALDI,0.226796
2009,332322,Other disposal,kg,7439921,06484NCNGN217LN,0.0453592
2009,332322,Other disposal,kg,108883,55343DCPRD845EX,0.226796
2009,332216,Other disposal,kg,7440020,37644SNPNTSTATE,0.226796
2009,332216,Other disposal,kg,7439921,29501GNRLL3001W,0.0453592
2009,332216,Other disposal,kg,7440020,29501GNRLL3001W,0.226796
2009,332216,Other disposal,kg,7440508,29501GNRLL3001W,0.226796
2009,332215,Other disposal,kg,127184,66203VTCRF11100,0.226796
2009,332215,Other disposal,kg,7429905,15317CLDMTRD2HE,0.226796
2009,332215,Other disposal,kg,7439965,15317CLDMTRD2HE,0.226796
2009,332215,Other disposal,kg,7440020,15317CLDMTRD2HE,0.226796
2009,332215,Other disposal,kg,7440473,15317CLDMTRD2HE,0.226796
2009,332215,Other disposal,kg,7440473,66203VTCRF11100,2.26796
2009,332215,Other disposal,kg,7440508,15317CLDMTRD2HE,0.226796
2009,332311,Other disposal,kg,108883,49601RBRKS201HA,0.907184
2009,332312,Land treatment/application farming,kg,7439921,40391CNTCH700TE,0.0453592
2009,332312,Land treatment/application farming,kg,7439965,54014MYRNDHIGHW,1230.595096
2009,332312,Other disposal,kg,100414,58078DMNDS42EMA,0.226796
2009,332312,Other disposal,kg,115071,68701NCRCR1601W,0.226796
2009,332312,Other disposal,kg,1330207,58078DMNDS42EMA,0.226796
2009,332117,Other disposal,kg,7697372,5475WPHLLP422TE,0.226796
2009,332117,Other disposal,kg,7440508,60176CHCGP9700W,0.226796
2009,332117,Other disposal,kg,7440508,15853LPNPRTANNE,0.226796
2009,332119,Other disposal,kg,7440508,60005BRKND511WA,0.226796
2009,332114,Other disposal,kg,7440020,4713WRLLFR125NR,0.226796
2009,332114,Other disposal,kg,7440473,18707NSNNG71CRE,0.226796
2009,332114,Other disposal,kg,7440473,4713WRLLFR125NR,0.226796
2009,332114,Other disposal,kg,7440484,18707NSNNG71CRE,0.226796
2009,332119,Other disposal,kg,7439921,04210GNRLL135RO,0.0453592
2009,332119,Other disposal,kg,7439921,44092NVRSL29980,0.0453592
2009,332119,Other disposal,kg,7439965,04210GNRLL135RO,0.226796
2009,332119,Other disposal,kg,7439965,44092NVRSL29980,0.226796
2009,332312,Other disposal,kg,1330207,73106WWSTL1730W,0.226796
2009,332119,Other disposal,kg,7439965,60005BRKND511WA,0.226796
2009,332119,Other disposal,kg,7440020,44092NVRSL29980,0.226796
2009,332119,Other disposal,kg,7440020,60005BRKND511WA,0.226796
2009,332119,Other disposal,kg,7440473,04210GNRLL135RO,0.226796
2009,332119,Other disposal,kg,7440473,16407TNNRD715SP,0.226796
2009,332119,Other disposal,kg,7440473,44092NVRSL29980,0.226796
2009,332119,Other disposal,kg,7440473,60005BRKND511WA,0.226796
2009,332119,Other disposal,kg,7440484,44092NVRSL29980,0.226796
2009,332119,Other disposal,kg,7440508,44092NVRSL29980,0.226796
2009,332119,Other disposal,kg,7440020,04210GNRLL135RO,0.226796
2009,332312,Other disposal,kg,71363,58078DMNDS42EMA,0.226796
2009,332312,Other disposal,kg,7439921,68701NCRCR1601W,0.0453592
2009,332312,Other disposal,kg,7439965,18014MCHLM723BE,2.26796
2009,332312,Other surface impoundment,kg,7439921,40391CNTCH700TE,0.8618248
2009,332313,Other disposal,kg,7439921,74107FNTBL555WE,0.0453592
2009,332313,Other disposal,kg,7439965,74015MTRXS119WM,0.226796
2009,332313,Other disposal,kg,7440020,74015MTRXS119WM,0.226796
2009,332313,Other disposal,kg,7440473,74015MTRXS119WM,0.226796
2009,332313,Other disposal,kg,7440473,74107FNTBL555WE,0.226796
2009,332321,Other disposal,kg,1330207,50401CRRSC16001,0.226796
2009,332321,Other disposal,kg,1330207,50401CRRSC2519T,0.226796
2009,332312,Other disposal,kg,95636,58078DMNDS42EMA,0.226796
2009,332321,Other disposal,kg,7439921,50401CRRSC16001,0.0453592
2009,332321,Other disposal,kg,7439965,60921NCHLSRT24E,0.226796
2009,332321,Other disposal,kg,7440020,60921NCHLSRT24E,0.226796
2009,332321,Other disposal,kg,7440473,60921NCHLSRT24E,0.226796
2009,332321,Other disposal,kg,7440508,14701HPSRC84HOP,0.226796
2009,332321,Other disposal,kg,7440508,14733LLSNB125WM,0.226796
2009,332321,Other disposal,kg,7440508,60921NCHLSRT24E,0.226796
2009,332321,Other disposal,kg,95636,50401CRRSC2519T,0.226796
2009,332322,Other disposal,kg,108883,45365STLLC2633C,0.226796
2009,332321,Other disposal,kg,7439965,50401CRRSC2519T,0.226796
2009,332322,Other disposal,kg,71363,45365STLLC2633C,0.226796
2009,332312,Other disposal,kg,7440666,73106WWSTL1730W,0.226796
2009,332312,Other disposal,kg,7440666,32177SHFFLCOMFO,0.226796
2009,332312,Other disposal,kg,7439965,51510PXTNV5THAV,0.226796
2009,332312,Other disposal,kg,7439965,54180SPRTF1255B,0.226796
2009,332312,Other disposal,kg,7439965,58078DMNDS42EMA,0.226796
2009,332312,Other disposal,kg,7439965,60188BNNRS494EL,0.226796
2009,332312,Other disposal,kg,7439965,68701NCRCR1601W,0.226796
2009,332312,Other disposal,kg,7439965,75090CPRBL4900M,2.26796
2009,332312,Other disposal,kg,7440020,0133WWHPPN37SUT,3.628736
2009,332312,Other disposal,kg,7440020,51510PXTNV5THAV,0.226796
2009,332312,Other disposal,kg,7440666,54401HRTWG3526W,0.226796
2009,332312,Other disposal,kg,7440020,60188BNNRS494EL,0.226796
2009,332312,Other disposal,kg,7440020,75090CPRBL4900M,0.907184
2009,332312,Other disposal,kg,7440473,0133WWHPPN37SUT,6.350288
2009,332312,Other disposal,kg,7440473,60188BNNRS494EL,0.226796
2009,332312,Other disposal,kg,7440473,68701NCRCR1601W,0.226796
2009,332312,Other disposal,kg,7440473,75090CPRBL4900M,2.26796
2009,332312,Other disposal,kg,7440508,60188BNNRS494EL,0.226796
2009,332312,Other disposal,kg,7440508,75090CPRBL4900M,0.907184
2009,332312,Other disposal,kg,7440666,18014MCHLM723BE,2.26796
2009,332312,Other disposal,kg,7440020,68701NCRCR1601W,0.226796
2009,332710,Other surface impoundment,kg,7440020,7702WSTNDR562AR,0.226796
2009,332710,Other surface impoundment,kg,7440020,7703WTXSHN2ALDI,0.226796
2009,332710,Other surface impoundment,kg,7440473,7702WSTNDR562AR,0.226796
2009,332813,Other disposal,kg,7697372,60007PRFCT775MO,0.226796
2009,332813,Other disposal,kg,7697372,60018TWRSR5341N,0.226796
