REPORTING YEAR,PRIMARY NAICS CODE,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,TRIFID,FLOW
2013,111150,Land treatment/application farming,kg,7697372,52156SWSSVHWY18,340.194
2013,332710,Other disposal,kg,7439921,63025RTDCN800HO,0.0453592
2013,332710,Other disposal,kg,7439921,7758WTXSHN171MY,0.0453592
2013,332710,Other disposal,kg,7439965,16161MSPCL100FI,0.226796
2013,332710,Other disposal,kg,7439965,45885PRKRH1700E,3.175144
2013,332710,Other disposal,kg,7439965,52544CCMCH22233,0.226796
2013,332710,Other disposal,kg,7439965,7703WTMKNB1473Y,0.226796
2013,332710,Other disposal,kg,7439965,7703WTXSHN2ALDI,0.226796
2013,332710,Other disposal,kg,7439965,7758WTXSHN171MY,0.226796
2013,332710,Other disposal,kg,7439921,52544CCMCH22233,0.0453592
2013,332710,Other disposal,kg,7440020,15846RBCNC650BR,0.226796
2013,332710,Other disposal,kg,7440020,7702WSTNDR562AR,0.226796
2013,332710,Other disposal,kg,7440020,7703WTMKNB1473Y,0.226796
2013,332710,Other disposal,kg,7440020,7703WTXSHN2ALDI,0.226796
2013,332710,Other disposal,kg,7440020,7758WTXSHN171MY,0.226796
2013,332710,Other disposal,kg,7440020,9176WSMMTM288EP,0.226796
2013,332710,Other disposal,kg,7440473,15846RBCNC650BR,0.226796
2013,332710,Other disposal,kg,7440473,16161MSPCL100FI,0.226796
2013,332710,Other disposal,kg,7440473,16502MRCNH191RA,0.453592
2013,332710,Other disposal,kg,7440020,16502MRCNH191RA,0.453592
2013,332710,Other disposal,kg,7439921,45885PRKRH1700E,0.0453592
2013,332710,Other disposal,kg,7439921,4472WSCMCH7376W,0.0453592
2013,332710,Other disposal,kg,7439921,24120MCRMT2900W,0.0453592
2013,332510,Other disposal,kg,7439921,75020KWKST2600N,0.082100152
2013,332510,Other disposal,kg,7439965,53210MSTRL2600N,0.226796
2013,332510,Other disposal,kg,7440473,53210MSTRL2600N,0.226796
2013,332510,Other disposal,kg,7440508,3838WMCLNP1465I,0.226796
2013,332510,Other disposal,kg,7440508,75020KWKST2600N,2.125532112
2013,332510,Other disposal,kg,7697372,53210MSTRL2600N,0.226796
2013,332510,Other disposal,kg,7697372,75020KWKST2600N,0.226796
2013,332613,Other disposal,kg,7439921,6041WLCSPR23EUC,0.0453592
2013,332613,Other disposal,kg,7439965,16407SSCTD226SO,0.226796
2013,332613,Other disposal,kg,7440473,16407SSCTD226SO,0.226796
2013,332618,Other disposal,kg,7439921,55987PRLSS1416E,0.0453592
2013,332618,Other disposal,kg,7439921,6486WSTHWS11PPL,0.0453592
2013,332618,Other disposal,kg,7439921,74127GNRLW1800S,0.0453592
2013,332618,Other disposal,kg,7439921,9565WSTHWS4318D,0.0453592
2013,332618,Other disposal,kg,7439965,55987PRLSS1416E,0.226796
2013,332618,Other disposal,kg,7440020,52544WSTLL1500W,0.226796
2013,332618,Other disposal,kg,7440020,55987PRLSS1416E,0.226796
2013,332618,Other disposal,kg,7440020,73446KLHMSPOBOX,0.226796
2013,332710,Other disposal,kg,7439921,16161MSPCL100FI,0.0453592
2013,332710,Other disposal,kg,7440473,7702WSTNDR562AR,0.226796
2013,332710,Other disposal,kg,7440473,7703WTMKNB1473Y,0.226796
2013,332710,Other disposal,kg,7440473,7703WTXSHN2ALDI,0.226796
2013,332710,Other disposal,kg,7440473,7758WTXSHN171MY,0.226796
2013,332721,Other disposal,kg,7440020,14206TRCPR50THI,0.226796
2013,332721,Other disposal,kg,7440020,29654THTRRBRICK,0.226796
2013,332721,Other disposal,kg,7440020,60714SWSSP7550N,0.226796
2013,332721,Other disposal,kg,7440020,90505RXNRD3000W,0.226796
2013,332721,Other disposal,kg,7440473,14206TRCPR50THI,0.226796
2013,332721,Other disposal,kg,7440473,60714SWSSP7550N,0.226796
2013,332721,Other disposal,kg,7440473,6111WZNTHC52ZEN,0.226796
2013,332721,Other disposal,kg,7440473,90505RXNRD3000W,0.226796
2013,332721,Other disposal,kg,7440508,4950WMCRNM1722K,0.226796
2013,332721,Other disposal,kg,7440508,55379DCTLC1187P,0.226796
2013,332721,Other disposal,kg,7440508,6111WZNTHC52ZEN,0.226796
2013,332721,Other disposal,kg,7440508,85301GLBRT5310W,0.226796
2013,332721,Other disposal,kg,7697372,85301GLBRT5310W,0.226796
2013,332721,Other disposal,kg,7697372,90505RXNRD3000W,0.226796
2013,332722,Other disposal,kg,7439921,5352WTWSHK43ENG,0.0453592
2013,332722,Other disposal,kg,7439921,5598WFSTNL181TH,0.0453592
2013,332722,Other disposal,kg,7439921,60177HDNCX201NO,0.0453592
2013,332722,Other disposal,kg,7439921,60178DRVLK114PA,0.0453592
2013,332722,Other disposal,kg,7439921,6111WRCKFR58IND,0.0453592
2013,332721,Other disposal,kg,7439965,29654THTRRBRICK,0.226796
2013,332510,Other disposal,kg,7439921,55060TRTHH700WB,0.0453592
2013,332721,Other disposal,kg,7439965,16403MDVLL440MC,0.226796
2013,332721,Other disposal,kg,7439921,85301GLBRT5310W,0.0453592
2013,332710,Other disposal,kg,7440473,9176WSMMTM288EP,0.226796
2013,332710,Other disposal,kg,7440473,9803WGCMNR21719,0.226796
2013,332710,Other disposal,kg,7440484,9176WSMMTM288EP,0.226796
2013,332710,Other disposal,kg,7440508,15846RBCNC650BR,0.226796
2013,332710,Other disposal,kg,7440508,45885PRKRH1700E,19.504456
2013,332710,Other disposal,kg,7440508,7702WSTNDR562AR,0.226796
2013,332710,Other disposal,kg,7440508,7703WTMKNB1473Y,0.226796
2013,332710,Other disposal,kg,7440508,7758WTXSHN171MY,0.226796
2013,332710,Other disposal,kg,7440508,9803WGCMNR21719,0.226796
2013,332710,Other disposal,kg,7697372,14870CRNNGADDIA,0.226796
2013,332710,Other surface impoundment,kg,7439965,7703WTXSHN2ALDI,0.226796
2013,332710,Other surface impoundment,kg,7440020,7702WSTNDR562AR,0.226796
2013,332710,Other surface impoundment,kg,7440020,7703WTXSHN2ALDI,0.226796
2013,332710,Other surface impoundment,kg,7440473,7702WSTNDR562AR,0.226796
2013,332710,Other surface impoundment,kg,7440473,7703WTXSHN2ALDI,0.226796
2013,332710,Other surface impoundment,kg,7440508,7702WSTNDR562AR,0.226796
2013,332721,Other disposal,kg,7439921,14206TRCPR50THI,0.0453592
2013,332721,Other disposal,kg,7439921,35957PRKRH301WA,0.0453592
2013,332721,Other disposal,kg,7439921,4950WMCRNM1722K,0.0453592
2013,332721,Other disposal,kg,7439965,14206TRCPR50THI,0.226796
2013,332510,Other disposal,kg,7439921,3838WMCLNP1465I,0.0453592
2013,332439,Other disposal,kg,7697372,60160MCHTR1635N,0.226796
2013,332439,Other disposal,kg,7440473,15145STLDN200BR,0.226796
2013,332321,Other disposal,kg,7440508,14701HPSRC84HOP,0.226796
2013,332321,Other disposal,kg,7440508,14733LLSNB125WM,0.226796
2013,332321,Other disposal,kg,7440508,60921NCHLSRT24E,0.226796
2013,332322,Other disposal,kg,108883,45365STLLC2633C,0.226796
2013,332322,Other disposal,kg,108883,55343DCPRD845EX,0.226796
2013,332322,Other disposal,kg,121448,45365STLLC2633C,0.226796
2013,332322,Other disposal,kg,71363,45365STLLC2633C,0.226796
2013,332322,Other disposal,kg,7439921,06484NCNGN217LN,0.0453592
2013,332322,Other disposal,kg,7439921,9160WKLNND7323C,0.0453592
2013,332322,Other disposal,kg,7439965,60638GMTHS6100S,0.226796
2013,332322,Other disposal,kg,7439965,80110MRCNS1600W,0.226796
2013,332322,Other disposal,kg,7440020,1470WDWSNM825AL,0.226796
2013,332322,Other disposal,kg,7440020,16301MNNSTRTE8N,0.226796
2013,332322,Other disposal,kg,7440020,60638GMTHS6100S,0.226796
2013,332322,Other disposal,kg,7440020,9160WKLNND7323C,0.226796
2013,332322,Other disposal,kg,7440473,14701BLCKS1BLAC,0.226796
2013,332322,Other disposal,kg,7440473,1470WDWSNM825AL,0.226796
2013,332322,Other disposal,kg,7440473,16301MNNSTRTE8N,0.226796
