FRS ID,LATITUDE,LONGITUDE
110000521221,33.2054329,-92.6403291
110056963451,39.611636,-86.8874213
110056956664,31.1834141,-85.0467149
110057882260,34.0478257,-93.0983716
110000597729,33.6973155,-94.42684
110002221989,32.4102702,-90.2475833
110000434753,41.8541151,-87.745912
110063757983,42.8985141,-85.763016
110041638458,41.1557362,-103.6632182
110033161511,43.2081267,-88.0848708
110070635274,45.4455474,-91.3673161
110005323293,47.5359168,-122.3259675
110007529567,41.9242396,-89.0942664
110059765696,41.5346582,-96.1092063
110001516351,41.388677,-96.2669051
110003313940,30.5015316,-90.8376727
110000434637,41.9137304,-87.6735713
110070435077,32.4559663,-97.2684907
110000494894,30.2301997,-93.2951382
110001917436,45.7987354,-120.1975438
110032607329,41.6071529,-112.3332667
110012608455,37.1536598,-94.385106
110017418061,30.2490667,-93.2856146
110000597364,30.1881397,-91.0206289
110070435061,29.7854718,-94.8820243
110015742605,45.0701438,-83.4243386
110018213823,41.8245523,-87.7246336
110001403124,41.1628431,-73.2172662
110001125201,40.1718603,-75.9161957
110000319780,40.6446097,-74.2042166
110000434192,41.8174465,-87.6694404
110070646998,38.4124167,-82.022732
110000559609,34.8381798,-78.8482378
110009368326,38.7156371,-90.1569384
110069445899,41.1235842,-85.3850141
110000434879,41.7064707,-87.6065728
110000554828,42.280689,-83.1610497
110070635665,43.1872859,-88.0735497
110000413954,42.5023937,-92.3616868
110007841256,44.3234805,-96.8291775
110007226714,39.2058584,-89.8725831
110006168565,40.1566086,-89.0187717
110000442842,39.0959437,-94.3709958
110024471668,29.9994347,-90.4325145
110013981557,29.9140683,-90.272411
110055446450,30.4313739,-91.2529433
110024547212,27.7253536,-97.6544382
110070433058,33.3920456,-103.7474748
110070158227,33.9323366,-118.180174
110000490898,46.1268063,-122.9804834
110042291506,39.2724343,-84.3733926
110006071204,34.9393431,-79.782448
110000390871,40.3712833,-81.3535404
110000434352,41.6865807,-87.5637575
110022304308,44.4214224,-85.4067026
110001804174,41.8865756,-87.6798917
110001809357,42.020623,-88.2416686
110027990057,34.8350357,-92.1642888
110000830575,34.5231685,-93.1337621
110046389653,40.1883387,-104.5392458
110013783174,21.298522,-158.1100229
110007820974,18.2171136,-67.1657702
110000497141,42.2571786,-83.1449941
110000444172,38.9761045,-92.3391218
110008170371,32.3209952,-103.7593075
110015682830,36.694964,-97.0809779
110008157430,33.1119414,-94.9704812
110070044587,37.2232631,-107.1680002
110070475851,33.9134353,-118.1738609
110070477705,33.8063349,-118.1619371
110044969683,21.4109091,-157.9811918
110012556956,47.2084837,-122.2458798
110015454989,48.4607734,-122.327912
110067041980,28.6873198,-96.9502077
110016660451,41.1334758,-89.3540433
110002212882,34.6534774,-90.3909301
110044925132,43.2091508,-88.0798594
110067678622,29.8926879,-96.7774081
110000821530,29.7046796,-95.1859344
110005259013,36.8412393,-76.253838
110000433317,41.7646311,-87.8058371
110014060504,41.3695824,-88.4118926
110000431122,41.9448779,-87.9197097
110007523894,40.9313319,-88.6672143
110007195766,33.0299333,-96.983905
110043815280,35.3452947,-80.6907948
110000378555,38.2110517,-85.85021
110001023785,40.2664951,-75.8206083
110016715544,40.6694345,-75.253311
110004942732,32.9513948,-80.6418314
110006168823,40.2276967,-90.372884
110000747032,41.454767,-82.7250505
110000614942,39.0580344,-94.5192384
110060259125,32.8725847,-96.9206138
110055057227,21.3104817,-157.9130278
110006399708,13.4014443,144.6557772
110008128052,35.9871117,-86.4292602
110000328994,40.5735065,-80.2303488
110015326084,39.5198,-86.0635474
110041682729,42.8517039,-88.1776928
110070435087,30.3387305,-93.8632697
110070413470,37.0652949,-120.2105884
110001357889,41.8588327,-87.7529082
110042344610,18.0510408,-66.7357632
110004514829,44.905867,-73.8360009
110007982549,41.1591631,-73.8779965
110070121937,40.8781099,-74.1736704
110006531994,35.2503182,-80.9039129
110039574109,35.2766792,-80.8851929
110010507399,42.5631895,-90.7019124
110000437554,41.4895984,-90.5317949
110070635690,44.8304693,-90.0858491
110001818962,41.7591611,-87.7800146
110001234780,41.6450468,-87.4894464
110000430105,42.3627136,-87.8894281
110000612622,38.6012477,-90.1400852
110070208213,37.038168,-93.5116222
110000332159,40.4852707,-78.425138
110001553051,35.0228006,-106.8775325
110070471394,40.1554378,-122.2585899
110060263600,42.4824479,-73.8095234
110017428988,33.8085143,-118.2448077
110031397566,18.2633436,-66.0733216
110070642367,39.3141158,-80.2917432
110006145037,43.4881649,-89.378758
110001227299,41.8052777,-87.8212768
110070458144,34.8663593,-118.203302
110063690974,36.3260777,-82.3388898
110000595348,41.6409183,-88.0573472
110010008730,39.5952512,-89.6213485
110001698985,34.5571167,-92.4884498
110000353527,33.006907,-79.9065334
110008012756,43.0131548,-78.4710345
110009844865,36.3428025,-80.0528164
110058881385,39.4079619,-82.1912569
110000371874,35.0681347,-85.2301298
110007709364,41.2771485,-82.3706515
110031423341,33.8182389,-118.2609937
110070283727,34.8681487,-120.2887018
110008281180,35.5263975,-120.7117438
110070325784,34.9945865,-120.4475005
110000495125,29.7457697,-95.3213741
110043779710,44.5184744,-72.4182388
110000325648,43.0999879,-76.1225839
110043699735,41.9156351,-88.12828
110000326610,43.2257637,-78.9796498
110059761164,43.0520255,-73.453718
110014359167,42.96893,-78.9115738
110018344184,38.5918841,-90.1838506
