TRI_CHEM_ID,Name,Molecular Mass,ΔcH°gas,ΔcH°gas - Units,ΔcH°liquid,ΔcH°liquid - Units,ΔcH°solid,ΔcH°solid - Units,Boiling Point,Boiling Point - Units,Melting Point,Melting Point - Units,IE,IE - Units,Proton affinity,Proton affinity - Units,Gas basicity,Gas basicity - Units,Source,Consulted Date
70362491,,,,,,,,,,,,,,,,,,,,10_09_2019
70424678,,,,,,,,,,,,,,,,,,,,10_09_2019
70424689,,,,,,,,,,,,,,,,,,,,10_09_2019
70424690,,,,,,,,,,,,,,,,,,,,10_09_2019
57117449,,,,,,,,,,,,,,,,,,,,10_09_2019
72918219,,,,,,,,,,,,,,,,,,,,10_09_2019
55673897,,,,,,,,,,,,,,,,,,,,10_09_2019
111546,,,,,,,,,,,,,,,,,,,,10_09_2019
1428768,,,,,,,,,,,,,,,,,,,,10_09_2019
3566107,,,,,,,,,,,,,,,,,,,,10_09_2019
5895181,,,,,,,,,,,,,,,,,,,,10_09_2019
74472347,,,,,,,,,,,,,,,,,,,,10_09_2019
8018017,,,,,,,,,,,,,,,,,,,,10_09_2019
10039346,,,,,,,,,,,,,,,,,,,,10_09_2019
74472369,,,,,,,,,,,,,,,,,,,,10_09_2019
13036890,,,,,,,,,,,,,,,,,,,,10_09_2019
17188793,,,,,,,,,,,,,,,,,,,,10_09_2019
22124954,,,,,,,,,,,,,,,,,,,,10_09_2019
74472392,,,,,,,,,,,,,,,,,,,,10_09_2019
22221143,,,,,,,,,,,,,,,,,,,,10_09_2019
74472405,,,,,,,,,,,,,,,,,,,,10_09_2019
12083478,,,,,,,,,,,,,,,,,,,,10_09_2019
74472416,,,,,,,,,,,,,,,,,,,,10_09_2019
109397,,,,,,,,,,,,,,,,,,,,10_09_2019
6807110,,,,,,,,,,,,,,,,,,,,10_09_2019
7328178,,,,,,,,,,,,,,,,,,,,10_09_2019
7382323,,,,,,,,,,,,,,,,,,,,10_09_2019
74472450,,,,,,,,,,,,,,,,,,,,10_09_2019
14260981,,,,,,,,,,,,,,,,,,,,10_09_2019
74472483,,,,,,,,,,,,,,,,,,,,10_09_2019
19234209,,,,,,,,,,,,,,,,,,,,10_09_2019
20441707,,,,,,,,,,,,,,,,,,,,10_09_2019
74472507,,,,,,,,,,,,,,,,,,,,10_09_2019
23305648,,,,,,,,,,,,,,,,,,,,10_09_2019
24493592,,,,,,,,,,,,,,,,,,,,10_09_2019
27816235,,,,,,,,,,,,,,,,,,,,10_09_2019
39670092,,,,,,,,,,,,,,,,,,,,10_09_2019
25162009,,,,,,,,,,,,,,,,,,,,10_09_2019
69980241,,,,,,,,,,,,,,,,,,,,10_09_2019
1189681488,,,,,,,,,,,,,,,,,,,,10_09_2019
80604520,,,,,,,,,,,,,,,,,,,,10_09_2019
909014864,,,,,,,,,,,,,,,,,,,,10_09_2019
350818698,,,,,,,,,,,,,,,,,,,,10_09_2019
284685070,,,,,,,,,,,,,,,,,,,,10_09_2019
5979920,,,,,,,,,,,,,,,,,,,,10_09_2019
39635320,,,,,,,,,,,,,,,,,,,,10_09_2019
82111066,,,,,,,,,,,,,,,,,,,,10_09_2019
39635342,,,,,,,,,,,,,,,,,,,,10_09_2019
86900392,,,,,,,,,,,,,,,,,,,,10_09_2019
1190016331,,,,,,,,,,,,,,,,,,,,10_09_2019
7784272,,,,,,,,,,,,,,,,,,,,10_09_2019
13083040,,,,,,,,,,,,,,,,,,,,10_09_2019
10139512,,,,,,,,,,,,,,,,,,,,10_09_2019
7787555,,,,,,,,,,,,,,,,,,,,10_09_2019
70362480,,,,,,,,,,,,,,,,,,,,10_09_2019
13477344,,,,,,,,,,,,,,,,,,,,10_09_2019
10294414,,,,,,,,,,,,,,,,,,,,10_09_2019
7789028,,,,,,,,,,,,,,,,,,,,10_09_2019
10026229,,,,,,,,,,,,,,,,,,,,10_09_2019
13478381,,,,,,,,,,,,,,,,,,,,10_09_2019
10031499,,,,,,,,,,,,,,,,,,,,10_09_2019
10031513,,,,,,,,,,,,,,,,,,,,10_09_2019
19598904,,,,,,,,,,,,,,,,,,,,10_09_2019
69365726,,,,,,,,,,,,,,,,,,,,10_09_2019
13476089,,,,,,,,,,,,,,,,,,,,10_09_2019
7782618,,,,,,,,,,,,,,,,,,,,10_09_2019
10277437,,,,,,,,,,,,,,,,,,,,10_09_2019
13453764,,,,,,,,,,,,,,,,,,,,10_09_2019
15750455,,,,,,,,,,,,,,,,,,,,10_09_2019
13446189,,,,,,,,,,,,,,,,,,,,10_09_2019
20694397,,,,,,,,,,,,,,,,,,,,10_09_2019
16454607,,,,,,,,,,,,,,,,,,,,10_09_2019
13465435,,,,,,,,,,,,,,,,,,,,10_09_2019
13465606,,,,,,,,,,,,,,,,,,,,10_09_2019
16999443,,,,,,,,,,,,,,,,,,,,10_09_2019
13470058,,,,,,,,,,,,,,,,,,,,10_09_2019
13451199,,,,,,,,,,,,,,,,,,,,10_09_2019
13823295,,,,,,,,,,,,,,,,,,,,10_09_2019
13470070,,,,,,,,,,,,,,,,,,,,10_09_2019
13494989,,,,,,,,,,,,,,,,,,,,10_09_2019
13773698,,,,,,,,,,,,,,,,,,,,10_09_2019
131446849,,,,,,,,,,,,,,,,,,,,10_09_2019
13986271,,,,,,,,,,,,,,,,,,,,10_09_2019
13275213,,,,,,,,,,,,,,,,,,,,10_09_2019
17081640,,,,,,,,,,,,,,,,,,,,10_09_2019
39185789,,,,,,,,,,,,,,,,,,,,10_09_2019
64554718,,,,,,,,,,,,,,,,,,,,10_09_2019
64961166,,,,,,,,,,,,,,,,,,,,10_09_2019
66651363,,,,,,,,,,,,,,,,,,,,10_09_2019
87147862,,,,,,,,,,,,,,,,,,,,10_09_2019
87147873,,,,,,,,,,,,,,,,,,,,10_09_2019
87260591,,,,,,,,,,,,,,,,,,,,10_09_2019
99175287,,,,,,,,,,,,,,,,,,,,10_09_2019
108140201,,,,,,,,,,,,,,,,,,,,10_09_2019
154120668,,,,,,,,,,,,,,,,,,,,10_09_2019
159715716,,,,,,,,,,,,,,,,,,,,10_09_2019
10311156,,,,,,,,,,,,,,,,,,,,10_09_2019
17977230,,,,,,,,,,,,,,,,,,,,10_09_2019
29293150,,,,,,,,,,,,,,,,,,,,10_09_2019
29293207,,,,,,,,,,,,,,,,,,,,10_09_2019
29293218,,,,,,,,,,,,,,,,,,,,10_09_2019
29293229,,,,,,,,,,,,,,,,,,,,10_09_2019
31031251,,,,,,,,,,,,,,,,,,,,10_09_2019
31031262,,,,,,,,,,,,,,,,,,,,10_09_2019
31107321,,,,,,,,,,,,,,,,,,,,10_09_2019
33025706,,,,,,,,,,,,,,,,,,,,10_09_2019
51500539,,,,,,,,,,,,,,,,,,,,10_09_2019
51755603,,,,,,,,,,,,,,,,,,,,10_09_2019
91087091,,,,,,,,,,,,,,,,,,,,10_09_2019
102880002,,,,,,,,,,,,,,,,,,,,10_09_2019
108140198,,,,,,,,,,,,,,,,,,,,10_09_2019
109749691,,,,,,,,,,,,,,,,,,,,10_09_2019
90943978,,,,,,,,,,,,,,,,,,,,10_09_2019
99192480,,,,,,,,,,,,,,,,,,,,10_09_2019
32534784,,,,,,,,,,,,,,,,,,,,10_09_2019
69537720,,,,,,,,,,,,,,,,,,,,10_09_2019
56686589,,,,,,,,,,,,,,,,,,,,10_09_2019
80365362,,,,,,,,,,,,,,,,,,,,10_09_2019
80365373,,,,,,,,,,,,,,,,,,,,10_09_2019
80365384,,,,,,,,,,,,,,,,,,,,10_09_2019
80365395,,,,,,,,,,,,,,,,,,,,10_09_2019
80365408,,,,,,,,,,,,,,,,,,,,10_09_2019
86405892,,,,,,,,,,,,,,,,,,,,10_09_2019
39580897,,,,,,,,,,,,,,,,,,,,10_09_2019
56686556,,,,,,,,,,,,,,,,,,,,10_09_2019
63981282,,,,,,,,,,,,,,,,,,,,10_09_2019
63988329,,,,,,,,,,,,,,,,,,,,10_09_2019
105278953,,,,,,,,,,,,,,,,,,,,10_09_2019
140899236,,,,,,,,,,,,,,,,,,,,10_09_2019
36312819,,,,,,,,,,,,,,,,,,,,10_09_2019
18993265,,,,,,,,,,,,,,,,,,,,10_09_2019
10311167,,,,,,,,,,,,,,,,,,,,10_09_2019
14983609,,,,,,,,,,,,,,,,,,,,10_09_2019
60836002,,,,,,,,,,,,,,,,,,,,10_09_2019
87562536,,,,,,,,,,,,,,,,,,,,10_09_2019
87585260,,,,,,,,,,,,,,,,,,,,10_09_2019
87585271,,,,,,,,,,,,,,,,,,,,10_09_2019
87585282,,,,,,,,,,,,,,,,,,,,10_09_2019
100525302,,,,,,,,,,,,,,,,,,,,10_09_2019
128600851,,,,,,,,,,,,,,,,,,,,10_09_2019
136671006,,,,,,,,,,,,,,,,,,,,10_09_2019
67095505,,,,,,,,,,,,,,,,,,,,10_09_2019
88938196,,,,,,,,,,,,,,,,,,,,10_09_2019
96621011,,,,,,,,,,,,,,,,,,,,10_09_2019
57437544,,,,,,,,,,,,,,,,,,,,10_09_2019
14160029,,,,,,,,,,,,,,,,,,,,10_09_2019
74960208,,,,,,,,,,,,,,,,,,,,10_09_2019
105730378,,,,,,,,,,,,,,,,,,,,10_09_2019
1421869,,,,,,,,,,,,,,,,,,,,10_09_2019
52748693,,,,,,,,,,,,,,,,,,,,10_09_2019
10103261,,,,,,,,,,,,,,,,,,,,10_09_2019
6158129,,,,,,,,,,,,,,,,,,,,10_09_2019
66320,,,,,,,,,,,,,,,,,,,,10_09_2019
6101093,,,,,,,,,,,,,,,,,,,,10_09_2019
31097731,,,,,,,,,,,,,,,,,,,,10_09_2019
10476821,,,,,,,,,,,,,,,,,,,,10_09_2019
60413,,,,,,,,,,,,,,,,,,,,10_09_2019
96446194,,,,,,,,,,,,,,,,,,,,10_09_2019
25998703,,,,,,,,,,,,,,,,,,,,10_09_2019
5892115,,,,,,,,,,,,,,,,,,,,10_09_2019
5786969,,,,,,,,,,,,,,,,,,,,10_09_2019
466864,,,,,,,,,,,,,,,,,,,,10_09_2019
5786970,,,,,,,,,,,,,,,,,,,,10_09_2019
15006141,,,,,,,,,,,,,,,,,,,,10_09_2019
125155,,,,,,,,,,,,,,,,,,,,10_09_2019
1323315,,,,,,,,,,,,,,,,,,,,10_09_2019
17140577,,,,,,,,,,,,,,,,,,,,10_09_2019
5329544,,,,,,,,,,,,,,,,,,,,10_09_2019
34403855,,,,,,,,,,,,,,,,,,,,10_09_2019
4845992,,,,,,,,,,,,,,,,,,,,10_09_2019
652154104,,,,,,,,,,,,,,,,,,,,10_09_2019
467163,,,,,,,,,,,,,,,,,,,,10_09_2019
62835852,,,,,,,,,,,,,,,,,,,,10_09_2019
7505320,,,,,,,,,,,,,,,,,,,,10_09_2019
68727537,,,,,,,,,,,,,,,,,,,,10_09_2019
129066,,,,,,,,,,,,,,,,,,,,10_09_2019
2084551,,,,,,,,,,,,,,,,,,,,10_09_2019
2084562,,,,,,,,,,,,,,,,,,,,10_09_2019
2610868,,,,,,,,,,,,,,,,,,,,10_09_2019
2784363,,,,,,,,,,,,,,,,,,,,10_09_2019
5543793,,,,,,,,,,,,,,,,,,,,10_09_2019
36508915,,,,,,,,,,,,,,,,,,,,10_09_2019
51821819,,,,,,,,,,,,,,,,,,,,10_09_2019
675232,,,,,,,,,,,,,,,,,,,,10_09_2019
101200480,,,,,,,,,,,,,,,,,,,,10_09_2019
128030,,,,,,,,,,,,,,,,,,,,10_09_2019
128041,,,,,,,,,,,,,,,,,,,,10_09_2019
1336363,,,,,,,,,,,,,,,,,,,,10_09_2019
25321226,,,,,,,,,,,,,,,,,,,,10_09_2019
25376458,,,,,,,,,,,,,,,,,,,,10_09_2019
26471625,,,,,,,,,,,,,,,,,,,,10_09_2019
4080313,,,,,,,,,,,,,,,,,,,,10_09_2019
492808,,,,,,,,,,,,,,,,,,,,10_09_2019
55406536,,,,,,,,,,,,,,,,,,,,10_09_2019
57213691,,,,,,,,,,,,,,,,,,,,10_09_2019
59669260,,,,,,,,,,,,,,,,,,,,10_09_2019
63938103,,,,,,,,,,,,,,,,,,,,10_09_2019
72571,,,,,,,,,,,,,,,,,,,,10_09_2019
8001352,,,,,,,,,,,,,,,,,,,,10_09_2019
8001589,,,,,,,,,,,,,,,,,,,,10_09_2019
90982324,,,,,,,,,,,,,,,,,,,,10_09_2019
68122,"Formamide, N,N-dimethyl-",73.0938,,,-1941.9,kJ/mol,,,426,K,212.7,K,9.13,eV,887.5,kJ/mol,856.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
70304,Hexachlorophene,406.904,,,,,,,,,438.2,K,,,,,,,https://webbook.nist.gov/,10_10_2019
71363,1-Butanol,74.1216,,,-2670,kJ/mol,,,390.6,K,188,K,9.99,eV,789.2,kJ/mol,758.9,kJ/mol,https://webbook.nist.gov/,10_10_2019
71432,Benzene,78.1118,,,-3267,kJ/mol,,,353.3,K,278.64,K,9.24378,eV,750.4,kJ/mol,725.4,kJ/mol,https://webbook.nist.gov/,10_10_2019
71556,"Ethane, 1,1,1-trichloro-",133.404,,,-1112.1,kJ/mol,,,347.2,K,240,K,,,,,,,https://webbook.nist.gov/,10_10_2019
72435,Methoxychlor,345.648,,,,,,,,,362.7,K,,,,,,,https://webbook.nist.gov/,10_10_2019
74839,"Methane, bromo-",94.939,,,,,,,277.65,K,,,10.541,eV,664.2,kJ/mol,638,kJ/mol,https://webbook.nist.gov/,10_10_2019
74851,Ethylene,28.0532,-1411.2,kJ/mol,,,,,169,K,103.8,K,10.5138,eV,680.5,kJ/mol,651.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
74873,Chloromethane,50.488,-764,kJ/mol,,,,,247,K,182,K,11.26,eV,647.3,kJ/mol,621.1,kJ/mol,https://webbook.nist.gov/,10_10_2019
74884,"Methane, iodo-",141.939,,,-808.6,kJ/mol,,,315.7,K,206.7,K,9.54,eV,691.7,kJ/mol,665.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
74908,Hydrogen cyanide,27.0253,,,,,,,299,K,260,K,13.6,eV,712.9,kJ/mol,681.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
74953,"Methane, dibromo-",173.835,,,,,,,370,K,220.45,K,10.41,eV,,,,,https://webbook.nist.gov/,10_10_2019
75003,Ethyl Chloride,64.514,-1413.1,kJ/mol,,,,,289,K,136.75,K,10.98,eV,693.4,kJ/mol,666.9,kJ/mol,https://webbook.nist.gov/,10_10_2019
75014,"Ethene, chloro-",62.498,,,,,,,259.3,K,119.35,K,9.99,eV,,,,,https://webbook.nist.gov/,10_10_2019
75025,"Ethene, fluoro-",46.0436,-1256,kJ/mol,,,,,201,K,,,10.36,eV,729,kJ/mol,700.1,kJ/mol,https://webbook.nist.gov/,10_10_2019
75058,Acetonitrile,41.0519,,,-1270,kJ/mol,,,354.8,K,228,K,12.2,eV,779.2,kJ/mol,748,kJ/mol,https://webbook.nist.gov/,10_10_2019
75070,Acetaldehyde,44.0526,,,,,,,293.9,K,150,K,10.229,eV,768.5,kJ/mol,736.5,kJ/mol,https://webbook.nist.gov/,10_10_2019
75092,Methylene chloride,84.933,,,-605.8,kJ/mol,,,313,K,198.06,K,11.33,eV,,,,,https://webbook.nist.gov/,10_10_2019
75150,Carbon disulfide,76.141,-1112,kJ/mol,-1687.2,kJ/mol,,,319.2,K,161,K,10.073,eV,681.9,kJ/mol,657.7,kJ/mol,https://webbook.nist.gov/,10_10_2019
75218,Ethylene oxide,44.0526,-1306,kJ/mol,-1262.9,kJ/mol,,,285,K,160.55,K,10.56,eV,774.2,kJ/mol,745.3,kJ/mol,https://webbook.nist.gov/,10_10_2019
75252,"Methane, tribromo-",252.731,,,-545.8,kJ/mol,,,422,K,279,K,10.5,eV,,,,,https://webbook.nist.gov/,10_10_2019
75274,"Methane, bromodichloro-",163.829,,,,,,,363,K,216,K,,,,,,,https://webbook.nist.gov/,10_10_2019
75343,"Ethane, 1,1-dichloro-",98.959,,,-1246.8,kJ/mol,,,330.5,K,174,K,11.04,eV,,,,,https://webbook.nist.gov/,10_10_2019
75354,"Ethene, 1,1-dichloro-",96.943,,,-1095.9,kJ/mol,,,304.7,K,,,9.81,eV,,,,,https://webbook.nist.gov/,10_10_2019
75434,Fluorodichloromethane,102.923,,,,,,,282,K,,,,,,,,,https://webbook.nist.gov/,10_10_2019
75445,Phosgene,98.916,-108.6,kJ/mol,,,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
75456,Difluorochloromethane,86.468,,,,,,,232.37,K,114,K,12.28,eV,,,,,https://webbook.nist.gov/,10_10_2019
75525,"Methane, nitro-",61.04,,,-709.2,kJ/mol,,,374.1,K,244.6,K,11.08,eV,754.6,kJ/mol,721.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
