Code 2004 and prior,Method 2004 and prior,Code 2005 and after,Method 2005 and after,Type of waste management,"If it is treatment, what kind of?",Objective,Output carrier,Output by products,Note,Support
P13,Sludge Dewatering (non-thermal),H101,Sludge treatment and/or dewatering,Treatment,Physical,Removal,S/L/W,,The chemical may flow with the solid or liquid (analyze the case),Tb/Tf/Metal_indicator
P14,Air Flotation,H124,Phase separation,Treatment,Physical,Removal,S,,,
P15,Oil Skimming,H124,Phase separation,Treatment,Physical,Removal,L,,,
P16,Emulsion Breaking - Thermal,H124,Phase separation,Treatment,Physical,Removal,L/W,,The chemical may flow in the aqueous phase or non-aqueous (analyze the case),Kow
P17,Emulsion Breaking - Chemical,H124,Phase separation,Treatment,Physical,Removal,L/W,,The chemical may flow in the aqueous phase or non-aqueous (analyze the case),Kow
P18,Emulsion Breaking - Other,H124,Phase separation,Treatment,Physical,Removal,L/W,,The chemical may flow in the aqueous phase or non-aqueous (analyze the case),Kow
P19,Other Liquid Phase Separation,H124,Phase separation,Treatment,Physical,Removal,L/W,,The chemical may flow in the aqueous phase or non-aqueous (analyze the case),Kow
P21,Adsorption - Carbon,H082,Adsorption,Treatment,Physical,Removal,S,,,Kow
P22,Adsorption - Ion Exchange (other than for recovery/reuse),H082,Adsorption,Treatment,Physical,Removal,S,,,
P23,Adsorption - Resin,H082,Adsorption,Treatment,Physical,Removal,S,,,
P29,Adsorption - Other,H082,Adsorption,Treatment,Physical,Removal,S,,,
P31,Reverse Osmosis (other than for recovery/reuse),H129,Other treatment,Treatment,Physical,Removal,L/W,,The solid may be removed from aqueous or non-aqueous phase (analyze the case),
P41,Stripping - Air,H083,Air or steam stripping,Treatment,Physical,Removal,A,,,MW/VP/Kow
P42,Stripping - Steam,H083,Air or steam stripping,Treatment,Physical,Removal,A,,*The carrier is steam,MW/VP/Kow
P49,Stripping - Other,H083,Air or steam stripping,Treatment,Physical,Removal,A,,*The carrier is neither steam nor air,MW/VP/Kow
P51,Acid Leaching (other than for recovery/reuse),H129,Other treatment,Treatment,Physical,Removal,W,,,
P61,Solvent Extraction (other than recovery/reuse),H129,Other treatment,Treatment,Physical,Removal,L,,,
P99,Other Physical Treatment,H129,Other treatment,Treatment,Physical,Removal,Unknown,,,
U01,Industrial Kiln,U01,Industrial Kiln,Energy recovery,,Energy,E,S/A,"Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
U02,Industrial Furnace,U02,Industrial Furnace,Energy recovery,,Energy,E,S/A,"Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
U03,Industrial Boiler,U03,Industrial Boiler,Energy recovery,,Energy,E,S/A,"Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
U09,Other Energy Recovery Methods,U09,Other Energy Recovery Methods,Energy recovery,,Energy,E,S/A,"Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
R11,Solvents/Organics Recovery - Batch Still Distillation,H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
R12,Solvents/Organics Recovery - Thin-Film Evaporation,H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
R13,Solvents/Organics Recovery - Fractionation,H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
R14,Solvents/Organics Recovery - Solvent Extraction,H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
R19,Solvents/Organics Recovery - Other,H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
R21,Metals Recovery - Electrolytic,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R22,Metals Recovery - Ion Exchange,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,S,,
R23,Metals Recovery - Acid Leaching,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R24,Metals Recovery - Reverse Osmosis,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R26,Metals Recovery - Solvent Extraction,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R27,Metals Recovery - High Temperature,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R28,Metals Recovery - Retorting,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R29,Metals Recovery - Second Smelting,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R30,Metals Recovery - Other,H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
R40,Acid Regeneration,H39,Other recovery or reclamation for reuse (including acid regeneration or other chemical reaction process),Recycling,,Reclamation,P,,,
R99,Other Reuse or Recovery,H39,Other recovery or reclamation for reuse (including acid regeneration or other chemical reaction process),Recycling,,Reclamation,P,,,
H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",H20,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",Recycling,,Reclamation,P,,,
H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",H10,"Metal recovery (by retorting, smelting, or chemical or physical extraction)",Recycling,,Reclamation,P,,,
H39,Other recovery or reclamation for reuse (including acid regeneration or other chemical reaction process),H39,Other recovery or reclamation for reuse (including acid regeneration or other chemical reaction process),Recycling,,Reclamation,P,,,
,,H103,Absorption,Treatment,Physical,Removal,L/W,,The absorbent could be water or other liquid,
,,H111,Stabilization or chemical fixation prior to disposal,Treatment,Physical,Safer disposal (RCRA Subtitle C),,,,
,,H112,Macro-encapsulation prior to disposal,Treatment,Physical,Safer disposal (RCRA Subtitle C),,,,
