TRI Waste Management,RCRA Waste Management,General,Type of waste management
RCRA subtitle c landfills,Landfill (with prior treatment and/or stabilization),"Landfill (municipal, hazardous or other land disposal)",Disposal
RCRA subtitle c surface impoundment,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),"Landfill (municipal, hazardous or other land disposal)",Disposal
Solidification/stabilization,Macro-encapsulation prior to disposal at another site,Other disposal,Disposal
Solidification/stabilization,Sludge treatment and/or dewatering,Other disposal,Disposal
Solidification/stabilization,Stabilization or chemical fixation prior to disposal at another site,Other disposal,Disposal
Solidification/stabilization,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),Other disposal,Disposal
Solidification/stabilization (metals),Macro-encapsulation prior to disposal at another site,Other disposal,Disposal
Solidification/stabilization (metals),Sludge treatment and/or dewatering,Other disposal,Disposal
Solidification/stabilization (metals),Stabilization or chemical fixation prior to disposal at another site,Other disposal,Disposal
Solidification/stabilization (metals),Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),Other disposal,Disposal
Storage only,Other Disposal,Other disposal,Disposal
Surface impoundment,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),"Landfill (municipal, hazardous or other land disposal)",Disposal
Transfer to waste broker for disposal,Deepwell or underground injection (with or without treatment),Underground injection,Disposal
Transfer to waste broker for disposal,Land treatment or application (with any prior treatment and/or stabilization),"Landfill (municipal, hazardous or other land disposal)",Disposal
Transfer to waste broker for disposal,“Landfill (with prior treatment and/or stabilization)”,"Landfill (municipal, hazardous or other land disposal)",Disposal
Transfer to waste broker for disposal,Other Disposal,Other disposal,Disposal
Transfer to waste broker for disposal,“Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard)”,"Landfill (municipal, hazardous or other land disposal)",Disposal
Underground injection,Deepwell or underground injection (with or without treatment),Underground injection,Disposal
Underground injection class i wells,Deepwell or underground injection (with or without treatment),Underground injection,Disposal
Underground injection class ii-v wells,Deepwell or underground injection (with or without treatment),Underground injection,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Absorption,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Adsorption,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Air or steam stripping,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Biological treatment,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Chemical oxidation,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Chemical reduction with or without precipitation,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Chemical treatment (reduction / destruction / oxidation /precipitation),Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,"Combination of chemical, biological and/or physical treatment",Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Cyanide destruction with or without precipitation,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Evaporation,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Neutralization only,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Other chemical precipitation with or without pre-treatment,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Phase separation,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Settling or clarification,Industrial wastewater treatment,Disposal
Wastewater treatment (excluding POTWS) - metals and metal compounds only,Wet air oxidation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Absorption,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Adsorption,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Air or steam stripping,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Biological treatment,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Chemical oxidation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Chemical reduction with or without precipitation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Chemical treatment (reduction / destruction / oxidation /precipitation),Industrial wastewater treatment,Disposal
Wastewater treatment (metals),"Combination of chemical, biological and/or physical treatment",Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Cyanide destruction with or without precipitation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Evaporation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Neutralization only,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Other chemical precipitation with or without pre-treatment,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Phase separation,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Physical treatment only (adsorption / absorption / separation /stripping / dewatering),Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Settling or clarification,Industrial wastewater treatment,Disposal
Wastewater treatment (metals),Wet air oxidation,Industrial wastewater treatment,Disposal
