Internal Tracking Number,Substance Name,CAS,Category,Last BRMentiona,ID
1827061,"Epichlortetracycline, 4-",14297-93-9,Antibiotics,2009,14297-93-9
1827065,Isochlortetracycline,514-53-4,Antibiotics,2009,514-53-4
1827333,Ergosterol,57-87-4,Steroids,2009,57-87-4
1827383,Clindamycin,18323-44-9,Antibiotics,2011,18323-44-9
1827531,Clofibric acid,882-09-7,Other drugs,2005,882-09-7
5240163,Perfluorooctane sulfonamide (PFOSA),754-91-6,PFASs,2013,754-91-6
17000712,Doxycycline,564-25-0,Antibiotics,2009,564-25-0
17001249,Alprazolam,28981-97-7,Other drugs,2013,28981-97-7
17002023,Furosemide,54-31-9,Other drugs,2013,54-31-9
17002106,Promethazine,60-87-7,Other drugs,2013,60-87-7
17002130,Norethindrone (norethisterone),68-22-4,Hormones,2005,68-22-4
17002189,Mestranol,72-33-3,Other drugs,2005,72-33-3
17002205,Codeine,76-57-3,Other drugs,2005,76-57-3
17002262,Penicillin V (phenoxymethylpenicyllin),87-08-1,Antibiotics,2005,87-08-1
17002809,Triamterene,396-01-0,Other drugs,2013,396-01-0
17003138,Sulfasalazine,599-79-1,Other drugs,2005,599-79-1
17003344,Trimethoprim,738-70-5,Antibiotics,2009,738-70-5
17026584,"BDE-154 (2,2',4,4',5,6'-HxBDE)",207122-15-4,PBDEs,2009,207122-15-4
17026675,"BDE-47 (2,2',4,4'-TeBDE)",5436-43-1,PBDEs,2009,5436-43-1
17026840,Perfluorooctanesulfonate (PFOS),45298-90-6,PFASs,2013,45298-90-6
17026857,"BDE-99 (2,2',4,4',5-PeBDE)",60348-60-9,PBDEs,2009,60348-60-9
17026865,"BDE-153 (2,2',4,4',5,5'-HxBDE)",68631-49-2,PBDEs,2009,68631-49-2
17027418,"Hexabromobiphenyl, 2,2',4,4',5,5'-",59080-40-9,PBBs,2005,59080-40-9
17122177,Androsterone,53-41-8,Hormones,2009,53-41-8
17148230,Coprostanol (3-beta),360-68-9,Steroids,2007,360-68-9
17148248,"Sitosterol, ?-",83-46-5,Steroids,2007,83-46-5
17148255,"Stigmastanol, ?-",19466-47-8,Steroids,2007,19466-47-8
17148263,Cotinine,486-56-6,Other drugs,2005,486-56-6
17148271,Equilenin,517-09-9,Hormones,2009,517-09-9
17159245,Cimetidine,51481-61-9,Other drugs,2005,51481-61-9
17163445,Estriol (estradiol),50-27-1,Hormones,2005,50-27-1
17163585,Verapamil,52-53-9,Other drugs,2013,52-53-9
17163718,Tetracycline,60-54-8,Antibiotics,2009,60-54-8
17164005,Equilin,474-86-2,Hormones,2005,474-86-2
17164039,"Pentabromodibenzofuran, 1,2,3,7,8-",107555-93-1,PBDF,2015,107555-93-1
17164070,Paroxetine,61869-08-7,Other drugs,2013,61869-08-7
17164088,Propoxyphene,469-62-5,Other drugs,2013,469-62-5
17164104,Sertraline,79617-96-2,Other drugs,2013,79617-96-2
17164146,Tylosin,1401-69-0,Antibiotics,2007,1401-69-0
17164179,Ofloxacin,82419-36-1,Antibiotics,2009,82419-36-1
17164187,Ciprofloxacin,85721-33-1,Antibiotics,2011,85721-33-1
17164252,Azithromycin,83905-01-5,Antibiotics,2011,83905-01-5
17164740,"Nonylphenol, diethoxy- (total)",,Surfactants,2007,
,"Heptabromodibenzo-p-dioxin, 1,2,3,4,6,7,8-",103456-43-5,PBDD,2015,103456-43-5
,"Octabromodibenzofuran, 1,2,3,4,6,7,8,9-",103582-29-2,PBDF,2015,103582-29-2
,Sodium valproate,1069-66-5,Other drugs,2005,1069-66-5
,Dichlorocarbanilide,1219-99-4,Antibiotics,2011,1219-99-4
,"Hydroxyamitriptyline, 10-",1246833-15-7,Other drugs,2013,1246833-15-7
,Demeclocycline,127-33-3,Antibiotics,2009,127-33-3
,Desmethyldiltiazem,130606-60-9,Other drugs,2013,130606-60-9
,Diclofenac sodium,15307-79-6,Other drugs,2005,15307-79-6
,"Octabromodibenzo-p-dioxin, 1,2,3,4,6,7,8,9-",2170-45-8,PBDD,2015,2170-45-8
,Clotrimazole,23593-75-1,Antibiotics,2011,23593-75-1
,Fenofibric acid,26129-32-8,Other drugs,2005,26129-32-8
,Desmosterol,313-04-2,Steroids,2009,313-04-2
,Metoprolol,37350-58-6,Other drugs,2013,37350-58-6
,Anhydrotetracycline,4496-85-9,Antibiotics,2009,4496-85-9
,Campesterol,474-62-4,Steroids,2009,474-62-4
,"Estradiol-3-benzoate, ?-",50-50-0,Hormones,2009,50-50-0
,Epicoprostanol,516-92-7,Steroids,2009,516-92-7
,Floxacillin,5250-39-5,Antibiotics,2005,5250-39-5
,Methamphetamine,537-46-2,Other drugs,2009,537-46-2
,Norfluoxetine,57226-68-3,Antibiotics,2013,57226-68-3
,Mefenamic acid,61-68-7,Other drugs,2005,61-68-7
,Cloxacillin,61-72-3,Antibiotics,2009,61-72-3
,"Dihydroequilin, 17?-",651-55-8,Hormones,2009,651-55-8
,"BDE-138 (2,2',3,4,4',5'-HxBDE)",67888-98-6,PBDEs,2009,67888-98-6
1735896,Carbadox,6804-07-5,Antibiotics,2005,6804-07-5
149740,Potassium,7440-09-7,Metals,2007,7440-09-7
17004367,Norgestrel (levonorgestrel),6533-00-2 ,Hormones,2005,797-63-7
17272907,Stigmasterol,83-48-7 ,Steroids,2009,83-45-4
,"BDE-66 (2,3',4,4'-TeBDE)",84303-45-7,PBDEs,2009,84303-45-7
,"BDE-100 (2,2',4,4',6-PeBDE)",97038-97-6,PBDEs,2009,97038-97-6
