ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
1002671,500000,2015,lb,524671930,"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-"
1002671,500000,2014,lb,524671930,"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-"
1002671,500000,2013,lb,524671930,"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-"
1002671,500000,2012,lb,524671930,"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-"
1002693,500000,2015,lb,76182,"Decane, 1-chloro-"
1002693,500000,2014,lb,76182,"Decane, 1-chloro-"
1002693,500000,2013,lb,76182,"Decane, 1-chloro-"
1002693,500000,2012,lb,76182,"Decane, 1-chloro-"
10027335,100000,2015,lb,166660,"1,3-Benzenedicarboxylic acid, sodium salt (1:2)"
10027335,100000,2014,lb,166660,"1,3-Benzenedicarboxylic acid, sodium salt (1:2)"
10027335,100000,2013,lb,166660,"1,3-Benzenedicarboxylic acid, sodium salt (1:2)"
10027335,100000,2012,lb,166660,"1,3-Benzenedicarboxylic acid, sodium salt (1:2)"
10028225,750000000,2015,lb,166702,"Sulfuric acid, iron(3+) salt (3:2)"
10028225,750000000,2014,lb,166702,"Sulfuric acid, iron(3+) salt (3:2)"
10028225,750000000,2013,lb,166702,"Sulfuric acid, iron(3+) salt (3:2)"
10028225,750000000,2012,lb,166702,"Sulfuric acid, iron(3+) salt (3:2)"
1002897,500000,2015,lb,76208,"Octadecanoic acid, ammonium salt (1:1)"
1002897,500000,2014,lb,76208,"Octadecanoic acid, ammonium salt (1:1)"
1002897,500000,2013,lb,76208,"Octadecanoic acid, ammonium salt (1:1)"
1002897,500000,2012,lb,76208,"Octadecanoic acid, ammonium salt (1:1)"
10034772,30000000000,2015,lb,166926,"Silicic acid (H4SiO4), calcium salt (1:2)"
10034772,30000000000,2014,lb,166926,"Silicic acid (H4SiO4), calcium salt (1:2)"
10034772,30000000000,2013,lb,166926,"Silicic acid (H4SiO4), calcium salt (1:2)"
10034772,30000000000,2012,lb,166926,"Silicic acid (H4SiO4), calcium salt (1:2)"
10035106,250000000,2015,lb,166967,Hydrobromic acid
10035106,250000000,2014,lb,166967,Hydrobromic acid
10035106,250000000,2013,lb,166967,Hydrobromic acid
10035106,250000000,2012,lb,166967,Hydrobromic acid
100378,10000000,2015,lb,19372,"Ethanol, 2-(diethylamino)-"
100378,50000000,2014,lb,19372,"Ethanol, 2-(diethylamino)-"
100378,10000000,2013,lb,19372,"Ethanol, 2-(diethylamino)-"
100378,50000000,2012,lb,19372,"Ethanol, 2-(diethylamino)-"
10038989,500000,2015,lb,166983,"Germane, tetrachloro-"
10039540,1000000000,2015,lb,167015,"Hydroxylamine, sulfate (2:1)"
10039540,1000000000,2014,lb,167015,"Hydroxylamine, sulfate (2:1)"
10039540,5000000000,2013,lb,167015,"Hydroxylamine, sulfate (2:1)"
10039540,1000000000,2012,lb,167015,"Hydroxylamine, sulfate (2:1)"
100403,10000000,2015,lb,19398,"Cyclohexene, 4-ethenyl-"
100403,10000000,2014,lb,19398,"Cyclohexene, 4-ethenyl-"
100403,10000000,2013,lb,19398,"Cyclohexene, 4-ethenyl-"
100403,10000000,2012,lb,19398,"Cyclohexene, 4-ethenyl-"
100414,20000000000,2015,lb,19406,"Benzene, ethyl-"
100414,20000000000,2014,lb,19406,"Benzene, ethyl-"
100414,20000000000,2013,lb,19406,"Benzene, ethyl-"
100414,20000000000,2012,lb,19406,"Benzene, ethyl-"
100425,20000000000,2015,lb,19414,"Benzene, ethenyl-"
100425,20000000000,2014,lb,19414,"Benzene, ethenyl-"
100425,20000000000,2013,lb,19414,"Benzene, ethenyl-"
100425,20000000000,2012,lb,19414,"Benzene, ethenyl-"
10042769,10000000,2015,lb,167072,"Nitric acid, strontium salt (2:1)"
10042769,1000000,2014,lb,167072,"Nitric acid, strontium salt (2:1)"
10042769,1000000,2013,lb,167072,"Nitric acid, strontium salt (2:1)"
