PREFERRED NAME,CAS NUMBER,DSSTOX ID,Molecular Mass,LogP: Octanol-Water,LogP: Octanol-Water - Score,Melting Point,Melting Point - Units,Melting Point - Score,Boiling Point,Boiling Point - Units,Boiling Point - Score,Water Solubility,Water Solubility - Units,Water Solubility - Score,Vapor Pressure,Vapor Pressure - Units,Vapor Pressure - Score,Flash Point,Flash Point - Units,Flash Point - Score,Surface Tension,Surface Tension - Units,Surface Tension - Score,Index of Refraction,Index of Refraction - Score,Molar Refractivity,Molar Refractivity - Units,Molar Refractivity - Score,Polarizability,Polarizability - Units,Polarizability - Score,Density,Density - Units,Density - Score,Molar Volume,Molar Volume - Units,Molar Volume - Score,Thermal Conductivity,Thermal Conductivity - Units,Thermal Conductivity - Score,Viscosity,Viscosity - Units,Viscosity - Score,Henry's Law,Henry's Law - Score,LogKoa: Octanol-Air,LogKoa: Octanol-Air - Score,pKa Acidic Apparent,pKa Acidic Apparent - Score,pKa Basic Apparent,pKa Basic Apparent - Score,Bioaccumulation Factor,Bioaccumulation Factor - Score,Bioconcentration Factor,Bioconcentration Factor - Score,Soil Adsorp. Coeff. (Koc),Soil Adsorp. Coeff. (Koc) - Units,Soil Adsorp. Coeff. (Koc) - Score,Atmos. Hydroxylation Rate,Atmos. Hydroxylation Rate - Units,Atmos. Hydroxylation Rate - Score,Biodeg. Half-Life,Biodeg. Half-Life - Units,Biodeg. Half-Life - Score,Fish Biotrans. Half-Life (Km),Fish Biotrans. Half-Life (Km) - Units,Fish Biotrans. Half-Life (Km) - Score,Data Quality - CompTox,Data Source,Consulted Date
"2,2',4,4',5-Pentachlorobiphenyl",38380017,DTXSID1073496,326.42,,,115,°C,3,370,°C,3,1.12E-08,mol/L,2,2.2E-05,mmHg,2,177,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.52,g/cm^3,3,214,cm^3,4,120,mW/(m*K),4,,,,7.8E-05,2,9.3,4,,,,,,,,,225000,L/kg,4,5.9E-13,cm3/molecule*sec,4,13.4,days,4,537,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1073496,07_04_2020
"2,2',3,4,5'-Pentachlorobiphenyl",38380028,DTXSID6073497,326.42,,,109,°C,3,375,°C,3,9.01E-08,mol/L,2,1.7E-05,mmHg,2,181,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.52,g/cm^3,3,214,cm^3,4,120,mW/(m*K),4,,,,7.4E-05,2,9.37,4,,,,,,,,,41700,L/kg,2,5.84E-13,cm3/molecule*sec,4,13.4,days,4,204,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6073497,07_04_2020
"2,2',3,4',5',6-Hexachlorobiphenyl",38380040,DTXSID1073498,360.86,,,121,°C,3,384,°C,3,1.17E-08,mol/L,2,8.43E-06,mmHg,2,185,°C,3,48,dyn/cm,4,1.63,4,80.2,cm^3,4,31.8,Å^3,4,1.6,g/cm^3,3,226,cm^3,4,120,mW/(m*K),4,,,,4.34E-05,4,9.27,2,,,,,,,,,617000,L/kg,2,6.59E-13,cm3/molecule*sec,4,19.9,days,4,199,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1073498,07_04_2020
"2,2',3,3',6,6'-Hexachlorobiphenyl",38411222,DTXSID6073499,360.86,,,136,°C,3,371,°C,3,1.25E-08,mol/L,2,1.28E-05,mmHg,3,178,°C,3,48,dyn/cm,4,1.63,4,80.2,cm^3,4,31.8,Å^3,4,1.6,g/cm^3,3,226,cm^3,4,116,mW/(m*K),4,,,,8.8E-05,2,9.66,4,,,,,,,,,1020000,L/kg,2,6.65E-13,cm3/molecule*sec,4,42.4,days,4,219,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6073499,07_04_2020
"2,4',6-Trichlorobiphenyl",38444778,DTXSID8073500,257.54,,,93.1,°C,3,322,°C,3,6.17E-07,mol/L,2,0.000553,mmHg,3,181,°C,3,43.1,dyn/cm,4,1.6,4,65.5,cm^3,4,26,Å^3,4,1.34,g/cm^3,3,191,cm^3,4,125,mW/(m*K),4,,,,0.0002,2,7.72,2,,,,,,,,,55200,L/kg,4,1.12E-12,cm3/molecule*sec,4,17.5,days,4,275,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8073500,07_04_2020
"2,2',3-Trichlorobiphenyl",38444789,DTXSID3073501,257.54,,,87.4,°C,3,322,°C,3,1.14E-06,mol/L,2,0.000517,mmHg,3,182,°C,3,43.1,dyn/cm,4,1.6,4,65.5,cm^3,4,26,Å^3,4,1.34,g/cm^3,3,191,cm^3,4,125,mW/(m*K),4,,,,0.0002,2,7.88,4,,,,,,,,,35200,L/kg,4,1.12E-12,cm3/molecule*sec,4,14.7,days,4,113,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3073501,07_04_2020
"2,3,3'-Trichlorobiphenyl",38444847,DTXSID8073502,257.54,,,92.7,°C,3,322,°C,3,1.12E-06,mol/L,3,0.000283,mmHg,3,189,°C,3,43.1,dyn/cm,4,1.6,4,65.5,cm^3,4,26,Å^3,4,1.34,g/cm^3,3,191,cm^3,4,125,mW/(m*K),4,,,,0.00016,2,7.88,4,,,,,,,,,33700,L/kg,4,1.12E-12,cm3/molecule*sec,4,13.4,days,4,122,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8073502,07_04_2020
"2,2',3,3'-Tetrachlorobiphenyl",38444938,DTXSID3073503,291.98,,,111,°C,3,346,°C,3,5.34E-08,mol/L,2,7.35E-05,mmHg,2,164,°C,3,44.9,dyn/cm,4,1.61,4,70.4,cm^3,4,27.9,Å^3,4,1.43,g/cm^3,3,203,cm^3,4,121,mW/(m*K),4,,,,0.0001,2,8.92,4,,,,,,,,,94400,L/kg,4,7.68E-13,cm3/molecule*sec,4,14.8,days,4,100,days,2,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3073503,07_04_2020
"2,2',4,4',6-Pentachlorobiphenyl",39485831,DTXSID8073504,326.42,,,113,°C,3,354,°C,3,2.19E-08,mol/L,2,4.52E-05,mmHg,3,168,°C,3,46.5,dyn/cm,4,1.62,4,75.3,cm^3,4,29.9,Å^3,4,1.51,g/cm^3,3,214,cm^3,4,119,mW/(m*K),4,,,,4.99E-05,4,9.16,4,,,,,,,,,222000,L/kg,4,5.68E-13,cm3/molecule*sec,4,332,days,2,149,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8073504,07_04_2020
"2,2',4,5'-Tetrachlorobiphenyl",41464408,DTXSID8073508,291.98,,,101,°C,3,350,°C,3,2.67E-07,mol/L,2,8.48E-06,mmHg,2,164,°C,3,44.9,dyn/cm,4,1.61,4,70.4,cm^3,4,27.9,Å^3,4,1.44,g/cm^3,3,203,cm^3,4,124,mW/(m*K),4,,,,0.00021,2,8.39,2,,,,,,,,,83700,L/kg,4,8.15E-13,cm3/molecule*sec,4,13.4,days,4,326,days,4,"Level 3: Programmatically curated from high quality EPA source, unique chemical identifiers have no conflicts in ChemID and PubChem",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8073508,07_04_2020
