PREFERRED NAME,CAS NUMBER,DSSTOX ID,Molecular Mass,LogP: Octanol-Water,LogP: Octanol-Water - Score,Melting Point,Melting Point - Units,Melting Point - Score,Boiling Point,Boiling Point - Units,Boiling Point - Score,Water Solubility,Water Solubility - Units,Water Solubility - Score,Vapor Pressure,Vapor Pressure - Units,Vapor Pressure - Score,Flash Point,Flash Point - Units,Flash Point - Score,Surface Tension,Surface Tension - Units,Surface Tension - Score,Index of Refraction,Index of Refraction - Score,Molar Refractivity,Molar Refractivity - Units,Molar Refractivity - Score,Polarizability,Polarizability - Units,Polarizability - Score,Density,Density - Units,Density - Score,Molar Volume,Molar Volume - Units,Molar Volume - Score,Thermal Conductivity,Thermal Conductivity - Units,Thermal Conductivity - Score,Viscosity,Viscosity - Units,Viscosity - Score,Henry's Law,Henry's Law - Score,LogKoa: Octanol-Air,LogKoa: Octanol-Air - Score,pKa Acidic Apparent,pKa Acidic Apparent - Score,pKa Basic Apparent,pKa Basic Apparent - Score,Bioaccumulation Factor,Bioaccumulation Factor - Score,Bioconcentration Factor,Bioconcentration Factor - Score,Soil Adsorp. Coeff. (Koc),Soil Adsorp. Coeff. (Koc) - Units,Soil Adsorp. Coeff. (Koc) - Score,Atmos. Hydroxylation Rate,Atmos. Hydroxylation Rate - Units,Atmos. Hydroxylation Rate - Score,Biodeg. Half-Life,Biodeg. Half-Life - Units,Biodeg. Half-Life - Score,Fish Biotrans. Half-Life (Km),Fish Biotrans. Half-Life (Km) - Units,Fish Biotrans. Half-Life (Km) - Score,Data Quality - CompTox,Data Source,Consulted Date
Acetamide,60355,DTXSID7020005,59.068,,,80,°C,1,222,°C,1,38.1,mol/L,2,0.04,mmHg,2,69.7,°C,3,29.9,dyn/cm,4,1.39,4,14.9,cm^3,4,5.9,Å^3,4,0.958,g/cm^3,3,62.3,cm^3,4,217,mW/(m*K),4,2.39,cP,4,9.18E-08,4,4.24,4,,,,,,,0.894,3,5.01,L/kg,2,1.09E-12,cm3/molecule*sec,4,4.59,days,4,0.131,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020005,07_04_2020
Aldrin,309002,DTXSID8020040,364.9,6.5,2,,,,340,°C,3,4.66E-08,mol/L,2,0.00012,mmHg,2,181,°C,3,55.3,dyn/cm,4,1.66,4,77.7,cm^3,4,30.8,Å^3,4,1.74,g/cm^3,3,211,cm^3,4,,,,,,,4.4E-05,2,8.08,2,,,,,,,,,49000,L/kg,2,8.02E-11,cm3/molecule*sec,4,363,days,4,23.4,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020040,07_04_2020
Aniline,62533,DTXSID8020090,93.129,,,-6,°C,1,184,°C,1,0.387,mol/L,2,0.49,mmHg,2,84.5,°C,3,40,dyn/cm,3,1.58,4,30.5,cm^3,4,12.1,Å^3,4,1.06,g/cm^3,3,91.7,cm^3,4,165,mW/(m*K),4,2.62,cP,4,2.02E-06,2,4.94,4,,,4.6,2,,,5,1,39.8,L/kg,2,1.11E-10,cm3/molecule*sec,2,5.57,days,4,0.166,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020090,07_04_2020
Sodium arsenate,7631892,DTXSID5020102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020102,07_04_2020
Arsenic oxide (As2O3),1327533,DTXSID0020103,197.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020103,07_04_2020
Sodium arsenite,7784465,DTXSID5020104,129.909,,,324,°C,4,739,°C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020104,07_04_2020
Benzyl chloride,100447,DTXSID0020153,126.58,,,-43,°C,1,179,°C,1,0.00415,mol/L,2,1.23,mmHg,2,73.6,°C,3,34.3,dyn/cm,3,1.53,4,36,cm^3,4,14.3,Å^3,4,1.09,g/cm^3,3,117,cm^3,4,131,mW/(m*K),4,1.4,cP,4,0.00292,4,4.16,4,,,,,,,15.3,3,87.3,L/kg,3,2.9E-12,cm3/molecule*sec,2,4.9,days,4,0.133,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020153,07_04_2020
Bifenthrin,82657043,DTXSID9020160,422.87,,,69,°C,2,411,°C,3,2.36E-07,mol/L,2,1.8E-07,mmHg,2,173,°C,3,41.3,dyn/cm,4,1.56,4,109,cm^3,4,43.2,Å^3,4,1.26,g/cm^3,3,335,cm^3,4,,,,,,,4.88E-08,4,10.5,4,,,,,,,708,1,224000,L/kg,2,3.32E-11,cm3/molecule*sec,4,3.54,days,4,3.65,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020160,07_04_2020
Bis(tributyltin)oxide,56359,DTXSID9020166,596.115,,,132,°C,4,417,°C,4,1.5E-07,mol/L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020166,07_04_2020
bis(2-Chloro-1-methylethyl) ether,108601,DTXSID4020167,171.06,,,-97,°C,1,187,°C,2,0.00994,mol/L,2,0.56,mmHg,2,39.5,°C,3,29.9,dyn/cm,3,1.44,4,41.2,cm^3,4,16.3,Å^3,4,1.09,g/cm^3,3,157,cm^3,4,116,mW/(m*K),4,1.11,cP,4,6.29E-05,4,4.53,4,,,,,,,12,2,46.8,L/kg,2,2.51E-11,cm3/molecule*sec,4,8.97,days,4,0.0851,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID4020167,07_04_2020
bis(Chloromethyl) ether,542881,DTXSID8020173,114.95,,,-41.5,°C,1,106,°C,2,0.191,mol/L,2,29.4,mmHg,2,55.1,°C,3,30.6,dyn/cm,3,1.42,4,22.8,cm^3,4,9.02,Å^3,4,1.25,g/cm^3,3,90.7,cm^3,4,124,mW/(m*K),4,0.59,cP,4,0.000153,4,3.22,4,,,,,,,3.48,3,12.7,L/kg,3,3.28E-12,cm3/molecule*sec,4,7.43,days,4,0.092,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020173,07_04_2020
Bisphenol A,80057,DTXSID7020182,228.291,,,156,°C,1,200,°C,2,0.000526,mol/L,2,3.43E-07,mmHg,3,190,°C,3,46,dyn/cm,4,1.6,4,68.2,cm^3,4,27,Å^3,4,1.17,g/cm^3,3,200,cm^3,4,150,mW/(m*K),4,9.66,cP,4,1.26E-07,4,8.38,4,,,,,,,150,1,1340,L/kg,3,1.64E-11,cm3/molecule*sec,4,15.1,days,4,1.86,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020182,07_04_2020
C.I. Direct Black 38,1937377,DTXSID7020184,781.73,1.4,3,,,,329,°C,3,2.37E-07,mol/L,3,1.75E-09,mmHg,3,,,,77.1,dyn/cm,4,1.77,4,190,cm^3,4,75.4,Å^3,4,1.68,g/cm^3,3,458,cm^3,4,,,,,,,2E-09,4,9.56,4,,,,,,,7.34,3,73400,L/kg,3,5.8E-11,cm3/molecule*sec,4,67.9,days,4,0.228,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020184,07_04_2020
FD&C Blue No. 1,3844459,DTXSID2020189,792.84,2.09,3,,,,380,°C,3,0.000117,mol/L,3,3.82E-10,mmHg,3,,,,,,,,,,,,,,,1.68,g/cm^3,4,,,,,,,,,,8.73E-10,4,9.61,4,,,,,,,,,137000,L/kg,4,7.67E-11,cm3/molecule*sec,4,15.6,days,4,0.324,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2020189,07_04_2020
Dinoseb,88857,DTXSID3020207,240.215,,,55,°C,1,325,°C,1,0.000216,mol/L,2,3.76E-05,mmHg,3,141,°C,3,56.4,dyn/cm,4,1.59,4,60,cm^3,4,23.8,Å^3,4,1.35,g/cm^3,3,178,cm^3,4,145,mW/(m*K),4,14.5,cP,4,6.07E-08,4,8.76,4,,,,,,,61.6,1,501,L/kg,2,1.06E-11,cm3/molecule*sec,4,4.55,days,4,0.136,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3020207,07_04_2020
Cadmium chloride,10108642,DTXSID6020226,183.31,,,,,,960,°C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020226,07_04_2020
Cadmium sulfate (1:1),10124364,DTXSID1020229,208.47,-1.03,4,1000,°C,1,,,,,,,3.35E-05,mmHg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020229,07_04_2020
Chloramben,133904,DTXSID2020262,206.02,,,200,°C,1,312,°C,2,0.0034,mol/L,2,1.59E-06,mmHg,3,176,°C,3,67.3,dyn/cm,4,1.66,4,47.2,cm^3,4,18.7,Å^3,4,1.59,g/cm^3,3,128,cm^3,4,,,,,,,2.74E-09,4,8.08,4,,,,,,,3.36,3,30.2,L/kg,2,4.94E-12,cm3/molecule*sec,4,4.07,days,4,0.109,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2020262,07_04_2020
Chlordane,57749,DTXSID7020267,409.76,,,106,°C,2,338,°C,3,1.37E-07,mol/L,2,1.51E-05,mmHg,1,204,°C,3,54.1,dyn/cm,4,1.63,4,80.3,cm^3,4,31.8,Å^3,4,1.83,g/cm^3,3,226,cm^3,4,,,,,,,0.000293,2,9.6,4,,,,,,,,,60300,L/kg,2,7E-13,cm3/molecule*sec,4,107,days,4,181,days,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020267,07_04_2020
Chlorendic acid,115286,DTXSID2020268,388.83,,,225,°C,1,353,°C,3,0.009,mol/L,2,1.3E-07,mmHg,3,238,°C,3,77.2,dyn/cm,4,1.66,4,71.4,cm^3,4,28.3,Å^3,4,1.98,g/cm^3,3,194,cm^3,4,103,mW/(m*K),4,,,,8.55E-11,4,9.19,4,,,,,,,2.09,2,617,L/kg,2,9.14E-12,cm3/molecule*sec,4,25.7,days,4,0.753,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2020268,07_04_2020
4-Chloroaniline,106478,DTXSID9020295,127.57,,,69.8,°C,1,232,°C,1,0.0306,mol/L,2,0.027,mmHg,2,98.5,°C,3,42.9,dyn/cm,3,1.6,4,35.4,cm^3,4,14,Å^3,4,1.23,g/cm^3,3,104,cm^3,4,156,mW/(m*K),4,2.83,cP,4,3.38E-07,4,6.25,4,,,3.96,2,,,7,1,91.2,L/kg,2,4.3E-11,cm3/molecule*sec,2,9.3,days,4,0.245,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020295,07_04_2020
Chloropicrin,76062,DTXSID0020315,164.37,2.09,2,-69.2,°C,1,112,°C,1,0.00986,mol/L,2,23.8,mmHg,2,29.2,°C,3,38.8,dyn/cm,3,1.5,4,27.2,cm^3,4,10.8,Å^3,4,1.7,g/cm^3,3,92,cm^3,4,,,,1.15,cP,4,0.00205,2,3.08,4,,,,,0.934,4,,,61.7,L/kg,2,4.98E-15,cm3/molecule*sec,4,4.62,days,4,2.62,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020315,07_04_2020
Chlorothalonil,1897456,DTXSID0020319,265.9,3.05,2,250,°C,1,350,°C,2,2.26E-06,mol/L,2,5.7E-07,mmHg,2,156,°C,3,51.8,dyn/cm,3,1.63,4,55.2,cm^3,4,21.9,Å^3,4,1.67,g/cm^3,3,155,cm^3,4,,,,2.57,cP,4,2E-06,2,8.49,4,,,,,104,4,,,1820,L/kg,2,2.84E-12,cm3/molecule*sec,4,5.52,days,4,1.86,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020319,07_04_2020
Cobalt sulfate heptahydrate,10026241,DTXSID7020340,281.09,,,,,,735,°C,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020340,07_04_2020
Copper-8-hydroxyquinoline (1:2),10380286,DTXSID7020346,351.852,,,237,°C,4,553,°C,4,1.06E-05,mol/L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020346,07_04_2020
2-Methoxy-5-methylaniline,120718,DTXSID1020350,137.182,,,53,°C,1,235,°C,2,0.0205,mol/L,3,0.0412,mmHg,3,106,°C,3,37.9,dyn/cm,4,1.55,4,42,cm^3,4,16.6,Å^3,4,1.04,g/cm^3,3,132,cm^3,4,160,mW/(m*K),4,4.92,cP,4,2.39E-07,4,7.28,4,,,,,,,3.55,2,68.8,L/kg,3,8.06E-11,cm3/molecule*sec,4,3.48,days,4,0.1,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020350,07_04_2020
Calcium cyanamide,156627,DTXSID6020353,80.103,-0.792,3,,,,176,°C,3,12.3,mol/L,3,0.0137,mmHg,3,15.1,°C,3,45.4,dyn/cm,4,1.4,4,10.1,cm^3,4,4.02,Å^3,4,0.984,g/cm^3,3,42.1,cm^3,4,,,,,,,1.91E-06,4,3.68,4,,,,,,,,,4.52,L/kg,4,5.01E-12,cm3/molecule*sec,4,7.58,days,4,0.194,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020353,07_04_2020
"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]",1163195,DTXSID9020376,959.171,,,306,°C,1,530,°C,2,3.63E-11,mol/L,3,3.6E-12,mmHg,3,243,°C,3,62,dyn/cm,4,1.74,4,130,cm^3,4,51.4,Å^3,4,3.31,g/cm^3,3,322,cm^3,4,,,,,,,9.07E-05,4,11.7,4,,,,,,,1280,3,24100000,L/kg,3,3.08E-12,cm3/molecule*sec,4,515,days,4,14.5,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020376,07_04_2020
Diallate,2303164,DTXSID2020391,270.21,,,25,°C,2,299,°C,3,5.18E-05,mol/L,2,0.00015,mmHg,2,136,°C,3,37.5,dyn/cm,4,1.52,4,69.6,cm^3,4,27.6,Å^3,4,1.14,g/cm^3,3,229,cm^3,4,,,,,,,1.45E-06,4,8.21,4,,,,,,,148,3,1910,L/kg,2,1.88E-11,cm3/molecule*sec,4,4.35,days,4,0.248,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2020391,07_04_2020
"2,4-Diaminotoluene",95807,DTXSID4020402,122.171,,,98.3,°C,1,284,°C,1,0.292,mol/L,3,0.00017,mmHg,2,146,°C,3,52.3,dyn/cm,4,1.64,4,39.5,cm^3,4,15.7,Å^3,4,1.12,g/cm^3,3,110,cm^3,4,173,mW/(m*K),4,6.47,cP,4,5.77E-08,4,7.86,4,,,,,,,50.1,2,27.7,L/kg,3,1.92E-10,cm3/molecule*sec,2,4.03,days,4,0.135,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID4020402,07_04_2020
"1,2-Dibromo-3-chloropropane",96128,DTXSID3020413,236.33,,,6,°C,1,196,°C,1,0.00469,mol/L,2,0.58,mmHg,2,71.6,°C,3,39.7,dyn/cm,3,1.54,4,36.2,cm^3,4,14.4,Å^3,4,1.99,g/cm^3,3,116,cm^3,4,101,mW/(m*K),4,2.82,cP,4,0.000294,4,4.43,4,,,,,,,11.5,2,70.8,L/kg,2,4.35E-13,cm3/molecule*sec,2,6.98,days,4,0.0724,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3020413,07_04_2020
"3,3'-Dichlorobenzidine",91941,DTXSID6020432,253.13,,,133,°C,1,394,°C,1,1.22E-05,mol/L,2,4.94E-07,mmHg,3,196,°C,3,57.3,dyn/cm,4,1.68,4,69.1,cm^3,4,27.4,Å^3,4,1.36,g/cm^3,3,183,cm^3,4,,,,,,,4.07E-08,4,9.11,4,,,,,,,610,1,22400,L/kg,2,1.01E-11,cm3/molecule*sec,4,31.8,days,4,0.741,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020432,07_04_2020
"(2E)-1,4-Dichlorobut-2-ene",110576,DTXSID6020434,124.99,,,-6.08,°C,1,155,°C,2,0.00527,mol/L,2,3.43,mmHg,2,53.6,°C,3,29.3,dyn/cm,3,1.46,4,30.3,cm^3,4,12,Å^3,4,1.14,g/cm^3,3,111,cm^3,4,127,mW/(m*K),4,0.679,cP,4,0.00105,4,3.6,4,,,,,,,22.3,3,138,L/kg,3,4.41E-11,cm3/molecule*sec,4,6.46,days,4,0.0852,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020434,07_04_2020
"1,2-Dichloroethane",107062,DTXSID6020438,98.95,,,-35,°C,1,83,°C,1,0.0861,mol/L,2,78.9,mmHg,2,16.5,°C,3,27.8,dyn/cm,3,1.41,4,21,cm^3,4,8.33,Å^3,4,1.17,g/cm^3,3,84.3,cm^3,4,127,mW/(m*K),4,0.52,cP,4,0.00118,2,2.78,2,,,,,,,2,2,33.1,L/kg,2,2.48E-13,cm3/molecule*sec,2,10.3,days,4,0.14,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020438,07_04_2020
Dichlorprop,120365,DTXSID0020440,235.06,,,115,°C,1,318,°C,3,0.0017,mol/L,2,7.5E-08,mmHg,2,165,°C,3,45.6,dyn/cm,3,1.56,4,53.5,cm^3,4,21.2,Å^3,4,1.43,g/cm^3,3,165,cm^3,4,138,mW/(m*K),4,21.4,cP,4,3.03E-09,4,9.2,4,,,,,,,,,170,L/kg,2,1.16E-11,cm3/molecule*sec,4,3.53,days,4,0.145,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020440,07_04_2020
"2,4-Dichlorophenoxyacetic acid",94757,DTXSID0020442,221.03,,,138,°C,1,160,°C,1,0.00306,mol/L,2,8.25E-05,mmHg,2,165,°C,3,48.2,dyn/cm,3,1.57,4,48.9,cm^3,4,19.4,Å^3,4,1.48,g/cm^3,3,148,cm^3,4,142,mW/(m*K),4,19.1,cP,4,2.97E-09,4,8.65,4,,,,,,,17.6,1,45.7,L/kg,2,8.51E-12,cm3/molecule*sec,4,3.55,days,4,0.214,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020442,07_04_2020
"2,4-D Butyl ester",94804,DTXSID5020443,277.14,,,30.1,°C,3,245,°C,1,0.000166,mol/L,2,6.16E-05,mmHg,2,137,°C,3,40.2,dyn/cm,3,1.52,4,67.7,cm^3,4,26.8,Å^3,4,1.25,g/cm^3,3,223,cm^3,4,141,mW/(m*K),4,11.4,cP,4,1.86E-08,4,8.42,4,,,,,,,,,477,L/kg,4,1.38E-11,cm3/molecule*sec,4,3.54,days,4,0.864,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020443,07_04_2020
"2,4-D isopropyl ester",94111,DTXSID5020445,263.11,,,5,°C,1,304,°C,3,0.000142,mol/L,2,0.000232,mmHg,2,130,°C,3,39.8,dyn/cm,3,1.52,4,63,cm^3,4,25,Å^3,4,1.27,g/cm^3,3,207,cm^3,4,135,mW/(m*K),4,12.9,cP,4,2.89E-08,4,7.46,4,,,,,,,,,456,L/kg,4,1.43E-11,cm3/molecule*sec,4,4.87,days,4,1.47,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020445,07_04_2020
"3,3'-Dimethoxybenzidine dihydrochloride",20325400,DTXSID1020485,317.21,1.74,3,,,,375,°C,3,0.000216,mol/L,3,4.6E-07,mmHg,3,217,°C,3,48,dyn/cm,4,1.62,4,72.7,cm^3,4,28.8,Å^3,4,1.21,g/cm^3,3,207,cm^3,4,,,,,,,2.24E-08,4,9.11,4,,,,,,,,,758,L/kg,4,1.65E-11,cm3/molecule*sec,4,3.11,days,4,0.213,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020485,07_04_2020
"7,12-Dimethylbenz(a)anthracene",57976,DTXSID1020510,256.348,,,123,°C,1,436,°C,3,1.52E-07,mol/L,2,2.19E-08,mmHg,3,223,°C,3,44.2,dyn/cm,3,1.73,4,89.4,cm^3,4,35.5,Å^3,4,1.14,g/cm^3,3,224,cm^3,4,122,mW/(m*K),4,,,,3.71E-06,4,10.2,4,,,,,,,817,1,234000,L/kg,2,2.12E-11,cm3/molecule*sec,4,151,days,4,1.02,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020510,07_04_2020
Dimethylcarbamoyl chloride,79447,DTXSID1020512,107.54,,,-33,°C,1,167,°C,1,1.86,mol/L,3,1.95,mmHg,2,46.4,°C,3,30.6,dyn/cm,4,1.44,4,24.5,cm^3,4,9.73,Å^3,4,1.13,g/cm^3,3,93.8,cm^3,4,,,,0.698,cP,4,2.85E-08,4,3.96,4,,,,,,,1.5,3,17.7,L/kg,3,7.9E-12,cm3/molecule*sec,4,6.48,days,4,0.0888,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020512,07_04_2020
"N,N-Dimethylformamide",68122,DTXSID6020515,73.095,,,-61,°C,1,153,°C,1,13.7,mol/L,2,3.87,mmHg,2,67.5,°C,3,25.7,dyn/cm,4,1.4,4,19.9,cm^3,4,7.87,Å^3,4,0.916,g/cm^3,3,82.6,cm^3,4,199,mW/(m*K),4,0.805,cP,4,7.39E-08,2,4.38,2,,,,,,,0.794,2,8.51,L/kg,3,1.12E-12,cm3/molecule*sec,4,7.57,days,4,0.103,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020515,07_04_2020
"1,1-Dimethylhydrazine",57147,DTXSID1020516,60.1,,,-57.9,°C,1,62.4,°C,1,16.6,mol/L,2,163,mmHg,2,11.1,°C,3,25.3,dyn/cm,3,1.43,4,18.6,cm^3,4,7.36,Å^3,4,0.871,g/cm^3,3,72.5,cm^3,4,,,,,,,1.29E-06,4,2.69,4,,,7.16,2,,,2.35,3,5.44,L/kg,3,1.1E-11,cm3/molecule*sec,4,7.52,days,4,0.0892,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID1020516,07_04_2020
"2,4-Dinitrotoluene",121142,DTXSID0020529,182.135,,,69,°C,1,300,°C,1,0.00148,mol/L,2,0.000147,mmHg,2,144,°C,3,57.2,dyn/cm,4,1.6,4,44.2,cm^3,4,17.5,Å^3,4,1.4,g/cm^3,3,129,cm^3,4,138,mW/(m*K),4,4.31,cP,4,5.4E-08,2,5.08,4,,,,,,,7.85,1,345,L/kg,3,1.63E-12,cm3/molecule*sec,4,3.56,days,4,0.603,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020529,07_04_2020
"5,5-Diphenylhydantoin",57410,DTXSID8020541,252.273,,,296,°C,1,378,°C,3,0.000127,mol/L,2,1.51E-09,mmHg,3,203,°C,4,49.2,dyn/cm,4,1.61,4,69.6,cm^3,4,27.6,Å^3,4,1.28,g/cm^3,3,201,cm^3,4,,,,,,,6.29E-10,4,9.33,4,,,,,,,,,48.8,L/kg,4,1.44E-11,cm3/molecule*sec,4,7.07,days,4,0.202,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020541,07_04_2020
Ethylbenzene,100414,DTXSID3020596,106.168,3.15,1,-95,°C,1,136,°C,1,0.00159,mol/L,2,9.6,mmHg,2,29.5,°C,3,28.9,dyn/cm,3,1.5,4,35.8,cm^3,4,14.2,Å^3,4,0.879,g/cm^3,3,122,cm^3,4,,,,0.794,cP,4,0.00788,2,3.74,2,,,,,73.6,4,,,170,L/kg,2,7.1E-12,cm3/molecule*sec,2,8,days,2,0.338,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3020596,07_04_2020
